,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Ruby Emma Hotel Amsterdam,8.6,"Oost, Amsterdam",Excellent ,"2,125 reviews",Original price 802 zł. Current price 562 zł.,4.3 km from center,Cozy,4,,
1,ClinkNOORD Hostel,8.0,"Amsterdam Noord, Amsterdam",Very Good ,"7,181 reviews",Original price 192 zł. Current price 175 zł.,1.5 km from center,Bed in 10-bed girls en-suite dorm,0,,
2,Generator Amsterdam,7.8,"Oost, Amsterdam",Good ,"2,471 reviews",Price 234 zł,2.2 km from center,Bed in 6-Bed Dormitory Room,3,,
3,Stayokay Hostel Amsterdam Vondelpark,8.5,"Oud West, Amsterdam",Very Good ,"2,816 reviews",Price 260 zł,1.7 km from center,Bed in 10+ Bed Mixed Room with Shower,0,,Location 9.3
4,Amigo Hotel,5.7,"Oost, Amsterdam",Review score ,"2,255 reviews",Price 127 zł,3 km from center,Bed in 8-Bed Dormitory Room,0,,
5,Eden Hotel Amsterdam,8.2,"Amsterdam City Center, Amsterdam",Very Good ,"4,168 reviews",Price 882 zł,0.8 km from center,Standard Single Room,4,,Location 9.4
6,Motel One Amsterdam,8.6,"Zuideramstel, Amsterdam",Excellent ,"5,130 reviews",Price 459 zł,3.8 km from center,Double Room,3,,
7,Hotel CC,8.0,"Amsterdam City Center, Amsterdam",Very Good ,"3,914 reviews",Price 756 zł,500 m from center,Single Room,3,,Location 9.5
8,Via Amsterdam,8.0,"Bijlmermeer, Amsterdam",Very Good ,"9,383 reviews",Price 132 zł,6.6 km from center,Bed in 8-Bed Mixed Dormitory Room,3,,
9,Motel One Amsterdam-Waterlooplein,8.8,"Amsterdam City Center, Amsterdam",Excellent ,"2,889 reviews",Price 608 zł,1 km from center,Standard Queen Room,0,,
10,citizenM Amsterdam South,8.7,"Zuideramstel, Amsterdam",Excellent ,"2,099 reviews",Price 683 zł,3.6 km from center,King Room,4,,
11,Mercure Hotel Amsterdam West,7.5,"Slotervaart, Amsterdam",Good ,"1,442 reviews",Original price 518 zł. Current price 444 zł.,6.5 km from center,Standard Double Room,4,,
12,Hampton By Hilton Amsterdam Arena Boulevard,8.1,"Zuidoost, Amsterdam",Very Good ,"6,828 reviews",Price 466 zł,7.6 km from center,Double Room,3,Breakfast included,
13,Jaz in the City Amsterdam,8.7,"Zuidoost, Amsterdam",Excellent ,"6,456 reviews",Price 651 zł,7.2 km from center,Superior Double Room,4,,
14,Stayokay Hostel Amsterdam Oost,8.2,"Zeeburg, Amsterdam",Very Good ,"2,445 reviews",Price 238 zł,3 km from center,Bed in 8-Bed Mixed Room,0,,
15,Joy Hotel,7.6,"Zuidoost, Amsterdam",Good ,"6,146 reviews",Original price 625 zł. Current price 534 zł.,8.5 km from center,Budget Double Room without Window,3,,
16,Hotel Library Amsterdam,8.0,"Amsterdam City Center, Amsterdam",Very Good ,"2,046 reviews",Price 806 zł,0.9 km from center,Single Room,3,,
17,NH Amsterdam Zuid,8.1,"Zuideramstel, Amsterdam",Very Good ,995 reviews,Price 562 zł,5.2 km from center,Standard Double or Twin Room,4,,
18,Multatuli Hotel,7.6,"Amsterdam City Center, Amsterdam",Good ,"1,785 reviews",Price 763 zł,0.7 km from center,Single Room,3,Breakfast included,Location 9.4
19,INNSiDE by Meliá Amsterdam,8.4,"Zuideramstel, Amsterdam",Very Good ,"2,731 reviews",Original price 958 zł. Current price 816 zł.,4 km from center,The Innside Room,4,,
20,Ecomama,8.2,"Amsterdam City Center, Amsterdam",Very Good ,"1,506 reviews",Original price 214 zł. Current price 194 zł.,1 km from center,Bed in 12-Bed El Cheapo Dorm,0,,
21,The Concert Hotel,7.8,"Oud Zuid, Amsterdam",Good ,"1,546 reviews",Price 457 zł,2.3 km from center,Single Room,3,,
22,Heart of Amsterdam Hotel,7.1,"Amsterdam City Center, Amsterdam",Good ,"1,645 reviews",Price 299 zł,300 m from center,Bed in 12-Bed Mixed Dormitory Room,0,,
23,Durty Nelly's Inn,8.2,"Amsterdam City Center, Amsterdam",Very Good ,"3,174 reviews",Price 264 zł,250 m from center,Bed in 12-Bed Mixed Dormitory,0,,Location 9.5
24,Budget Hotel Tourist Inn,7.6,"Amsterdam City Center, Amsterdam",Good ,"3,032 reviews",Price 279 zł,350 m from center,One Bed in a Dormitory,2,Breakfast included,Location 9.3
25,Hotel Cornelisz,8.5,"Oud Zuid, Amsterdam",Very Good ,"1,223 reviews",Price 628 zł,1.5 km from center,Single Room,3,,Location 9.4
26,Novotel Amsterdam City,8.2,"Zuideramstel, Amsterdam",Very Good ,"3,768 reviews",Price 723 zł,4.4 km from center,Standard Room with Queen Bed,4,,
27,NH Collection Amsterdam Barbizon Palace,8.4,"Amsterdam City Center, Amsterdam",Very Good ,"3,643 reviews","Price 1,336 zł",0.6 km from center,Superior Single Room,5,,Location 9.5
28,Andaz Amsterdam Prinsengracht - a concept by Hyatt,8.7,"Amsterdam City Center, Amsterdam",Excellent ,693 reviews,"Price 1,632 zł",0.9 km from center,Observatory Queen,5,,Location 9.5
29,Hotel Okura Amsterdam – The Leading Hotels of the World,8.7,"Oud Zuid, Amsterdam",Excellent ,855 reviews,"Price 1,385 zł",2.7 km from center,Superior View Room,5,,
30,Hotel Jakarta Amsterdam,8.9,"Zeeburg, Amsterdam",Excellent ,"5,395 reviews",Price 988 zł,2.1 km from center,Superior Room with Shower,4,Breakfast included,
31,Park Inn by Radisson Amsterdam City West,7.8,"Westpoort, Amsterdam",Good ,"12,817 reviews",Price 518 zł,3.9 km from center,Standard Room,4,,
