,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,New Park Hotel,8.3,"Kizilay, Ankara",Very Good ,"1,746 reviews",Original price 359 zł. Current price 251 zł.,1.6 km from center,Deluxe Twin Room,5,Breakfast included,
1,The Wings Hotels Neva Palas,9.2,"Kavaklidere, Ankara",Wonderful ,768 reviews,Original price 449 zł. Current price 337 zł.,0.7 km from center,Single Room,4,,
2,ibis Ankara Airport Hotel,7.9,Ankara,Good ,663 reviews,Price 237 zł,23.4 km from center,Standard Room with 1 Double Bed,3,,
3,Ankara Alegria Business Hotel,8.6,Ankara,Excellent ,92 reviews,Price 342 zł,9.1 km from center,Deluxe Double or Twin Room,5,Breakfast included,
4,Bugday Hotel,8.7,"Ulus, Ankara",Excellent ,271 reviews,Original price 182 zł. Current price 164 zł.,3.3 km from center,Double Room,4,Breakfast included,
5,Lion City Hotel Ankara,8.2,"Ulus, Ankara",Very Good ,345 reviews,Price 100 zł,4.4 km from center,Economy Single Room,3,,
6,Lion City Hotel Kizilay,8.5,"Kizilay, Ankara",Very Good ,541 reviews,Price 148 zł,1.1 km from center,Standard Single Room,0,,Location 9.4
7,Cihan Palas,6.9,"Ulus, Ankara",Review score ,152 reviews,Price 89 zł,3.2 km from center,Standard Single Room,3,Breakfast included,
8,Kahya Hotel Ankara,8.3,"Ankara City-Centre, Ankara",Very Good ,369 reviews,Price 192 zł,1.4 km from center,Deluxe Single Room,4,,
9,Grand Sera Hotel,8.4,"Ulus, Ankara",Very Good ,257 reviews,Price 150 zł,2.8 km from center,Standard Single Room,0,Breakfast included,
10,Esila Hotel,7.4,"Maltepe, Ankara",Good ,274 reviews,Price 145 zł,2.2 km from center,Large Single Room,0,,
11,Divan Cukurhan,9.4,"Ulus, Ankara",Wonderful ,330 reviews,Original price 655 zł. Current price 524 zł.,3 km from center,Superior King Room,0,,Location 9.6
12,Elegant House Apart Otel,,Ankara,,,Price 72 zł,2.1 km from center,Budget Double Room,0,,
13,Black House Apart Otel,5.5,Ankara,Review score ,11 reviews,Price 84 zł,2.2 km from center,Standard Apartment,0,,
14,Wyndham Ankara,8.6,"Sogutozu, Ankara",Excellent ,244 reviews,Price 517 zł,3.8 km from center,Standard  King Room Smoking ,5,,
15,ÖZDEMİR HOTEL,7.8,"Kizilay, Ankara",Good ,85 reviews,Price 164 zł,1.1 km from center,Standard Single Room,0,Breakfast included,Location 9.3
16,Enerji Otel,7.8,"Kizilay, Ankara",Good ,358 reviews,Price 126 zł,1.2 km from center,Budget Single Room,3,Breakfast included,
17,Deeps Hostel Ankara,7.8,"Kizilay, Ankara",Good ,410 reviews,Price 51 zł,1.3 km from center,Bed in 6-Bed Mixed Dormitory Room,0,,
18,Sheraton Ankara Hotel & Convention Center,8.7,"Ankara City-Centre, Ankara",Excellent ,254 reviews,Price 718 zł,1.8 km from center,Classic Double Room with City View,5,,Location 9.3
19,Niza Park Hotel,8.3,"Cankaya, Ankara",Very Good ,126 reviews,Price 187 zł,1.8 km from center,Standard Single Room,4,Breakfast included,
20,Mina 1 Hotel,7.7,"Kizilay, Ankara",Good ,221 reviews,Price 107 zł,1.4 km from center,Single Room,2,Breakfast included,
21,Divan Ankara,8.6,"Yildizevler, Ankara",Excellent ,97 reviews,Original price 632 zł. Current price 505 zł.,3.9 km from center,Superior King Room,5,,
22,Sahinbey Hotel,8.3,"Ulus, Ankara",Very Good ,74 reviews,Price 140 zł,3.2 km from center,Single Room,2,,
23,Occidental Ankara,9.1,"Kavaklidere, Ankara",Wonderful ,250 reviews,Price 416 zł,1.4 km from center,Double Room,4,,Location 9.5
24,Antik Otel,7.7,"Ulus, Ankara",Good ,74 reviews,Price 98 zł,3.2 km from center,Economy Double Room,3,,
25,Eyuboglu Hotel,8.6,"Kizilay, Ankara",Excellent ,60 reviews,Price 262 zł,450 m from center,Double Room,4,Breakfast included,
26,Mimi Hotel Ankara,8.4,"Gaziosmanpasa, Ankara",Very Good ,53 reviews,Price 253 zł,2.6 km from center,Standard Double or Twin Room,4,Breakfast included,
27,Ankara Royal Hotel,7.5,"Kavaklidere, Ankara",Good ,221 reviews,Price 160 zł,0.7 km from center,Single Room,4,,
28,Grand Ankara Hotel Convention Center,8.2,"Kavaklidere, Ankara",Very Good ,159 reviews,Price 561 zł,350 m from center,Standard  Room,5,Breakfast included,
29,Tac Hotel,8.0,"Ulus, Ankara",Very Good ,151 reviews,Price 89 zł,3.6 km from center,Economy Double Room,2,,
30,Kahya Hotel Ankara,8.3,"Ankara City-Centre, Ankara",Very Good ,369 reviews,Price 192 zł,1.4 km from center,Deluxe Single Room,4,,
31,koza millenyum hotel&spa,7.2,"Ankara City-Centre, Ankara",Good ,22 reviews,Price 164 zł,2.6 km from center,Large Single Room,4,Breakfast included,
32,Best Western Plus Center Hotel,8.6,"Kizilay, Ankara",Excellent ,250 reviews,Price 247 zł,0.5 km from center,Double Room with Two Double Beds,4,Breakfast included,
33,A Hotels & Suite,8.2,"Cankaya, Ankara",Very Good ,103 reviews,Price 154 zł,1.6 km from center,Standard Apartment,3,,
34,Grand Nora Hotel,8.6,"Gaziosmanpasa, Ankara",Excellent ,42 reviews,Price 191 zł,3 km from center,Standard Double Room,4,Breakfast included,
35,Starton Hotel,8.0,"Kizilay, Ankara",Very Good ,52 reviews,Price 262 zł,1.2 km from center,Family Room,3,Breakfast included,
36,Ontur Butik Hotel,8.9,"Ankara City-Centre, Ankara",Excellent ,135 reviews,Price 191 zł,2 km from center,Standard Double Room,0,,
37,ROX Hotel Ankara,8.3,"Kizilay, Ankara",Very Good ,258 reviews,Price 225 zł,1.5 km from center,Standard Twin Room,0,Breakfast included,
38,Ramada by Wyndham Ankara,7.0,"Kavaklidere, Ankara",Good ,34 reviews,Price 281 zł,1 km from center,Twin Room,4,Breakfast included,
39,Divan Cukurhan,9.4,"Ulus, Ankara",Wonderful ,330 reviews,Original price 655 zł. Current price 524 zł.,3 km from center,Superior King Room,0,,Location 9.6
40,King Hotel Cankaya,7.7,"Cankaya, Ankara",Good ,62 reviews,Price 220 zł,2.9 km from center,Single Room,4,Breakfast included,
