,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Grand Gulluk Hotel & Spa,7.9,"Antalya City Center, Antalya",Good ,"2,083 reviews",Original price 351 zł. Current price 211 zł.,0.7 km from center,Deluxe Single Room,0,Breakfast included,
1,Old Town Point Hotel & Spa Antalya,8.1,"Antalya City Center, Antalya",Very Good ,"2,005 reviews",Original price 435 zł. Current price 231 zł.,0.8 km from center,Economy Twin Room,4,Breakfast included,
2,Elysium Green Suites,8.1,Antalya,Very Good ,"1,303 reviews",Original price 337 zł. Current price 270 zł.,11 km from center,Deluxe Double Room with Shower,0,Breakfast included,
3,Mai İnci Hotel,9.1,Antalya,Wonderful ,"1,122 reviews",Original price 409 zł. Current price 249 zł.,0.5 km from center,Economy Single Room,0,Breakfast included,Location 9.4
4,Lupo Libero Hotel,9.4,"Antalya City Center, Antalya",Wonderful ,5 reviews,Price 104 zł,100 m from center,Standard Double Room,3,,Location 10
5,"Crowne Plaza Antalya, an IHG Hotel",7.9,"Konyaalti Beach, Antalya",Good ,"2,834 reviews",Price 370 zł,7.4 km from center,1 King Bed Standard Side Sea View,5,,
6,İSNOVA HOTEL,8.2,Antalya,Very Good ,858 reviews,Price 243 zł,6.8 km from center,Standard Triple Room,4,Breakfast included,
7,Hotel Lykia Old Town Antalya,9.6,"Old Town Kaleici, Antalya",Exceptional ,323 reviews,Original price 566 zł. Current price 340 zł.,1 km from center,Standard Double Room,4,Breakfast included,Location 9.8
8,"Holiday Inn Antalya - Lara, an IHG Hotel",8.7,"Eski Lara, Antalya",Excellent ,"1,291 reviews",Price 370 zł,9.8 km from center,Standard Room,4,,
9,SunAnatolia Otel,8.4,"Old Town Kaleici, Antalya",Very Good ,326 reviews,Price 122 zł,0.6 km from center,Small Double Room,0,,Location 9.5
10,Ramada Plaza Antalya,8.0,Antalya,Very Good ,"1,546 reviews",Price 407 zł,1.7 km from center,Deluxe Room with City View,5,Breakfast included,
11,Özhan Hotel,6.6,"Antalya City Center, Antalya",Review score ,132 reviews,Price 117 zł,250 m from center,Standard Double or Twin Room,0,Breakfast included,
12,The Mori Club Hotel,8.9,"Eski Lara, Antalya",Excellent ,407 reviews,Original price 226 zł. Current price 160 zł.,7.6 km from center,Standard Double Room,0,,
13,GÜLER BUTİK HOTEL,8.2,Antalya,Very Good ,105 reviews,Original price 133 zł. Current price 80 zł.,20.8 km from center,Standard Double Room,0,,
14,Yeşilyurt otel,8.2,"Antalya City Center, Antalya",Very Good ,195 reviews,Price 103 zł,400 m from center,Budget Single Room,0,,
15,White Garden Hotel-Adult Only,9.4,"Old Town Kaleici, Antalya",Wonderful ,975 reviews,Price 281 zł,1 km from center,Single Room,0,Breakfast included,Location 9.8
16,Mera Park Hotel,6.8,"Antalya City Center, Antalya",Review score ,328 reviews,Price 81 zł,1.5 km from center,Large Double Room,0,,
17,Sava Hotel,7.9,"Konyaalti Beach, Antalya",Good ,460 reviews,Price 139 zł,6.8 km from center,Single Room,3,Breakfast included,Location 9.3
18,IC Hotels Airport,8.8,Antalya,Excellent ,"1,770 reviews",Price 337 zł,10.2 km from center,Single Room,4,Breakfast included,
19,Mevre Hotel,6.7,Antalya,Review score ,81 reviews,Price 122 zł,0.5 km from center,Basic Single Room,3,Breakfast included,
20,Dumlupınar Royal Rooms,8.6,Antalya,Excellent ,85 reviews,Price 137 zł,4 km from center,Deluxe Double Room,0,,
21,Akra Hotel,9.0,"Eski Lara, Antalya",Wonderful ,"3,781 reviews",Original price 571 zł. Current price 457 zł.,3.7 km from center,Deluxe Double or Twin Room with City View,5,,Location 9.3
22,Best Western Plus Khan Hotel,7.8,"Antalya City Center, Antalya",Good ,"1,525 reviews",Original price 338 zł. Current price 270 zł.,300 m from center,Standard Double or Twin Room,4,Breakfast included,
23,hostel vague,8.9,Antalya,Excellent ,216 reviews,Price 61 zł,1.2 km from center,Bunk Bed in Mixed Dormitory Room,0,,Location 9.6
24,Perge Hotels - Adult Only 18 plus,9.2,Antalya,Wonderful ,546 reviews,Price 561 zł,1.6 km from center,Standard Double Room,0,,Location 9.6
