,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,ATHENS STORIES,8.9,"Psiri, Athens",Excellent ,415 reviews,Original price 718 zł. Current price 537 zł.,0.9 km from center,Apartment with Balcony,4,,Location 9.6
1,Thanasis Place,7.7,"Athens City Centre, Athens",Good ,"1,430 reviews",Price 42 zł,1.8 km from center,Bed in 6-Bed Mixed Dormitory Room,0,,
2,Hotel Lozenge,9.1,"Syntagma, Athens",Wonderful ,"1,861 reviews",Original price 816 zł. Current price 689 zł.,300 m from center,Double or Twin Room,4,Breakfast included,Location 9.8
3,Arethusa Hotel,8.2,"Syntagma, Athens",Very Good ,"2,588 reviews",Price 216 zł,150 m from center,Single Room,3,Breakfast included,Location 9.7
4,Athens Backpackers,8.3,"Koukaki, Athens",Very Good ,"1,063 reviews",Original price 113 zł. Current price 85 zł.,0.9 km from center,Bed in 6-Bed Dormitory Room,0,Breakfast included,Location 9.7
5,Pella Inn Hostel,8.1,"Psiri, Athens",Very Good ,"1,980 reviews",Original price 74 zł. Current price 69 zł.,1 km from center,Bed in 8-Bed Mixed Dormitory Room,0,,Location 9.6
6,Adam's Hotel,8.0,"Plaka, Athens",Very Good ,"1,300 reviews",Original price 298 zł. Current price 257 zł.,0.6 km from center,Double or Twin Room,2,,Location 9.7
7,Omiros Hotel,7.9,"Plaka, Athens",Good ,"2,585 reviews",Price 242 zł,300 m from center,Single Room,3,Breakfast included,Location 9.6
8,Grand Hyatt Athens,8.3,"Neos Kosmos, Athens",Very Good ,"4,094 reviews",Price 629 zł,2.5 km from center,King Room,5,,
9,Athens Marriott Hotel,8.5,"Palaio Faliro, Athens",Very Good ,588 reviews,Price 605 zł,5.1 km from center,Superior Guest Room with Two Single Beds and Courtyard View,5,,
10,Ambrosia Suites,7.8,"Athens City Centre, Athens",Good ,"1,261 reviews",Price 133 zł,1.3 km from center,Economy Single Room,0,,
11,"Holiday Inn Athens Attica Av, Airport W., an IHG Hotel",8.3,Athens,Very Good ,"1,675 reviews",Price 603 zł,12.7 km from center,Standard King Room with Extra Bed - Non-Smoking,4,,
12,Electra Hotel Athens,8.8,"Syntagma, Athens",Excellent ,"2,940 reviews",Price 594 zł,150 m from center,Classic Single Room,4,Breakfast included,Location 9.8
13,The monumental house,8.2,"Syntagma, Athens",Very Good ,228 reviews,Original price 141 zł. Current price 127 zł.,450 m from center,Budget Double Room,0,,Location 9.7
14,Melia Athens,7.9,"Athens City Centre, Athens",Good ,"1,591 reviews",Original price 572 zł. Current price 489 zł.,1.2 km from center,Meliá Room,4,,
15,Kimon Hotel Athens,8.5,"Plaka, Athens",Very Good ,"1,291 reviews",Price 190 zł,400 m from center,Petite Internal Room,1,,Location 9.7
16,Hermes Hotel,8.4,"Plaka, Athens",Very Good ,"1,206 reviews",Original price 382 zł. Current price 345 zł.,350 m from center,Economy Room,3,Breakfast included,Location 9.5
17,Electra Palace Athens,8.9,"Plaka, Athens",Excellent ,"3,714 reviews",Price 654 zł,350 m from center,Classic Single Room,5,Breakfast included,Location 9.7
18,Pallada Athens boutique rooms & apartments,8.5,"Psiri, Athens",Very Good ,396 reviews,Original price 524 zł. Current price 392 zł.,0.9 km from center,Deluxe Double or Twin Room,0,Breakfast included,
19,Plaka Hotel,8.7,"Plaka, Athens",Excellent ,"2,968 reviews",Original price 406 zł. Current price 366 zł.,0.6 km from center,Economy Room,3,Breakfast included,Location 9.8
20,PAME Wild,9.2,"Athens City Centre, Athens",Wonderful ,72 reviews,Price 235 zł,1.7 km from center,Double comfort,0,,
21,Carolina Hotel since 1934,7.9,"Syntagma, Athens",Good ,701 reviews,Original price 303 zł. Current price 283 zł.,0.6 km from center,Roof garden - Single room,3,Breakfast included,Location 9.4
22,The Vault Athens,8.9,"Syntagma, Athens",Excellent ,88 reviews,Original price 509 zł. Current price 433 zł.,0.6 km from center,Standard Room with City view,4,Breakfast included,Location 9.3
23,The Historical Center Studios,6.4,"Athens City Centre, Athens",Review score ,985 reviews,Price 94 zł,1.3 km from center,Double Room with Private Bathroom,3,,
24,ACROPOLIS CITY LIFE BOUTIQUE HOTEL,9.3,"Psiri, Athens",Wonderful ,282 reviews,Price 439 zł,0.9 km from center,Superior King Room,0,Breakfast included,Location 9.7
25,Hera Hotel,8.6,"Koukaki, Athens",Excellent ,369 reviews,Price 389 zł,1.1 km from center,Small Double Room,4,,Location 9.7
26,City Circus Athens,9.0,"Psiri, Athens",Wonderful ,862 reviews,Original price 152 zł. Current price 122 zł.,1.1 km from center,Single Bed in 6-Bed Female Dormitory Room,0,,Location 9.5
27,Athinais Hotel,8.6,"Athens City Centre, Athens",Excellent ,500 reviews,Price 335 zł,2.1 km from center,Twin Room,3,Breakfast included,
28,Ilisia Hotel Athens,8.2,"Ilisia, Athens",Very Good ,511 reviews,Price 478 zł,1.5 km from center,Single Room,4,Breakfast included,
29,Athens Mirabello,8.4,"Athens City Centre, Athens",Very Good ,"2,450 reviews",Price 197 zł,1.2 km from center,Single Room,3,Breakfast included,
30,Bedway Athens Hostel,8.4,"Neos Kosmos, Athens",Very Good ,752 reviews,Price 54 zł,2 km from center,Bed in 8-Bed Mixed Dormitory Room,0,,
31,Palmyra Beach Hotel,8.5,"Glyfada, Athens",Very Good ,"1,441 reviews",Price 324 zł,12.2 km from center,Double or Twin Room with Garden View,4,,
32,Adrian Hotel,8.6,"Plaka, Athens",Excellent ,"1,701 reviews",Price 443 zł,0.7 km from center,Triple Room,3,Breakfast included,Location 9.8
33,Nubian Hostel,8.8,"Exarcheia, Athens",Excellent ,568 reviews,Price 94 zł,1 km from center,Bed in 6-Bed Mixed Dormitory Room,0,Breakfast included,
34,Apollo Hotel,7.8,"Metaxourgeio, Athens",Good ,899 reviews,Price 171 zł,1.7 km from center,Single Room,3,Breakfast included,
35,Polis Grand Hotel,8.3,"Athens City Centre, Athens",Very Good ,"2,033 reviews",Price 436 zł,1.2 km from center,Superior Double or Twin Room,4,Breakfast included,
36,Emporikon Athens Hotel,8.9,"Monastiraki, Athens",Excellent ,753 reviews,Original price 671 zł. Current price 474 zł.,0.7 km from center,Basic Room with city view,4,,Location 9.5
37,The Modernist Athens,9.3,"Kolonaki, Athens",Wonderful ,780 reviews,Original price 835 zł. Current price 753 zł.,1.3 km from center,Standard Room,4,Breakfast included,Location 9.3
38,Electra Metropolis,9.1,"Plaka, Athens",Wonderful ,"5,363 reviews",Price 878 zł,250 m from center,Classic Double or Twin Room,5,Breakfast included,Location 9.8
39,BED in Athens,9.5,"Psiri, Athens",Exceptional ,"1,381 reviews",Original price 425 zł. Current price 340 zł.,1 km from center,Standard Double Room,0,,Location 9.7
40,Cohort Koukaki,9.4,"Koukaki, Athens",Wonderful ,481 reviews,Original price 662 zł. Current price 529 zł.,1.3 km from center,Quadruple Room,4,,Location 9.7
41,B4B Athens Signature Hotel,9.1,"Neos Kosmos, Athens",Wonderful ,"2,740 reviews",Price 536 zł,1.2 km from center,Comfort Double Room,4,Breakfast included,
42,"Hub Suites, Luxury living in Athens",9.2,"Koukaki, Athens",Wonderful ,456 reviews,Price 422 zł,1.4 km from center,Double Room with Acropolis View,4,,Location 9.4
43,Pagration Youth Hostel,8.8,"Pagkrati, Athens",Excellent ,571 reviews,Price 52 zł,1.7 km from center,Single Bed in 8-Bed Mixed Dormitory Room,0,,
44,Cecil Hotel,7.8,"Psiri, Athens",Good ,"1,902 reviews",Price 170 zł,0.8 km from center,Single Room,2,Breakfast included,Location 9.5
45,Acropolis Hill Hotel,8.3,"Koukaki, Athens",Very Good ,591 reviews,Price 306 zł,1.4 km from center,Standard Double or Twin Room,3,Breakfast included,
46,Athens Center Square Hotel,8.3,"Psiri, Athens",Very Good ,"1,017 reviews",Price 238 zł,0.9 km from center,Partner offer option,3,Breakfast included,
47,Athos Hotel,8.1,"Plaka, Athens",Very Good ,761 reviews,Price 359 zł,350 m from center,Standard Twin Room,3,,Location 9.5
48,Homely Apartments by Athens Stay,7.0,"Athens City Centre, Athens",Good ,786 reviews,Original price 235 zł. Current price 188 zł.,1.6 km from center,Standard Apartment,3,,
49,Attalos Hotel,8.7,"Psiri, Athens",Excellent ,"2,336 reviews",Original price 283 zł. Current price 242 zł.,0.8 km from center,Single Room,3,,Location 9.7
50,Hotel Byron,7.2,"Plaka, Athens",Good ,"1,740 reviews",Price 171 zł,0.7 km from center,Small Single Room,2,,Location 9.7
51,Athinais Hotel,8.6,"Athens City Centre, Athens",Excellent ,500 reviews,Price 335 zł,2.1 km from center,Twin Room,3,Breakfast included,
52,Ermou & Athinas Suites in Monastiraki,8.4,"Monastiraki, Athens",Very Good ,62 reviews,Price 258 zł,0.8 km from center,Studio,3,,Location 9.7
53,Hotel Giorgio,8.3,"Acharnes, Athens",Very Good ,184 reviews,Price 167 zł,9.1 km from center,Double Room,2,Breakfast included,
54,The excellent home,9.0,"Pagkrati, Athens",Wonderful ,10 reviews,Price 247 zł,1.5 km from center,One-Bedroom Apartment,4,,
55,Sparta Team Hotel,5.4,"Athens City Centre, Athens",Review score ,"1,353 reviews",Price 55 zł,1.1 km from center,Bed in 6-Bed Mixed Dormitory Room,1,,
56,Tempi Hotel,8.0,"Monastiraki, Athens",Very Good ,"1,742 reviews",Price 132 zł,0.7 km from center,Budget Single Room with Shared Bathroom,1,,Location 9.7
57,L'Avventura Athens,9.1,"Psiri, Athens",Wonderful ,890 reviews,Original price 486 zł. Current price 389 zł.,1.1 km from center,Economy Double Room,0,,Location 9.6
58,Apollo Hotel,7.8,"Metaxourgeio, Athens",Good ,899 reviews,Price 171 zł,1.7 km from center,Single Room,3,Breakfast included,
59,Cityzoe Athens Suites,9.1,"Plaka, Athens",Wonderful ,160 reviews,Price 437 zł,0.7 km from center,Standard Suite,4,,Location 9.8
60,The Residence - Christokopidou Hotel & SPA,8.8,"Psiri, Athens",Excellent ,712 reviews,Original price 828 zł. Current price 497 zł.,1 km from center,Standard Double Room,0,,Location 9.5
61,Omiros Hotel,7.9,"Plaka, Athens",Good ,"2,585 reviews",Price 242 zł,300 m from center,Single Room,3,Breakfast included,Location 9.6
62,Triple A - 3 Squares,9.0,"Syntagma, Athens",Wonderful ,96 reviews,Original price 774 zł. Current price 584 zł.,0.7 km from center,Queen Studio,3,,Location 9.6
63,Studio with sunny balcony in Exarcheia,8.5,"Exarcheia, Athens",Very Good ,106 reviews,Price 190 zł,1.2 km from center,One-Bedroom Apartment,3,,
64,The Residence Aiolou Suites & SPA,9.3,"Monastiraki, Athens",Wonderful ,674 reviews,Original price 839 zł. Current price 529 zł.,0.7 km from center,Comfort Double Room (Opening package),0,,Location 9.7
65,PURE URBAN PREMIUM METRO AGIOS NIKOLAOS,7.6,Athens,Good ,75 reviews,Price 122 zł,3.1 km from center,One-Bedroom Apartment,3,,
66,Theasis Athens,8.4,"Plaka, Athens",Very Good ,370 reviews,Price 887 zł,0.9 km from center,Deluxe Double Room with Balcony,3,Breakfast included,Location 9.4
67,Exrcheia's comfort stay,7.6,"Exarcheia, Athens",Good ,34 reviews,Price 117 zł,1.2 km from center,Two-Bedroom Apartment,3,,
68,"Homely Apt in Neapoli, Exarcheia",8.0,"Athens City Centre, Athens",Very Good ,155 reviews,Price 162 zł,1 km from center,Apartment,3,,
69,Pergamos Hotel,6.5,"Athens City Centre, Athens",Review score ,464 reviews,Price 143 zł,1.6 km from center,Double Room,2,,
70,Stefanion Suites,8.8,"Plaka, Athens",Excellent ,560 reviews,Original price 338 zł. Current price 270 zł.,0.5 km from center,Superior Triple Room,3,Breakfast included,Location 9.8
71,Adrian Hotel,8.6,"Plaka, Athens",Excellent ,"1,701 reviews",Price 443 zł,0.7 km from center,Triple Room,3,Breakfast included,Location 9.8
72,Athens Mirabello,8.4,"Athens City Centre, Athens",Very Good ,"2,450 reviews",Price 197 zł,1.2 km from center,Single Room,3,Breakfast included,
73,Secret Garden Downtown,,Athens,,,Original price 334 zł. Current price 267 zł.,1.2 km from center,One-Bedroom Apartment,0,,
74,Athens Studios,7.9,"Koukaki, Athens",Good ,"3,284 reviews",Original price 414 zł. Current price 352 zł.,1.1 km from center,Studio Apartment with Kitchenette and Balcony,3,Breakfast included,Location 9.6
75,Athens Raise Acropolis Project,8.9,"Athens City Centre, Athens",Excellent ,"2,064 reviews",Price 309 zł,1.1 km from center,Studio,3,,Location 9.5
76,Acropolis Vision,9.2,"Thisseio, Athens",Wonderful ,905 reviews,Original price 516 zł. Current price 361 zł.,1.4 km from center,Economy Double Room,0,,Location 9.8
77,"Athenaeum Intercontinental, an IHG Hotel",8.4,"Neos Kosmos, Athens",Very Good ,748 reviews,Price 648 zł,2.2 km from center,Classic King Room,5,,
78,Iasonos Suites Athens,8.7,"Metaxourgeio, Athens",Excellent ,490 reviews,Original price 472 zł. Current price 331 zł.,1.7 km from center,Superior Suite,0,,
