,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Ocean Drive Barcelona,8.8,"Eixample, Barcelona",Excellent ,973 reviews,"Original price 1,240 zł. Current price 876 zł.",0.8 km from center,Superior Double Room,5,,Location 9.3
1,Novotel Barcelona City,8.2,"Sant Martí, Barcelona",Very Good ,"5,447 reviews",Price 557 zł,2.6 km from center,Double Room ,4,,
2,Catalonia Diagonal Centro,8.4,"Eixample, Barcelona",Very Good ,"1,695 reviews",Price 393 zł,1.3 km from center,Single Room,4,,
3,Catalonia Eixample 1864,8.3,"Eixample, Barcelona",Very Good ,"2,047 reviews",Price 440 zł,0.7 km from center,Standard Double or Twin Room,4,,
4,Travelodge Barcelona Poblenou,7.4,"Sant Martí, Barcelona",Good ,"7,652 reviews",Price 239 zł,2.9 km from center,Double Room,1,,
5,Hotel Casa Elliot,8.8,"Eixample, Barcelona",Excellent ,"1,177 reviews",Original price 677 zł. Current price 644 zł.,0.7 km from center,Double or Twin Room,4,,
6,Ohla Eixample,8.9,"Eixample, Barcelona",Excellent ,"1,280 reviews","Price 1,124 zł",1.4 km from center,Essential Room,5,Breakfast included,Location 9.4
7,Ayre Hotel Gran Vía,8.7,"Sants-Montjuïc, Barcelona",Excellent ,"7,182 reviews",Original price 557 zł. Current price 454 zł.,2.4 km from center,Double or Twin Room,4,,Location 9.3
8,Sunotel Junior,6.9,"Eixample, Barcelona",Review score ,"1,538 reviews",Price 310 zł,1.9 km from center,Classic Double Room,2,,
9,Generator Barcelona,7.8,"Gràcia, Barcelona",Good ,"3,137 reviews",Price 103 zł,1.5 km from center,Bed in 8-Bed Dormitory Room,1,,
10,Gallery Hotel,8.9,"Eixample, Barcelona",Excellent ,"1,323 reviews",Original price 722 zł. Current price 616 zł.,1.2 km from center,Economy Single Room,4,,Location 9.7
11,Express by gaiarooms,7.1,"Gràcia, Barcelona",Good ,339 reviews,Original price 390 zł. Current price 333 zł.,1.8 km from center,Single Room,2,,
12,Catalonia Gran Via BCN,8.7,"Eixample, Barcelona",Excellent ,"1,168 reviews",Price 440 zł,0.9 km from center,Twin Room,4,,
13,Onix Liceo,8.3,"Ciutat Vella, Barcelona",Very Good ,"1,464 reviews",Price 438 zł,1 km from center,Double or Twin Room (1-2 Adults),3,,Location 9.3
14,Catalunya,8.0,"Ciutat Vella, Barcelona",Very Good ,"2,235 reviews",Price 330 zł,250 m from center,Single Room,2,,Location 9.6
15,Hotel 54 Barceloneta,8.1,"Ciutat Vella, Barcelona",Very Good ,"1,781 reviews",Original price 648 zł. Current price 496 zł.,1.9 km from center,Single Room,3,,Location 9.4
16,Praktik Èssens,9.2,"Eixample, Barcelona",Wonderful ,"1,437 reviews",Price 577 zł,400 m from center,Superior Double or Twin Room,3,,Location 9.9
17,Catalonia Barcelona Plaza,8.3,"Sants-Montjuïc, Barcelona",Very Good ,"3,278 reviews",Price 487 zł,2.2 km from center,Double or Twin Room,4,,
18,Zenit Borrell,7.9,"Eixample, Barcelona",Good ,"1,526 reviews",Price 384 zł,1.6 km from center,Economy Single Room,4,,
19,Hotel Medicis,8.0,"Horta-Guinardó, Barcelona",Very Good ,"1,109 reviews",Price 338 zł,2.6 km from center,Single Room,2,,
20,Praktik Bakery,8.6,"Eixample, Barcelona",Excellent ,"1,807 reviews",Price 460 zł,1.2 km from center,Double or Twin Room,3,,Location 9.5
21,Ofelias Hotel 4* Sup,8.6,"Eixample, Barcelona",Excellent ,977 reviews,Original price 637 zł. Current price 606 zł.,2 km from center,Double or Twin Room,4,,
22,Hotel & Spa Villa Olimpica Suites,7.9,"Sant Martí, Barcelona",Good ,"2,545 reviews",Price 335 zł,2.2 km from center,Double Room with Spa Access (1 Adult),4,,
23,Catalonia Plaza Catalunya,8.5,"Eixample, Barcelona",Very Good ,"2,826 reviews",Price 628 zł,150 m from center,Double or Twin Room,4,,Location 9.7
24,Chic & Basic Velvet,8.2,"Eixample, Barcelona",Very Good ,"2,214 reviews",Price 342 zł,1.9 km from center,Interior Double Room,3,,
25,Exe Plaza Catalunya,8.4,"Eixample, Barcelona",Very Good ,"2,508 reviews",Price 618 zł,200 m from center,Single Room,4,,Location 9.7
26,Gran Hotel Havana 4* Sup,8.5,"Eixample, Barcelona",Very Good ,"2,386 reviews",Price 487 zł,0.6 km from center,Comfort Double or Twin Room (1-2 Adults),4,,
27,HCC Montblanc,8.4,"Ciutat Vella, Barcelona",Very Good ,"1,397 reviews",Price 409 zł,300 m from center,Twin Room,3,,Location 9.5
28,Best Western Premier Hotel Dante,8.7,"Eixample, Barcelona",Excellent ,"1,624 reviews",Price 328 zł,1.2 km from center,Single Room,4,,
29,Onix Rambla,8.4,"Eixample, Barcelona",Very Good ,"1,789 reviews",Price 427 zł,400 m from center,Double or Twin Room (1-2 Adults),3,,Location 9.7
30,Catalonia Gran Via BCN,8.7,"Eixample, Barcelona",Excellent ,"1,168 reviews",Price 440 zł,0.9 km from center,Twin Room,4,,
31,Hostalin Barcelona Diputacion,7.0,"Eixample, Barcelona",Good ,"1,469 reviews",Price 223 zł,1.1 km from center,Single Room with Private External Bathroom,2,,
32,Mesón Castilla Atiram Hotels,8.0,"Ciutat Vella, Barcelona",Very Good ,"1,710 reviews",Original price 483 zł. Current price 446 zł.,400 m from center,Single Room,3,,
33,Roma Reial,7.4,"Ciutat Vella, Barcelona",Good ,"3,233 reviews",Price 328 zł,0.9 km from center,Double Standard,1,Breakfast included,Location 9.5
34,TWO Hotel Barcelona by Axel 4* Sup- Adults Only,8.5,"Eixample, Barcelona",Very Good ,"1,516 reviews",Price 373 zł,1.5 km from center,Double or Twin Room,4,,
35,Zenit Borrell,7.9,"Eixample, Barcelona",Good ,"1,526 reviews",Price 384 zł,1.6 km from center,Economy Single Room,4,,
36,Catalonia Diagonal Centro,8.4,"Eixample, Barcelona",Very Good ,"1,695 reviews",Price 393 zł,1.3 km from center,Single Room,4,,
37,Hotel Lleó,8.2,"Ciutat Vella, Barcelona",Very Good ,"3,365 reviews",Price 504 zł,350 m from center,Double or Twin Room,3,,Location 9.6
38,Park Hotel,8.3,"Ciutat Vella, Barcelona",Very Good ,"1,752 reviews",Price 418 zł,1.2 km from center,Single Room,3,,Location 9.4
39,Mercure Barcelona Condor,8.3,"Sarrià-St. Gervasi, Barcelona",Very Good ,"1,436 reviews",Price 419 zł,2.5 km from center,Standard Twin Room,4,,
40,AC Hotel Sants by Marriott,8.2,"Sants-Montjuïc, Barcelona",Very Good ,891 reviews,Price 496 zł,2.8 km from center,"Standard Room, Guest room, 1 Queen",4,,
41,Hotel Sagrada Familia,8.3,"Eixample, Barcelona",Very Good ,"2,667 reviews",Price 352 zł,2.1 km from center,Single Room,3,,
42,B-Garden BCN,8.8,"Eixample, Barcelona",Excellent ,250 reviews,Price 493 zł,0.8 km from center,Double Room with Shared Bathroom,2,Breakfast included,Location 9.3
43,Onix Liceo,8.3,"Ciutat Vella, Barcelona",Very Good ,"1,464 reviews",Price 438 zł,1 km from center,Double or Twin Room (1-2 Adults),3,,Location 9.3
44,Hotel Astoria,8.5,"Eixample, Barcelona",Very Good ,"1,989 reviews",Price 427 zł,1.6 km from center,Double or Twin Room,3,,
45,Hotel Condado,8.3,"Sarrià-St. Gervasi, Barcelona",Very Good ,"1,179 reviews",Price 338 zł,2 km from center,Single Room,3,,
46,NH Barcelona Les Corts,8.4,"Les Corts, Barcelona",Very Good ,"1,791 reviews",Price 341 zł,2.8 km from center,Standard Single Room,3,,
47,Hotel Paseo de Gracia,8.8,"Eixample, Barcelona",Excellent ,488 reviews,Price 415 zł,1.2 km from center,Single Room,1,,Location 9.7
48,Hotel Aneto,7.7,"Ciutat Vella, Barcelona",Good ,"1,050 reviews",Price 345 zł,0.6 km from center,Twin Room,1,,Location 9.4
49,Hostal Bejar,7.3,"Sants-Montjuïc, Barcelona",Good ,"2,011 reviews",Price 289 zł,2.3 km from center,Twin Room with Shared Bathroom,1,,
50,Expo Hotel Barcelona,7.3,"Sants-Montjuïc, Barcelona",Good ,"4,213 reviews",Price 477 zł,2.4 km from center,Standard Double or Twin Room with Balcony,4,,
51,Urbany Hostel Barcelona,7.3,"Sant Martí, Barcelona",Good ,870 reviews,Original price 82 zł. Current price 78 zł.,2.6 km from center,Bed in 8-Bed Dormitory Room,0,,
52,Hotel Continental Palacete,8.3,"Eixample, Barcelona",Very Good ,"1,200 reviews",Price 570 zł,450 m from center,Comfort Room ,3,Breakfast included,Location 9.6
53,Hostemplo Sagrada Familia,8.5,"Eixample, Barcelona",Very Good ,497 reviews,Original price 437 zł. Current price 409 zł.,1.6 km from center,Single Room,3,,Location 9.3
54,Express by gaiarooms,7.1,"Gràcia, Barcelona",Good ,339 reviews,Original price 390 zł. Current price 333 zł.,1.8 km from center,Single Room,2,,
55,Ciutat Vella,8.2,"Ciutat Vella, Barcelona",Very Good ,"2,251 reviews",Price 524 zł,350 m from center,Twin Room with Balcony,3,,Location 9.4
56,One Shot Aragó 257,8.7,"Eixample, Barcelona",Excellent ,471 reviews,Price 441 zł,0.7 km from center,Economy Double or Twin Room,3,,Location 9.7
57,Hotel Constanza,8.6,"Eixample, Barcelona",Excellent ,"1,089 reviews",Price 341 zł,0.6 km from center,Single Room,2,,Location 9.4
58,Sonder La Casa Del Sol,7.7,"Gràcia, Barcelona",Good ,548 reviews,Original price 773 zł. Current price 617 zł.,2 km from center,King Room,3,,
59,Hostal Mont Thabor,5.8,"Ciutat Vella, Barcelona",Review score ,"1,082 reviews",Original price 225 zł. Current price 212 zł.,0.7 km from center,Budget Double Room,2,,
60,Cuatro Naciones,8.3,"Ciutat Vella, Barcelona",Very Good ,"2,945 reviews",Original price 577 zł. Current price 488 zł.,1 km from center,Twin Room,2,Breakfast included,Location 9.7
61,Yurbban Trafalgar Hotel,9.2,"Ciutat Vella, Barcelona",Wonderful ,798 reviews,Price 512 zł,0.5 km from center,Single Room,3,,Location 9.7
62,Catalonia Magdalenes,9.1,"Ciutat Vella, Barcelona",Wonderful ,"1,135 reviews",Price 675 zł,400 m from center,Double or Twin Room,4,,Location 9.7
63,Catalonia Gracia,8.5,"Eixample, Barcelona",Very Good ,"1,194 reviews",Price 417 zł,1.4 km from center,Double or Twin Room,4,,
64,Hostal Fina,7.9,"Ciutat Vella, Barcelona",Good ,"1,481 reviews",Original price 454 zł. Current price 426 zł.,450 m from center,Double Room with Private Bathroom,2,,Location 9.5
65,ME Barcelona,9.2,"Eixample, Barcelona",Wonderful ,515 reviews,"Price 1,857 zł",200 m from center,Standard ME Room,5,,Location 9.8
66,"Hotel Granados 83, a Member of Design Hotels",8.6,"Eixample, Barcelona",Excellent ,"1,107 reviews",Price 389 zł,1.2 km from center,Single Room,4,,Location 9.4
67,Grupotel Gravina,8.2,"Ciutat Vella, Barcelona",Very Good ,"1,721 reviews",Original price 497 zł. Current price 466 zł.,400 m from center,Small Double Room (2 Adults),3,,Location 9.4
68,Exe Cristal Palace,7.6,"Eixample, Barcelona",Good ,"2,446 reviews",Price 431 zł,450 m from center,Single Room,4,,Location 9.4
69,Exe Ramblas Boquería,8.3,"Ciutat Vella, Barcelona",Very Good ,846 reviews,Price 662 zł,0.6 km from center,Double Room,3,,Location 9.6
70,Hostal Bejar,7.3,"Sants-Montjuïc, Barcelona",Good ,"2,011 reviews",Original price 289 zł. Current price 271 zł.,2.3 km from center,Twin Room with Shared Bathroom,1,,
71,Grupotel Gran Via 678,8.1,"Eixample, Barcelona",Very Good ,"3,978 reviews",Original price 569 zł. Current price 533 zł.,0.6 km from center,Basic Single Room,4,,
72,Ikonik Ramblas,8.4,"Ciutat Vella, Barcelona",Very Good ,"1,206 reviews",Price 665 zł,1.1 km from center,Double Room,4,,Location 9.5
73,Sonder Casa Luz,8.6,"Eixample, Barcelona",Excellent ,"1,433 reviews",Original price 726 zł. Current price 655 zł.,450 m from center,Double Room with Balcony,4,,Location 9.6
74,Catalonia Rigoletto,8.5,"Les Corts, Barcelona",Very Good ,"1,440 reviews",Price 440 zł,3.7 km from center,Double or Twin Room,4,,
75,BCN Urbaness Hotels Bonavista,8.1,"Gràcia, Barcelona",Very Good ,750 reviews,Price 300 zł,1.5 km from center,Single Room,2,,Location 9.3
76,Hotel Casa Elliot,8.8,"Eixample, Barcelona",Excellent ,"1,177 reviews",Price 677 zł,0.7 km from center,Double or Twin Room,4,,
77,Hostal Europa,7.3,"Ciutat Vella, Barcelona",Good ,"2,237 reviews",Price 162 zł,0.7 km from center,Twin Room with Shared Bathroom,1,,Location 9.4
78,Cuatro Naciones,8.3,"Ciutat Vella, Barcelona",Very Good ,"2,945 reviews",Original price 577 zł. Current price 521 zł.,1 km from center,Twin Room,2,Breakfast included,Location 9.7
79,Hostemplo Sagrada Familia,8.5,"Eixample, Barcelona",Very Good ,497 reviews,Price 437 zł,1.6 km from center,Single Room,3,,Location 9.3
80,Catalonia Plaza Catalunya,8.5,"Eixample, Barcelona",Very Good ,"2,826 reviews",Price 628 zł,150 m from center,Double or Twin Room,4,,Location 9.7
81,Zero Barcelona,8.8,"Sant Martí, Barcelona",Excellent ,"1,360 reviews",Price 95 zł,3.3 km from center,Bed in 12-Bed Mixed Dormitory Room,0,,
82,Residencia Universitaria Campus del Mar,7.5,"Ciutat Vella, Barcelona",Good ,"1,309 reviews",Price 554 zł,1.8 km from center,Executive Studio,0,Breakfast included,
83,Hotel Sant Agustí,7.9,"Ciutat Vella, Barcelona",Good ,"2,336 reviews",Price 437 zł,0.7 km from center,Interior Double or Twin Room with Patio ,3,,
84,W Barcelona,8.4,"Ciutat Vella, Barcelona",Very Good ,"4,330 reviews","Price 1,444 zł",2.6 km from center,Cozy King Room,5,,
85,Sunotel Aston,6.9,"Eixample, Barcelona",Review score ,"1,500 reviews",Price 305 zł,1.9 km from center,Economy Double Room,3,,
86,NH Barcelona Diagonal Center,7.9,"Sant Martí, Barcelona",Good ,"2,330 reviews",Price 330 zł,2.2 km from center,Standard Double or Twin Room,3,,
87,Acta Voraport,8.7,"Sant Martí, Barcelona",Excellent ,"8,740 reviews",Price 369 zł,2.9 km from center,Double Room,3,,
88,Hostal Bejar,7.3,"Sants-Montjuïc, Barcelona",Good ,"2,011 reviews",Price 289 zł,2.3 km from center,Twin Room with Shared Bathroom,1,,
89,Ronda House,8.5,"Ciutat Vella, Barcelona",Very Good ,"6,535 reviews",Price 629 zł,0.8 km from center,Twin Room (1-2 Adults),3,Breakfast included,
90,Duquesa de Cardona 4* Sup,8.9,"Ciutat Vella, Barcelona",Excellent ,"1,813 reviews",Price 628 zł,1.2 km from center,Standard Interior Room,4,,Location 9.6
91,Acta Atrium Palace,8.2,"Eixample, Barcelona",Very Good ,"1,802 reviews",Price 490 zł,450 m from center,Double or Twin Room,4,,Location 9.4
92,Catalonia Square 4* Sup,9.0,"Eixample, Barcelona",Wonderful ,"1,155 reviews",Price 628 zł,200 m from center,Double or Twin Room,4,,Location 9.8
93,Hilton Diagonal Mar Barcelona,7.5,"Sant Martí, Barcelona",Good ,"1,267 reviews",Price 694 zł,4.6 km from center,King Hilton Guestroom,4,,
94,Generator Barcelona,7.8,"Gràcia, Barcelona",Good ,"3,137 reviews",Price 103 zł,1.5 km from center,Bed in 8-Bed Dormitory Room,1,,
95,Hotel Raval House,8.3,"Ciutat Vella, Barcelona",Very Good ,"4,096 reviews",Price 615 zł,0.8 km from center,Standard Double or Twin Room,3,Breakfast included,
96,Room Mate Pau,9.2,"Eixample, Barcelona",Wonderful ,"1,799 reviews",Original price 870 zł. Current price 699 zł.,200 m from center,Standard Double or Twin Room,3,,Location 9.8
