,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Palace Hotel,7.7,"Stari Grad, Belgrade",Good ,"1,328 reviews",Price 178 zł,500 m from center,Single Room,4,,Location 9.6
1,S Club Resort Hotel Aqua Park and Spa,8.7,Belgrade,Excellent ,120 reviews,Price 213 zł,17.1 km from center,Standard Double Room,3,Breakfast included,
2,Belgrade Inn Garni Hotel,8.7,"Stari Grad, Belgrade",Excellent ,"1,970 reviews",Price 310 zł,250 m from center,Economy Single Room,4,,Location 9.7
3,Hotel Mona Plaza,9.0,"Stari Grad, Belgrade",Wonderful ,"1,098 reviews",Original price 598 zł. Current price 449 zł.,1.1 km from center,Superior Double Room with Free Wellness,4,,
4,Hotel Majestic,8.4,"Stari Grad, Belgrade",Very Good ,"3,111 reviews",Original price 288 zł. Current price 269 zł.,200 m from center,Single Room,4,,Location 9.7
5,Hostel Karavan Inn,9.2,"Vračar, Belgrade",Wonderful ,442 reviews,Price 91 zł,1.3 km from center,Single Bed in 8-Bed Mixed Dormitory Room with Private Bathroom ,0,,Location 9.4
6,Kopernikus Hotel Prag,8.5,"Stari Grad, Belgrade",Very Good ,"1,043 reviews",Original price 285 zł. Current price 267 zł.,0.6 km from center,Economy Single Room,4,,
7,Capital Hotel Garni,8.0,"Stari Grad, Belgrade",Very Good ,"1,680 reviews",Price 440 zł,0.5 km from center,Double Single Use Standard,4,,Location 9.7
8,Hotel Villa Panorama,8.3,"Rakovica, Belgrade",Very Good ,454 reviews,Price 171 zł,8.6 km from center,Standard Single Room,3,Breakfast included,
9,Garni Hotel Le Petit Piaf,8.7,"Stari Grad, Belgrade",Excellent ,528 reviews,Original price 311 zł. Current price 292 zł.,350 m from center,Double or Twin Room,3,Breakfast included,Location 9.7
10,Kings Palace,7.7,"Vračar, Belgrade",Good ,500 reviews,Original price 292 zł. Current price 211 zł.,0.9 km from center,Economy Double Room,0,,
11,Sobe za izdavanje,,Belgrade,,,Original price 90 zł. Current price 73 zł.,6.5 km from center,Budget Single Room,0,,
12,Apartments Legacy,9.3,"Stari Grad, Belgrade",Wonderful ,252 reviews,Price 241 zł,0.7 km from center,Studio (2 Adults),4,,Location 9.8
13,Omia,9.0,"Savski Venac, Belgrade",Wonderful ,846 reviews,Price 193 zł,1.1 km from center,Standard Single Room,0,,Location 9.3
14,Airport Hotel Garni,8.5,Belgrade,Very Good ,"2,545 reviews",Price 255 zł,11.8 km from center,Single Room,3,Breakfast included,
15,Hotel City Savoy,8.9,"Stari Grad, Belgrade",Excellent ,726 reviews,Price 382 zł,400 m from center,Standard Single Room,4,Breakfast included,Location 9.5
16,Bed & Breakfast Garden40,8.5,"Savski Venac, Belgrade",Very Good ,747 reviews,Price 171 zł,0.6 km from center,Single Room,3,Breakfast included,Location 9.3
17,Hotel Passport Garni,8.2,"Novi Beograd, Belgrade",Very Good ,336 reviews,Original price 232 zł. Current price 209 zł.,6.1 km from center,Single Room,4,Breakfast included,
18,Premium Suits Terazije,,Belgrade,,,Original price 217 zł. Current price 174 zł.,150 m from center,One-Bedroom Apartment,0,,
19,Vila Terazije,8.3,"Stari Grad, Belgrade",Very Good ,724 reviews,Original price 202 zł. Current price 190 zł.,300 m from center,Standard Double Room,3,,Location 9.6
20,Hotel M,8.2,"Vozdovac, Belgrade",Very Good ,132 reviews,Price 329 zł,5.4 km from center,Single Economy,4,Breakfast included,
21,Super seven inn,9.4,"Čukarica, Belgrade",Wonderful ,190 reviews,Original price 307 zł. Current price 288 zł.,5.5 km from center,Deluxe King Room,3,,
22,Savamala b&b,9.0,"Savski Venac, Belgrade",Wonderful ,359 reviews,Price 273 zł,0.6 km from center,Budget Double Room,4,,Location 9.5
23,Black Pearl Luxury Suites,9.2,"Stari Grad, Belgrade",Wonderful ,846 reviews,Price 335 zł,350 m from center,Standard Double Room,4,,Location 9.7
24,Hostel Fine,8.3,"Stari Grad, Belgrade",Very Good ,554 reviews,Original price 195 zł. Current price 176 zł.,350 m from center,King Room,0,,Location 9.5
25,Apartments & Rooms Left River,8.0,"Savski Venac, Belgrade",Very Good ,630 reviews,Price 123 zł,0.8 km from center,Single Room,3,,
26,Apart K Apartments & Rooms,8.3,"Novi Beograd, Belgrade",Very Good ,"1,080 reviews",Price 226 zł,8.8 km from center,Standard Apartment,3,,
27,Hotel Skadarlija NB,8.9,"Stari Grad, Belgrade",Excellent ,449 reviews,Price 377 zł,350 m from center,Economy Double Room,4,,Location 9.6
28,Hostel White Town,8.7,"Vračar, Belgrade",Excellent ,115 reviews,Price 94 zł,2.4 km from center,Triple Room with Shared Bathroom,0,,
29,Silver Luxury Suites,9.7,"Belgrade City Centre, Belgrade",Exceptional ,16 reviews,Price 276 zł,150 m from center,Superior Double Room,0,,Location 10
30,Belgrade City Hotel,7.8,"Savski Venac, Belgrade",Good ,"1,120 reviews",Original price 269 zł. Current price 252 zł.,0.9 km from center,Budget Double Room - Annex,4,Breakfast included,
31,Amsterdam Hotel,8.7,"Savski Venac, Belgrade",Excellent ,"2,641 reviews",Original price 425 zł. Current price 398 zł.,450 m from center,Standard Room,4,Breakfast included,
32,SAINT TEN Hotel,9.0,"Vračar, Belgrade",Wonderful ,529 reviews,Price 832 zł,1.8 km from center,Classic Double Room,5,Breakfast included,
33,Villa Skadarlija,9.0,"Stari Grad, Belgrade",Wonderful ,215 reviews,Price 283 zł,350 m from center,Standard Double Room,4,,Location 9.7
34,Hotel Elegance,8.6,"Palilula, Belgrade",Excellent ,"1,474 reviews",Original price 167 zł. Current price 156 zł.,5.3 km from center,Double Room,3,Breakfast included,
35,Swan,9.4,"Novi Beograd, Belgrade",Wonderful ,102 reviews,Price 278 zł,5.7 km from center,Double Room with Spa Bath,4,,Location 9.5
36,Rei house apartmani,9.4,"Vozdovac, Belgrade",Wonderful ,109 reviews,Price 225 zł,8.3 km from center,One-Bedroom Apartment,4,,
37,Hotel Slodes,7.5,"Rakovica, Belgrade",Good ,279 reviews,Original price 166 zł. Current price 156 zł.,6.7 km from center,Single Room,3,,
38,Hotel Mar Garni,9.2,"Novi Beograd, Belgrade",Wonderful ,728 reviews,Price 321 zł,8.5 km from center,Superior Single Room,3,Breakfast included,
39,Envoy Hotel,9.2,"Stari Grad, Belgrade",Wonderful ,712 reviews,Price 588 zł,150 m from center,Standard Single Room,4,Breakfast included,Location 9.8
40,Green House Hostel,8.4,"Novi Beograd, Belgrade",Very Good ,510 reviews,Original price 185 zł. Current price 174 zł.,2.3 km from center,Single Room,0,Breakfast included,
41,Vila Senjak B&B,8.0,"Savski Venac, Belgrade",Very Good ,273 reviews,Price 176 zł,2.7 km from center,Single Room with Balcony,4,,
42,"Holiday Inn Belgrade, an IHG Hotel",8.5,"Novi Beograd, Belgrade",Very Good ,612 reviews,Price 364 zł,3.7 km from center,Standard Double or Twin Room,4,,
43,Atomic 1,9.0,"Stari Grad, Belgrade",Wonderful ,17 reviews,Original price 268 zł. Current price 202 zł.,100 m from center,One-Bedroom Apartment,4,,Location 9.9
44,Hotel Nobel,8.9,"Savski Venac, Belgrade",Excellent ,"1,781 reviews",Original price 462 zł. Current price 339 zł.,1.8 km from center,Economy Double or Twin Room,4,Breakfast included,
