,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,"Radisson Blu Royal Hotel, Bergen",8.2,"Bergenhus, Bergen",Very Good ,"7,620 reviews",Price 574 zł,0.6 km from center,Standard Room,4,,Location 9.4
1,Moxy Bergen,8.3,"Årstad, Bergen",Very Good ,"2,170 reviews",Price 554 zł,1.6 km from center,"Standard, Guest room, 1 Queen",3,Breakfast included,
2,Citybox Bergen City,8.1,"Bergenhus, Bergen",Very Good ,"5,861 reviews",Price 444 zł,0.6 km from center,Single Room,3,,
3,Fabryka,7.7,"Bergenhus, Bergen",Good ,407 reviews,Price 184 zł,350 m from center,Budget Single Room,0,,Location 9.3
4,Comfort Hotel Bergen,8.0,"Bergenhus, Bergen",Very Good ,730 reviews,Original price 466 zł. Current price 434 zł.,0.6 km from center,Standard Double Room,3,Breakfast included,
5,Citybox Bergen Danmarksplass,8.4,"Årstad, Bergen",Very Good ,"2,935 reviews",Price 340 zł,2 km from center,Single Room,3,,
6,Det Hanseatiske Hotel,8.2,"Bergenhus, Bergen",Very Good ,"2,825 reviews","Original price 1,111 zł. Current price 889 zł.",350 m from center,Junior Suite,4,Breakfast included,Location 9.6
7,Magic Hotel Xhibition,7.2,"Bergenhus, Bergen",Good ,"1,180 reviews",Original price 466 zł. Current price 420 zł.,100 m from center,Single Room,3,,
8,Thon Hotel Orion,8.4,"Bergenhus, Bergen",Very Good ,837 reviews,Price 465 zł,0.7 km from center,Standard Double Room,4,Breakfast included,Location 9.3
9,Magic Hotel Korskirken,7.5,"Bergenhus, Bergen",Good ,"1,106 reviews",Original price 533 zł. Current price 480 zł.,250 m from center,Small Double Room - Atrium,4,Breakfast included,Location 9.3
10,Annehelenes B&B,8.9,"Bergenhus, Bergen",Excellent ,183 reviews,Price 334 zł,0.7 km from center,Small Double Room,0,,Location 9.5
11,Bergen Hostel Montana,8.4,"Årstad, Bergen",Very Good ,"2,336 reviews",Price 160 zł,3.3 km from center,Bed in 4-Bed Mixed Dormitory Room,0,Breakfast included,
12,Zander K Hotel,8.1,"Bergenhus, Bergen",Very Good ,"5,482 reviews",Original price 565 zł. Current price 480 zł.,0.7 km from center,Standard Queen Room,4,Breakfast included,
13,Quality Hotel Edvard Grieg,7.9,"Ytrebygda, Bergen",Good ,909 reviews,Original price 574 zł. Current price 534 zł.,11.3 km from center,Double Room,4,Breakfast included,
14,Magic Hotel & Apartments Kløverhuset,7.3,"Bergenhus, Bergen",Good ,953 reviews,Price 667 zł,150 m from center,Apartment,4,,Location 9.3
15,Thon Hotel Rosenkrantz Bergen,8.6,"Bergenhus, Bergen",Excellent ,386 reviews,Price 511 zł,450 m from center,"Small Double Room 9-11 mq - suggested for 1 person,",4,Breakfast included,Location 9.7
16,Augustin Hotel,7.4,"Bergenhus, Bergen",Good ,"3,572 reviews",Original price 450 zł. Current price 383 zł.,0.5 km from center,Standard Single Room,3,Breakfast included,
17,Clarion Hotel Bergen,8.1,"Bergenhus, Bergen",Very Good ,"1,231 reviews",Original price 631 zł. Current price 587 zł.,400 m from center,Standard Single Room,4,Breakfast included,Location 9.5
18,Hotel Park Bergen,8.6,"Bergenhus, Bergen",Excellent ,611 reviews,Price 574 zł,0.7 km from center,Single Room,3,Breakfast included,
19,Bergen Børs Hotel,8.4,"Bergenhus, Bergen",Very Good ,"2,472 reviews",Price 666 zł,100 m from center,Standard Single Room,5,Breakfast included,Location 9.7
20,Hotel Norge by Scandic,8.3,"Bergenhus, Bergen",Very Good ,"2,191 reviews",Price 755 zł,150 m from center,Single Room,5,Breakfast included,Location 9.6
21,"Thon Hotel Bristol, Bergen",8.5,"Bergenhus, Bergen",Very Good ,266 reviews,Price 551 zł,100 m from center,Standard Double Room,4,,Location 9.4
22,Scandic Byparken,7.6,"Bergenhus, Bergen",Good ,"1,738 reviews",Price 513 zł,300 m from center,Standard Single Room,4,Breakfast included,
23,Hordaheimen Hotel,6.9,"Bergenhus, Bergen",Review score ,510 reviews,Original price 458 zł. Current price 390 zł.,450 m from center,Economy Room,3,Breakfast included,
24,"Bergen Harbour Hotel, WorldHotels Crafted",8.3,"Bergenhus, Bergen",Very Good ,686 reviews,Price 448 zł,400 m from center,Economy Single Room,4,Breakfast included,Location 9.7
