,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Schulz Hotel Berlin Wall at the East Side Gallery,8.5,"Friedrichshain-Kreuzberg, Berlin",Very Good ,"16,889 reviews",Price 437 zł,3.9 km from center,Standard Single Room,3,,
1,"Hotel Berlin, Berlin",7.9,"Mitte, Berlin",Good ,"6,336 reviews",Price 594 zł,2.1 km from center,Standard Twin Room,4,,
2,Space Night Capsule Hostel,8.2,"Mitte, Berlin",Very Good ,"3,997 reviews",Price 230 zł,1.5 km from center,Single Capsule with Shared Bathroom,0,,
3,Die Fabrik - baxpax Hotel,7.7,"Friedrichshain-Kreuzberg, Berlin",Good ,"1,336 reviews",Price 53 zł,5.1 km from center,Bed in 6-Bed Dormitory Room,0,,
4,B&B Hotel Berlin Alexanderplatz,7.9,"Mitte, Berlin",Good ,"1,797 reviews",Price 414 zł,2.6 km from center,Standard Double Room,2,,
5,Motel One Berlin-Hauptbahnhof,8.5,"Mitte, Berlin",Very Good ,"4,050 reviews",Price 438 zł,1.3 km from center,Room with Queen Size Bed,3,,Location 9.3
6,Meliá Berlin,8.3,"Mitte, Berlin",Very Good ,"4,818 reviews",Original price 699 zł. Current price 664 zł.,1 km from center,Standard Double or Twin Room,4,,Location 9.6
7,B&B Hotel Berlin City-Ost,7.5,"Friedrichshain-Kreuzberg, Berlin",Good ,"1,508 reviews",Price 389 zł,6.1 km from center,Double Room,3,,
8,Generator Berlin Prenzlauer Berg,6.0,"Prenzlauer Berg, Berlin",Review score ,"3,243 reviews",Price 73 zł,5.5 km from center,Bed in 8-Bed Mixed Dormitory Room,1,,
9,B&B Hotel Berlin Potsdamer Platz,8.0,"Mitte, Berlin",Very Good ,980 reviews,Price 350 zł,1.7 km from center,Double Room,2,,
10,B&B Hotel Berlin-Tiergarten,8.1,"Charlottenburg-Wilmersdorf, Berlin",Very Good ,"3,829 reviews",Price 389 zł,3.1 km from center,Single Room,2,,
