,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Hostel Il Nosadillo - Bologna,8.2,"Saragozza, Bologna",Very Good ,753 reviews,Price 180 zł,0.6 km from center,Bed in 8-Bed Mixed Dormitory Room,0,Breakfast included,
1,Dopa Hostel,8.9,"Montagnola, Bologna",Excellent ,"1,854 reviews",Price 253 zł,0.9 km from center,Bed in 6-Bed Mixed Dormitory Room,0,Breakfast included,Location 9.3
2,Ospitalità San Tommaso d'Aquino,7.9,"Santo Stefano, Bologna",Good ,"1,612 reviews",Price 343 zł,0.6 km from center,Single Room,0,Breakfast included,
3,Combo Bologna,8.6,"Lame, Bologna",Excellent ,"6,025 reviews",Original price 166 zł. Current price 155 zł.,2 km from center,Bed in 4-Bed Mixed Dormitory Room,0,Breakfast included,
4,Hotel Roma,8.3,"Piazza Maggiore, Bologna",Very Good ,"1,145 reviews",Price 587 zł,50 m from center,Single Room,4,Breakfast included,Location 9.8
5,Hotel Fiera Wellness & Spa,7.2,"Bologna Fiere District, Bologna",Good ,"5,671 reviews",Price 282 zł,3 km from center,Single Room,3,,
6,Hotel Marconi Express,8.4,"Bologna City Center, Bologna",Very Good ,803 reviews,Price 450 zł,1.3 km from center,Single Room with Private Bathroom,3,,
7,Mitico Hotel & Natural Spa,8.3,"Bologna Fiere District, Bologna",Very Good ,"2,652 reviews",Price 455 zł,4.8 km from center,Double Room with Disability Access,4,Breakfast included,
8,B & B 21 Bologna,8.3,"Montagnola, Bologna",Very Good ,154 reviews,Original price 239 zł. Current price 225 zł.,0.8 km from center,Single Room with Shared Bathroom,0,Breakfast included,
9,B&B La Piazzetta della Pioggia,7.7,"Piazza Maggiore, Bologna",Good ,664 reviews,Price 422 zł,0.6 km from center,Double Room,3,,Location 9.4
10,GALLERIA DEL TORO 3 rooms,7.0,"Saragozza, Bologna",Good ,434 reviews,Original price 324 zł. Current price 303 zł.,500 m from center,Double Room,3,,
11,Hotel Blumen,7.8,"Savena, Bologna",Good ,"1,025 reviews",Price 319 zł,1.6 km from center,Single Room,3,,
12,Hotel Villa Azzurra,8.1,"Savena, Bologna",Very Good ,"1,430 reviews",Price 310 zł,3.1 km from center,Superior Single Room,2,Breakfast included,
13,Hotel San Felice,7.5,"Bologna City Center, Bologna",Good ,910 reviews,Original price 375 zł. Current price 351 zł.,1.1 km from center,Single Room,3,,
14,Zanhotel Regina,8.7,"Montagnola, Bologna",Excellent ,"3,207 reviews",Price 493 zł,0.7 km from center,Superior Single Room,3,Breakfast included,Location 9.7
15,IL CASTELLO HOSTEL BOUTIQUE,6.6,"Piazza Maggiore, Bologna",Review score ,"1,293 reviews",Original price 221 zł. Current price 207 zł.,300 m from center,Bed in 8-Bed Mixed Dormitory Room,0,,Location 9.3
16,FlyOn Hotel & Conference Center,6.9,"Borgo Panigale, Bologna",Review score ,"3,784 reviews",Original price 399 zł. Current price 373 zł.,6.1 km from center,Double Room,4,,
17,Hotel Cavour,8.7,"Piazza Maggiore, Bologna",Excellent ,"2,250 reviews",Original price 915 zł. Current price 856 zł.,350 m from center,Double or Twin Room,3,Breakfast included,Location 9.8
18,binariouno,9.2,"Bologna City Center, Bologna",Wonderful ,481 reviews,Price 654 zł,1.3 km from center,Deluxe Junior Suite,3,Breakfast included,Location 9.4
19,Albergo Rossini 1936 - Small & Charming,8.7,"Piazza Maggiore, Bologna",Excellent ,682 reviews,Price 730 zł,0.7 km from center,Comfort Single Room,4,Breakfast included,
20,Hotel San Giorgio,7.6,"Montagnola, Bologna",Good ,878 reviews,Price 511 zł,0.6 km from center,Single Room,3,,Location 9.4
21,Grand Hotel Majestic gia' Baglioni,9.2,"Piazza Maggiore, Bologna",Wonderful ,704 reviews,"Original price 2,346 zł. Current price 2,194 zł.",250 m from center,Classic Single Room,5,Breakfast included,Location 9.8
22,Aemilia Hotel Bologna,8.9,Bologna,Excellent ,"3,444 reviews",Price 587 zł,1.3 km from center,Classic Double Room,4,,
23,Savhotel,9.0,"Bologna Fiere District, Bologna",Wonderful ,"2,780 reviews",Price 439 zł,2.3 km from center,Double Room (1 Adult),4,,
24,A Casa Di Luna,8.5,"Savena, Bologna",Very Good ,656 reviews,Original price 375 zł. Current price 351 zł.,1.5 km from center,Small Double Room,3,,
25,Savoia Hotel Country House Bologna,8.5,"Bologna Fiere District, Bologna",Very Good ,"2,581 reviews",Price 469 zł,3.8 km from center,Economy Double Room,4,Breakfast included,
26,I Portici Hotel Bologna,8.2,"Bologna City Center, Bologna",Very Good ,"4,916 reviews","Price 1,589 zł",0.9 km from center,Standard Double Room,4,,Location 9.3
