,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Eklo Bordeaux Centre Bastide,7.2,"Bastide, Bordeaux",Good ,"6,418 reviews",Price 126 zł,1.8 km from center,Bed in 8-Bed Male Dormitory Room,0,,
1,ibis budget Bordeaux Centre Mériadeck,6.9,"Bordeaux City-Centre, Bordeaux",Review score ,"2,016 reviews",Price 330 zł,450 m from center,Standard Double Room,2,Breakfast included,
2,Hotel de L'Opéra,7.0,"Bordeaux City-Centre, Bordeaux",Good ,"2,951 reviews",Price 295 zł,0.7 km from center,Standard Single Room,2,,Location 9.4
3,Cœur de City Hôtel Bordeaux Clémenceau by Happyculture,6.9,"Bordeaux City-Centre, Bordeaux",Review score ,"1,791 reviews",Price 377 zł,450 m from center,Single Room,3,,Location 9.4
4,Montempô Bordeaux Centre - Bassins à flot,7.7,"Bassins a Flot, Bordeaux",Good ,"1,059 reviews",Price 296 zł,3.6 km from center,Standard Studio,3,,
5,Central Hostel Bordeaux Centre,8.4,"Bordeaux City-Centre, Bordeaux",Very Good ,"2,125 reviews",Price 145 zł,350 m from center,Bed in 8-Bed Mixed Dormitory Room,0,,Location 9.6
6,ibis budget Bordeaux Lac,7.1,"Bordeaux-Lac, Bordeaux",Good ,"4,064 reviews",Price 256 zł,5.9 km from center,Standard Room with One Double and One Bunk Bed,2,,
7,Chambre Aliénor d'Aquitaine,8.5,"Chartrons, Bordeaux",Very Good ,55 reviews,Price 257 zł,2.7 km from center,Double Room with Private External Bathroom,3,Breakfast included,
8,ibis budget Bordeaux Centre Bastide,7.2,"Bastide, Bordeaux",Good ,"4,122 reviews",Price 329 zł,1.7 km from center,Triple Room,2,,
9,Hostel 20 Bordeaux HI FRANCE,7.9,"Chartrons, Bordeaux",Good ,984 reviews,Price 121 zł,2 km from center,Bed in 10-Bed Mixed Dormitory Room,0,,
10,L'Apparthôtel Particulier Bordeaux,8.6,"Bordeaux City-Centre, Bordeaux",Excellent ,"1,037 reviews",Price 433 zł,150 m from center,Single Room,3,,Location 9.8
