,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Centrum House Hostel,8.9,"City Centre, Braşov",Excellent ,379 reviews,Price 90 zł,400 m from center,Bed in 8-Bed Mixed Dormitory Room,2,,Location 9.9
1,CASA CHITIC - HOTEL & RESTAURANT- Str Nicolae Balcescu 13,9.3,"City Centre, Braşov",Wonderful ,"2,240 reviews",Price 278 zł,250 m from center,Deluxe Single Room,3,Breakfast included,Location 9.7
2,Pensiunea Leo,8.4,Braşov,Very Good ,440 reviews,Price 138 zł,2.3 km from center,Standard Double Room,3,,
3,SECRET boutique Hostel,9.6,"City Centre, Braşov",Exceptional ,424 reviews,Price 81 zł,200 m from center,Bed in 6-Bed Mixed Dormitory Room,0,,Location 9.9
4,PENSIUNEA MURY,8.9,Braşov,Excellent ,433 reviews,Price 134 zł,1.6 km from center,Twin Room,3,Breakfast included,
5,JugendStube Hostel,9.1,"City Centre, Braşov",Wonderful ,384 reviews,Price 73 zł,250 m from center,Bed in 4-Bed Mixed Dormitory Room with Private Bathroom,3,,Location 9.7
6,Hotel Kolping,9.1,Braşov,Wonderful ,"1,242 reviews",Price 392 zł,0.8 km from center,Standard Double Room,3,Breakfast included,
7,BED STAGE Hostel,8.2,"City Centre, Braşov",Very Good ,404 reviews,Price 76 zł,150 m from center,Bunk Bed in Mixed Dormitory Room,3,,Location 9.5
8,Belfort Hotel,9.3,Braşov,Wonderful ,"1,441 reviews",Price 327 zł,0.8 km from center,Budget Single Room,3,Breakfast included,Location 9.4
9,Casa Iacob,9.2,Braşov,Wonderful ,541 reviews,Price 248 zł,1.2 km from center,Double Room,3,Breakfast included,Location 9.4
10,The Top House,9.6,"Brasov Old Town, Braşov",Exceptional ,601 reviews,Price 223 zł,0.6 km from center,Single Room,0,Breakfast included,Location 9.8
11,Vila Alba Brasov,9.4,"Brasov Old Town, Braşov",Wonderful ,"1,072 reviews",Price 231 zł,0.7 km from center,Double Room,3,,Location 9.6
12,Kronwell Brasov Hotel,9.5,Braşov,Exceptional ,"1,982 reviews",Price 705 zł,2.8 km from center,Business Double or Twin Room,4,Breakfast included,
13,MER Guest House B&B,9.6,Braşov,Exceptional ,780 reviews,Price 298 zł,1 km from center,Double Room,4,Breakfast included,
14,Pensiunea Toscana,9.6,Braşov,Exceptional ,"1,002 reviews",Price 344 zł,0.9 km from center,Double Room with Balcony,4,Breakfast included,Location 9.6
15,Hotel Rainer,8.5,Braşov,Very Good ,"2,398 reviews",Price 258 zł,1.8 km from center,Standard Double Room,3,Breakfast included,
16,Zozo Hostel,9.5,Braşov,Exceptional ,384 reviews,Price 95 zł,2.4 km from center,Single Bed in Mixed Dormitory Room,0,Breakfast included,
