,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,CHORS like a hotel - 1st World NFT Block & Art Capsule Hostel MetaCHORS,8.7,"Stare Mesto, Bratislava",Excellent ,"3,324 reviews",Original price 272 zł. Current price 176 zł.,0.6 km from center,Classic Upper 35 in Capsule in 4-Bed Dormitory,5,,Location 9.5
1,SKARITZ Hotel & Residence,8.6,"Stare Mesto, Bratislava",Excellent ,"1,529 reviews",Original price 426 zł. Current price 405 zł.,150 m from center,Budget Double Room,4,,Location 9.7
2,Urban Elephants Hostel,8.2,"Stare Mesto, Bratislava",Very Good ,"1,635 reviews",Original price 96 zł. Current price 91 zł.,400 m from center,Bed in 8-Bed Mixed Dormitory Room,4,,Location 9.3
3,Hotel Tatra,8.5,"Stare Mesto, Bratislava",Very Good ,"3,556 reviews",Original price 318 zł. Current price 302 zł.,0.7 km from center,Standard Single Room,4,,
4,Centrum Salvator,9.0,"Stare Mesto, Bratislava",Wonderful ,"1,259 reviews",Original price 302 zł. Current price 287 zł.,0.9 km from center,Single Room,2,Breakfast included,Location 9.6
5,Aapartamentoos,8.4,"Stare Mesto, Bratislava",Very Good ,654 reviews,Price 421 zł,100 m from center,One-Bedroom Apartment,4,,Location 9.6
6,Aviator Garni Hotel Bratislava,7.9,"Ruzinov, Bratislava",Good ,"1,621 reviews",Original price 221 zł. Current price 211 zł.,6.9 km from center,Superior Double or Twin Room,3,,
7,Botel Gracia,7.5,"Stare Mesto, Bratislava",Good ,"1,399 reviews",Original price 336 zł. Current price 320 zł.,450 m from center,Double Room,3,Breakfast included,Location 9.5
8,Hotel Galeria,6.2,"Nove Mesto, Bratislava",Review score ,"1,033 reviews",Price 168 zł,1.8 km from center,Single Room,2,,
9,Park Inn by Radisson Danube Bratislava,8.5,"Stare Mesto, Bratislava",Very Good ,"3,619 reviews",Price 472 zł,350 m from center,Standard Room,4,,Location 9.7
10,Retro Hotel Suza,6.9,"Stare Mesto, Bratislava",Review score ,352 reviews,Price 243 zł,2.3 km from center,Standard Double Room with Balcony,2,,
11,Ubytovňa Nobelova,7.1,"Nove Mesto, Bratislava",Good ,758 reviews,Price 102 zł,4.9 km from center,Mixed Dormitory Room,0,,
