,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Prime star Deak ter Modern Luxury Apartments Budapest,8.6,"07. Erzsébetváros, Budapest",Excellent ,267 reviews,"Original price 1,758 zł. Current price 440 zł.",150 m from center,Deluxe Apartment,4,,Location 9.5
1,Buda Centre Homes by the Allee Shopping Mall,5.0,"11. Újbuda, Budapest",Review score ,208 reviews,Original price 94 zł. Current price 88 zł.,2.6 km from center,Double Room with Garden View,0,,
2,a&o Budapest City,7.7,"07. Erzsébetváros, Budapest",Good ,"2,938 reviews",Price 54 zł,1.2 km from center,Bed in 6-Bed Dormitory Room,0,,
3,Adagio Hostel 2.0 Basilica,7.8,"06. Terézváros, Budapest",Good ,"2,004 reviews",Original price 73 zł. Current price 68 zł.,300 m from center,Bed in 8-Bed Dormitory Room with Private Bathroom,0,,Location 9.6
4,Easy Star Hotel,6.7,"06. Terézváros, Budapest",Review score ,"3,012 reviews",Original price 390 zł. Current price 292 zł.,1.6 km from center,Double Room,3,Breakfast included,
5,NH Budapest City,8.2,"13. Angyalföld, Budapest",Very Good ,"2,633 reviews",Price 408 zł,1.7 km from center,Standard Twin Room,4,,
6,Kalvin House Budapest,8.1,"09. Ferencváros, Budapest",Very Good ,310 reviews,Original price 283 zł. Current price 264 zł.,1.1 km from center,Single Room,3,,Location 9.4
7,Maverick City Lodge,8.7,"07. Erzsébetváros, Budapest",Excellent ,"3,581 reviews",Original price 80 zł. Current price 63 zł.,0.5 km from center,Bed in Mixed 6-Bed Dormitory Room,0,,Location 9.5
8,Hotel Oktogon Haggenmacher,9.2,"06. Terézváros, Budapest",Wonderful ,"1,193 reviews",Price 658 zł,1.1 km from center,Standard Double or Twin Room,4,,Location 9.6
9,Butterfly Home Danube,8.9,"05. Belváros - Lipótváros, Budapest",Excellent ,"1,108 reviews",Price 304 zł,1.1 km from center,Double or Twin Room,4,Breakfast included,Location 9.8
10,Benczur Hotel,8.0,"06. Terézváros, Budapest",Very Good ,"2,392 reviews",Price 188 zł,2.2 km from center,Economy Single Room,3,,
11,Flow Spaces,8.5,"09. Ferencváros, Budapest",Very Good ,"3,370 reviews",Price 83 zł,1.2 km from center,Bed in 8-Bed Mixed Dormitory Room,0,,Location 9.3
12,Danubius Hotel Helia,8.1,"13. Angyalföld, Budapest",Very Good ,"5,946 reviews",Price 479 zł,3.1 km from center,Standard Double Room,4,,
13,Hotel Zenit Budapest Palace,8.7,"05. Belváros - Lipótváros, Budapest",Excellent ,"2,635 reviews",Price 463 zł,0.5 km from center,Standard Double Room,4,,Location 9.7
14,Courtyard by Marriott Budapest City Center,8.7,"08. Józsefváros, Budapest",Excellent ,"1,302 reviews",Price 430 zł,1.1 km from center,Deluxe Room with Two Double Beds,4,,
15,Casa Nora,5.9,"07. Erzsébetváros, Budapest",Review score ,966 reviews,Original price 28 zł. Current price 27 zł.,450 m from center,Single Bed in 8-Bed Dormitory Room,0,,
16,Medos Hotel,8.3,"06. Terézváros, Budapest",Very Good ,"4,952 reviews",Price 275 zł,1 km from center,Panorama Suite,3,,Location 9.4
17,Absolut City Hostel,7.8,"07. Erzsébetváros, Budapest",Good ,974 reviews,Original price 87 zł. Current price 81 zł.,100 m from center,Bed in 6-Bed Mixed Dormitory Room,0,,Location 9.5
18,Hilton Budapest,8.7,"01. Budavár, Budapest",Excellent ,"1,503 reviews",Price 675 zł,1.8 km from center,King Guest Room,5,,Location 9.3
19,Budapest Ville Bed & Breakfast,8.1,"07. Erzsébetváros, Budapest",Very Good ,544 reviews,Price 239 zł,2.1 km from center,Deluxe Double Room with Shower,3,,
20,Eurostars Danube Budapest,8.8,"07. Erzsébetváros, Budapest",Excellent ,"2,150 reviews",Price 482 zł,150 m from center,Standard Double or Twin Room,4,,Location 9.6
21,Hotel Bristol Budapest,8.3,"08. Józsefváros, Budapest",Very Good ,"2,391 reviews",Original price 409 zł. Current price 383 zł.,1.6 km from center,Comfort Single Room,4,,
22,Maverick Urban Lodge,8.8,"09. Ferencváros, Budapest",Excellent ,"3,314 reviews",Original price 82 zł. Current price 69 zł.,1.5 km from center,Bed in 6-Bed Female Only Dormitory Room,0,,
23,Szőnyi Garden Hotel Pest,8.9,"14. Zugló, Budapest",Excellent ,"1,371 reviews",Original price 430 zł. Current price 402 zł.,4.6 km from center,Premium Twin Room,3,Breakfast included,
24,City Hotel Budapest,8.0,"06. Terézváros, Budapest",Very Good ,"2,875 reviews",Original price 390 zł. Current price 310 zł.,1 km from center,Standard Double or Twin Room,0,,
25,Downtown Buda Homes Relax,6.0,"11. Újbuda, Budapest",Review score ,81 reviews,Original price 66 zł. Current price 61 zł.,2.8 km from center,Double Room with Garden View,0,,
26,HELIOS Hotel Apartments,8.7,"12. Hegyvidék, Budapest",Excellent ,"1,449 reviews",Original price 206 zł. Current price 193 zł.,5.3 km from center,Standard Double or Twin Room,3,,
27,Danubius Hotel Helia,8.1,"13. Angyalföld, Budapest",Very Good ,"5,946 reviews",Price 479 zł,3.1 km from center,Standard Double Room,4,,
28,Budapest Rooms Bed and Breakfast,8.9,"08. Józsefváros, Budapest",Excellent ,160 reviews,Price 298 zł,0.8 km from center,Double Room with Private External Bathroom,3,Breakfast included,Location 9.5
29,Avenue Hostel,7.9,"06. Terézváros, Budapest",Good ,"6,923 reviews",Original price 116 zł. Current price 87 zł.,1.1 km from center,Bed in 8-Bed Mixed Dormitory Room with Standard Bunk Beds,0,Breakfast included,
30,DORMERO Hotel Budapest,8.6,"06. Terézváros, Budapest",Excellent ,"1,960 reviews",Original price 463 zł. Current price 393 zł.,1 km from center,Double Room,4,,
31,Maverick Hostel & Ensuites,8.6,"05. Belváros - Lipótváros, Budapest",Excellent ,"1,866 reviews",Original price 72 zł. Current price 68 zł.,0.5 km from center,Single Bed in Mixed 8-Bed Dormitory Room,0,,Location 9.7
32,Casa Nora,5.9,"07. Erzsébetváros, Budapest",Review score ,966 reviews,Original price 28 zł. Current price 27 zł.,450 m from center,Single Bed in 8-Bed Dormitory Room,0,,
33,Eurostars Danube Budapest,8.8,"07. Erzsébetváros, Budapest",Excellent ,"2,150 reviews",Price 482 zł,150 m from center,Standard Double or Twin Room,4,,Location 9.6
34,Budapest Marriott Hotel,8.8,"05. Belváros - Lipótváros, Budapest",Excellent ,"1,859 reviews",Price 847 zł,0.6 km from center,"Deluxe Room, Guest room, 1 King",5,,Location 9.7
35,Áurea Ana Palace by Eurostars Hotel Company,9.4,"05. Belváros - Lipótváros, Budapest",Wonderful ,"1,640 reviews",Price 731 zł,1 km from center,Double Room,5,,Location 9.6
36,Eurostars Ambassador,9.2,"06. Terézváros, Budapest",Wonderful ,"1,295 reviews",Price 463 zł,1.1 km from center,Deluxe Double Room,4,,Location 9.4
37,Courtyard by Marriott Budapest City Center,8.7,"08. Józsefváros, Budapest",Excellent ,"1,302 reviews",Price 430 zł,1.1 km from center,Deluxe Room with Two Double Beds,4,,
38,Aquaworld Resort Budapest,8.9,"04. Újpest, Budapest",Excellent ,"4,939 reviews",Original price 716 zł. Current price 670 zł.,12.3 km from center,Double or Twin Room,4,,
39,PEST-BUDA Design Hotel by Zsidai Hotels at Buda Castle,8.9,"01. Budavár, Budapest",Excellent ,188 reviews,Original price 745 zł. Current price 697 zł.,1.9 km from center,Deluxe Double or Twin Room,4,Breakfast included,Location 9.5
40,Boutique Hotel & Event Center,8.4,"22. Budafok - Tétény, Budapest",Very Good ,"1,449 reviews",Price 361 zł,7.5 km from center,Economy Double Room,0,,
41,Danubius Hotel Arena,8.1,"14. Zugló, Budapest",Very Good ,"4,327 reviews",Original price 300 zł. Current price 255 zł.,3.6 km from center,Double Room,4,,
42,Omega Guesthouse Budapest,7.6,"07. Erzsébetváros, Budapest",Good ,"3,211 reviews",Original price 204 zł. Current price 191 zł.,1.1 km from center,Double or Twin Room,3,,
43,The Three Corners Lifestyle Hotel,9.3,"09. Ferencváros, Budapest",Wonderful ,"2,476 reviews",Original price 380 zł. Current price 355 zł.,1.6 km from center,Deluxe Double or Twin Room,4,,
44,IntercityHotel Budapest,8.8,"08. Józsefváros, Budapest",Excellent ,"1,719 reviews",Price 322 zł,1.9 km from center,Superior Double Room,4,,
45,Central Hotel 21 and Apartments,8.7,"08. Józsefváros, Budapest",Excellent ,"2,256 reviews",Original price 356 zł. Current price 332 zł.,1.2 km from center,Budget Double Room,3,,
46,Centric Lifestyle Apartments,7.7,"06. Terézváros, Budapest",Good ,"1,376 reviews",Original price 786 zł. Current price 236 zł.,400 m from center,Single suite (With Shared Toilet),3,,Location 9.3
47,Best of Guest house by Small Home Budapest,7.3,"05. Belváros - Lipótváros, Budapest",Good ,51 reviews,Original price 195 zł. Current price 164 zł.,0.6 km from center,Double Room with Shared Bathroom,0,,
48,Balance Home,8.4,"05. Belváros - Lipótváros, Budapest",Very Good ,399 reviews,Price 259 zł,0.8 km from center,Standard Double Room without River View,4,,Location 9.6
