,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Tulip Residence & Spa Hotel,9.6,Chişinău,Exceptional ,"1,137 reviews",Original price 474 zł. Current price 346 zł.,3.7 km from center,Budget Double Room,4,,
1,GREGORY Hotel Chisinau,9.9,Chişinău,Exceptional ,420 reviews,Price 487 zł,0.7 km from center,Double Room,4,,Location 9.8
2,Lion's Hotel,9.0,Chişinău,Wonderful ,393 reviews,Price 441 zł,0.6 km from center,Single Room,4,Breakfast included,Location 9.3
3,Wine Hotel Chisinau,8.6,Chişinău,Excellent ,"1,012 reviews",Price 196 zł,2.5 km from center,Standard Double Room,0,Breakfast included,
4,Hostel City Center,9.1,Chişinău,Wonderful ,"1,983 reviews",Original price 68 zł. Current price 57 zł.,350 m from center,Bed in 4-Bed Male Dormitory Room,0,,Location 9.7
5,RentWill apartments Oliva,,Chişinău,,,Price 269 zł,4.2 km from center,Two-Bedroom Apartment,0,,
6,London Boutique Hotel,9.0,Chişinău,Wonderful ,791 reviews,Price 228 zł,1.4 km from center,Single Room,4,,
7,Bed & Breakfast Olsi,8.6,Chişinău,Excellent ,"1,671 reviews",Price 225 zł,1.3 km from center,Standard Single Room,4,Breakfast included,
8,Kiki's Villa,9.0,Chişinău,Wonderful ,183 reviews,Price 160 zł,4.2 km from center,Double Room with Garden View,0,,
9,Bristol Central Park Hotel,9.0,Chişinău,Wonderful ,"1,925 reviews",Price 343 zł,300 m from center,Small Double or Twin Room,4,Breakfast included,Location 9.7
10,Hostel Amazing Ionika,9.5,Chişinău,Exceptional ,646 reviews,Price 55 zł,0.8 km from center,Bed in 10-Bed Mixed Dormitory Room,0,,Location 9.6
11,Courtyard by Marriott Chisinau,9.0,Chişinău,Wonderful ,223 reviews,Price 485 zł,2.3 km from center,"Standard, Guest room, 2 Twin/Single Bed(s), City view",4,,
12,Bern Hostel,7.9,Chişinău,Good ,25 reviews,Price 39 zł,1.1 km from center,Bed in 8-Bed Dormitory Room,0,,
13,Zarea Hotel,6.1,Chişinău,Review score ,328 reviews,Price 101 zł,0.7 km from center,Economy Twin Room with Shared Bathroom,0,,
14,GREGORY Hotel Dendrarium Park,9.7,Chişinău,Exceptional ,175 reviews,Price 417 zł,2.1 km from center,Twin Room,4,,Location 9.4
15,City Park Hotel,8.8,Chişinău,Excellent ,"1,367 reviews",Price 349 zł,450 m from center,Standard Double Room,4,,Location 9.6
16,TipTop Hotel CITY CENTER,8.1,Chişinău,Very Good ,169 reviews,Price 291 zł,1 km from center,Large Double Room,0,,
17,Santorini,6.2,Chişinău,Review score ,122 reviews,Price 114 zł,4.2 km from center,Standard Queen Room,3,,
18,Chisinau Chill Hostel,7.4,Chişinău,Good ,173 reviews,Price 34 zł,1.6 km from center,Bed in 10-Bed Mixed Dormitory Room,0,,
19,ApartHotel Chisinau CENTER,,Chişinău,,,Price 239 zł,1 km from center,Studio with Balcony,0,,
20,Aria Hotel Chisinau,7.9,Chişinău,Good ,489 reviews,Price 91 zł,3.4 km from center,Single Bed in Dormitory Room,4,,
21,Bella Donna Hotel,5.3,Chişinău,Review score ,382 reviews,Price 125 zł,1.6 km from center,Small Double Room,3,,
22,Art Hotel,7.9,Chişinău,Good ,158 reviews,Original price 297 zł. Current price 252 zł.,1.6 km from center,Standard Double Room,3,Breakfast included,
23,Regency Hotel,8.8,Chişinău,Excellent ,243 reviews,Price 342 zł,0.8 km from center,Comfort Double Room,4,Breakfast included,
24,Park Lane Hotel,9.1,Chişinău,Wonderful ,418 reviews,Original price 330 zł. Current price 297 zł.,1.1 km from center,Double Room,3,Breakfast included,Location 9.3
25,Chisinau Hotel,5.8,Chişinău,Review score ,434 reviews,Price 205 zł,1.8 km from center,Standard Single Room,0,Breakfast included,
26,Hostel City Center,9.1,Chişinău,Wonderful ,"1,983 reviews",Original price 68 zł. Current price 57 zł.,350 m from center,Bed in 4-Bed Male Dormitory Room,0,,Location 9.7
27,Bristol Central Park Hotel,9.0,Chişinău,Wonderful ,"1,925 reviews",Price 343 zł,300 m from center,Small Double or Twin Room,4,Breakfast included,Location 9.7
28,Wine Hotel Chisinau,8.6,Chişinău,Excellent ,"1,012 reviews",Price 196 zł,2.5 km from center,Standard Double Room,0,Breakfast included,
29,Friends Hostel,8.1,Chişinău,Very Good ,25 reviews,Price 64 zł,0.6 km from center,Female Dormitory Room,0,,
30,Roxen Hotel&Spa,8.6,Chişinău,Excellent ,387 reviews,Original price 628 zł. Current price 503 zł.,1.1 km from center,Standard King Room,4,Breakfast included,
31,Courtyard by Marriott Chisinau,9.0,Chişinău,Wonderful ,223 reviews,Price 485 zł,2.3 km from center,"Standard, Guest room, 2 Twin/Single Bed(s), City view",4,,
32,Aria Hotel Chisinau,7.9,Chişinău,Good ,489 reviews,Price 91 zł,3.4 km from center,Single Bed in Dormitory Room,4,,
33,Premier City Apart Hotel Chisinau,9.1,Chişinău,Wonderful ,175 reviews,Price 415 zł,1.2 km from center,Superior Apartment,4,,
34,Flowers Hotel,8.5,Chişinău,Very Good ,202 reviews,Price 352 zł,1.7 km from center,Single Room with Single Bed and Balcony - Non-Smoking,4,Breakfast included,
35,77/5,8.4,Chişinău,Very Good ,364 reviews,Price 194 zł,0.5 km from center,Twin Room with Private Bathroom,3,,
36,Art Hotel,7.9,Chişinău,Good ,158 reviews,Original price 297 zł. Current price 252 zł.,1.6 km from center,Standard Double Room,3,Breakfast included,
37,Europa Hotel,7.5,Chişinău,Good ,131 reviews,Price 192 zł,2.1 km from center,Standard Single Room,3,Breakfast included,
