,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Stadthotel am Römerturm,8.0,"Altstadt-Nord, Cologne",Very Good ,"2,284 reviews",Price 544 zł,0.8 km from center,Standard Single Room,4,,
1,Ruby Ella Hotel Cologne,8.5,"Neustadt Nord, Cologne",Very Good ,"2,780 reviews",Price 517 zł,1.3 km from center,Nest,4,,
2,NH Collection Köln Mediapark,8.2,"Neustadt Nord, Cologne",Very Good ,"2,268 reviews",Price 579 zł,1.3 km from center,Superior Double or Twin Room,4,,
3,404-Hostel,8.0,"Nippes, Cologne",Very Good ,239 reviews,Price 118 zł,3.4 km from center,Bed in 6-Bed Mixed Dormitory Room,0,Breakfast included,
4,Tante ALMA's Hotel Lasthaus am Ring,7.9,"Altstadt-Nord, Cologne",Good ,"1,199 reviews",Original price 611 zł. Current price 489 zł.,1.3 km from center,Single Room,3,,
5,Pathpoint Cologne - Backpacker Hostel,8.1,"Altstadt-Nord, Cologne",Very Good ,690 reviews,Price 121 zł,0.6 km from center,Single Bed in 8-Bed Male Dormitory Room,0,,
6,Cologne Marriott Hotel,8.4,"Altstadt-Nord, Cologne",Very Good ,"2,534 reviews",Price 591 zł,0.6 km from center,Deluxe King Room,5,,
7,Hotel Brandenburger Hof,7.9,"Altstadt-Nord, Cologne",Good ,"1,370 reviews",Price 281 zł,500 m from center,Single Room with shared bathroom and toilet on hallway,0,,Location 9.4
8,The Midtown Hotel,8.3,"Altstadt-Nord, Cologne",Very Good ,617 reviews,Price 478 zł,1.1 km from center,Small Single Room,4,,
9,Hotel Kunibert der Fiese - Superior,7.0,"Altstadt-Nord, Cologne",Good ,720 reviews,Price 285 zł,300 m from center,Single Room,3,,Location 9.5
10,25hours Hotel The Circle,8.5,"Altstadt-Nord, Cologne",Very Good ,"3,068 reviews",Price 813 zł,1 km from center,Medium Inner Circle,4,,
11,Mauritius Komfort Hotel in der Altstadt,7.6,"Altstadt-Süd, Cologne",Good ,"1,213 reviews",Price 439 zł,0.8 km from center,Single Room,3,,
12,Hotel Santo,8.3,"Altstadt-Nord, Cologne",Very Good ,"3,924 reviews",Price 586 zł,0.9 km from center,Single Room,4,Breakfast included,
13,Astor und Aparthotel,8.3,"Altstadt-Nord, Cologne",Very Good ,682 reviews,Price 459 zł,1.2 km from center,Standard Single Room,4,,
14,Steigenberger Hotel Köln,8.2,"Neustadt-Süd, Cologne",Very Good ,"5,539 reviews",Price 685 zł,1.5 km from center,Business Double Room,4,,
15,Hotel An der Philharmonie,8.2,"Altstadt-Nord, Cologne",Very Good ,466 reviews,Price 537 zł,250 m from center,Single Room,4,,Location 9.5
16,Hotel Sion,8.1,"Altstadt-Nord, Cologne",Very Good ,926 reviews,Price 606 zł,200 m from center,Single Room,3,,Location 9.6
17,Courtyard by Marriott Cologne,8.1,"Altstadt-Nord, Cologne",Very Good ,"3,338 reviews",Price 527 zł,0.9 km from center,"Deluxe Guest room, 2 Twin/Single Bed(s)",4,,
18,Station - Hostel for Backpackers,7.2,"Altstadt-Nord, Cologne",Good ,"1,927 reviews",Price 127 zł,400 m from center,Single Bed in Mixed 6-Bed Dormitory Room with Shared Bathroom,0,,Location 9.3
