,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Cabinn Metro,6.7,"Amager Vest, Copenhagen",Review score ,"8,129 reviews",Price 322 zł,5.3 km from center,Economy Room with Bunk Beds,2,,
1,Next House Copenhagen,8.4,"Copenhagen Center, Copenhagen",Very Good ,"11,363 reviews",Price 91 zł,1.1 km from center,Bed in 6-Bed Female Dormitory Room,0,,Location 9.3
2,Motel One Copenhagen,8.4,"Copenhagen Center, Copenhagen",Very Good ,"5,334 reviews",Price 498 zł,0.6 km from center,Single Room,4,,Location 9.6
3,Steel House Copenhagen,8.3,"Copenhagen Center, Copenhagen",Very Good ,"12,432 reviews",Price 104 zł,1.3 km from center,Bed in 6-Bed Female Dormitory Room,0,,Location 9.4
4,citizenM Copenhagen Radhuspladsen,8.7,"Copenhagen Center, Copenhagen",Excellent ,"6,673 reviews",Price 637 zł,0.9 km from center,King Room,4,,Location 9.7
5,NH Collection Copenhagen,8.9,"Christianshavn, Copenhagen",Excellent ,"3,361 reviews",Price 858 zł,0.8 km from center,Superior Double or Twin Room,5,,Location 9.3
6,Danhostel Copenhagen City,8.0,"Copenhagen Center, Copenhagen",Very Good ,"5,762 reviews",Price 95 zł,0.9 km from center,Bunk Bed in Mixed Dormitory Room,0,,Location 9.3
7,City Hotel Nebo,7.5,"Vesterbro, Copenhagen",Good ,"5,275 reviews",Price 264 zł,1.3 km from center,Economy Single Room with Shared Bathroom,2,,Location 9.4
8,Go Hotel City,7.9,"Amager Øst, Copenhagen",Good ,"3,642 reviews",Price 284 zł,3.3 km from center,Standard Single Room,2,,
9,Zleep Hotel Copenhagen Arena,7.9,"Amager Vest, Copenhagen",Good ,"1,727 reviews",Price 353 zł,5.8 km from center,Double Room,3,,
10,Comfort Hotel Copenhagen Airport,8.0,Copenhagen,Very Good ,"9,501 reviews",Price 596 zł,7.1 km from center,Standard Triple Room,3,,Location 9.3
11,Comfort Hotel Vesterbro,7.7,"Vesterbro, Copenhagen",Good ,"4,522 reviews",Price 527 zł,1.4 km from center,Small Double Room,3,,
12,Zleep Hotel Copenhagen Airport,7.9,Copenhagen,Good ,"2,106 reviews",Price 353 zł,6.6 km from center,Standard Double Room,3,,
13,Copenhagen Go Hotel,7.4,Copenhagen,Good ,"7,921 reviews",Price 251 zł,5.8 km from center,Single Room,2,,
14,AC Hotel by Marriott Bella Sky Copenhagen,7.9,"Amager Vest, Copenhagen",Good ,"4,895 reviews",Price 580 zł,4.5 km from center,Standard Queen Room,4,,
15,Cabinn Copenhagen,6.8,"Vesterbro, Copenhagen",Review score ,"14,570 reviews",Price 366 zł,1.7 km from center,Standard Queen Room with Extra Bed,2,,
16,CityHub Copenhagen,9.0,"Vesterbro, Copenhagen",Wonderful ,"5,479 reviews",Original price 360 zł. Current price 310 zł.,2.2 km from center,Hub,0,,
17,Clarion Hotel Copenhagen Airport,8.4,Copenhagen,Very Good ,"6,182 reviews",Price 785 zł,7 km from center,Standard Double Room,4,,Location 9.5
18,WIDE Hotel,8.5,"Copenhagen Center, Copenhagen",Very Good ,"4,853 reviews","Price 1,003 zł",0.9 km from center,Deluxe Double Room,4,,Location 9.6
19,Copenhagen Downtown Hostel,7.2,"Copenhagen Center, Copenhagen",Good ,"4,254 reviews",Price 85 zł,450 m from center,Bunk Bed in 12-Bed Mixed Dormitory Room,0,,Location 9.3
20,Zleep Hotel Copenhagen City,7.6,"Vesterbro, Copenhagen",Good ,750 reviews,Price 345 zł,1.4 km from center,Single Room,3,,
21,Copenhagen Admiral Hotel,8.7,"Copenhagen Center, Copenhagen",Excellent ,"5,879 reviews",Price 905 zł,1 km from center,Single,4,,Location 9.7
22,a&o Copenhagen Sydhavn,7.1,"Sydhavnen, Copenhagen",Good ,"3,057 reviews",Price 97 zł,3.8 km from center,Bed in 8-Bed Dormitory Room,2,,
23,Hotel Østerport,7.5,"Østerbro, Copenhagen",Good ,"2,508 reviews",Price 666 zł,1.5 km from center,Railway Sleeper 90/90,3,,
24,Scandic Copenhagen,7.5,"Copenhagen Center, Copenhagen",Good ,"2,546 reviews",Price 552 zł,1.3 km from center,Standard Single Room,4,Breakfast included,
25,Wakeup Copenhagen - Borgergade,8.0,"Copenhagen Center, Copenhagen",Very Good ,"14,044 reviews",Price 397 zł,0.5 km from center,Standard Double Room,2,,Location 9.5
26,a&o Copenhagen Nørrebro,6.8,"Nørrebro, Copenhagen",Review score ,"5,699 reviews",Price 103 zł,3.7 km from center,Bed in 8-Bed Dormitory Room,2,,
27,Hotel Alexandra,8.0,"Copenhagen Center, Copenhagen",Very Good ,"1,209 reviews",Price 509 zł,0.9 km from center,Superior Single Room,4,,Location 9.4
28,Urban House Copenhagen by MEININGER,8.0,"Vesterbro, Copenhagen",Very Good ,"8,021 reviews",Price 112 zł,1.3 km from center,Bed in 10-Bed Mixed Dormitory Room,0,,Location 9.5
29,Hotel Bethel,8.7,"Copenhagen Center, Copenhagen",Excellent ,"1,871 reviews",Price 533 zł,0.7 km from center,Economy Double or Twin Room,3,,Location 9.8
30,Scandic Kødbyen,8.1,"Vesterbro, Copenhagen",Very Good ,"2,598 reviews",Price 590 zł,1.9 km from center,Standard King Room,4,Breakfast included,
31,Coco Hotel,8.5,"Vesterbro, Copenhagen",Very Good ,"2,136 reviews",Price 647 zł,1.6 km from center,Single Room,4,,
32,Wakeup Copenhagen - Bernstorffsgade,7.8,"Copenhagen Center, Copenhagen",Good ,"10,973 reviews",Price 322 zł,1.2 km from center,Standard Room,2,,
33,Globalhagen Hostel,7.8,"Nørrebro, Copenhagen",Good ,"1,244 reviews",Price 129 zł,1.6 km from center,Bed in 8 bed Mixed Dormitory Room,0,,
34,"Radisson Blu Scandinavia Hotel, Copenhagen",7.6,"Amager Vest, Copenhagen",Good ,"4,659 reviews",Price 641 zł,1.4 km from center,Standard Room,4,,
35,Wakeup Copenhagen - Carsten Niebuhrs Gade,7.7,"Vesterbro, Copenhagen",Good ,"6,469 reviews",Price 303 zł,1.6 km from center,Standard  Room,2,,
