,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Gardiner House,7.8,"Dublin City Centre, Dublin",Good ,"2,100 reviews",Price 277 zł,0.9 km from center,Bed in 18-Bed Mixed Dormitory Room with Shared Bathroom - Chapel Experience,0,Breakfast included,
1,Castle Hotel,8.0,"Parnell Square, Dublin",Very Good ,"5,397 reviews",Price 605 zł,0.6 km from center,Single Room,4,Breakfast included,
2,The Samuel Hotel,8.3,"Dublin City Centre, Dublin",Very Good ,"3,514 reviews",Price 699 zł,1.6 km from center,Deluxe Double Room,4,,
3,Riu Plaza The Gresham Dublin,8.3,"Dublin City Centre, Dublin",Very Good ,"20,905 reviews",Price 934 zł,200 m from center,Standard Queen Room,4,Breakfast included,Location 9.5
4,Marlin Hotel Stephens Green,8.3,"Saint Stephen's Green, Dublin",Very Good ,"6,990 reviews",Price 793 zł,1.1 km from center,Cozy King Room,4,,Location 9.5
5,Jacobs Inn Hostel,8.4,"Dublin City Centre, Dublin",Very Good ,"5,620 reviews",Price 256 zł,0.6 km from center,Pod in a 8-bed Mixed Dormitory,0,,
6,Clayton Hotel Burlington Road,8.3,"Ballsbridge, Dublin",Very Good ,"5,212 reviews",Price 746 zł,2.3 km from center,Standard King Room,4,,
7,Abbey Court Hostel,7.7,"Dublin City Centre, Dublin",Good ,"3,659 reviews",Price 211 zł,250 m from center,1 Bed in 12 Bed Mixed Room Ensuite,0,Breakfast included,Location 9.5
8,The Spencer Hotel,8.3,"Dublin City Centre, Dublin",Very Good ,"2,237 reviews",Original price 868 zł. Current price 781 zł.,1.1 km from center,Classic Queen Room,4,,
9,Trinity City Hotel,8.0,"Dublin City Centre, Dublin",Very Good ,"2,106 reviews",Original price 840 zł. Current price 756 zł.,0.6 km from center,Double Room,4,,Location 9.3
10,Generator Dublin,7.4,"Dublin City Centre, Dublin",Good ,"4,541 reviews",Price 278 zł,1.2 km from center,Bed in 6-Bed Mixed Dormitory Room with Shared Bathroom and Toilet,3,,
11,Harding Hotel,8.6,"Temple Bar, Dublin",Excellent ,"1,961 reviews",Price 746 zł,0.9 km from center,Double or Twin Room,3,,Location 9.6
12,The Lansdowne Hotel,7.5,"Ballsbridge, Dublin",Good ,"1,333 reviews",Price 520 zł,2.3 km from center,Single Room,3,,
13,Herbert Park Hotel and Park Residence,8.6,"Ballsbridge, Dublin",Excellent ,"2,090 reviews",Price 774 zł,3 km from center,Standard Single Room,4,,
14,The Morgan Hotel,8.6,"Temple Bar, Dublin",Excellent ,"1,383 reviews",Original price 901 zł. Current price 820 zł.,450 m from center,Signature Queen Room,4,,Location 9.6
15,Mespil Hotel,8.9,"Ballsbridge, Dublin",Excellent ,"2,194 reviews",Price 746 zł,2 km from center,Executive King Room,4,,
16,Albany House,8.3,"Saint Stephen's Green, Dublin",Very Good ,"1,706 reviews",Original price 727 zł. Current price 618 zł.,1.5 km from center,Single Room,3,,Location 9.3
17,Harcourt Hotel,7.6,"Saint Stephen's Green, Dublin",Good ,"4,096 reviews",Price 558 zł,1.7 km from center,Twin Room (Maximum Occupancy: 2 People),3,,
18,Clayton Hotel Cardiff Lane,7.8,"Dublin City Centre, Dublin",Good ,"6,668 reviews",Price 887 zł,1.4 km from center,Deluxe Double & Single Room,4,,
19,KGT House,6.6,"Parnell Square, Dublin",Review score ,"1,102 reviews",Price 197 zł,0.8 km from center,Bed in 16 - Bed Mixed Dormitory Room ,0,,
20,Ashfield Hostel,7.5,"Dublin City Centre, Dublin",Good ,"1,382 reviews",Price 198 zł,450 m from center,1 Bed in a 18 Bedded Mixed Room Ensuite,0,,Location 9.5
21,Abigail's Hostel,7.8,"Temple Bar, Dublin",Good ,"2,485 reviews",Price 216 zł,400 m from center,1 bed in a 10 bed Female Dorm En Suite,0,,Location 9.6
22,Maldron Hotel Merrion Road,8.4,Dublin,Very Good ,731 reviews,Price 840 zł,5.7 km from center,Deluxe Double & Single Room,4,,
