,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,YOTEL Edinburgh,8.2,"New Town, Edinburgh",Very Good ,"10,112 reviews",Original price 671 zł. Current price 403 zł.,1 km from center,Premium Queen,4,,
1,Kick Ass Grassmarket (18+),8.2,"Old Town, Edinburgh",Very Good ,"2,595 reviews",Original price 111 zł. Current price 105 zł.,350 m from center,Bed in 12-Bed Mixed Dorm,4,,Location 9.6
2,Motel One Edinburgh-Royal,8.9,"Old Town, Edinburgh",Excellent ,"5,587 reviews",Price 430 zł,300 m from center,Classic Double Room,3,,Location 9.8
3,Motel One Edinburgh-Princes,8.7,"New Town, Edinburgh",Excellent ,"3,491 reviews",Price 430 zł,0.6 km from center,Classic Double Room,3,,Location 9.8
4,Castle Rock Hostel,8.6,"Old Town, Edinburgh",Excellent ,"2,131 reviews",Original price 107 zł. Current price 101 zł.,200 m from center,Bed in 14-Bed Dormitory Room,2,,Location 9.8
5,"Holiday Inn Express Edinburgh - Leith Waterfront, an IHG Hotel",8.1,"Leith, Edinburgh",Very Good ,"4,537 reviews",Price 327 zł,3.5 km from center,Double Room,3,Breakfast included,
6,"Holiday Inn Express Edinburgh City West, an IHG Hotel",8.0,Edinburgh,Very Good ,"1,967 reviews",Price 300 zł,3.2 km from center,Double Room with Bath,3,,
7,Hampton By Hilton Edinburgh West End,8.2,"Haymarket, Edinburgh",Very Good ,"6,998 reviews",Price 507 zł,1.4 km from center,Twin Room,3,Breakfast included,
8,EdinB&B,7.3,"Old Town, Edinburgh",Good ,434 reviews,Price 261 zł,450 m from center,Single Room,0,,
9,High Street Hostel,8.2,"Old Town, Edinburgh",Very Good ,"1,740 reviews",Original price 98 zł. Current price 93 zł.,450 m from center,Single Bed in Female Dormitory Room,2,,Location 9.7
10,"Crowne Plaza Edinburgh - Royal Terrace, an IHG Hotel",7.5,"New Town, Edinburgh",Good ,892 reviews,Price 616 zł,1.3 km from center,Standard Double Room,4,,
11,Mercure Edinburgh City - Princes Street Hotel,7.2,"New Town, Edinburgh",Good ,"5,387 reviews",Price 331 zł,500 m from center,Classic Single Room,3,,Location 9.5
12,Native Edinburgh,8.9,"New Town, Edinburgh",Excellent ,"2,848 reviews",Original price 719 zł. Current price 683 zł.,1 km from center,Studio Apartment,4,,Location 9.3
13,Best Western Edinburgh South Braid Hills Hotel,7.7,"Morningside, Edinburgh",Good ,"2,880 reviews",Original price 327 zł. Current price 311 zł.,3.7 km from center,Classic Single Room - Non-Smoking,3,,
14,Alexander Guest House,7.5,"Newington, Edinburgh",Good ,698 reviews,Price 305 zł,2.3 km from center,Double Room with Shared Bathroom,4,,
15,Britannia Edinburgh Hotel,5.6,"West End, Edinburgh",Review score ,"7,846 reviews",Price 234 zł,1.8 km from center,Club Double Room Without a Window,3,,
16,Just sleep @ Urban bnb,8.2,"Leith, Edinburgh",Very Good ,469 reviews,Price 245 zł,2.5 km from center,Single Bed in 6-Bed Dormitory Room,0,,
17,Edinburgh Holiday Guest House,8.3,"Newington, Edinburgh",Very Good ,761 reviews,Original price 327 zł. Current price 311 zł.,1.7 km from center,Small Single Room,3,Breakfast included,
18,The Guards Hotel,6.3,"West End, Edinburgh",Review score ,641 reviews,Price 245 zł,1.5 km from center,Standard Single Room,3,,
19,Best Western Kings Manor,8.5,"Portobello, Edinburgh",Very Good ,"4,496 reviews",Original price 210 zł. Current price 199 zł.,6.1 km from center,Small Single Room,3,,
