,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Arte' Boutique Hotel,9.5,"San Marco - Santissima Annunziata, Florence",Exceptional ,"1,099 reviews","Original price 1,041 zł. Current price 614 zł.",0.5 km from center,Superior Queen Room with Cathedral View,4,,Location 9.9
1,Plus Florence,8.0,"Florence Historic Center, Florence",Very Good ,"11,487 reviews",Price 108 zł,1.1 km from center,Bed in 8-Bed Mixed Dormitory Room,0,,
2,Hostel Archi Rossi,8.6,"Florence Historic Center, Florence",Excellent ,"2,084 reviews",Price 131 zł,0.8 km from center,9-Bed Female Dormitory Room,0,,Location 9.5
3,Hotel Dali,8.4,"Duomo, Florence",Very Good ,"1,117 reviews",Price 202 zł,0.5 km from center,Single Room with Shared Bathroom,1,,Location 9.9
4,Hotel Lorena,8.1,"San Lorenzo, Florence",Very Good ,"1,162 reviews",Original price 300 zł. Current price 282 zł.,400 m from center,Single Room with Private Bathroom,2,,Location 9.7
5,YellowSquare Florence,8.9,"Fortezza da Basso, Florence",Excellent ,791 reviews,Price 149 zł,1.7 km from center,Bed in 6-Bed Mixed Dormitory Room,0,,
6,Hotel Spagna,7.2,"Santa Maria Novella, Florence",Good ,743 reviews,Original price 352 zł. Current price 302 zł.,300 m from center,Single Room,2,,Location 9.5
7,Hotel St. James,7.9,"Florence Historic Center, Florence",Good ,"2,761 reviews",Original price 296 zł. Current price 254 zł.,0.9 km from center,Standard Single Room,2,,
8,Hotel Alba Palace,8.7,"Santa Maria Novella, Florence",Excellent ,"2,963 reviews",Original price 415 zł. Current price 390 zł.,0.6 km from center,Single Room,3,Breakfast included,Location 9.5
9,Hotel Miceli - Civico 50,8.7,"San Marco - Santissima Annunziata, Florence",Excellent ,968 reviews,Price 303 zł,0.8 km from center,Single Room,3,,Location 9.5
10,CozyandCalm,7.8,"Porta al Prato, Florence",Good ,158 reviews,Price 117 zł,2.2 km from center,Twin Room with Shared Bathroom,0,,
11,Ostello Bello Firenze,9.0,"Florence Historic Center, Florence",Wonderful ,877 reviews,Price 168 zł,0.7 km from center,Bed in 10-Bed Mixed Dormitory Room,0,,Location 9.7
12,Hotel Executive,8.9,"Florence Historic Center, Florence",Excellent ,"1,625 reviews",Price 469 zł,1 km from center,Classic Single Room,4,Breakfast included,
13,Hotel Villani,8.1,"Duomo, Florence",Very Good ,454 reviews,Original price 577 zł. Current price 541 zł.,150 m from center,Large Single Room with Palazzo Vecchio View,2,Breakfast included,Location 9.8
14,Uffizi Harmony,9.3,"Uffizi, Florence",Wonderful ,624 reviews,Price 338 zł,0.5 km from center,Triple Room,3,,Location 9.9
15,Hotel Maxim Axial,8.0,"Duomo, Florence",Very Good ,"1,837 reviews",Price 370 zł,100 m from center,Large Single Room,3,Breakfast included,Location 9.8
16,c-hotels Ambasciatori,7.8,"Santa Maria Novella, Florence",Good ,"4,048 reviews",Original price 394 zł. Current price 370 zł.,0.8 km from center,Single Room,4,,
17,Hotel Monna Lisa,8.9,"San Marco - Santissima Annunziata, Florence",Excellent ,"1,799 reviews",Price 464 zł,0.7 km from center,Standard Single Room,4,Breakfast included,Location 9.6
18,Hotel Porta Faenza,8.8,"Florence Historic Center, Florence",Excellent ,"1,727 reviews",Original price 392 zł. Current price 368 zł.,0.8 km from center,Single Room,3,,Location 9.5
19,Hotel Bernini Palace,9.0,"Uffizi, Florence",Wonderful ,774 reviews,"Price 1,258 zł",350 m from center,Classic Single Room,5,Breakfast included,Location 9.8
20,La Tana Dei Leoni Affittacamere,8.4,"Uffizi, Florence",Very Good ,559 reviews,Original price 420 zł. Current price 394 zł.,350 m from center,Budget Double Room,3,,Location 9.8
21,Grand Hotel Adriatico,8.4,"Santa Maria Novella, Florence",Very Good ,"2,023 reviews",Price 445 zł,0.8 km from center,Classic Single Room,4,Breakfast included,
22,Hotel Bretagna Heritage - Alfieri Collezione,7.8,"Tornabuoni, Florence",Good ,702 reviews,Price 335 zł,400 m from center,Single Room,4,,Location 9.7
23,Olga's House,8.2,"Uffizi, Florence",Very Good ,532 reviews,Price 338 zł,200 m from center,Single Room,3,,Location 9.7
24,Hotel Palazzo Vecchio,8.0,"Florence Historic Center, Florence",Very Good ,"1,173 reviews",Original price 274 zł. Current price 258 zł.,0.8 km from center,Small Single Room,3,,Location 9.3
25,Soggiorno Isabella De' Medici,8.0,"Florence Historic Center, Florence",Very Good ,639 reviews,Price 371 zł,0.8 km from center,Single Room with Private Exernal Bathroom,3,,Location 9.4
26,B&B In Centro,8.7,Florence,Excellent ,85 reviews,Price 206 zł,1.7 km from center,Single Room with Private External Bathroom,3,,
27,Hotel Machiavelli Palace,7.9,"San Lorenzo, Florence",Good ,"3,550 reviews",Price 350 zł,0.6 km from center,Standard Double or Twin Room,3,,Location 9.4
28,Hotel Villa Il Castagno,6.5,"Campo Di Marte, Florence",Review score ,"1,018 reviews",Original price 253 zł. Current price 230 zł.,1.8 km from center,Single Room,2,,
29,Hotel Embassy,8.2,"Santa Maria Novella, Florence",Very Good ,946 reviews,Price 675 zł,1 km from center,Double or Twin Room,4,Breakfast included,
30,Hotel Atlantic Palace,7.8,"San Lorenzo, Florence",Good ,"2,763 reviews",Price 333 zł,0.6 km from center,Small Double Room,4,,Location 9.3
31,Casa Howard Firenze - Residenza d'Epoca,8.9,"Santa Maria Novella, Florence",Excellent ,377 reviews,"Price 1,215 zł",0.6 km from center,Standard Double Room,0,,Location 9.6
32,Accanto al Duomo,9.1,"Duomo, Florence",Wonderful ,194 reviews,Price 357 zł,100 m from center,Double or Twin Room with Private Bathroom,3,,Location 9.9
33,Borgo Oblate,8.7,"San Marco - Santissima Annunziata, Florence",Excellent ,"1,065 reviews",Price 378 zł,0.7 km from center,Double or Twin Room with Private Bathroom,3,Breakfast included,Location 9.7
34,Hotel Art Atelier,8.8,"San Lorenzo, Florence",Excellent ,"1,014 reviews",Price 500 zł,450 m from center,Standard Single Room,4,Breakfast included,Location 9.7
35,Boutique Hotel del Corso,8.6,"Uffizi, Florence",Excellent ,"1,506 reviews",Price 653 zł,250 m from center,Double Room,3,,Location 9.8
36,Hotel Boccaccio,9.0,"Santa Maria Novella, Florence",Wonderful ,"1,146 reviews",Price 345 zł,0.7 km from center,Single Room,3,Breakfast included,Location 9.6
37,Eurostars Florence Boutique,8.5,"Santa Croce, Florence",Very Good ,"1,090 reviews",Price 581 zł,1.2 km from center,Single Room,4,,
38,Il Verrocchio,7.7,"San Marco - Santissima Annunziata, Florence",Good ,920 reviews,Price 226 zł,1.1 km from center,Double Room with Private Bathroom,3,,
39,Morandi alla Crocetta,9.0,"San Marco - Santissima Annunziata, Florence",Wonderful ,584 reviews,Price 309 zł,0.9 km from center,Single Classic,3,,Location 9.5
40,Al Consolato,8.7,"Florence Historic Center, Florence",Excellent ,482 reviews,Price 286 zł,1.2 km from center,Superior Double Room,3,,
41,Hotel Palazzo Vecchio,8.0,"Florence Historic Center, Florence",Very Good ,"1,173 reviews",Price 274 zł,0.8 km from center,Small Single Room,3,,Location 9.3
42,Hotel Ferrucci,7.3,"Piazzale Michelangelo, Florence",Good ,890 reviews,Price 307 zł,1.8 km from center,Single Room,3,,
43,Casa per Ferie Regina Santo Rosario,8.4,"San Marco - Santissima Annunziata, Florence",Very Good ,511 reviews,Price 239 zł,1 km from center,Single Room with Shared Bathroom,0,,Location 9.4
44,Aurora Garden Lodging,8.3,"Santa Maria Novella, Florence",Very Good ,155 reviews,Price 338 zł,0.8 km from center,Double Room,3,,Location 9.4
45,AUTO PARK HOTEL con Ristorante interno e grande parcheggio gratuito,6.7,"Novoli - San Donato, Florence",Review score ,"1,630 reviews",Price 215 zł,4 km from center,Room standard,3,,
46,Hotel Nizza,8.6,"Santa Maria Novella, Florence",Excellent ,"1,816 reviews",Original price 479 zł. Current price 391 zł.,350 m from center,Double Room,2,,Location 9.8
47,Affittacamere ALBA,8.6,"San Lorenzo, Florence",Excellent ,638 reviews,Price 352 zł,0.6 km from center,Standard Double Room,3,,Location 9.5
48,La Vigna Dolce di Anna,7.4,"Uffizi, Florence",Good ,907 reviews,Price 247 zł,500 m from center,Deluxe Double Room,3,,Location 9.4
49,Hotel Accademia,8.9,"San Lorenzo, Florence",Excellent ,"1,074 reviews",Price 462 zł,400 m from center,Double or Twin Room (1 Adult),3,Breakfast included,Location 9.8
50,Guest House L'Aranceto,8.2,"Porta al Prato, Florence",Very Good ,362 reviews,Price 202 zł,2.3 km from center,Double or Twin Room with Shared Bathroom,0,,
51,Hotel Ferrucci,7.3,"Piazzale Michelangelo, Florence",Good ,890 reviews,Price 307 zł,1.8 km from center,Single Room,3,,
52,B&B Leopoldo,8.1,"Careggi - Rifredi, Florence",Very Good ,727 reviews,Price 233 zł,2.2 km from center,Double or Twin Room,3,Breakfast included,
53,Mercure Firenze Centro,8.2,"Florence Historic Center, Florence",Very Good ,493 reviews,Price 492 zł,0.7 km from center,Classic Room,4,,
54,Hotel Bodoni,7.9,"Santa Croce, Florence",Good ,"3,048 reviews",Price 289 zł,0.8 km from center,Single Room,2,Breakfast included,Location 9.3
55,Soggiorno Isabella De' Medici,8.0,"Florence Historic Center, Florence",Very Good ,639 reviews,Price 371 zł,0.8 km from center,Single Room with Private Exernal Bathroom,3,,Location 9.4
56,Hotel Giappone,8.3,"Tornabuoni, Florence",Very Good ,534 reviews,Original price 436 zł. Current price 352 zł.,250 m from center,Single Room with Private External Bathroom,1,,Location 9.7
57,Hotel Villa Il Castagno,6.5,"Campo Di Marte, Florence",Review score ,"1,018 reviews",Original price 253 zł. Current price 230 zł.,1.8 km from center,Single Room,2,,
58,Hotel Renaissance,9.0,"Uffizi, Florence",Wonderful ,320 reviews,Price 631 zł,300 m from center,Standard Double or Twin Room,3,,Location 9.9
59,Relais Uffizi,8.8,"Uffizi, Florence",Excellent ,141 reviews,Original price 685 zł. Current price 586 zł.,250 m from center,Small Double Room,4,Breakfast included,Location 9.7
60,Hotel Nizza,8.6,"Santa Maria Novella, Florence",Excellent ,"1,816 reviews",Original price 479 zł. Current price 391 zł.,350 m from center,Double Room,2,,Location 9.8
61,My Friends,9.0,"Florence Historic Center, Florence",Wonderful ,"1,379 reviews",Price 178 zł,0.9 km from center,Bed in 4-Bed Female Dormitory Room,0,,Location 9.6
62,Il Verrocchio,7.7,"San Marco - Santissima Annunziata, Florence",Good ,920 reviews,Price 226 zł,1.1 km from center,Double Room with Private Bathroom,3,,
63,B&B Arco Antico,8.6,"Florence Historic Center, Florence",Excellent ,288 reviews,Price 347 zł,0.9 km from center,Single Room,3,Breakfast included,Location 9.5
64,Palazzo Graziani,8.8,"San Marco - Santissima Annunziata, Florence",Excellent ,926 reviews,Price 436 zł,0.7 km from center,Standard Single Room,3,,Location 9.6
65,Palazzo Panzani,7.6,"Santa Maria Novella, Florence",Good ,9 reviews,Price 437 zł,300 m from center,Standard Single Room,0,,Location 9.4
66,B&B La Cittadella,8.2,"Fortezza da Basso, Florence",Very Good ,507 reviews,Price 328 zł,1.3 km from center,Single Room with Shared Bathroom,0,,
67,Hotel Villani,8.1,"Duomo, Florence",Very Good ,454 reviews,Price 577 zł,150 m from center,Large Single Room with Palazzo Vecchio View,2,Breakfast included,Location 9.8
68,Horto Convento,9.1,"San Frediano, Florence",Wonderful ,"1,378 reviews",Price 497 zł,1.2 km from center,Small Double Room,4,Breakfast included,
69,Il Grillo Di Firenze B&B,8.8,"Porta al Prato, Florence",Excellent ,299 reviews,Price 253 zł,2.4 km from center,Economy Double Room,3,Breakfast included,
70,Hotel Centro,8.4,"San Lorenzo, Florence",Very Good ,654 reviews,Price 413 zł,0.6 km from center,Single Room with Shared Bathroom,2,,Location 9.6
71,7Florence B&B,8.9,"Florence Historic Center, Florence",Excellent ,"1,087 reviews",Price 606 zł,0.6 km from center,Double Room,3,,
72,Hotel De La Ville,8.7,"Tornabuoni, Florence",Excellent ,565 reviews,Price 829 zł,250 m from center,Single Room,4,Breakfast included,Location 9.7
73,Hotel 900 Toscana,7.3,"Tornabuoni, Florence",Good ,579 reviews,Original price 488 zł. Current price 413 zł.,350 m from center,Superior Single Room,2,,
74,Annabella Hotel,8.3,"Florence Historic Center, Florence",Very Good ,894 reviews,Price 444 zł,0.7 km from center,Double or Twin Room,3,Breakfast included,Location 9.4
75,B&Beatrice,8.8,"Santo Spirito, Florence",Excellent ,190 reviews,Price 418 zł,0.7 km from center,Double Room with Private External Bathroom,3,,Location 9.4
76,Hotel Botticelli,8.1,"San Lorenzo, Florence",Very Good ,"1,230 reviews",Price 563 zł,0.6 km from center,Single Room,4,Breakfast included,Location 9.6
77,Hotel Embassy,8.2,"Santa Maria Novella, Florence",Very Good ,946 reviews,Price 675 zł,1 km from center,Double or Twin Room,4,Breakfast included,
78,Boutique Hotel del Corso,8.6,"Uffizi, Florence",Excellent ,"1,506 reviews",Price 653 zł,250 m from center,Double Room,3,,Location 9.8
79,La Filarocca B&B,8.4,"Campo Di Marte, Florence",Very Good ,195 reviews,Price 300 zł,2.7 km from center,Double Room with Shared Bathroom,0,Breakfast included,
80,AUTO PARK HOTEL con Ristorante interno e grande parcheggio gratuito,6.7,"Novoli - San Donato, Florence",Review score ,"1,630 reviews",Price 185 zł,4 km from center,Double Room,3,,
81,Hotel degli Orafi,9.1,"Uffizi, Florence",Wonderful ,890 reviews,Price 625 zł,400 m from center,Single Room,4,Breakfast included,Location 9.9
82,Solo Experience Hotel,9.0,"San Lorenzo, Florence",Wonderful ,"2,156 reviews",Price 577 zł,450 m from center,Deluxe Double or Twin Room with City View,4,,Location 9.8
83,Hotel Bavaria,8.6,"Uffizi, Florence",Excellent ,"1,043 reviews",Price 212 zł,400 m from center,Single Room with Shared Bathroom,1,,Location 9.8
84,Lost In Florence,7.7,"San Marco - Santissima Annunziata, Florence",Good ,871 reviews,Price 335 zł,500 m from center,Deluxe Room,3,,Location 9.6
85,Hotel Deco,7.9,"Santa Maria Novella, Florence",Good ,"1,181 reviews",Original price 352 zł. Current price 302 zł.,300 m from center,Deluxe Double or Twin Room,2,,Location 9.7
86,Borghese Palace Art Hotel,7.9,"Uffizi, Florence",Good ,"1,112 reviews",Price 529 zł,450 m from center,Superior Double Room,4,Breakfast included,Location 9.6
87,FH55 Grand Hotel Mediterraneo,7.9,"Lungarno del Tempio, Florence",Good ,"1,296 reviews",Price 561 zł,1.6 km from center,Classic Double or Twin Room,4,Breakfast included,
88,The Social Hub Florence Lavagnini,8.3,"Fortezza da Basso, Florence",Very Good ,"3,307 reviews",Price 428 zł,1.2 km from center,Economy Single Room,4,,
89,Tornabuoni Suites Collection Residenza D'Epoca,9.4,"Tornabuoni, Florence",Wonderful ,566 reviews,Price 868 zł,250 m from center,Suite with Tower View,4,,Location 9.9
90,Le Stanze degli Amidei,8.7,"Uffizi, Florence",Excellent ,123 reviews,Price 589 zł,300 m from center,Standard Double Room,4,,Location 9.9
