,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Willa Julia,8.6,"Śródmieście, Gdynia",Excellent ,761 reviews,Price 150 zł,250 m from center,Small Single Room,0,,Location 9.7
1,Willa Pieńkowskich,9.1,Gdynia,Wonderful ,731 reviews,Price 192 zł,4.4 km from center,Budget Single Room,3,,
2,Sea Hostel,8.5,Gdynia,Very Good ,"1,425 reviews",Price 60 zł,1.5 km from center,Single Bed in Mixed Dormitory Room,0,,
3,Apartamenty Przystanek Przy Klifie,9.3,"Orłowo, Gdynia",Wonderful ,152 reviews,Price 179 zł,4.3 km from center,Studio with Balcony,3,,Location 9.5
4,Apartamenty Przystanek Morska,9.5,Gdynia,Exceptional ,37 reviews,Price 170 zł,0.9 km from center,Deluxe Double Studio,3,,Location 9.7
5,Willa Wincent,8.6,"Wzgórze Św Maksymiliana, Gdynia",Excellent ,"1,397 reviews",Original price 356 zł. Current price 285 zł.,1.6 km from center,Basic Double Room,3,,Location 9.5
6,Courtyard by Marriott Gdynia Waterfront,9.0,"Śródmieście, Gdynia",Wonderful ,"2,760 reviews",Price 420 zł,0.6 km from center,"Guest room, 1 King, Sea view",4,,Location 9.7
7,Hotel Blick,7.9,"Śródmieście, Gdynia",Good ,626 reviews,Price 202 zł,0.7 km from center,Single Room,3,Breakfast included,
8,Kamienica Morska Gdynia,8.9,Gdynia,Excellent ,"1,205 reviews",Price 224 zł,3.9 km from center,Double Room,3,,
9,Hotel Nadmorski,8.4,"Wzgórze Św Maksymiliana, Gdynia",Very Good ,"1,454 reviews",Price 247 zł,1.6 km from center,Double Room,4,,Location 9.5
10,Pokój z aneksem kuchennym,9.2,Gdynia,Wonderful ,178 reviews,Price 112 zł,1 km from center,Double Room,0,,
11,Apartment Falista,9.7,Gdynia,Exceptional ,174 reviews,Price 139 zł,1.6 km from center,One-Bedroom Apartment,3,,Location 9.4
12,Rest- Pokoje z Łazienkami,8.7,"Śródmieście, Gdynia",Excellent ,438 reviews,Price 137 zł,50 m from center,Twin Room with Private Bathroom,0,,Location 9.7
13,AL-Tour,8.5,Gdynia,Very Good ,995 reviews,Price 107 zł,0.9 km from center,Economy Double Room,0,,Location 9.3
14,Baltic Sea Hostel Gdynia,9.0,"Kamienna Góra, Gdynia",Wonderful ,253 reviews,Price 178 zł,0.5 km from center,Large Double Room,0,,Location 9.4
15,Hotel Willa Lubicz,8.8,"Orłowo, Gdynia",Excellent ,446 reviews,Price 270 zł,4.3 km from center,Single Room,3,,Location 9.6
