,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Elbbrücken Hotel,7.3,Hamburg,Good ,"1,227 reviews",Original price 335 zł. Current price 235 zł.,2.7 km from center,Economy Single Room,3,,
1,Alster-Hof,7.9,"Hamburg City Center (New Town), Hamburg",Good ,"2,412 reviews",Price 437 zł,1 km from center,Single Room,3,Breakfast included,Location 9.3
2,Scandic Hamburg Emporio,8.4,"Hamburg City Center (New Town), Hamburg",Very Good ,"7,718 reviews",Original price 770 zł. Current price 616 zł.,1.4 km from center,Standard Double or Twin Room,4,,
3,IntercityHotel Hamburg Altona,7.9,"Altona-Nord, Hamburg",Good ,"2,427 reviews",Price 409 zł,4.2 km from center,Standard Room,3,,
4,Generator Hamburg,7.1,"St. Georg, Hamburg",Good ,"5,965 reviews",Price 124 zł,0.7 km from center,Bed in 6-Bed Mixed Dormitory Room,3,,
5,"Holiday Inn - Hamburg - HafenCity, an IHG Hotel",8.5,"HafenCity, Hamburg",Very Good ,"5,929 reviews",Price 558 zł,1 km from center,Standard Room - Non-Smoking,4,,
6,IntercityHotel Hamburg Hauptbahnhof,7.7,"Hamburg City Center (Old Town), Hamburg",Good ,"4,168 reviews",Price 522 zł,500 m from center,Standard Double Room,4,,Location 9.4
7,Apartment-Hotel Hamburg Mitte,8.2,Hamburg,Very Good ,"6,265 reviews",Price 436 zł,3.4 km from center,Single Room,3,,
8,Dorint Hotel Hamburg-Eppendorf,8.1,"Eppendorf, Hamburg",Very Good ,"3,745 reviews",Price 558 zł,4.6 km from center,Standard Double Room,4,,
9,prizeotel Hamburg-City,8.0,"Hammerbrook, Hamburg",Very Good ,"10,423 reviews",Price 390 zł,1 km from center,Double Room for Single Use,3,,
10,Hotel Wagner im Dammtorpalais,8.1,"Rothenbaum, Hamburg",Very Good ,972 reviews,Price 446 zł,1.8 km from center,Single Room,3,,
11,JUFA Hotel Hamburg HafenCity,8.4,"HafenCity, Hamburg",Very Good ,"7,719 reviews",Price 502 zł,1.2 km from center,Double Room,4,,
12,prizeotel Hamburg-St.Pauli,8.1,"Altona-Altstadt, Hamburg",Very Good ,"6,236 reviews",Price 353 zł,2.9 km from center,Double Room for Single Use,3,,
13,the niu Yen,8.1,"Hammerbrook, Hamburg",Very Good ,"2,105 reviews",Price 439 zł,1.5 km from center,Standard Double Room,3,,
14,Motel One Hamburg-Fleetinsel,8.6,"Hamburg City Center (New Town), Hamburg",Excellent ,"6,312 reviews",Price 475 zł,1.2 km from center,Double Room,0,,Location 9.6
15,Hotel Europäischer Hof Hamburg,8.0,"St. Georg, Hamburg",Very Good ,"4,506 reviews",Price 636 zł,0.7 km from center,Standard Single Room,4,Breakfast included,Location 9.3
16,Hotel Fürst Bismarck,8.0,"St. Georg, Hamburg",Very Good ,"2,545 reviews",Price 399 zł,0.7 km from center,Economy Room,3,,Location 9.3
17,Hotel Wedina an der Alster,8.8,"St. Georg, Hamburg",Excellent ,903 reviews,Price 493 zł,1.1 km from center,Classic Single Room,3,,Location 9.5
18,Henri Hotel Hamburg Downtown,8.8,"Hamburg City Center (Old Town), Hamburg",Excellent ,"1,645 reviews",Price 713 zł,150 m from center,M-Studio,4,,Location 9.6
19,Motel One Hamburg-Altona,8.2,"Stellingen, Hamburg",Very Good ,"2,229 reviews",Price 381 zł,4.9 km from center,Room with Queen Size Bed,3,,
20,Motel One Hamburg Airport,8.2,"Fuhlsbüttel, Hamburg",Very Good ,"3,188 reviews",Price 381 zł,8.2 km from center,Room with Queen Size Bed,3,,
21,Motel One Hamburg am Michel,8.2,"Hamburg City Center (New Town), Hamburg",Very Good ,"2,935 reviews",Price 428 zł,1.7 km from center,Room with King Size bed,3,,Location 9.3
22,Courtyard by Marriott Hamburg Airport,8.2,"Hamburg Nord, Hamburg",Very Good ,"1,404 reviews",Price 558 zł,10 km from center,"Courtyard Room, Guest room, 1 Queen",4,,
23,Steigenberger Hotel Hamburg,7.7,"Hamburg City Center (New Town), Hamburg",Good ,"1,756 reviews",Price 873 zł,0.9 km from center,Standard Double Room,5,,Location 9.4
24,Hotel Bellmoor im Dammtorpalais,7.5,"Rothenbaum, Hamburg",Good ,710 reviews,Price 399 zł,1.8 km from center,Economy Single Room,0,Breakfast included,
25,NH Hamburg Altona,8.1,"Bahrenfeld, Hamburg",Very Good ,"4,328 reviews",Price 461 zł,5.4 km from center,Standard Double or Twin Room,4,,
26,bedpark Stellingen,7.7,"Stellingen, Hamburg",Good ,"1,848 reviews",Price 331 zł,7 km from center,Standard Single Room,0,,
27,Jugendherberge Hamburg Auf dem Stintfang,7.9,"St. Pauli, Hamburg",Good ,986 reviews,Price 141 zł,1.9 km from center,Bed in 8-Bed Mixed Dormitory Room (only guests 18+),0,Breakfast included,Location 9.4
28,"Radisson Blu Hotel, Hamburg Airport",8.2,"Fuhlsbüttel, Hamburg",Very Good ,"6,822 reviews",Price 587 zł,9.3 km from center,Standard Room,4,,Location 9.4
