,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Hotel Mestari,9.0,"Kamppi, Helsinki",Wonderful ,"2,182 reviews",Price 746 zł,0.6 km from center,Builder King,4,Breakfast included,Location 9.5
1,Hotel AX,8.9,"Jätkäsaari, Helsinki",Excellent ,"1,373 reviews",Price 629 zł,2 km from center,Standard King Room,4,Breakfast included,
2,VALO Hotel & Work Helsinki,8.7,Helsinki,Excellent ,"5,889 reviews",Price 587 zł,4.5 km from center,Smart Double Room excl. Wellness Area,4,Breakfast included,
3,Solo Sokos Hotel Helsinki,8.6,"Kluuvi, Helsinki",Excellent ,190 reviews,Original price 746 zł. Current price 698 zł.,350 m from center,Standard Double Room,4,Breakfast included,Location 9.5
4,Omena Hotel Helsinki Lönnrotinkatu,7.5,"Kamppi, Helsinki",Good ,"3,900 reviews",Price 381 zł,0.6 km from center,Single Room,3,,
5,Bob W Kluuvi,8.9,"Kluuvi, Helsinki",Excellent ,180 reviews,Original price 544 zł. Current price 509 zł.,350 m from center,Small Twin Room,0,,Location 9.7
6,The Yard Hostel,8.8,"Kamppi, Helsinki",Excellent ,"1,583 reviews",Price 235 zł,300 m from center,Bed in 8-Bed Mixed Dormitory Room,0,,Location 9.7
7,Hostel Diana Park,8.7,"Kamppi, Helsinki",Excellent ,"2,208 reviews",Price 144 zł,0.6 km from center,Single Bed in 8-Bed Mixed Dormitory Room,0,,Location 9.5
8,Scandic Grand Central Helsinki,8.9,"Kluuvi, Helsinki",Excellent ,"2,193 reviews",Price 638 zł,200 m from center,King Room,4,Breakfast included,Location 9.7
9,Eurohostel,7.9,"Katajanokka, Helsinki",Good ,"5,129 reviews",Original price 136 zł. Current price 127 zł.,1.6 km from center,Budget Single Bed in 3-Bed Female Dormitory Room with Shared Bathroom,0,,
10,Clarion Hotel Helsinki,8.5,"Jätkäsaari, Helsinki",Very Good ,"5,236 reviews",Original price 643 zł. Current price 598 zł.,1.6 km from center,Standard Double Room,4,Breakfast included,
11,Innotelli Apartments,8.4,Helsinki,Very Good ,"2,077 reviews",Original price 343 zł. Current price 320 zł.,10.1 km from center,Studio Apartment,3,,
12,Original Sokos Hotel Tripla Helsinki,8.8,"Pasila, Helsinki",Excellent ,"1,017 reviews",Original price 680 zł. Current price 636 zł.,3.1 km from center,Standard King Room,4,Breakfast included,Location 9.4
13,CheapSleep Hostel Helsinki,7.7,Helsinki,Good ,"4,064 reviews",Price 101 zł,2.7 km from center,Bed in 18-Bed Female Dormitory Room,0,,
14,Solo Sokos Hotel Torni Helsinki,8.9,"Kamppi, Helsinki",Excellent ,132 reviews,"Original price 1,056 zł. Current price 987 zł.",350 m from center,King Room,5,Breakfast included,Location 9.7
15,Hilton Helsinki Strand,8.6,"Kallio, Helsinki",Excellent ,"1,249 reviews",Price 563 zł,0.9 km from center,King Room,5,,
16,"Radisson Blu Seaside Hotel, Helsinki",8.4,"Kamppi, Helsinki",Very Good ,"5,765 reviews",Price 583 zł,1.4 km from center,Standard Room,4,,
17,Tripla Mall vieressä parveke & sauna huoneisto,,"Pasila, Helsinki",,,Original price 422 zł. Current price 395 zł.,3.2 km from center,One-Bedroom Apartment,0,,
18,"Holiday Inn Helsinki West - Ruoholahti, an IHG Hotel",8.6,"Ruoholahti, Helsinki",Excellent ,"2,133 reviews",Price 432 zł,1.9 km from center,Queen Room,4,,
19,"Holiday Inn Helsinki City Centre, an IHG Hotel",8.5,"Kluuvi, Helsinki",Very Good ,"2,638 reviews",Price 544 zł,250 m from center,Standard Twin Room,4,,Location 9.7
20,Scandic Park Helsinki,8.3,"Taka-Töölö, Helsinki",Very Good ,"1,968 reviews",Price 511 zł,1.2 km from center,King Room,4,Breakfast included,
21,Downtown Old District -Home next to Sea & Shops,,"Kruununhaka, Helsinki",,,Price 375 zł,0.8 km from center,Two-Bedroom Apartment,0,,
22,Scandic Simonkenttä,8.4,"Kamppi, Helsinki",Very Good ,"2,527 reviews",Price 605 zł,400 m from center,Queen Room,4,Breakfast included,Location 9.6
23,"Holiday Inn Helsinki - Expo, an IHG Hotel",8.6,"Pasila, Helsinki",Excellent ,"1,965 reviews",Price 479 zł,3.5 km from center,Standard Twin Room with Chair Bed - Non-Smoking,4,,
24,Töölö Towers,8.2,"Taka-Töölö, Helsinki",Very Good ,"1,373 reviews",Original price 450 zł. Current price 400 zł.,1.4 km from center,Small Single Room,4,Breakfast included,
25,Scandic Simonkenttä,8.4,"Kamppi, Helsinki",Very Good ,"2,527 reviews",Price 605 zł,400 m from center,Queen Room,4,Breakfast included,Location 9.6
26,Hotel Rivoli Jardin,8.5,"Kaartinkaupunki, Helsinki",Very Good ,"2,589 reviews",Price 507 zł,0.6 km from center,Single Standard,4,Breakfast included,Location 9.6
27,Original Sokos Hotel Vaakuna Helsinki,8.3,"Kluuvi, Helsinki",Very Good ,"1,423 reviews",Price 840 zł,150 m from center,Standard King Room,4,Breakfast included,Location 9.7
28,Original Sokos Hotel Albert,8.1,"Punavuori, Helsinki",Very Good ,253 reviews,Price 558 zł,0.9 km from center,Standard Double or Twin Room,4,Breakfast included,
29,Original Sokos Hotel Tripla Helsinki,8.8,"Pasila, Helsinki",Excellent ,"1,017 reviews",Price 680 zł,3.1 km from center,Standard Triple Room,4,Breakfast included,Location 9.4
30,Hostel Suomenlinna,8.7,Helsinki,Excellent ,427 reviews,Price 113 zł,3.4 km from center,Single Bed in Mixed Dormitory Room,0,,Location 9.6
31,Hotel Lilla Roberts,8.9,"Kaartinkaupunki, Helsinki",Excellent ,536 reviews,Price 836 zł,0.8 km from center,Comfort Double Room,5,,Location 9.5
32,Hilton Helsinki Strand,8.6,"Kallio, Helsinki",Excellent ,"1,249 reviews",Price 563 zł,0.9 km from center,King Room,5,,
33,Hotel Arthur,7.6,"Kluuvi, Helsinki",Good ,"9,003 reviews",Price 450 zł,400 m from center,Classic Single Room,3,Breakfast included,Location 9.3
34,"Hotel Indigo Helsinki-Boulevard, an IHG Hotel",8.9,"Kamppi, Helsinki",Excellent ,"1,958 reviews",Price 488 zł,0.8 km from center,Queen Room,4,,Location 9.5
35,Lapland Hotels Bulevardi,9.4,"Kamppi, Helsinki",Wonderful ,"2,692 reviews",Price 953 zł,0.8 km from center,Northern Comfort Double Room,5,Breakfast included,Location 9.5
36,Scandic Paasi,8.1,"Kallio, Helsinki",Very Good ,944 reviews,Price 474 zł,0.9 km from center,Standard Single Room,4,Breakfast included,
37,"Radisson Blu Royal Hotel, Helsinki",8.9,"Kamppi, Helsinki",Excellent ,"4,258 reviews",Price 642 zł,0.7 km from center,Standard Guest Room,4,,Location 9.4
38,Viking Line ferry - Helsinki to Tallinn,8.4,"Katajanokka, Helsinki",Very Good ,78 reviews,Price 290 zł,1.7 km from center,Inside Piccolo Small,0,,
39,Scandic Park Helsinki,8.3,"Taka-Töölö, Helsinki",Very Good ,"1,968 reviews",Price 511 zł,1.2 km from center,King Room,4,Breakfast included,
40,"Hotel U14, Autograph Collection",9.3,"Kaartinkaupunki, Helsinki",Wonderful ,368 reviews,Price 957 zł,0.8 km from center,"Comfort, Guest room, 1 King",4,,Location 9.5
41,Scandic Kallio,7.9,"Alppiharju, Helsinki",Good ,754 reviews,Price 361 zł,1.8 km from center,Twin Room without Window,4,Breakfast included,
42,Original Sokos Hotel Presidentti Helsinki,8.4,"Kamppi, Helsinki",Very Good ,"1,485 reviews",Price 652 zł,0.5 km from center,Standard Twin by Ivana Helsinki,4,Breakfast included,Location 9.4
43,Hotel Fabian,8.8,"Kaartinkaupunki, Helsinki",Excellent ,405 reviews,Price 638 zł,0.9 km from center,Comfort Double or Twin Room,4,,
44,Hotel Haven,8.8,"Kaartinkaupunki, Helsinki",Excellent ,424 reviews,Price 955 zł,0.7 km from center,Superior Room,5,,Location 9.6
45,"Radisson Blu Plaza Hotel, Helsinki",8.3,"Kluuvi, Helsinki",Very Good ,"4,091 reviews",Price 633 zł,300 m from center,Standard Room,4,,Location 9.6
46,"Holiday Inn Helsinki - Expo, an IHG Hotel",8.6,"Pasila, Helsinki",Excellent ,"1,965 reviews",Price 479 zł,3.5 km from center,Standard Twin Room with Chair Bed - Non-Smoking,4,,
47,Hotel Anna,7.9,"Punavuori, Helsinki",Good ,"1,738 reviews",Price 396 zł,0.9 km from center,Standard Single Room,3,Breakfast included,
48,Hotel F6,9.3,"Kaartinkaupunki, Helsinki",Wonderful ,"1,286 reviews",Price 835 zł,0.7 km from center,Double Room,4,Breakfast included,Location 9.7
49,Scandic Hakaniemi,8.0,"Kallio, Helsinki",Very Good ,"1,064 reviews",Price 394 zł,1.1 km from center,Standard Double Room,4,Breakfast included,
