,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,George Airport Apartments,8.2,Heraklio,Very Good ,902 reviews,Price 153 zł,2.5 km from center,One-Bedroom Apartment,3,,
1,Marin Hotel,8.3,"Heralkio City Centre, Heraklio",Very Good ,"1,971 reviews",Price 232 zł,300 m from center,Single Room,3,,Location 9.3
2,Veneziano Boutique Hotel,8.4,"Heralkio City Centre, Heraklio",Very Good ,707 reviews,Price 285 zł,0.6 km from center,Superior Double Room,4,Breakfast included,Location 9.3
3,Sofia Hotel,7.8,Heraklio,Good ,"2,663 reviews",Price 234 zł,2.2 km from center,Single Room,3,,
4,"King's Blue, Urban Suites",9.0,"Heralkio City Centre, Heraklio",Wonderful ,241 reviews,Price 230 zł,300 m from center,Apartment,3,,Location 9.5
5,Athinaiko Hotel,8.3,Heraklio,Very Good ,"2,765 reviews",Price 152 zł,0.6 km from center,Single Room,2,,
6,City Lion by Semavi,9.8,"Heralkio City Centre, Heraklio",Exceptional ,654 reviews,Price 251 zł,0.5 km from center,Apartment - Ground Floor,4,,Location 9.8
7,Kastro Hotel,9.0,"Heralkio City Centre, Heraklio",Wonderful ,"2,297 reviews",Price 218 zł,500 m from center,Single Room-No Breakfast,3,,Location 9.5
8,Candia Suites & Rooms,8.4,"Heralkio City Centre, Heraklio",Very Good ,857 reviews,Price 223 zł,0.5 km from center,Small Double Room,4,,Location 9.4
9,Iraklion Hotel,8.0,"Heralkio City Centre, Heraklio",Very Good ,"1,166 reviews",Price 171 zł,0.7 km from center,Single Room,3,Breakfast included,
10,Lato Boutique Hotel,8.1,"Heralkio City Centre, Heraklio",Very Good ,"2,162 reviews",Price 371 zł,350 m from center,Comfy Room,4,Breakfast included,
11,"GDM Megaron, Historical Monument Hotel",9.4,"Heralkio City Centre, Heraklio",Wonderful ,"2,783 reviews",Price 488 zł,300 m from center,Executive Single Room with Urban View,5,Breakfast included,Location 9.6
12,DOM Boutique Hotel,8.9,"Heralkio City Centre, Heraklio",Excellent ,"2,055 reviews",Price 375 zł,400 m from center,Business Double Room,4,Breakfast included,Location 9.5
13,Infinity City Boutique Hotel,8.6,"Heralkio City Centre, Heraklio",Excellent ,"3,298 reviews",Price 170 zł,350 m from center,Economy Single Room,3,Breakfast included,
14,Intra Muros Hostel,8.5,Heraklio,Very Good ,666 reviews,Price 75 zł,0.7 km from center,Single Bed in Mixed Dormitory Room,0,,
15,"King's Blue , Port View Apartment",8.9,"Heralkio City Centre, Heraklio",Excellent ,80 reviews,Price 366 zł,0.5 km from center,Apartment,4,,Location 9.7
16,Heraklion Youth Hostel,7.6,"Heralkio City Centre, Heraklio",Good ,517 reviews,Price 70 zł,450 m from center,Bed in Female Dormitory Room,0,,Location 9.4
17,Atrion Hotel,8.5,"Heralkio City Centre, Heraklio",Very Good ,"1,395 reviews",Price 176 zł,0.6 km from center,Single Room,3,Breakfast included,
18,Ibis Styles Heraklion Central,9.1,"Heralkio City Centre, Heraklio",Wonderful ,"2,383 reviews",Price 457 zł,250 m from center,Classic Room,4,Breakfast included,Location 9.6
19,Aquila Atlantis Hotel,8.3,"Heralkio City Centre, Heraklio",Very Good ,"1,708 reviews",Original price 527 zł. Current price 425 zł.,200 m from center,Classic Room Urban View Single Use,5,,
20,El Greco Hotel,7.8,"Heralkio City Centre, Heraklio",Good ,"2,330 reviews",Price 162 zł,350 m from center,Basic Single Room,2,,Location 9.6
21,Rooftop Cosy Apartment Perfect Location,9.3,Heraklio,Wonderful ,35 reviews,Price 190 zł,0.5 km from center,One-Bedroom Apartment,4,,
22,Kipos Boutique Suites,9.2,Heraklio,Wonderful ,593 reviews,Price 230 zł,0.7 km from center,Deluxe Double Room,4,,
23,Metropole Urban Hotel,9.0,"Heralkio City Centre, Heraklio",Wonderful ,"1,614 reviews",Price 390 zł,0.6 km from center,Economy Room,4,,Location 9.6
24,Kronos Hotel,8.4,"Heralkio City Centre, Heraklio",Very Good ,"1,535 reviews",Price 213 zł,0.6 km from center,Single Room,2,Breakfast included,Location 9.4
25,Lato Annex Boutique Rooms,8.1,"Heralkio City Centre, Heraklio",Very Good ,299 reviews,Price 236 zł,350 m from center,Economy Room,0,Breakfast included,
26,Capsis Astoria Heraklion,7.7,"Heralkio City Centre, Heraklio",Good ,"2,063 reviews",Price 262 zł,30 m from center,Superior Room ,4,,Location 9.3
27,Raise Kornarou City Stay,9.0,"Heralkio City Centre, Heraklio",Wonderful ,330 reviews,Price 260 zł,350 m from center,Deluxe Double Studio,3,,Location 9.5
28,7Rizes Luxury Living,9.1,Heraklio,Wonderful ,244 reviews,Price 364 zł,1.2 km from center,Superior Double Room,4,,
29,Asterion Luxury Studios Airport,7.9,Heraklio,Good ,322 reviews,Price 256 zł,2 km from center,Superior Studio,3,,
30,Minimal Loft Art with Sea View Over Heraklion Harbour,9.6,Heraklio,Exceptional ,62 reviews,Price 368 zł,0.9 km from center,Deluxe Apartment,4,,
31,Midway Point Apts,8.9,Heraklio,Excellent ,387 reviews,Price 220 zł,1.6 km from center,One-Bedroom Apartment,3,,
32,Central Single Room Ground floor,8.5,"Heralkio City Centre, Heraklio",Very Good ,32 reviews,Price 151 zł,350 m from center,One-Bedroom Apartment,3,,Location 9.3
33,Candia Studios & Rooms,8.5,Heraklio,Very Good ,368 reviews,Price 307 zł,1.7 km from center,Superior Studio with Balcony (B2),3,,
34,Raise Heraklion Boutique Apartments,9.1,Heraklio,Wonderful ,619 reviews,Price 265 zł,0.9 km from center,Studio with Terrace,3,,
35,Lavris City Suites,9.5,Heraklio,Exceptional ,459 reviews,Price 387 zł,350 m from center,Standard Suite,4,,Location 9.3
36,Silver Apartment 1 In The Center Of Iraklion,6.0,Heraklio,Review score ,3 reviews,Price 161 zł,0.7 km from center,Studio,4,,
37,City Center Studios,7.8,"Heralkio City Centre, Heraklio",Good ,623 reviews,Price 227 zł,200 m from center,Twin Studio,3,,Location 9.5
38,"King's Blue , Port View Apartment",8.9,"Heralkio City Centre, Heraklio",Excellent ,80 reviews,Price 366 zł,0.5 km from center,Apartment,4,,Location 9.7
39,Cocomelo Apts 2,9.1,Heraklio,Wonderful ,51 reviews,Price 129 zł,1 km from center,Studio Apartment,3,,
40,Danai's Loft,8.8,Heraklio,Excellent ,221 reviews,Price 192 zł,1.6 km from center,One-Bedroom Apartment,3,,
41,Olympic Hotel,8.0,"Heralkio City Centre, Heraklio",Very Good ,497 reviews,Price 270 zł,350 m from center,Single Room,3,Breakfast included,Location 9.4
42,Raise The Heraklion Project,8.9,"Heralkio City Centre, Heraklio",Excellent ,664 reviews,Price 268 zł,0.6 km from center,Deluxe Studio,3,,Location 9.3
43,Crops Suites,8.9,"Heralkio City Centre, Heraklio",Excellent ,548 reviews,Price 197 zł,400 m from center,Apartment with Balcony,3,Breakfast included,Location 9.7
44,Private rooms in Crete,9.0,Heraklio,Wonderful ,7 reviews,Price 161 zł,0.7 km from center,Single Room,0,,
45,Black Apartment Heraklion,7.0,Heraklio,Good ,60 reviews,Price 160 zł,1.3 km from center,Apartment,3,,
46,City Experience Apartments A,9.2,Heraklio,Wonderful ,84 reviews,Price 265 zł,400 m from center,One-Bedroom Apartment,3,,Location 9.3
47,Cocomelo Apts,8.8,Heraklio,Excellent ,51 reviews,Price 129 zł,1.1 km from center,One-Bedroom Apartment,3,,
48,Ibis Styles Heraklion Central,9.1,"Heralkio City Centre, Heraklio",Wonderful ,"2,383 reviews",Price 457 zł,250 m from center,Classic Room,4,Breakfast included,Location 9.6
49,Pagopoieion by Enorme - Adults Only Suites,9.3,"Heralkio City Centre, Heraklio",Wonderful ,362 reviews,Original price 389 zł. Current price 333 zł.,300 m from center,Economy Double Room,4,,Location 9.8
50,Cocomelo Apts,8.8,Heraklio,Excellent ,51 reviews,Price 129 zł,1.1 km from center,One-Bedroom Apartment,3,,
51,Pagopoieion by Enorme - Adults Only Suites,9.3,"Heralkio City Centre, Heraklio",Wonderful ,362 reviews,Original price 389 zł. Current price 333 zł.,300 m from center,Economy Double Room,4,,Location 9.8
52,Athina Secret Apartments Adults Only,7.3,"Heralkio City Centre, Heraklio",Good ,51 reviews,Price 164 zł,0.8 km from center,One-Bedroom Apartment,3,,
53,Heraklion Old Port Apartments,8.8,"Heralkio City Centre, Heraklio",Excellent ,537 reviews,Price 213 zł,0.6 km from center,Studio Apartment with Veranda,3,,Location 9.4
54,Castello City Hotel,7.7,Heraklio,Good ,"1,708 reviews",Original price 381 zł. Current price 253 zł.,1.2 km from center,Double or Twin Room,4,Breakfast included,
55,Damona Luxury Home - near City Center,9.9,Heraklio,Exceptional ,12 reviews,Price 373 zł,1.5 km from center,Villa,4,,
56,Domus Ariadne,9.1,"Heralkio City Centre, Heraklio",Wonderful ,293 reviews,Price 354 zł,150 m from center,Standard Double Room,4,,Location 9.6
57,Legacy Gastro Suites,9.1,"Heralkio City Centre, Heraklio",Wonderful ,168 reviews,Price 459 zł,150 m from center,V Suite Sea View,5,Breakfast included,Location 9.5
58,Lato Annex Boutique Rooms,8.1,"Heralkio City Centre, Heraklio",Very Good ,299 reviews,Price 237 zł,350 m from center,Economy Room,0,Breakfast included,
59,White Apartment Heraklion,6.2,Heraklio,Review score ,42 reviews,Price 160 zł,1.3 km from center,Apartment,3,,
60,Heraklion chic and minimalistic apartment with sea view,9.3,Heraklio,Wonderful ,81 reviews,Price 388 zł,0.9 km from center,Two-Bedroom Apartment,3,,
61,Jacuzzi suite Piazza dei Leoni,9.7,"Heralkio City Centre, Heraklio",Exceptional ,15 reviews,Price 521 zł,350 m from center,One-Bedroom Apartment,4,,Location 9.8
62,Green Apartment Heraklion,6.3,Heraklio,Review score ,12 reviews,Price 184 zł,1.3 km from center,One-Bedroom Apartment,3,,
63,Centro Apartments,9.4,"Heralkio City Centre, Heraklio",Wonderful ,52 reviews,Original price 314 zł. Current price 248 zł.,0.6 km from center,Deluxe Apartment,4,,Location 9.7
64,Comfy Central 1 Bedroom Apt with Terrace and View,10,"Heralkio City Centre, Heraklio",Exceptional ,1 review,Price 338 zł,300 m from center,One-Bedroom Apartment,0,,Location 10
65,Theros Apartment Heraklion,7.6,Heraklio,Good ,33 reviews,Price 261 zł,1.5 km from center,One-Bedroom Apartment,3,,
66,"Filia's Traditional Haouse, old town in Heraklion",8.4,Heraklio,Very Good ,48 reviews,Price 221 zł,0.8 km from center,Maisonette,3,,
67,Lime Apartment Heraklion,7.5,Heraklio,Good ,38 reviews,Price 221 zł,1.9 km from center,Apartment,3,,
68,Artistic Getaway Home - Super Central,9.8,"Heralkio City Centre, Heraklio",Exceptional ,95 reviews,Original price 435 zł. Current price 391 zł.,450 m from center,Apartment,4,,Location 10
69,City Center with Free Parking and Port Side View,,"Heralkio City Centre, Heraklio",Exceptional 10,5 external reviews,Price 305 zł,400 m from center,One-Bedroom Apartment,0,,
70,Central Studio Semi-basement,7.6,"Heralkio City Centre, Heraklio",Good ,64 reviews,Price 141 zł,300 m from center,One-Bedroom Apartment,3,,Location 9.3
71,"Beautiful, Brand New Apartment with Courtyard.",9.3,Heraklio,Wonderful ,19 reviews,Price 232 zł,1.7 km from center,One-Bedroom Apartment,3,,
72,Maisonette near beach & city center,8.5,Heraklio,Very Good ,71 reviews,Price 310 zł,1.6 km from center,Maisonette,3,,
73,Cozy apartment near the city centre,9.5,Heraklio,Exceptional ,25 reviews,Price 218 zł,1.3 km from center,One-Bedroom Apartment,3,,
74,City Center Apartment Project 3,8.9,"Heralkio City Centre, Heraklio",Excellent ,45 reviews,Price 332 zł,300 m from center,One-Bedroom Apartment,3,,Location 9.7
