,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Efzen hotel,8.9,"Fatih, Istanbul",Excellent ,41 reviews,Original price 519 zł. Current price 244 zł.,0.6 km from center,Budget Single Room,0,,
1,ISG Sabiha Gökçen Airport Hotel,8.6,"Asian Side, Istanbul",Excellent ,"8,262 reviews",Original price 422 zł. Current price 380 zł.,30.6 km from center,Deluxe Double or Twin Room,4,,
2,"YOTEL Istanbul Airport, City Entrance",8.0,Istanbul,Very Good ,"4,462 reviews","Price 1,201 zł",34.3 km from center,Premium Queen,0,,
3,"YOTELAIR Istanbul Airport, Duty free - International Transit area",7.9,Istanbul,Good ,"3,222 reviews","Price 1,622 zł",34.3 km from center,Queen Room,0,,Location 9.3
4,Endless Suites Taksim,8.1,"Beyoglu, Istanbul",Very Good ,"1,024 reviews",Original price 938 zł. Current price 328 zł.,3.5 km from center,Superior Single Room,0,Breakfast included,
5,Wyndham Grand Istanbul Kalamış Marina Hotel,8.5,"Kadikoy, Istanbul",Very Good ,"3,198 reviews","Price 1,007 zł",6.6 km from center,Deluxe Twin Room with City View,5,,
6,Grand Hotel Gulsoy,8.2,"Fatih, Istanbul",Very Good ,"1,844 reviews",Original price 754 zł. Current price 452 zł.,1.5 km from center,Standard Double or Twin Room,4,Breakfast included,
7,TRYP By Wyndham Istanbul Sisli Hotel,8.3,"Sisli, Istanbul",Very Good ,293 reviews,Price 587 zł,6 km from center,Standard Double Room - No Window - First Floor,4,,
8,Kartal Palace Taksim Square FAMİLY HOTEL,8.0,"Beyoglu, Istanbul",Very Good ,995 reviews,Original price 570 zł. Current price 433 zł.,3.4 km from center,Standard Single Room with City View,0,Breakfast included,
9,Emirtimes Hotel Tuzla,8.2,Istanbul,Very Good ,"2,003 reviews",Price 328 zł,34.4 km from center,Large Double Room,0,Breakfast included,
10,Istanbul Marriott Hotel Asia,8.6,"Atasehir, Istanbul",Excellent ,636 reviews,Price 769 zł,11.1 km from center,Deluxe Room with King Bed and City View,5,,
11,Hilton Garden Inn Istanbul Beylikduzu,7.9,Istanbul,Good ,861 reviews,Price 383 zł,28.3 km from center,King Room,4,,
12,Divan Istanbul Asia,8.5,"Pendik, Istanbul",Very Good ,844 reviews,Original price 540 zł. Current price 432 zł.,29.3 km from center,Superior King Room,5,,
13,MENALO HOTEL PREMIUM ISTANBUL AIRPORT,8.8,Istanbul,Excellent ,"3,861 reviews",Price 733 zł,34.5 km from center,Standard Double Room,5,,
14,Mövenpick Hotel Istanbul Bosphorus,8.4,"Besiktas, Istanbul",Very Good ,736 reviews,"Price 1,058 zł",6.8 km from center, Superior  Room City View One King Bed,5,,
15,Arena Hotel - Special Class,8.7,"Fatih, Istanbul",Excellent ,"1,724 reviews",Original price 652 zł. Current price 261 zł.,450 m from center,Classic Double or Twin Room,0,Breakfast included,Location 9.3
16,Four Points by Sheraton Istanbul Kagithane,8.6,"Kagithane, Istanbul",Excellent ,483 reviews,Price 666 zł,8.8 km from center,Deluxe King Room with City View,4,,
17,"Crowne Plaza Istanbul Asia, an IHG Hotel",8.7,"Asian Side, Istanbul",Excellent ,"1,074 reviews",Price 627 zł,30.3 km from center,Standard Twin Room,5,,
18,Pera Palace Hotel,8.9,"Beyoglu, Istanbul",Excellent ,"2,653 reviews","Price 1,314 zł",2.5 km from center,Deluxe Pera Side Room King,5,,Location 9.4
19,Hilton Istanbul Maslak,8.4,"Sariyer, Istanbul",Very Good ,"1,767 reviews",Price 955 zł,11.9 km from center,King Room,5,,
20,Sheraton Istanbul Levent,8.9,"Kagithane, Istanbul",Excellent ,539 reviews,"Price 1,130 zł",9.1 km from center,Deluxe King Room,5,,
21,Hotel Orkide,8.8,"Fatih, Istanbul",Excellent ,799 reviews,Price 164 zł,1.1 km from center,Deluxe Single Room,0,,
22,Marius Hotel,9.4,"Fatih, Istanbul",Wonderful ,7 reviews,Price 399 zł,0.6 km from center,Standard Single Room,0,Breakfast included,Location 9.6
23,Ramada Beylikduzu,7.3,Istanbul,Good ,235 reviews,Price 704 zł,28.9 km from center,Deluxe Double Room - French Bed - City View,5,,
24,gafa garden Hostel,8.3,"Beyoglu, Istanbul",Very Good ,447 reviews,Price 101 zł,3 km from center,Double Room with Balcony,0,Breakfast included,
25,gafa garden Hostel,8.3,"Beyoglu, Istanbul",Very Good ,447 reviews,Price 101 zł,3 km from center,Double Room with Balcony,0,Breakfast included,
26,Divan Istanbul City,7.3,"Sisli, Istanbul",Good ,576 reviews,Original price 563 zł. Current price 450 zł.,6.9 km from center,Economy Single Room,4,,
27,"DeCamondo Galata, a Tribute Portfolio Hotel",9.4,"Beyoglu, Istanbul",Wonderful ,"1,422 reviews",Price 821 zł,1.8 km from center,House Superior Queen Room,0,,Location 9.5
28,Avlonya Hotel,7.9,"Fatih, Istanbul",Good ,691 reviews,Original price 117 zł. Current price 111 zł.,2.1 km from center,Standard Single Room,3,Breakfast included,
29,Akgun Istanbul Hotel,8.9,"Fatih, Istanbul",Excellent ,"4,954 reviews",Original price 633 zł. Current price 418 zł.,4 km from center,Deluxe Single Room,5,,
30,Taksim The Peak Hotel & SPA,7.1,"Beyoglu, Istanbul",Good ,"4,964 reviews",Original price 790 zł. Current price 375 zł.,2.5 km from center,Eccentric Double Room,5,Breakfast included,
31,Florenta Hotel,8.2,"Fatih, Istanbul",Very Good ,"3,071 reviews",Original price 307 zł. Current price 276 zł.,350 m from center,Superior Single Room,0,Breakfast included,
