,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Oglakcioglu Park Boutique Hotel,8.3,"Konak, İzmir",Very Good ,716 reviews,Price 211 zł,0.7 km from center,Budget Single Room,0,Breakfast included,
1,Piano Hotel,8.2,"Konak, İzmir",Very Good ,762 reviews,Price 122 zł,0.6 km from center,Economy Single Room,3,Breakfast included,
2,Tanik Hotel,8.0,"Konak, İzmir",Very Good ,498 reviews,Price 186 zł,0.6 km from center,Basic Single Room,3,Breakfast included,
3,TAV Airport Hotel Izmir,8.5,"Gaziemir, İzmir",Very Good ,"1,642 reviews",Price 281 zł,14.3 km from center,Standard Single Room,0,,Location 9.4
4,Hyatt Regency Izmir IstinyePark,,"Balcova, İzmir",,,Price 669 zł,6.1 km from center,Twin Room,5,,
5,Mitte Port Hotel Konak Izmir,7.7,"Konak, İzmir",Good ,338 reviews,Price 234 zł,1.5 km from center,Budget Double Room,4,Breakfast included,
6,Hotel Apart Alsancak,8.1,"Konak, İzmir",Very Good ,503 reviews,Price 201 zł,2 km from center,Studio Apartment,3,,
7,Smart Hotel İzmir,8.3,"Konak, İzmir",Very Good ,"1,676 reviews",Price 268 zł,0.7 km from center,Business Single Room with %15 Laundry Discount,4,,
8,DoubleTree by Hilton Izmir - Alsancak,7.1,"Konak, İzmir",Good ,314 reviews,Price 463 zł,0.8 km from center,King Guest Room,4,,
9,Swissotel Buyuk Efes Izmir,8.9,"Konak, İzmir",Excellent ,"1,160 reviews",Price 602 zł,0.7 km from center,Swiss Classic Room King with City View,5,,Location 9.5
10,Yeşilyurt Residence,7.6,İzmir,Good ,248 reviews,Price 126 zł,3.6 km from center,Deluxe Double Room,3,Breakfast included,
11,Park Inn by Radisson Izmir,8.6,"Konak, İzmir",Excellent ,"2,451 reviews",Price 440 zł,0.6 km from center,Standard Room,4,,Location 9.4
12,Balcova Termal Hotel,5.9,"Balcova, İzmir",Review score ,70 reviews,Price 271 zł,9.4 km from center,Twin Garden Room,4,,
13,Four Points by Sheraton Izmir,8.4,İzmir,Very Good ,310 reviews,Price 746 zł,5.9 km from center,Standard Double Room,4,,
14,Lotus Garden Hostel Izmir,8.1,"Konak, İzmir",Very Good ,141 reviews,Price 76 zł,0.8 km from center,Single Bed in Dormitory Room,0,,
15,Yumukoglu Hotel,6.5,"Konak, İzmir",Review score ,261 reviews,Price 178 zł,0.6 km from center,Standard Double or Twin Room,3,Breakfast included,
16,Antikhan Hotel,7.1,"Konak, İzmir",Good ,437 reviews,Original price 110 zł. Current price 104 zł.,400 m from center,Single Room,2,,
17,Kozan City Hotel,7.6,"Konak, İzmir",Good ,"1,052 reviews",Price 168 zł,0.7 km from center,Budget Single Room,0,Breakfast included,
18,Hotel Baylan Basmane,8.0,"Konak, İzmir",Very Good ,456 reviews,Price 152 zł,0.8 km from center,Single Room,3,Breakfast included,
19,Konak Saray Hotel,6.2,"Konak, İzmir",Review score ,153 reviews,Price 103 zł,0.6 km from center,Single Room,2,Breakfast included,
20,Hay Hotel Alsancak,8.7,"Konak, İzmir",Excellent ,518 reviews,Price 421 zł,2.4 km from center,Standard Double Room,0,Breakfast included,Location 9.4
21,L'Agora Old Town Hotel & Bazaar,8.7,"Konak, İzmir",Excellent ,750 reviews,Price 397 zł,200 m from center,Standard Double or Twin Room,0,Breakfast included,
22,Hakcan Hotel,8.4,"Gaziemir, İzmir",Very Good ,283 reviews,Price 250 zł,10.5 km from center,Large Single Room,0,Breakfast included,
23,Ibis Izmir Alsancak,8.2,"Konak, İzmir",Very Good ,620 reviews,Price 361 zł,2.3 km from center,Standard Double Room,3,,
24,Orty Airport Hotel,8.0,"Gaziemir, İzmir",Very Good ,"1,153 reviews",Price 316 zł,14 km from center,Standard Double or Twin Room,4,,
25,The New Hotel Zeybek,6.3,"Konak, İzmir",Review score ,753 reviews,Price 126 zł,0.7 km from center,Single Room,0,Breakfast included,
26,Viva La Vita Butik Otel,8.6,"Konak, İzmir",Excellent ,277 reviews,Price 257 zł,1.9 km from center,Standard Double Room,0,,Location 9.6
27,Wyndham Grand İzmir Özdilek,8.7,"Balcova, İzmir",Excellent ,"1,590 reviews",Price 562 zł,8.9 km from center,Standard King Room with Mountain View - Non-Smoking,5,,
28,Renaissance Izmir Hotel,8.7,"Konak, İzmir",Excellent ,"1,074 reviews",Price 602 zł,0.6 km from center,Deluxe Twin Room,5,,
29,Mini Hotel,7.5,"Konak, İzmir",Good ,363 reviews,Price 136 zł,1.4 km from center,Classic Single Room,2,Breakfast included,
30,Mom Hotel,7.3,"Bornova, İzmir",Good ,101 reviews,Price 187 zł,7 km from center,Single Room,0,Breakfast included,
31,Met Boutique Hotel,9.0,"Konak, İzmir",Wonderful ,196 reviews,Price 404 zł,0.7 km from center,Standard Double or Twin Room,0,Breakfast included,
32,Mövenpick Hotel Izmir,7.5,"Konak, İzmir",Good ,773 reviews,Price 524 zł,0.8 km from center,Superior Twin Room,5,,
33,Agora Park Hotel,4.5,"Konak, İzmir",Review score ,26 reviews,Price 140 zł,450 m from center,Standard Double Room,0,,
34,MARİNA HOTEL,7.4,"Konak, İzmir",Good ,487 reviews,Price 154 zł,450 m from center,Single Room,3,Breakfast included,
35,DoubleTree By Hilton Izmir Airport,8.3,"Gaziemir, İzmir",Very Good ,"1,483 reviews",Price 510 zł,12.8 km from center,Guest King Room,4,,
36,Radisson Hotel Izmir Aliaga,8.9,İzmir,Excellent ,215 reviews,Price 335 zł,43.7 km from center,Standard Room,5,,
37,Punta Vista Otel,8.1,"Konak, İzmir",Very Good ,93 reviews,Price 178 zł,1.5 km from center,Standard Double Room,0,Breakfast included,
38,Tempo Residence Comfort Izmir,8.4,"Konak, İzmir",Very Good ,526 reviews,Price 295 zł,1.5 km from center,Junior Suite,4,Breakfast included,
39,Deka Evleri,9.5,"Konak, İzmir",Exceptional ,188 reviews,Price 211 zł,1.4 km from center,One-Bedroom Apartment,3,,
40,Red Green Hotel,7.7,"Karsiyaka, İzmir",Good ,18 reviews,Price 200 zł,4.5 km from center,Single Room,0,Breakfast included,
41,Pasaport Pier Hotel,6.9,"Konak, İzmir",Review score ,669 reviews,Price 346 zł,0.7 km from center,Economy Room without No View,0,,
42,Grand Corner Boutique Hotel,7.4,"Konak, İzmir",Good ,192 reviews,Price 197 zł,0.8 km from center,Standard Single Room,0,Breakfast included,
43,Perla Arya Hotel,8.3,"Konak, İzmir",Very Good ,172 reviews,Price 178 zł,1.5 km from center,Standard Double Room,0,,
44,Alaçatı Aura Plus,8.4,İzmir,Very Good ,31 reviews,Original price 165 zł. Current price 157 zł.,67.7 km from center,Standard Double Room,0,Breakfast included,
45,Best Western Premier Karsiyaka Convention & Spa Hotel,7.1,"Karsiyaka, İzmir",Good ,334 reviews,Price 470 zł,8.1 km from center,King Room with Panoramic View,5,,
46,Hotel 86 By Katipoğlu,7.9,"Konak, İzmir",Good ,589 reviews,Price 251 zł,200 m from center,Standard Single Room,0,Breakfast included,
47,Mysun Residence Hotel,7.8,"Konak, İzmir",Good ,89 reviews,Price 170 zł,1.5 km from center,Standard Double Room,3,,
48,Susuzlu Seckin Hotel,6.5,"Konak, İzmir",Review score ,120 reviews,Price 158 zł,0.5 km from center,Standard Double or Twin Room,3,Breakfast included,
49,Kaya Izmir Thermal & Convention,8.1,İzmir,Very Good ,409 reviews,Price 702 zł,9.7 km from center,Deluxe Triple Room,5,Breakfast included,
