,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,B&B Hotel Katowice Centrum,8.4,Katowice,Very Good ,"2,532 reviews",Price 409 zł,0.5 km from center,Standard Double Room,2,,Location 9.4
1,Rynek 7,7.5,Katowice,Good ,963 reviews,Price 120 zł,100 m from center,Double Room,0,Breakfast included,Location 9.6
2,Ozonowane Apartamenty Next to Galeria Katowice,9.1,Katowice,Wonderful ,"2,379 reviews",Price 153 zł,400 m from center,Single Room with Shower,3,,Location 9.8
3,Hostel Kamienica Rynek 7,7.6,Katowice,Good ,"1,338 reviews",Price 95 zł,100 m from center,Small Single Room,0,Breakfast included,Location 9.6
4,Hostel Katowice Centrum,7.9,Katowice,Good ,"3,070 reviews",Price 60 zł,0.6 km from center,Bed in 4-Bed Dormitory Room,0,,Location 9.4
5,Campanile Katowice,8.3,Katowice,Very Good ,"1,994 reviews",Price 449 zł,1.9 km from center,Twin Room,3,,
6,Kathia Pokoje Gościnne,9.3,Katowice,Wonderful ,371 reviews,Price 129 zł,6.4 km from center,Twin Room with Bathroom,3,,
7,Courtyard by Marriott Katowice City Center,9.1,Katowice,Wonderful ,"1,740 reviews",Price 999 zł,350 m from center,Superior Double Room,4,,Location 9.6
8,Best Western Hotel Mariacki Katowice,9.1,Katowice,Wonderful ,"1,961 reviews",Price 578 zł,450 m from center,Standard Single Room,3,,Location 9.5
9,Hotel Monopol,8.7,Katowice,Excellent ,397 reviews,Price 720 zł,250 m from center,Single Room,5,,Location 9.3
10,Park Inn by Radisson Katowice,7.9,Katowice,Good ,"4,088 reviews",Price 594 zł,3.5 km from center,Single Room,4,,
11,Jopi Hostel Katowice Centrum,7.5,Katowice,Good ,"1,084 reviews",Price 42 zł,0.7 km from center,Single Bed in Mixed Dormitory Room,0,,
12,Karczma pod Młynem,8.3,Katowice,Very Good ,"1,448 reviews",Price 185 zł,3.8 km from center,Single Room,0,,
13,Hostel Sentral,6.8,Katowice,Review score ,796 reviews,Price 120 zł,250 m from center,Single Room with Shared Bathroom,0,,Location 9.3
14,Hostel Moderna Rest,8.3,Katowice,Very Good ,420 reviews,Price 114 zł,0.7 km from center,Double Room with Terrace,0,,
15,Apartamenty 1-maja 94,9.1,Katowice,Wonderful ,"1,166 reviews",Price 163 zł,2.1 km from center,Studio Apartment,3,,
16,Rybnicka 10,8.9,Katowice,Excellent ,107 reviews,Price 109 zł,1.1 km from center,Single Room,0,,
17,Ondraszka,6.7,Katowice,Review score ,223 reviews,Price 100 zł,1.9 km from center,Single Room with Private Bathroom,0,,
18,Sentral Apartments,8.0,Katowice,Very Good ,795 reviews,Price 162 zł,250 m from center,Single Room with Private Bathroom,0,,Location 9.5
19,Mia Mia House,8.3,Katowice,Very Good ,"1,705 reviews",Price 145 zł,2.5 km from center,Double Room with Private Bathroom,3,,
20,Załęże,8.3,Katowice,Very Good ,"1,319 reviews",Price 200 zł,1.9 km from center,Standard Single Room,3,,
21,ibis budget Katowice Centrum,7.6,Katowice,Good ,"2,828 reviews",Price 335 zł,0.9 km from center,Standard Double Room,1,,
22,Park Hotel Diament Katowice,8.4,Katowice,Very Good ,"2,301 reviews",Price 653 zł,1.6 km from center,Standard Double Room,4,,
23,eM Apartment 17,8.3,Katowice,Very Good ,270 reviews,Price 182 zł,1.1 km from center,One-Bedroom Apartment,3,,
24,Novotel Katowice Centrum,8.4,Katowice,Very Good ,"2,693 reviews",Price 594 zł,0.9 km from center,Standard Double Room,4,,
25,Bright Side Apartment Koszutka,9.3,Katowice,Wonderful ,100 reviews,Price 178 zł,0.9 km from center,One-Bedroom Apartment,3,,Location 9.6
26,ActivPark Apartments,9.2,Katowice,Wonderful ,"1,325 reviews",Price 200 zł,3.6 km from center,Economy Apartment,4,,Location 9.3
27,Rybnicka 10,8.9,Katowice,Excellent ,107 reviews,Price 109 zł,1.1 km from center,Single Room,0,,
28,ibis budget Katowice Centrum,7.6,Katowice,Good ,"2,828 reviews",Price 335 zł,0.9 km from center,Standard Double Room,1,,
29,Luxury Apartment - 3 lakes,9.8,Katowice,Exceptional ,160 reviews,Price 330 zł,1.5 km from center,One-Bedroom Apartment,4,,Location 9.7
30,Hotel Diament Plaza Katowice,9.2,Katowice,Wonderful ,"1,085 reviews","Price 1,165 zł",250 m from center,Superior Classic Single Room,4,,Location 9.6
31,Q Hotel Plus Katowice,8.9,Katowice,Excellent ,"2,929 reviews",Price 675 zł,400 m from center,Standard Double Room,4,,
