,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Xerion Hotel,8.7,"Podgórze, Krakow",Excellent ,"1,127 reviews",Original price 436 zł. Current price 262 zł.,2.3 km from center,Small Double or Twin Room,4,,
1,Sky Hotel Krakow,9.3,"Old Town, Krakow",Wonderful ,"3,726 reviews",Original price 450 zł. Current price 421 zł.,0.7 km from center,Comfort Double Room,4,,Location 9.6
2,Brama Hostel,8.3,"Old Town, Krakow",Very Good ,574 reviews,Price 207 zł,350 m from center,Triple Room with Shared Bathroom,0,Breakfast included,Location 9.7
3,Lemon Tree Hostel,8.2,"Old Town, Krakow",Very Good ,779 reviews,Original price 45 zł. Current price 42 zł.,0.7 km from center,Bed in 8-Bed Female Dormitory Room,0,,
4,Aparthotel W Pałacu,7.8,"Old Town, Krakow",Good ,"1,334 reviews",Price 180 zł,0.6 km from center,Large Single Room,3,Breakfast included,Location 9.5
5,Nawojka Hotele Studenckie,8.0,"Krowodrza, Krakow",Very Good ,314 reviews,Price 120 zł,1.4 km from center,Double Room with Private Bathroom,2,,
6,B&B Hotel Krakow Centrum,8.5,"Debniki, Krakow",Very Good ,"4,978 reviews",Price 190 zł,1.7 km from center,Twin Room,2,,Location 9.3
7,ibis budget Krakow Stare Miasto,7.9,"Old Town, Krakow",Good ,"5,349 reviews",Price 195 zł,1.1 km from center,Standard Double Room,1,,Location 9.3
8,"Studio Pomorska , bezpłatny parking",9.3,"Krowodrza, Krakow",Wonderful ,119 reviews,Original price 150 zł. Current price 140 zł.,1.2 km from center,Apartment,3,,Location 9.4
9,Hotel Alf,7.3,"Podgórze, Krakow",Good ,"1,177 reviews",Price 118 zł,2.8 km from center,Single Room with Shared Bathroom,2,,
10,Metropolo by Golden Tulip Krakow,9.2,"Lagiewniki, Krakow",Wonderful ,"3,354 reviews",Original price 220 zł. Current price 206 zł.,5.7 km from center,Classic King Room,4,,
11,CDR,8.7,"Old Town, Krakow",Excellent ,"1,041 reviews",Price 165 zł,1.4 km from center,Double Room with Bathroom,3,,Location 9.5
12,Topolove Rooms & Apartments,9.1,"Grzegórzki, Krakow",Wonderful ,908 reviews,Original price 157 zł. Current price 147 zł.,1.5 km from center,Small Single Room,0,,Location 9.5
13,Dom Studencki Zaułek,9.2,"Old Town, Krakow",Wonderful ,"2,157 reviews",Price 130 zł,1.7 km from center,Standard Double Room,0,,Location 9.5
14,Benefis Boutique Hotel,9.1,"Debniki, Krakow",Wonderful ,"1,456 reviews",Price 299 zł,1.3 km from center,Studio Apartment (2 Adults),3,Breakfast included,Location 9.3
15,Hotel Wielopole,9.0,"Old Town, Krakow",Wonderful ,"1,434 reviews",Original price 299 zł. Current price 239 zł.,0.6 km from center,Single Room,3,,Location 9.7
16,The Bridge Suites,9.2,"Podgórze, Krakow",Wonderful ,"1,597 reviews",Price 432 zł,2.1 km from center,Standard Double Room,3,,Location 9.3
17,ibis Styles Kraków Centrum,9.2,"Grzegórzki, Krakow",Wonderful ,"1,453 reviews",Price 303 zł,2.3 km from center,Single Room,3,Breakfast included,
18,Hilton Garden Inn Krakow Airport,8.9,Krakow,Excellent ,"3,691 reviews",Price 434 zł,9.6 km from center,King Room,4,,Location 9.6
19,DoubleTree by Hilton Krakow Hotel & Convention Center,9.1,"Grzegórzki, Krakow",Wonderful ,"3,797 reviews",Price 318 zł,3.2 km from center,Twin Guest Room,4,,
20,Hampton by Hilton Krakow,9.0,"Grzegórzki, Krakow",Wonderful ,"2,962 reviews",Price 317 zł,3.3 km from center,Twin Room,3,Breakfast included,
21,Flamingo Premium Hostel,8.0,"Old Town, Krakow",Very Good ,"1,984 reviews",Price 195 zł,150 m from center,Small Double Room,0,,Location 9.4
22,Green Hostel,8.0,"Old Town, Krakow",Very Good ,725 reviews,Price 120 zł,1.3 km from center,Standard Single Room,0,,Location 9.3
23,Dream Hostel & Apartments,8.4,"Old Town, Krakow",Very Good ,"2,054 reviews",Original price 48 zł. Current price 44 zł.,1.2 km from center,Bed in 5-Bed Mixed Dormitory Room with Shared Bathroom,0,,Location 9.3
24,Hotel Poleski,8.3,"Debniki, Krakow",Very Good ,776 reviews,Original price 315 zł. Current price 236 zł.,1.3 km from center,Double or Twin Room,3,,Location 9.6
25,Metropolo by Golden Tulip Krakow,9.2,"Lagiewniki, Krakow",Wonderful ,"3,354 reviews",Price 220 zł,5.7 km from center,Classic King Room,4,,
26,Ascot Premium Hotel,8.7,"Old Town, Krakow",Excellent ,"1,875 reviews",Price 260 zł,0.8 km from center,Single Room,4,,Location 9.3
27,Hotel Poleski,8.3,"Debniki, Krakow",Very Good ,776 reviews,Price 239 zł,1.3 km from center,Double Single Use Classic,3,,Location 9.6
28,Hotel Polski Pod Białym Orłem,9.1,"Old Town, Krakow",Wonderful ,"1,893 reviews",Price 470 zł,350 m from center,Single Room,4,,Location 9.8
29,Hilton Garden Inn Krakow,8.9,"Debniki, Krakow",Excellent ,"2,316 reviews",Price 295 zł,2.1 km from center,Queen Room,4,,
30,Hotel Regent,8.4,"Old Town, Krakow",Very Good ,377 reviews,Price 223 zł,1.5 km from center,Single Room,3,Breakfast included,
31,Hotel Alf,7.3,"Podgórze, Krakow",Good ,"1,177 reviews",Price 118 zł,2.8 km from center,Single Room with Shared Bathroom,2,,
32,Hilton Garden Inn Krakow Airport,8.9,Krakow,Excellent ,"3,691 reviews",Price 434 zł,9.6 km from center,King Room,4,,Location 9.6
33,Best Western Plus Krakow Old Town,8.6,"Old Town, Krakow",Excellent ,"1,558 reviews",Price 363 zł,0.6 km from center,Premium Single Room,3,Breakfast included,Location 9.6
34,ibis Styles Kraków Centrum,9.2,"Grzegórzki, Krakow",Wonderful ,"1,453 reviews",Price 303 zł,2.3 km from center,Single Room,3,Breakfast included,
35,Hostel u Kmity,8.3,"Old Town, Krakow",Very Good ,"1,133 reviews",Price 55 zł,200 m from center,Bed in 6-Bed Mixed Dormitory Room,0,,Location 9.7
36,Amber Boutique Hotels - Hotel Amber,9.0,"Old Town, Krakow",Wonderful ,944 reviews,Original price 464 zł. Current price 371 zł.,350 m from center,Single Room,3,Breakfast included,Location 9.6
37,Qubus Hotel Kraków,8.8,"Podgórze, Krakow",Excellent ,"3,980 reviews",Price 369 zł,2.1 km from center,Double Room,4,,
38,Apartamenty Dolna Kraków,8.3,"Czyzyny, Krakow",Very Good ,491 reviews,Price 199 zł,5.2 km from center,Studio with Sofa Bed,3,,
39,Hotel H12****,9.0,"Old Town, Krakow",Wonderful ,908 reviews,Original price 474 zł. Current price 393 zł.,450 m from center,Deluxe Double or Twin Room with Air Condition,4,,Location 9.7
40,Hotel TERESITA,8.4,"Bieżanów - Prokocim, Krakow",Very Good ,"1,590 reviews",Price 170 zł,8.2 km from center,Single Room with Private Bathroom,2,Breakfast included,
41,Hotel Wawel,9.1,"Old Town, Krakow",Wonderful ,980 reviews,Price 314 zł,0.6 km from center,Single Room,3,Breakfast included,Location 9.8
42,"Studio Pomorska , bezpłatny parking",9.3,"Krowodrza, Krakow",Wonderful ,119 reviews,Price 150 zł,1.2 km from center,Apartment,3,,Location 9.4
43,Hotel Logos Kraków,8.9,"Old Town, Krakow",Excellent ,"1,202 reviews",Original price 270 zł. Current price 230 zł.,0.6 km from center,Single Room,3,,Location 9.5
44,Hotel Yarden by Artery Hotels,8.1,"Old Town, Krakow",Very Good ,"2,077 reviews",Original price 387 zł. Current price 310 zł.,0.8 km from center,Single Room,3,,
45,Hampton by Hilton Krakow,9.0,"Grzegórzki, Krakow",Wonderful ,"2,962 reviews",Price 317 zł,3.3 km from center,Twin Room,3,Breakfast included,
46,Apartament na Fatimskiej,9.2,Krakow,Wonderful ,89 reviews,Price 110 zł,7.2 km from center,Double Room with Balcony,3,,
47,Amber Design Residence,9.2,"Old Town, Krakow",Wonderful ,976 reviews,Original price 469 zł. Current price 375 zł.,450 m from center,Double Petit Boutique,4,,Location 9.7
48,Apartamenty ZORZA,9.6,"Lagiewniki, Krakow",Exceptional ,188 reviews,Price 172 zł,4.8 km from center,One-Bedroom Apartment,3,,
49,Matejko Hotel,8.2,"Old Town, Krakow",Very Good ,"4,365 reviews",Price 252 zł,0.6 km from center,Single Room ,3,,Location 9.7
50,Szeroka 33,8.5,"Old Town, Krakow",Very Good ,245 reviews,Price 150 zł,1.4 km from center,Single Room,3,,Location 9.6
51,DReAM Garden Palace,8.4,"Old Town, Krakow",Very Good ,953 reviews,Price 152 zł,0.6 km from center,Budget Single Room,0,,Location 9.4
52,1891 Garni Hotel,9.0,"Old Town, Krakow",Wonderful ,"3,105 reviews",Original price 484 zł. Current price 387 zł.,1.2 km from center,Queen Room,4,,Location 9.4
53,Hotel Royal,8.2,"Old Town, Krakow",Very Good ,"3,168 reviews",Price 259 zł,0.9 km from center,Standard Single Room,3,Breakfast included,Location 9.6
54,Mundo Hostel,9.1,"Old Town, Krakow",Wonderful ,"1,312 reviews",Price 71 zł,0.8 km from center,Bed in Dormitory Room for 6 People with Shared Bathroom,0,Breakfast included,Location 9.7
55,"Hotel Indigo Krakow - Old Town, an IHG Hotel",9.3,"Old Town, Krakow",Wonderful ,645 reviews,Price 484 zł,0.6 km from center,Queen Bed Standard,4,,Location 9.7
56,Hotel Wyspiański,8.2,"Old Town, Krakow",Very Good ,"4,696 reviews",Price 171 zł,0.6 km from center,Partner offer option,3,,Location 9.6
57,Hotel TERESITA,8.4,"Bieżanów - Prokocim, Krakow",Very Good ,"1,590 reviews",Price 170 zł,8.2 km from center,Single Room with Private Bathroom,2,Breakfast included,
58,Hotel Polski Pod Białym Orłem,9.1,"Old Town, Krakow",Wonderful ,"1,893 reviews",Price 470 zł,350 m from center,Single Room,4,,Location 9.8
59,Shapiro Apartment Kazimierz,9.2,"Old Town, Krakow",Wonderful ,19 reviews,Price 226 zł,1.7 km from center,One-Bedroom Apartment,3,,Location 10
60,Park Inn by Radisson Krakow,8.9,"Debniki, Krakow",Excellent ,"3,366 reviews",Price 293 zł,1.8 km from center,Standard Room,4,,
61,Liebeskind Boutique Hotel,9.0,"Old Town, Krakow",Wonderful ,891 reviews,Price 345 zł,0.6 km from center,Single Room,4,,Location 9.5
62,Atlantis Hostel,8.3,"Old Town, Krakow",Very Good ,"4,308 reviews",Price 40 zł,1.1 km from center,Bed in 10-Bed Dormitory Room with Shared Bathroom,0,,
63,Campanile Cracovie / Krakow,8.2,"Old Town, Krakow",Very Good ,"2,314 reviews",Price 280 zł,450 m from center,Double Room,3,,Location 9.7
64,PURO Kraków Kazimierz,9.4,"Old Town, Krakow",Wonderful ,"6,392 reviews",Price 593 zł,1.6 km from center,Double Room,4,,
65,NR 4,4.3,"Old Town, Krakow",Review score ,62 reviews,Price 99 zł,0.6 km from center,One-Bedroom Apartment,0,,
66,Hotel Stary,9.1,"Old Town, Krakow",Wonderful ,878 reviews,Price 869 zł,50 m from center,Single Room,5,,Location 9.9
67,Hotel Maltański,8.6,"Old Town, Krakow",Excellent ,879 reviews,Price 330 zł,0.7 km from center,Single Room,3,,Location 9.7
68,SZEWSKA 22 BOUTIQUE,9.3,"Old Town, Krakow",Wonderful ,627 reviews,Price 410 zł,250 m from center,Deluxe Double Room,4,,Location 9.9
69,City Life Apartments Kraków,9.4,"Grzegórzki, Krakow",Wonderful ,100 reviews,Price 235 zł,2.2 km from center,Queen Studio,3,,
70,Hotel Gródek,8.8,"Old Town, Krakow",Excellent ,831 reviews,Price 480 zł,450 m from center,Standard Double Room,5,,Location 9.7
71,Xerion Hotel,8.7,"Podgórze, Krakow",Excellent ,"1,127 reviews",Original price 436 zł. Current price 262 zł.,2.3 km from center,Small Double or Twin Room,4,,
72,Amber Design Residence,9.2,"Old Town, Krakow",Wonderful ,976 reviews,Original price 469 zł. Current price 375 zł.,450 m from center,Double Petit Boutique,4,,Location 9.7
73,Radisson Blu Hotel Krakow,8.6,"Old Town, Krakow",Excellent ,"3,578 reviews",Price 585 zł,0.6 km from center,Standard Room,5,,Location 9.6
74,29 Avenue Apartments,9.4,"Pradnik Czerwony, Krakow",Wonderful ,270 reviews,Price 148 zł,2.8 km from center,Large Double Room,3,,
75,"2 Nights Apartments - great location, right next to Main Rail and Bus Station, 10 min to Main Square by foot",7.8,"Grzegórzki, Krakow",Good ,"2,632 reviews",Price 252 zł,1.3 km from center,Superior Apartment,3,,
76,Pollera,8.8,"Old Town, Krakow",Excellent ,"3,484 reviews",Price 286 zł,350 m from center,Single Room,3,,Location 9.8
77,Hotel Stary,9.1,"Old Town, Krakow",Wonderful ,878 reviews,Price 869 zł,50 m from center,Single Room,5,,Location 9.9
