,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Five Elements Hostel Leipzig,8.1,"Mitte, Leipzig",Very Good ,"3,489 reviews",Price 93 zł,200 m from center,Bed in 8-Bed Mixed Dormitory Room,0,,Location 9.7
1,INNSiDE by Meliá Leipzig,8.5,"Mitte, Leipzig",Very Good ,"4,193 reviews",Original price 605 zł. Current price 514 zł.,300 m from center,The INNSIDE Room,4,,Location 9.6
2,Hotel Markgraf Leipzig,8.1,"Süd, Leipzig",Very Good ,"2,637 reviews",Price 249 zł,1.7 km from center,Economy Single Room,3,,
3,Homeplanet Hostel,8.1,"Süd, Leipzig",Very Good ,291 reviews,Price 150 zł,3.8 km from center,Bed in 4-Bed Dormitory Room,0,,
4,Ibis Budget Leipzig City,7.5,"Mitte, Leipzig",Good ,"6,427 reviews",Price 282 zł,250 m from center,Double Room,1,,Location 9.5
5,a&o Leipzig Hauptbahnhof,7.2,"Mitte, Leipzig",Good ,"4,297 reviews",Price 89 zł,0.9 km from center,Bed in 6-Bed Dormitory Room,2,,
6,The Westin Leipzig,7.8,"Mitte, Leipzig",Good ,"2,894 reviews",Price 511 zł,0.6 km from center,"Classic, Guest room, 1 Queen",4,,
7,GRONERS Leipzig,8.8,"Mitte, Leipzig",Excellent ,"2,696 reviews",Original price 197 zł. Current price 168 zł.,150 m from center,Bed in 8-Bed Mixed Dormitory Room,3,,Location 9.8
8,Hotel Atlas Leipzig,8.4,"Ost, Leipzig",Very Good ,"1,825 reviews",Price 352 zł,1.6 km from center,Single Room,0,,
9,Oskars Absteige,7.8,"Mitte, Leipzig",Good ,639 reviews,Price 117 zł,1 km from center,Bed in 4-Bed Mixed Dormitory Room,0,,
10,B&B Hotel Leipzig-City,7.8,"Mitte, Leipzig",Good ,"3,050 reviews",Price 286 zł,300 m from center,Twin Room,2,,Location 9.6
11,Luga Homes - Stadthaus,8.0,"Mitte, Leipzig",Very Good ,"1,431 reviews",Price 476 zł,0.8 km from center,Double Room with Shared Bathroom,3,,
12,Hotel Merseburger Hof,7.3,"Alt-West, Leipzig",Good ,"1,500 reviews",Price 239 zł,3.3 km from center,Single Room,3,,
13,Parkhotel Diani,8.1,"Probstheida, Leipzig",Very Good ,"1,367 reviews",Price 334 zł,5.1 km from center,Comfort Single Room,4,,
14,astral'Inn Leipzig Hotel & Restaurant,7.3,"Alt-West, Leipzig",Good ,"1,782 reviews",Price 324 zł,5.6 km from center,Single Room,3,,
15,NH Leipzig Messe,7.9,"Wiederitzsch, Leipzig",Good ,"2,198 reviews",Price 447 zł,6.9 km from center,Standard Double or Twin Room with Extra bed (2 Adults + 1 Child),4,,
16,Seaside Park Hotel Leipzig,8.4,"Mitte, Leipzig",Very Good ,"4,674 reviews",Price 669 zł,400 m from center,Economy Single Room,4,,Location 9.6
17,Apartment Central Leipzig,8.9,"Mitte, Leipzig",Excellent ,"3,298 reviews",Price 371 zł,0.6 km from center,Superior Studio,4,,Location 9.6
18,Pension Klingenstr. 23,8.5,"Plagwitz, Leipzig",Very Good ,267 reviews,Price 127 zł,4 km from center,Single Room with Shared Bathroom,2,,
19,"Sleepy Lion Hostel, Youth Hotel & Apartments Leipzig",7.9,"Mitte, Leipzig",Good ,"2,033 reviews",Price 81 zł,0.6 km from center,Bed in 10-Bed Mixed Dormitory Room,0,,
20,Philippus Inklusionshotel Leipzig,8.9,"Alt-West, Leipzig",Excellent ,961 reviews,Price 422 zł,3.3 km from center,Economy Double Room,3,Breakfast included,
21,Arthotel Ana Symphonie,8.3,"Mitte, Leipzig",Very Good ,"4,467 reviews",Price 479 zł,200 m from center,Double Room,4,,Location 9.7
22,Radisson Blu Hotel Leipzig,8.0,"Mitte, Leipzig",Very Good ,"1,816 reviews",Price 460 zł,0.6 km from center,Standard Double Room,4,,Location 9.5
23,Vienna House Easy by Wyndham Leipzig,8.5,"Mitte, Leipzig",Very Good ,"4,856 reviews",Price 418 zł,500 m from center,Double Room,4,,Location 9.5
24,Emily Hotel Leipzig Neue Messe,8.3,Leipzig,Very Good ,415 reviews,Price 352 zł,4.7 km from center,Standard Double Room,4,,
25,H2 Hotel Leipzig,8.2,"Mitte, Leipzig",Very Good ,"13,459 reviews",Price 470 zł,0.8 km from center,Comfort Double Room,3,Breakfast included,Location 9.4
26,GRONERS Leipzig,8.8,"Mitte, Leipzig",Excellent ,"2,696 reviews",Original price 197 zł. Current price 168 zł.,150 m from center,Bed in 8-Bed Mixed Dormitory Room,3,,Location 9.8
27,Lindenau Inn,8.1,"Alt-West, Leipzig",Very Good ,"3,329 reviews",Price 497 zł,2.6 km from center,Double Room with Extra Bed,3,,
28,McDreams Hotel Leipzig,7.7,"Plagwitz, Leipzig",Good ,"3,411 reviews",Price 239 zł,2.9 km from center,Basic Single Room,2,,
29,Book Hotel Leipzig,8.9,"Mitte, Leipzig",Excellent ,"2,206 reviews",Price 602 zł,0.7 km from center,Classic Room,0,,Location 9.5
30,INNSiDE by Meliá Leipzig,8.5,"Mitte, Leipzig",Very Good ,"4,193 reviews",Original price 605 zł. Current price 514 zł.,300 m from center,The INNSIDE Room,4,,Location 9.6
31,th Hotel Leipzig Messe New 2021,8.9,"Wiederitzsch, Leipzig",Excellent ,708 reviews,Price 460 zł,5.8 km from center,Standard Double Room,3,,
32,H4 Hotel Leipzig,8.7,"Ost, Leipzig",Excellent ,"5,262 reviews",Price 483 zł,6.6 km from center,Comfort Double or Twin Room,4,Breakfast included,
