,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,TURIM Boulevard Hotel,8.6,"Santo Antonio, Lisbon",Excellent ,"3,715 reviews","Original price 1,258 zł. Current price 708 zł.",0.9 km from center,Special Offer - Superior Twin Room,5,,Location 9.5
1,Meliá Lisboa Aeroporto,8.6,"Olivais, Lisbon",Excellent ,"6,726 reviews",Price 535 zł,6.4 km from center,Meliá Room,4,Breakfast included,Location 9.4
2,Moxy Lisboa Oriente,8.5,"Parque das Nacoes, Lisbon",Very Good ,"3,048 reviews",Price 427 zł,7 km from center,Queen Room,3,,
3,Star inn Lisbon Airport,8.6,"Olivais, Lisbon",Excellent ,"10,075 reviews",Price 495 zł,6.4 km from center,Standard Single Room,3,Breakfast included,Location 9.5
4,Original Lisbon Guesthouse,7.3,"Santa Maria Maior, Lisbon",Good ,203 reviews,Original price 149 zł. Current price 127 zł.,350 m from center,Single Room with Shared Shower and Toilet,0,,Location 9.5
5,Hotel Botanico,8.6,"Santo Antonio, Lisbon",Excellent ,"2,481 reviews",Price 371 zł,0.8 km from center,Double Room,3,,
6,Ikonik Lisboa,8.6,"Parque das Nacoes, Lisbon",Excellent ,"3,935 reviews",Price 380 zł,6.5 km from center,Double Room,3,,
7,Ibis Styles Lisboa Centro Marquês de Pombal,8.2,"Avenidas Novas, Lisbon",Very Good ,"3,780 reviews",Price 375 zł,1.8 km from center,Standard Queen Room,3,,
8,Mana Guest House,7.9,"Estrela, Lisbon",Good ,544 reviews,Price 130 zł,1.5 km from center,Single Room with Shared Bathroom,0,,
9,Hotel Mundial,8.4,"Santa Maria Maior, Lisbon",Very Good ,"8,081 reviews",Price 410 zł,200 m from center,Single Room ,4,Breakfast included,Location 9.5
10,Eurostars Lisboa Parque,8.1,"Arroios, Lisbon",Very Good ,"1,047 reviews",Price 427 zł,1.8 km from center,Double Room,4,,
11,The Icons by TRIUS Hotels,8.0,"Avenidas Novas, Lisbon",Very Good ,"1,985 reviews",Price 371 zł,3.5 km from center,Standard Twin Room,3,Breakfast included,
12,TURIM Luxe Hotel,7.6,"Arroios, Lisbon",Good ,"1,559 reviews",Original price 488 zł. Current price 277 zł.,1.6 km from center,Special Offer - Standard Twin Room,2,,
13,Lisbon Check-In Guesthouse,8.5,"Estrela, Lisbon",Very Good ,"1,408 reviews",Original price 432 zł. Current price 347 zł.,1.4 km from center,Double or Twin Room with Private External Bathroom,3,,
