,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,International Inn,7.8,"Liverpool City Center, Liverpool",Good ,935 reviews,Price 191 zł,1.1 km from center,Single Bed in 10-Bed Dormitory Room,3,,
1,Hanover Hotel & McCartney's Bar,8.2,"Liverpool City Center, Liverpool",Very Good ,"1,580 reviews",Price 409 zł,0.8 km from center,Single Room,2,Breakfast included,Location 9.3
2,The Resident Liverpool,9.1,"Liverpool City Center, Liverpool",Wonderful ,"4,311 reviews",Price 817 zł,0.9 km from center,Small Double Room,4,,Location 9.6
3,YHA Liverpool Central,7.8,"Liverpool City Center, Liverpool",Good ,"1,813 reviews",Price 136 zł,0.7 km from center,Bunk Bed in Male Dormitory Room ,5,,
4,Titanic Hotel Liverpool,9.0,Liverpool,Wonderful ,"8,334 reviews",Price 903 zł,1.8 km from center,Classic Double Room,4,,
5,YHA Liverpool Albert Dock,8.5,"Liverpool City Center, Liverpool",Very Good ,655 reviews,Price 136 zł,1.5 km from center,Bunk Bed in Female Dormitory Room with Shared Bathroom,4,,
6,Jurys Inn Liverpool,8.1,"Liverpool City Center, Liverpool",Very Good ,"9,954 reviews",Price 731 zł,1.6 km from center,Double Room,4,,Location 9.3
7,Hilton Liverpool City Centre,8.3,"Liverpool City Center, Liverpool",Very Good ,"4,681 reviews",Price 746 zł,1.2 km from center,King Hilton Guest Room,4,,Location 9.6
8,Posh Pads - Liverpool 1 - Apart-Hotel,9.1,"Liverpool City Center, Liverpool",Wonderful ,"3,159 reviews",Price 735 zł,1 km from center,Superior 1 Bedroom Apartment,4,,Location 9.7
9,Mercure Liverpool Atlantic Tower Hotel,7.4,"Liverpool City Center, Liverpool",Good ,"8,053 reviews",Price 686 zł,1.2 km from center,Standard Double Room,4,,
10,Ibis Styles Liverpool Centre Dale Street - Cavern Quarter,8.5,"Liverpool City Center, Liverpool",Very Good ,"6,243 reviews",Price 703 zł,0.7 km from center,Queen Room,3,,Location 9.4
