,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Central Hotel Superior,8.2,"Ljubljana City Centre, Ljubljana",Very Good ,"2,512 reviews",Original price 235 zł. Current price 221 zł.,450 m from center,"""Comfy"" Double Room",3,,Location 9.4
1,The hotel Ljubljana,10.0,"Ljubljana City Centre, Ljubljana",Exceptional ,1 review,Price 240 zł,300 m from center,Economy Double Room,4,,Location 10
2,City Hotel Ljubljana,8.8,"Ljubljana City Centre, Ljubljana",Excellent ,"7,710 reviews",Original price 330 zł. Current price 298 zł.,300 m from center,Single Room with Atrium View,3,Breakfast included,Location 9.7
3,CUBE central rooms for 2,7.8,Ljubljana,Good ,"1,224 reviews",Price 156 zł,0.8 km from center,Small Twin Room with Shared Bathroom,0,,
4,Art Hotel,8.7,"Ljubljana City Centre, Ljubljana",Excellent ,"1,306 reviews",Original price 383 zł. Current price 359 zł.,450 m from center,Superior Double or Twin Room,3,Breakfast included,Location 9.6
5,Hotel Nox,9.2,Ljubljana,Wonderful ,"1,261 reviews",Original price 414 zł. Current price 350 zł.,6.4 km from center,Double or Twin Room with Parking,4,Breakfast included,
6,The Fuzzy Log,8.1,"Ljubljana City Centre, Ljubljana",Very Good ,"2,488 reviews",Original price 123 zł. Current price 116 zł.,500 m from center,Single Capsule Room,0,,Location 9.6
7,Hostel Tresor,7.9,"Ljubljana City Centre, Ljubljana",Good ,"1,173 reviews",Price 101 zł,150 m from center,Single Bed in 10-Bed Dormitory Room,0,,Location 9.8
8,Best Western Premier Hotel Slon,8.4,"Ljubljana City Centre, Ljubljana",Very Good ,"5,585 reviews",Original price 421 zł. Current price 381 zł.,200 m from center,Economy Single Room,4,Breakfast included,Location 9.7
9,ATIK ROOMS,8.7,"Ljubljana City Centre, Ljubljana",Excellent ,"1,162 reviews",Price 169 zł,450 m from center,Twin Room with Shared Bathroom,0,,Location 9.7
10,Vander Urbani Resort - a Member of Design Hotels,8.0,"Ljubljana City Centre, Ljubljana",Very Good ,"1,038 reviews",Original price 479 zł. Current price 449 zł.,200 m from center,Double or Twin Room,4,,Location 9.7
11,ONE66 Hotel,9.3,Ljubljana,Wonderful ,"1,989 reviews",Original price 395 zł. Current price 370 zł.,3.1 km from center,Single Room - Lower Ground Floor,4,,
12,C - Punkt Hostel,8.0,"Ljubljana City Centre, Ljubljana",Very Good ,552 reviews,Original price 212 zł. Current price 199 zł.,0.9 km from center,Single Room with Shared Bathroom,0,,
13,Hostel Celica Art,8.8,"Ljubljana City Centre, Ljubljana",Excellent ,"1,304 reviews",Price 132 zł,1 km from center,Bed in 12-Bed Dormitory Room with En Suite Bathroom,0,Breakfast included,
14,LINA ROOMS,8.4,"Ljubljana City Centre, Ljubljana",Very Good ,"1,181 reviews",Original price 84 zł. Current price 80 zł.,1.4 km from center,Bed in 8-Bed Mixed Dormitory Room - Basement,3,,
15,Antiq Palace - Historic Hotels of Europe,7.8,"Ljubljana City Centre, Ljubljana",Good ,510 reviews,Original price 479 zł. Current price 449 zł.,400 m from center,Business Double Room,4,Breakfast included,Location 9.7
16,"Unique Vila Veselova, Ljubljana city center",6.7,"Ljubljana City Centre, Ljubljana",Review score ,44 reviews,Price 90 zł,0.7 km from center,Bed in 8-Bed Mixed Dormitory Room,0,,
17,Urban Ring Hotel,9.2,Ljubljana,Wonderful ,"1,125 reviews",Original price 367 zł. Current price 344 zł.,4.3 km from center,Double Room with Extra Bed,4,Breakfast included,
18,Bit Center Hotel,7.7,Ljubljana,Good ,"1,643 reviews",Original price 225 zł. Current price 212 zł.,3.3 km from center,Double or Twin Room,2,Breakfast included,
19,Urban Boutique Hotel Center,9.0,"Ljubljana City Centre, Ljubljana",Wonderful ,"1,938 reviews",Original price 367 zł. Current price 344 zł.,300 m from center,Standard Twin Room,4,Breakfast included,Location 9.7
20,Ahotel Ljubljana,9.0,Ljubljana,Wonderful ,"1,024 reviews",Price 353 zł,2.6 km from center,Comfort Twin Room,4,Breakfast included,
21,Hotel Meksiko,7.7,"Ljubljana City Centre, Ljubljana",Good ,"1,316 reviews",Original price 362 zł. Current price 339 zł.,1.1 km from center,Single Room,3,,
22,Eurostars uHOTEL,8.5,"Ljubljana City Centre, Ljubljana",Very Good ,"4,022 reviews",Price 437 zł,200 m from center,Executive Queen Room,4,Breakfast included,Location 9.8
23,Four Points by Sheraton Ljubljana Mons,8.8,Ljubljana,Excellent ,"2,390 reviews",Price 348 zł,4.1 km from center,"Classic Room, Guest room, 1 Queen",4,,
