,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,B&B Hotel Łódź Centrum,8.1,"Srodmiescie, Łódź",Very Good ,"4,609 reviews",Price 199 zł,1 km from center,Double Room (1 Adult),2,,Location 9.4
1,City Center Rooms Piotrkowska 91,8.6,"Srodmiescie, Łódź",Excellent ,"2,573 reviews",Price 230 zł,0.8 km from center,Double or Twin Room,3,Breakfast included,Location 9.7
2,Hampton by Hilton Łódź City Center,8.6,"Srodmiescie, Łódź",Excellent ,451 reviews,Price 248 zł,100 m from center,King Room,3,Breakfast included,Location 9.7
3,Ambasador Centrum,8.5,"Srodmiescie, Łódź",Very Good ,"2,551 reviews",Price 368 zł,0.6 km from center,Double Room,4,Breakfast included,
4,Ambasador Premium,8.7,"Srodmiescie, Łódź",Excellent ,"2,264 reviews",Price 425 zł,0.7 km from center,Double Room,4,Breakfast included,
5,Hotel Ambasador Chojny,7.7,Łódź,Good ,"1,830 reviews",Price 265 zł,5.4 km from center,Standard  Double Room,3,Breakfast included,
6,Hotel Tobaco Łódź,8.4,Łódź,Very Good ,"2,519 reviews",Price 247 zł,1.5 km from center,Small Single Room,3,,
7,Campanile Łódź,7.7,"Srodmiescie, Łódź",Good ,"3,472 reviews",Price 218 zł,0.6 km from center,Double Room,3,,
8,Focus Hotel Łódź,8.5,Łódź,Very Good ,"3,004 reviews",Price 211 zł,1 km from center,Single Room,3,,
9,Vienna House by Wyndham Andel's Lodz,9.1,"Baluty, Łódź",Wonderful ,"1,979 reviews",Price 455 zł,2.3 km from center,Superior Twin Room,4,,Location 9.6
10,GO Hostel Rewolucji,7.9,"Srodmiescie, Łódź",Good ,548 reviews,Price 60 zł,1.9 km from center,Bed in 10-Bed Dormitory Room ,0,,
11,Hostel Umed,9.3,Łódź,Wonderful ,365 reviews,Price 139 zł,3.8 km from center,Double Room with Private Bathroom,0,,
12,Aparts Loft Bed&Breakfast,8.0,Łódź,Very Good ,615 reviews,Price 205 zł,1.4 km from center,Studio Apartment,3,,
13,DoubleTree by Hilton Łódź,9.0,Łódź,Wonderful ,"2,351 reviews",Price 427 zł,1 km from center,King Room,4,,
14,Hotel Mazowiecki,7.6,Łódź,Good ,"1,848 reviews",Price 180 zł,1.3 km from center,Economy Twin Room,2,,
15,Hotel Boss,8.2,Łódź,Very Good ,"1,859 reviews",Price 263 zł,2.6 km from center,Economy Twin Room,3,,
16,Stare Kino Cinema Residence,8.7,"Srodmiescie, Łódź",Excellent ,996 reviews,Price 269 zł,400 m from center,Economy Attic Studio,3,,Location 9.7
17,"Holiday Inn Łódź, an IHG Hotel",9.0,"Srodmiescie, Łódź",Wonderful ,"1,226 reviews",Price 365 zł,0.7 km from center,Double Room,4,,
18,Kamienica Łódzka,9.7,"Srodmiescie, Łódź",Exceptional ,652 reviews,Price 180 zł,1.9 km from center,Double Room with Private Bathroom,3,,Location 9.6
19,Apartamenty Fresco Plus,8.0,"Srodmiescie, Łódź",Very Good ,247 reviews,Price 130 zł,1.3 km from center,One-Bedroom Apartment with Shared Bathroom,0,,
20,Villa Masoneria,7.8,"Srodmiescie, Łódź",Good ,"1,007 reviews",Price 200 zł,1.8 km from center,Classic Single Room with Shower,3,,
21,Apartamenty Tuwima,9.5,Łódź,Exceptional ,81 reviews,Price 180 zł,1.6 km from center,Standard Apartment,3,,
22,Boutique Hotel's III,7.6,"Srodmiescie, Łódź",Good ,"2,362 reviews",Price 213 zł,150 m from center,Single Room,3,,
23,Piotrkowska.eu Apartament Romantica,9.5,"Srodmiescie, Łódź",Exceptional ,767 reviews,Price 226 zł,1.4 km from center,One-Bedroom Apartment,3,,Location 9.8
24,Royal Aparthotel Piotrkowska 116,8.1,"Srodmiescie, Łódź",Very Good ,"1,169 reviews",Price 152 zł,450 m from center,Double Room,0,,Location 9.5
25,Hotel Mazowiecki,7.6,Łódź,Good ,"1,848 reviews",Price 180 zł,1.3 km from center,Economy Twin Room,2,,
26,Uslugi hotelowe A1,8.1,"Baluty, Łódź",Very Good ,504 reviews,Price 110 zł,7.3 km from center,Standard Single Room,0,,
27,Prestige Aparthotel Piotrkowska,9.5,"Srodmiescie, Łódź",Exceptional ,195 reviews,Price 229 zł,0.9 km from center,One-Bedroom Apartment,3,,Location 9.7
28,NoBo Hotel - business,8.6,"Baluty, Łódź",Excellent ,825 reviews,Price 250 zł,6 km from center,Standard Single Room,3,,
