,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,YOTEL London City,8.1,"Islington, London",Very Good ,"3,319 reviews","Original price 1,329 zł. Current price 798 zł.",2.3 km from center,Queen Room,4,,
1,Park Grand London Hyde Park,6.9,"Westminster Borough, London",Review score ,"3,837 reviews",Price 529 zł,3.7 km from center,Deluxe Single Room,4,,
2,Park Grand London Kensington,8.0,"Kensington and Chelsea, London",Very Good ,"6,123 reviews",Price 915 zł,4.7 km from center,Superior Double Room,4,,
3,The California,7.7,"Camden, London",Good ,"1,722 reviews",Price 817 zł,2.5 km from center,Small Single Room,3,,Location 9.4
4,Ambassadors Bloomsbury,6.8,"Camden, London",Review score ,"1,286 reviews",Price 812 zł,2.1 km from center,Single Room,4,,
5,W12 Rooms,8.1,"Hammersmith and Fulham, London",Very Good ,"1,116 reviews",Price 485 zł,6.3 km from center,Single Room,4,,
6,"Holiday Inn London Camden Lock, an IHG Hotel",8.2,"Camden, London",Very Good ,"3,498 reviews","Original price 1,123 zł. Current price 898 zł.",3.9 km from center,Double Room,4,,Location 9.4
7,41,9.7,"Westminster Borough, London",Exceptional ,824 reviews,"Original price 2,250 zł. Current price 2,025 zł.",1.5 km from center,Executive Single,5,,Location 9.7
8,Paddington Court Executive Rooms,7.1,"Westminster Borough, London",Good ,"1,416 reviews",Price 621 zł,3.7 km from center,Deluxe Single Room,4,,
9,"Holiday Inn Express London Greenwich, an IHG Hotel",7.8,"Greenwich, London",Good ,"4,531 reviews",Price 626 zł,9.7 km from center,Double Room,3,Breakfast included,
10,One Hundred Shoreditch,8.6,"Hackney, London",Excellent ,"1,796 reviews","Price 1,220 zł",4 km from center,Studio,5,,
11,Leonardo Royal London St Paul’s,8.3,"City of London, London",Very Good ,"2,471 reviews","Price 1,123 zł",2.1 km from center,Superior Double Room,4,,Location 9.3
12,Hyde Park International - Member of Park Grand London,6.9,"Westminster Borough, London",Review score ,"2,013 reviews",Price 529 zł,4.1 km from center,Deluxe Single Room,4,,
13,Hotel Edward Paddington,7.0,"Westminster Borough, London",Good ,"3,205 reviews",Original price 817 zł. Current price 654 zł.,3.4 km from center,Single Room,3,,
14,Dorsett City London,8.0,"City of London, London",Very Good ,"6,610 reviews","Original price 1,356 zł. Current price 1,153 zł.",3.7 km from center,Superior Double Room,4,,
15,citizenM London Victoria Station,8.8,"Westminster Borough, London",Excellent ,887 reviews,"Price 1,084 zł",1.7 km from center,King Room,4,,Location 9.5
16,The Marylebone Hotel,8.4,"Westminster Borough, London",Very Good ,658 reviews,"Price 1,896 zł",1.9 km from center,Queen Room,5,,Location 9.6
17,The Dilly,7.3,"Westminster Borough, London",Good ,"2,355 reviews","Original price 1,629 zł. Current price 1,222 zł.",0.6 km from center,Dilly Classic Double Room,5,,Location 9.6
18,Days Inn Hyde Park,7.4,"Westminster Borough, London",Good ,"1,408 reviews",Price 370 zł,3.3 km from center,Single Room - Non-Smoking,3,Breakfast included,
19,The Mandeville Hotel,8.2,"Westminster Borough, London",Very Good ,"2,271 reviews","Price 1,019 zł",1.9 km from center,Tiny Single Room,4,,Location 9.6
20,"The Hoxton, Holborn",8.6,"Camden, London",Excellent ,"1,416 reviews","Price 1,275 zł",1.1 km from center,Shoebox,4,,Location 9.5
21,YHA London Earl's Court,8.5,"Kensington and Chelsea, London",Very Good ,"1,633 reviews",Price 191 zł,4.7 km from center,Bunk Bed in Male Dormitory Room with Shared Bathroom,4,,Location 9.3
22,"Kimpton - Fitzroy London, an IHG Hotel",8.8,"Camden, London",Excellent ,"1,598 reviews","Price 1,035 zł",1.7 km from center,1 Single Bed City Single,5,,Location 9.4
23,Park Grand London Lancaster Gate,7.4,"Westminster Borough, London",Good ,"1,496 reviews",Price 707 zł,3.7 km from center,Deluxe Single Room,5,,
24,Dorsett Shepherds Bush London,7.9,"Hammersmith and Fulham, London",Good ,"3,573 reviews",Price 592 zł,6.7 km from center,Dorsett Double Room,4,,
25,ibis London City - Shoreditch,8.0,"Tower Hamlets, London",Very Good ,"4,698 reviews",Price 686 zł,3.9 km from center,Double SweetRoom,3,,
26,The House of Toby,7.6,"Camden, London",Good ,"5,313 reviews",Price 692 zł,2.4 km from center,Deluxe Single Room,3,Breakfast included,
27,YHA London Central,8.3,"Westminster Borough, London",Very Good ,"2,500 reviews",Price 191 zł,1.8 km from center,Bunk Bed in Female Dormitory Room  ,4,,Location 9.3
28,"Holiday Inn Express London-Hammersmith, an IHG Hotel",8.0,"Hammersmith and Fulham, London",Very Good ,"3,870 reviews",Price 681 zł,7.4 km from center,Double Room,3,Breakfast included,
29,Mama Shelter London - Shoreditch,8.5,"Tower Hamlets, London",Very Good ,"1,824 reviews",Price 577 zł,5.3 km from center,Small Mama Single Room,4,,
30,Belvedere Hotel,7.3,"Westminster Borough, London",Good ,"2,364 reviews",Price 444 zł,3.3 km from center,Single Room,2,,
31,Clayton Hotel Chiswick,8.4,"Chiswick, London",Very Good ,"3,177 reviews",Price 735 zł,10.6 km from center,Deluxe Double Room,4,,
32,Norfolk Towers Paddington,7.4,"Westminster Borough, London",Good ,"4,714 reviews",Original price 949 zł. Current price 873 zł.,3.2 km from center,Small Single Room,4,,
33,Phoenix Hotel,8.3,"Westminster Borough, London",Very Good ,"2,829 reviews",Price 538 zł,4.3 km from center,Single Room,3,Breakfast included,
34,Queens Park Hotel,5.7,"Westminster Borough, London",Review score ,"5,045 reviews",Price 647 zł,4 km from center,Double Room,3,,
35,K West Hotel & Spa,7.6,"Hammersmith and Fulham, London",Good ,"3,319 reviews",Price 657 zł,6.2 km from center,Junior Double,4,,
36,Ambassadors Bloomsbury,6.8,"Camden, London",Review score ,"1,286 reviews",Price 812 zł,2.1 km from center,Single Room,4,,
37,The Barbican Rooms,7.4,"Islington, London",Good ,"2,214 reviews",Price 915 zł,2.9 km from center,Superior Double Room,5,,
38,The California,7.7,"Camden, London",Good ,"1,722 reviews",Price 817 zł,2.5 km from center,Small Single Room,3,,Location 9.4
39,"Radisson Blu Edwardian New Providence Wharf Hotel, London",8.8,"Tower Hamlets, London",Excellent ,"2,953 reviews",Price 875 zł,8.5 km from center,Superior King or Twin Room,4,,
40,Novotel London West,7.3,"Hammersmith and Fulham, London",Good ,"3,279 reviews",Price 717 zł,6.6 km from center,Superior Room,4,,
41,citizenM Tower of London,8.8,"City of London, London",Excellent ,"5,476 reviews",Price 975 zł,3.5 km from center,King Room,4,,Location 9.6
42,The W14 Hotel,7.6,"Hammersmith and Fulham, London",Good ,"3,916 reviews",Price 668 zł,6 km from center,Petite Single Room with Private Bathroom,3,Breakfast included,
43,Three Falcons,8.5,"Westminster Borough, London",Very Good ,435 reviews,Price 817 zł,3.7 km from center,Deluxe Double Room (1 adult + 1 child),0,,
44,Dover Castle Hostel,7.3,"Southwark, London",Good ,"1,047 reviews",Price 175 zł,2.5 km from center,Bed in 10-Bed Mixed Dormitory Room,0,,
45,"The Rathbone Hotel, Fitzrovia",8.7,"Westminster Borough, London",Excellent ,871 reviews,"Price 1,139 zł",1.4 km from center,Single Room,4,,Location 9.5
46,Bedford Corner Hotel,7.2,"Camden, London",Good ,"1,540 reviews",Price 703 zł,1.3 km from center,Single Room,4,,
47,Motel One London-Tower Hill,8.6,"City of London, London",Excellent ,"3,880 reviews",Price 703 zł,3.7 km from center,Standard Double Room,3,,Location 9.3
48,Europa House Hotel,6.3,"Westminster Borough, London",Review score ,153 reviews,Price 409 zł,3.2 km from center,Single Room,2,,
49,Fairway Hotel,7.6,"Camden, London",Good ,846 reviews,Original price 495 zł. Current price 470 zł.,2.4 km from center,Single Room,2,,Location 9.4
50,Hilton London Kensington Hotel,7.0,"Kensington and Chelsea, London",Good ,"2,662 reviews",Price 648 zł,6 km from center,Double Hilton Guestroom,4,,
51,DoubleTree by Hilton London Angel Kings Cross,7.9,"Islington, London",Good ,"3,748 reviews",Price 790 zł,3 km from center,Double Room,4,,
52,The Premier Notting Hill,7.3,"Kensington and Chelsea, London",Good ,"4,278 reviews",Original price 539 zł. Current price 504 zł.,4.5 km from center,Deluxe Single Room,4,,
53,Rubens At The Palace,8.6,"Westminster Borough, London",Excellent ,"2,566 reviews","Original price 1,591 zł. Current price 1,339 zł.",1.5 km from center,Executive Single,5,,Location 9.6
54,DoubleTree by Hilton London - Hyde Park,7.8,"Kensington and Chelsea, London",Good ,"1,904 reviews",Price 855 zł,4.4 km from center,Single Room,4,,
55,"Holiday Inn London Kensington High St., an IHG Hotel",7.1,"Kensington and Chelsea, London",Good ,"6,340 reviews",Price 746 zł,4.6 km from center,Standard Room,4,,
56,Blue Bells Hotel,7.8,"Kensington and Chelsea, London",Good ,"1,656 reviews",Original price 937 zł. Current price 876 zł.,4.6 km from center,Quadruple Room,3,Breakfast included,
57,Strathmore Hotel,7.6,"Kensington and Chelsea, London",Good ,"1,860 reviews","Original price 1,287 zł. Current price 901 zł.",3.9 km from center,Standard Single Room,4,,
58,Novotel London Greenwich,7.3,"Greenwich, London",Good ,"2,288 reviews",Price 539 zł,8.6 km from center,Superior Double Room,4,,
59,Hotel Shepherds Bush London,8.2,"Hammersmith and Fulham, London",Very Good ,"1,782 reviews",Original price 492 zł. Current price 398 zł.,6.8 km from center,Economy Single Room (basement - no window) ,4,,
60,"Holiday Inn Express London - Wandsworth, an IHG Hotel",7.8,"Wandsworth, London",Good ,"2,480 reviews",Price 654 zł,6.6 km from center,Double Room - Disability Access,3,Breakfast included,
61,Hilton London Euston,7.2,"Camden, London",Good ,"1,594 reviews",Price 872 zł,2.1 km from center,Single Guest Room,4,,
62,"Intercontinental London - The O2, an IHG Hotel",8.8,"Greenwich, London",Excellent ,"7,046 reviews","Price 1,060 zł",8.9 km from center,1 King Bed Or Twin Bed Classic,5,,Location 9.4
63,The Leonard Hotel,7.5,"Westminster Borough, London",Good ,892 reviews,Price 745 zł,2.2 km from center,Single Room with Shower,4,,Location 9.3
64,Generator London,7.0,"Camden, London",Good ,"5,199 reviews",Price 357 zł,2.1 km from center,Bed in 10 + Mixed Dormitory Room,3,,
65,Hilton London Hyde Park,7.4,"Bayswater, London",Good ,"1,261 reviews",Price 828 zł,4.2 km from center,Single Guest Room,4,,
66,Sonder Chelsea Green,7.8,"Kensington and Chelsea, London",Good ,"1,524 reviews","Original price 1,536 zł. Current price 1,221 zł.",3.3 km from center,Standard Double Room,4,Breakfast included,
67,"The Gantry London, Curio Collection By Hilton",8.7,"Newham, London",Excellent ,"1,121 reviews",Price 833 zł,9.4 km from center,King Gantry Room,4,,
68,Park Avenue J Hotel London Hyde Park,7.2,"Westminster Borough, London",Good ,"3,645 reviews","Price 1,039 zł",4 km from center,Single Room,4,,
69,Hyde Park Boutique Hotel,6.8,"Westminster Borough, London",Review score ,"2,268 reviews",Original price 866 zł. Current price 736 zł.,4 km from center,Single Room,3,,
70,The Bull and The Hide,8.3,"City of London, London",Very Good ,684 reviews,"Original price 1,084 zł. Current price 1,014 zł.",3.4 km from center,Deluxe Double Room,0,Breakfast included,Location 9.5
71,Eurotraveller Hotel - Premier - Tower Bridge,7.5,"Southwark, London",Good ,"2,291 reviews",Original price 447 zł. Current price 418 zł.,3.8 km from center,Double Room,3,,
72,Blandford Hotel,7.5,"Westminster Borough, London",Good ,"1,132 reviews",Price 735 zł,2.5 km from center,Single Room,4,,Location 9.3
