,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Hotel Restauracja Browar Lwów w Lublinie,8.5,Lublin,Very Good ,"1,080 reviews",Price 262 zł,1.2 km from center,Twin Room - Attic,3,Breakfast included,
1,Hotel Grodzka 20,9.1,"Stare Miasto, Lublin",Wonderful ,"1,318 reviews",Price 179 zł,150 m from center,Economy Single Room,3,Breakfast included,Location 9.8
2,Rodmos Hostel,9.0,Lublin,Wonderful ,753 reviews,Price 54 zł,0.7 km from center,Bunk Bed in Mixed Dormitory Room,0,,Location 9.7
3,Hotel Atelia,9.1,Lublin,Wonderful ,443 reviews,Price 390 zł,6.5 km from center,Double Room,4,Breakfast included,
4,Dom na Podwalu,9.1,"Stare Miasto, Lublin",Wonderful ,"1,936 reviews",Price 190 zł,250 m from center,Single Room,3,,Location 9.9
5,Hotel Willowa,8.3,Lublin,Very Good ,975 reviews,Price 172 zł,4.5 km from center,Single Room with Private Bathroom,3,,
6,Centrum 51,8.7,Lublin,Excellent ,362 reviews,Price 90 zł,1 km from center,Triple Room,0,,Location 9.4
7,Dworek Jabłonna,9.4,Lublin,Wonderful ,838 reviews,Price 130 zł,15.8 km from center,Comfort Triple Room,3,,
8,HOTEL LUBLIN,9.0,Lublin,Wonderful ,"1,454 reviews",Price 177 zł,450 m from center,Deluxe Double Room (2 Adults + 1 Child),2,,Location 9.8
9,Hotel PZMot,8.2,Lublin,Very Good ,"1,646 reviews",Price 165 zł,0.7 km from center,Economy Single Room,3,,
10,Hotel Logos,8.1,Lublin,Very Good ,583 reviews,Price 150 zł,1.7 km from center,Single Room,1,,
11,Carmelito,8.5,Lublin,Very Good ,748 reviews,Price 149 zł,200 m from center,Apartment with Shower,3,,Location 9.7
12,Hotel Victoria,8.6,Lublin,Excellent ,"2,391 reviews",Price 215 zł,1.1 km from center,Economy Single Room,3,,
13,For rest Hostel,7.5,Lublin,Good ,659 reviews,Price 45 zł,2.1 km from center,Bed in Male Dormitory Room,0,,
14,Hostel Cataleya,7.8,Lublin,Good ,418 reviews,Price 45 zł,1.8 km from center,Bunk Bed in Mixed Dormitory Room,0,,
15,Apartamenty Magia,9.1,"Stare Miasto, Lublin",Wonderful ,688 reviews,Price 160 zł,100 m from center,Standard Apartment,3,,Location 9.8
16,Galeria,8.6,Lublin,Excellent ,212 reviews,Price 139 zł,1.1 km from center,Double Room,3,,
17,iroom,9.4,Lublin,Wonderful ,"1,102 reviews",Price 150 zł,1.7 km from center,Budget Double Room,0,,
18,Pokoje Gościnne Strumykowa,8.5,Lublin,Very Good ,228 reviews,Price 85 zł,5.2 km from center,Triple Room,0,,
19,Sztukmistrz Magician Art Rooms,9.0,"Stare Miasto, Lublin",Wonderful ,297 reviews,Price 175 zł,30 m from center,King Room,3,,Location 9.8
20,Apartament Zamkowy,9.6,Lublin,Exceptional ,463 reviews,Price 149 zł,0.6 km from center,Standard Apartment,3,,Location 9.5
21,Vanilla Hotel,8.7,Lublin,Excellent ,765 reviews,Price 275 zł,300 m from center,Small Single Room,3,Breakfast included,Location 9.7
22,Nowoczesna kawalerka,10.0,Lublin,Exceptional ,10 reviews,Price 129 zł,3.5 km from center,One-Bedroom Apartment,0,,
23,Hotel Royal Botanic,8.0,Lublin,Very Good ,"1,257 reviews",Price 195 zł,3.9 km from center,Standard King Room,3,,
24,Trybunalska,9.2,"Stare Miasto, Lublin",Wonderful ,"1,279 reviews",Price 324 zł,50 m from center,Double or Twin Room,3,Breakfast included,Location 9.9
25,Lublin Apartaments,9.2,Lublin,Wonderful ,665 reviews,Price 200 zł,250 m from center,Three-Bedroom Apartment,3,,Location 9.9
26,Carmelito,8.5,Lublin,Very Good ,748 reviews,Price 149 zł,200 m from center,Apartment with Shower,3,,Location 9.7
27,Mercure Lublin Centrum,8.4,Lublin,Very Good ,616 reviews,Price 257 zł,1.5 km from center,Standard Double or Twin Room,3,,
28,Galeria,8.6,Lublin,Excellent ,212 reviews,Price 139 zł,1.1 km from center,Double Room,3,,
29,Hostel Cataleya,7.8,Lublin,Good ,418 reviews,Price 45 zł,1.8 km from center,Bunk Bed in Mixed Dormitory Room,0,,
