,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,room007 Ventura Hostel,8.1,"Madrid City Center, Madrid",Very Good ,"3,554 reviews",Original price 289 zł. Current price 168 zł.,400 m from center,Single Bed in 8-Bed Female Dormitory Room with Private Bathroom,0,,Location 9.4
1,Ok Hostel Madrid,8.9,"Madrid City Center, Madrid",Excellent ,"6,407 reviews",Price 159 zł,0.7 km from center,Bed in 4-Bed Female Dormitory Room,0,,Location 9.6
2,Hotel Liabeny,9.1,"Madrid City Center, Madrid",Wonderful ,"5,937 reviews",Price 751 zł,250 m from center,Double Room Single Use,4,,Location 9.8
3,HC Hostel,5.5,"Madrid City Center, Madrid",Review score ,789 reviews,Price 46 zł,400 m from center,Bunk Bed in Mixed Dormitory Room,0,,
4,Hotel Gran Legazpi,7.9,"Arganzuela, Madrid",Good ,"1,384 reviews",Price 291 zł,2.8 km from center,Single Room,3,,
5,4C Bravo Murillo,8.0,"Tetuan, Madrid",Very Good ,"2,493 reviews",Price 352 zł,4.2 km from center,Double Room,2,,
6,The Hat Madrid,8.9,"Madrid City Center, Madrid",Excellent ,"3,257 reviews",Price 183 zł,400 m from center,Single Bed in 8-Bed Mixed Dormitory Room with Shared Bathroom ,0,,Location 9.8
7,Hotel Nuevo Boston,8.4,"San Blas, Madrid",Very Good ,"7,908 reviews",Price 432 zł,11.3 km from center,Double Room (1 Adult),4,,
8,Riu Plaza España,8.9,"Madrid City Center, Madrid",Excellent ,"28,113 reviews","Original price 1,725 zł. Current price 1,121 zł.",1 km from center,Deluxe Twin,4,Breakfast included,Location 9.7
9,Hotel Praga,8.1,"Carabanchel, Madrid",Very Good ,"4,279 reviews",Price 399 zł,2.5 km from center,Standard Single Room,4,,
10,Generator Madrid,8.1,"Madrid City Center, Madrid",Very Good ,"5,373 reviews",Price 214 zł,0.6 km from center,Bed in 8-Bed Female Dormitory Room,0,,Location 9.5
11,AC Hotel Avenida de América by Marriott,8.6,"Salamanca, Madrid",Excellent ,"1,729 reviews",Price 568 zł,3.5 km from center,Superior King Room,3,,
12,room007 Chueca Hostel,8.2,"Madrid City Center, Madrid",Very Good ,"5,008 reviews",Original price 193 zł. Current price 135 zł.,0.8 km from center,Bed in 11-Bed Mixed Duplex Dormitory Room With Private Bathroom,0,,Location 9.5
13,Preciados,9.0,"Madrid City Center, Madrid",Wonderful ,"2,737 reviews",Price 748 zł,500 m from center,Deluxe Double Room,4,,Location 9.7
14,Mola Hostel,8.3,"Madrid City Center, Madrid",Very Good ,"2,018 reviews",Price 156 zł,300 m from center,Bed in 10-Bed Mixed Dormitory Room,0,,Location 9.6
15,Hotel Puerta America,8.4,"Chamartín, Madrid",Very Good ,"3,826 reviews",Price 895 zł,3.9 km from center,Deluxe Room,5,,
16,Hotel Mediodia,8.5,"Madrid City Center, Madrid",Very Good ,"7,400 reviews",Price 465 zł,1.3 km from center,Single Room,2,,Location 9.6
17,Exe Plaza,8.4,"Tetuan, Madrid",Very Good ,"4,249 reviews",Price 446 zł,5.7 km from center,Double or Twin Room,4,,
18,Catalonia Atocha,8.6,"Madrid City Center, Madrid",Excellent ,"3,558 reviews",Price 704 zł,0.7 km from center,Double or Twin Room,4,,Location 9.3
19,Exe Moncloa,8.1,"Chamberi, Madrid",Very Good ,"4,178 reviews",Price 713 zł,2.2 km from center,Single Room,4,,
