,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,The Alan,8.5,"Manchester City Center, Manchester",Very Good ,"2,213 reviews",Price 490 zł,500 m from center,The Original Double,4,,Location 9.5
1,Motel One Manchester-St. Peter´s Square,8.9,"Manchester City Center, Manchester",Excellent ,"3,639 reviews",Price 430 zł,0.6 km from center,Standard Queen Room,3,,Location 9.6
2,Motel One Manchester-Piccadilly,8.7,"Manchester City Center, Manchester",Excellent ,"9,603 reviews",Price 430 zł,500 m from center,Standard Queen Room,3,,Location 9.5
3,Motel One Manchester-Royal Exchange,8.7,"Manchester City Center, Manchester",Excellent ,"7,881 reviews",Price 430 zł,0.5 km from center,Standard Double Room,3,,Location 9.6
4,Britannia Hotel City Centre Manchester,5.6,"Manchester City Center, Manchester",Review score ,"15,977 reviews",Price 300 zł,250 m from center,Double Room (No Windows),3,,
5,Pendulum Hotel,7.3,"Manchester City Center, Manchester",Good ,"3,443 reviews",Original price 463 zł. Current price 394 zł.,0.8 km from center,Standard Single Room,3,,
6,"Holiday Inn Express Manchester - Salford Quays, an IHG Hotel",7.8,"Salford, Manchester",Good ,"3,628 reviews",Price 430 zł,3.7 km from center,Standard King Room,3,Breakfast included,
7,Sachas Hotel Manchester,5.8,"Manchester City Center, Manchester",Review score ,"9,172 reviews",Price 289 zł,150 m from center,Double Room (No Windows),3,,
8,CitySuites Aparthotel,8.9,"Salford, Manchester",Excellent ,"4,242 reviews",Original price 844 zł. Current price 633 zł.,0.9 km from center,Studio Apartment,5,,Location 9.5
9,"Holiday Inn Express Manchester East, an IHG Hotel",8.1,Manchester,Very Good ,"2,447 reviews",Price 381 zł,5.4 km from center,Double Room with Sofa Bed,3,Breakfast included,
10,The Lowry Hotel,8.7,"Salford, Manchester",Excellent ,"2,652 reviews",Price 932 zł,1 km from center,Deluxe King Double or Twin Room,5,,
11,Copthorne Manchester Salford Quays,7.7,"Salford, Manchester",Good ,"3,064 reviews",Price 261 zł,3.5 km from center,Standard Double Room,4,,
12,Hampton By Hilton Manchester Northern Quarter,8.2,Manchester,Very Good ,"4,832 reviews",Price 556 zł,0.7 km from center,Queen Room,3,Breakfast included,
13,Park Inn by Radisson Manchester City Centre,8.0,"Manchester City Center, Manchester",Very Good ,"7,365 reviews",Price 626 zł,1 km from center,Standard Room,4,,
14,The Gardens Hotel,7.1,"Manchester City Center, Manchester",Good ,"5,472 reviews",Price 366 zł,100 m from center,Single Room without Window,3,,
15,YOTEL Manchester Deansgate,8.7,"Manchester City Center, Manchester",Excellent ,"8,480 reviews",Price 626 zł,0.8 km from center,King Room (No Window) ,4,,Location 9.6
16,ibis budget Manchester Salford Quays,7.2,"Salford, Manchester",Good ,"6,700 reviews",Price 180 zł,3.4 km from center,Standard Double Room,2,,
17,the niu Loom,8.8,Manchester,Excellent ,"4,576 reviews",Price 382 zł,2.4 km from center,Standard Double or Twin Room,3,Breakfast included,
18,Milverton Hotel,7.6,Manchester,Good ,16 reviews,Price 272 zł,3.1 km from center,Standard Single Room,0,,
19,ibis Styles Manchester Portland,7.2,"Manchester City Center, Manchester",Good ,"9,299 reviews",Price 402 zł,100 m from center,Queen Room,3,,
20,ibis Manchester Centre Princess Street,7.6,"Manchester City Center, Manchester",Good ,"4,685 reviews",Price 360 zł,0.8 km from center,Double Sweet Room by Ibis,3,,
21,AC Hotel by Marriott Manchester Salford Quays,8.2,"Salford, Manchester",Very Good ,"1,976 reviews",Price 414 zł,3.3 km from center,Deluxe Twin Room,4,,
22,Leonardo Hotel Manchester Piccadilly,8.6,"Manchester City Center, Manchester",Excellent ,"3,169 reviews",Price 417 zł,1 km from center,Standard Double or Twin Room,0,,
23,"Holiday Inn Manchester-Mediacityuk, an IHG Hotel",8.4,"Salford, Manchester",Very Good ,"1,238 reviews",Price 458 zł,4.3 km from center,Standard Double Room,4,,
24,ABode Manchester,8.5,"Manchester City Center, Manchester",Very Good ,"1,716 reviews",Price 458 zł,250 m from center,Standard Double Room,4,,Location 9.4
25,Campanile Manchester,6.6,"Salford, Manchester",Review score ,"3,302 reviews",Price 227 zł,1.9 km from center,Twin Room,2,,
26,ibis Styles Manchester Portland,7.2,"Manchester City Center, Manchester",Good ,"9,299 reviews",Price 402 zł,100 m from center,Queen Room,3,,
27,The Gardens Hotel,7.1,"Manchester City Center, Manchester",Good ,"5,472 reviews",Price 366 zł,100 m from center,Single Room without Window,3,,
28,Leven Manchester,9.5,"Manchester City Center, Manchester",Exceptional ,"1,321 reviews",Price 731 zł,400 m from center,King Room,0,,Location 9.6
29,"Hotel Indigo Manchester - Victoria Station, an IHG Hotel",9.0,"Manchester City Center, Manchester",Wonderful ,"5,243 reviews",Price 616 zł,0.7 km from center,Standard Queen Room - High Floor,4,,Location 9.7
30,Manchester City Stay,5.3,Manchester,Review score ,167 reviews,Price 218 zł,2.1 km from center,Double Room,0,,
31,"Holiday Inn Manchester - City Centre, an IHG Hotel",8.8,"Manchester City Center, Manchester",Excellent ,"4,737 reviews",Price 505 zł,300 m from center,Double or Twin Room,4,,Location 9.5
32,Park Inn by Radisson Manchester City Centre,8.0,"Manchester City Center, Manchester",Very Good ,"7,365 reviews",Price 626 zł,1 km from center,Standard Room,4,,
33,Malmaison Manchester,8.0,"Manchester City Center, Manchester",Very Good ,"3,102 reviews",Price 572 zł,300 m from center,Standard Double Room,4,,
34,YOTEL Manchester Deansgate,8.7,"Manchester City Center, Manchester",Excellent ,"8,480 reviews",Price 626 zł,0.8 km from center,King Room (No Window) ,4,,Location 9.6
35,The Bulls Head Hotel,8.0,"Manchester City Center, Manchester",Very Good ,662 reviews,Price 654 zł,0.6 km from center,Double or Twin Room,4,Breakfast included,
36,ibis Manchester Centre Princess Street,7.6,"Manchester City Center, Manchester",Good ,"4,685 reviews",Price 360 zł,0.8 km from center,Double Sweet Room by Ibis,3,,
37,Moxy Manchester City,8.9,"Manchester City Center, Manchester",Excellent ,"1,673 reviews",Price 583 zł,0.9 km from center,"Moxy Sleeper Premium, Guest room, 1 King",4,,Location 9.6
38,Copthorne Manchester Salford Quays,7.7,"Salford, Manchester",Good ,"3,064 reviews",Price 261 zł,3.5 km from center,Standard Double Room,4,,
39,"Holiday Inn Express Manchester - Salford Quays, an IHG Hotel",7.8,"Salford, Manchester",Good ,"3,628 reviews",Price 430 zł,3.7 km from center,Double Room with Sofa Bed,3,Breakfast included,
40,ibis Manchester Centre Portland Street,8.0,"Manchester City Center, Manchester",Very Good ,"5,137 reviews",Price 414 zł,0.5 km from center,Double Sweet Room by Ibis,3,,
41,the niu Loom,8.8,Manchester,Excellent ,"4,576 reviews",Price 382 zł,2.4 km from center,Standard Double or Twin Room,3,Breakfast included,
42,Beautiful basement en-suite room,7.9,Manchester,Good ,27 reviews,Price 241 zł,4.9 km from center,Double Room with Private Bathroom,0,Breakfast included,
43,Diamond Lodge,7.9,Manchester,Good ,"2,632 reviews",Price 409 zł,4 km from center,Double Room,3,Breakfast included,
44,Hampton By Hilton Manchester Northern Quarter,8.2,Manchester,Very Good ,"4,832 reviews",Price 556 zł,0.7 km from center,Queen Room,3,Breakfast included,
45,Hyatt Regency Manchester,8.9,Manchester,Excellent ,"2,046 reviews",Price 671 zł,1.5 km from center,Twin Room,4,,
46,The Ascott,8.2,"Salford, Manchester",Very Good ,824 reviews,Price 430 zł,7 km from center,Budget Single Room,4,Breakfast included,
47,"Holiday Inn Express Manchester East, an IHG Hotel",8.1,Manchester,Very Good ,"2,447 reviews",Price 381 zł,5.4 km from center,Double Room - Non-Smoking ,3,Breakfast included,
48,The Cow Hollow Hotel,9.0,"Manchester City Center, Manchester",Wonderful ,"1,029 reviews",Price 757 zł,300 m from center,Standard King Room,4,,Location 9.4
49,The Ashcroft Apartments,8.3,"Salford, Manchester",Very Good ,618 reviews,Price 450 zł,6.3 km from center,Deluxe Studio,3,,
50,Manchester Marriott Victoria & Albert Hotel,8.5,"Manchester City Center, Manchester",Very Good ,"2,328 reviews",Price 539 zł,1.4 km from center,"Guest room, 1 Double",4,,
51,The Townhouse Manchester,7.9,"Manchester City Center, Manchester",Good ,"3,649 reviews",Price 613 zł,500 m from center,Classic Double Room,4,Breakfast included,
52,Innside by Melia Manchester,8.8,"Manchester City Center, Manchester",Excellent ,"4,770 reviews",Price 665 zł,1.1 km from center,The INNSIDE Room,4,,Location 9.3
53,Hyatt Regency Manchester,8.9,Manchester,Excellent ,"2,046 reviews",Price 671 zł,1.5 km from center,Twin Room,4,,
54,Hello Hotel,8.2,"Salford, Manchester",Very Good ,"1,386 reviews",Price 354 zł,7.8 km from center,Standard Double Room,3,Breakfast included,
55,"Trafford Hall Hotel Manchester, Trademark Collection by Wyndham",7.1,"Old Trafford, Manchester",Good ,"1,828 reviews",Price 344 zł,3.6 km from center,Cottage Room,3,,
56,The Waterside Hotel and Leisure Club,8.3,"Didsbury, Manchester",Very Good ,"2,071 reviews",Price 463 zł,8.6 km from center,Small Double Room,0,,
57,Dakota Manchester,9.4,"Manchester City Center, Manchester",Wonderful ,"5,762 reviews",Price 907 zł,400 m from center,Classic Double Room,4,,Location 9.4
58,Velvet Hotel,8.6,"Manchester City Center, Manchester",Excellent ,"1,189 reviews",Price 694 zł,350 m from center,King Room - Party Package (possible noise from bar),4,,Location 9.3
59,Native Manchester,9.0,"Manchester City Center, Manchester",Wonderful ,"4,639 reviews",Price 866 zł,400 m from center,Studio,4,,Location 9.5
60,Ville Hotel,7.2,"Manchester City Center, Manchester",Good ,"1,287 reviews",Original price 863 zł. Current price 431 zł.,0.5 km from center,Double Room,3,,
61,Rahman Piccadilly Hostel,5.7,"Manchester City Center, Manchester",Review score ,"2,110 reviews",Price 221 zł,0.6 km from center,Bed in 12-Bed Male Dormitory Room,3,,
62,"Crowne Plaza Manchester City Centre, an IHG Hotel",8.6,"Manchester City Center, Manchester",Excellent ,"6,549 reviews",Price 644 zł,0.5 km from center,Queen Room,4,,
63,Hotel Gotham,9.0,"Manchester City Center, Manchester",Wonderful ,"2,743 reviews",Price 975 zł,450 m from center,Double Room,5,,Location 9.6
64,Whitworth Locke,9.0,"Manchester City Center, Manchester",Wonderful ,"3,696 reviews",Price 583 zł,0.6 km from center,City Studio,4,,Location 9.5
65,Hotel Brooklyn Manchester,9.0,"Manchester City Center, Manchester",Wonderful ,"5,117 reviews",Price 899 zł,450 m from center,Superior Double Room,4,,Location 9.5
66,The Westlynne Hotel & Apartments,8.4,Manchester,Very Good ,451 reviews,Price 316 zł,4.2 km from center,Standard Single Room,3,,
67,Diamond Lodge,7.9,Manchester,Good ,"2,632 reviews",Price 409 zł,4 km from center,Double Room,3,Breakfast included,
68,The Avenues And Alleyways,7.7,"Manchester City Center, Manchester",Good ,991 reviews,Price 272 zł,100 m from center,Standard Double Room,0,,
69,Campanile Manchester,6.6,"Salford, Manchester",Review score ,"3,302 reviews",Price 227 zł,1.9 km from center,Twin Room,2,,
70,Dream Luxury Serviced Apartments Manchester,5.6,"Salford, Manchester",Review score ,"2,200 reviews",Price 849 zł,2 km from center,Standard Studio,3,,
71,Roomzzz Manchester Victoria,9.1,"Manchester City Center, Manchester",Wonderful ,"1,691 reviews",Price 719 zł,0.6 km from center,Standard Apartment,4,,Location 9.8
72,"The Ainscow Hotel, BW Premier Collection",8.0,"Salford, Manchester",Very Good ,"2,874 reviews",Price 485 zł,1.5 km from center,Standard Double Room with no Window,4,,
73,Bowling Green,9.1,Manchester,Wonderful ,375 reviews,Price 539 zł,5.8 km from center,Deluxe King Room,0,,Location 9.3
74,Abel Heywood Boutique Hotel,8.8,"Manchester City Center, Manchester",Excellent ,"1,935 reviews",Price 637 zł,250 m from center,Small Double Room,4,,Location 9.4
75,The Avenues And Alleyways,7.7,"Manchester City Center, Manchester",Good ,991 reviews,Price 272 zł,100 m from center,Standard Double Room,0,,
76,Campanile Manchester,6.6,"Salford, Manchester",Review score ,"3,302 reviews",Price 227 zł,1.9 km from center,Twin Room,2,,
77,Roomzzz Manchester Victoria,9.1,"Manchester City Center, Manchester",Wonderful ,"1,691 reviews",Price 719 zł,0.6 km from center,Standard Apartment,4,,Location 9.8
78,"The Ainscow Hotel, BW Premier Collection",8.0,"Salford, Manchester",Very Good ,"2,874 reviews",Price 485 zł,1.5 km from center,Standard Double Room with no Window,4,,
79,Bowling Green,9.1,Manchester,Wonderful ,375 reviews,Price 539 zł,5.8 km from center,Deluxe King Room,0,,Location 9.3
80,Abel Heywood Boutique Hotel,8.8,"Manchester City Center, Manchester",Excellent ,"1,935 reviews",Price 637 zł,250 m from center,Small Double Room,4,,Location 9.4
81,Stock Exchange Hotel,9.3,"Manchester City Center, Manchester",Wonderful ,"1,459 reviews","Price 1,053 zł",450 m from center,King Room,5,,Location 9.6
82,Hyatt House Manchester,9.1,Manchester,Wonderful ,735 reviews,Price 718 zł,1.5 km from center,Queen Studio,4,,
83,Staycity Aparthotels Manchester Piccadilly,8.8,"Manchester City Center, Manchester",Excellent ,"4,814 reviews",Price 731 zł,450 m from center,One-Bedroom Apartment - Sleeps 3,4,,Location 9.6
84,Wilde Aparthotels Manchester St. Peters Square,9.0,"Manchester City Center, Manchester",Wonderful ,"3,603 reviews",Price 809 zł,0.6 km from center,Wilde Studio,4,,Location 9.6
85,Arena House,9.4,Manchester,Wonderful ,98 reviews,Price 376 zł,2 km from center,Standard Single Room with Shared Bathroom,5,,
86,Manchester City Stay,5.3,Manchester,Review score ,167 reviews,Price 218 zł,2.1 km from center,Double Room,0,,
87,"9 Guest, 77 Averill Street - On street parking available!",6.7,Manchester,Review score ,110 reviews,Price 229 zł,4.8 km from center,Twin Room,0,,
88,The Cow Hollow Hotel,9.0,"Manchester City Center, Manchester",Wonderful ,"1,029 reviews",Price 757 zł,300 m from center,Standard King Room,4,,Location 9.4
89,Mercure Manchester Piccadilly Hotel,6.6,"Manchester City Center, Manchester",Review score ,"7,456 reviews",Price 458 zł,200 m from center,Classic Twin Room,4,,
90,Miller & Carter Heaton Chapel by Innkeeper's Collection,7.8,Manchester,Good ,922 reviews,Price 430 zł,7.4 km from center,Single Room,3,,
91,The James Manchester,8.7,"Manchester City Center, Manchester",Excellent ,839 reviews,Price 926 zł,500 m from center,One-Bedroom Apartment,4,,
92,Leven Manchester,9.5,"Manchester City Center, Manchester",Exceptional ,"1,321 reviews",Price 731 zł,400 m from center,King Room,0,,Location 9.6
93,The Ascott,8.2,"Salford, Manchester",Very Good ,824 reviews,Price 430 zł,7 km from center,Budget Single Room,4,Breakfast included,
94,Eleven Didsbury Park Hotel,9.1,"Didsbury, Manchester",Wonderful ,157 reviews,Price 817 zł,7.7 km from center,Cozy Room,4,,
95,Lower Turks Head,8.0,"Manchester City Center, Manchester",Very Good ,227 reviews,Price 518 zł,450 m from center,Standard Double Room,0,,Location 9.3
