,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Radisson Blu Hotel Marseille Vieux Port,7.6,"Vieux Port - La Canebière, Marseille",Good ,"3,182 reviews",Original price 903 zł. Current price 636 zł.,1.1 km from center,Superior Room,4,,
1,Hostel Vertigo Vieux-Port,7.8,"Vieux Port - La Canebière, Marseille",Good ,"2,249 reviews",Price 137 zł,0.9 km from center,Bed in 8-Bed Mixed Dormitory Room,0,,
2,ibis Styles Marseille Gare Saint-Charles,7.8,"Saint-Charles, Marseille",Good ,"1,964 reviews",Price 427 zł,350 m from center,Standard Single Room,3,Breakfast included,
3,Toyoko INN Marseille Saint Charles,7.8,"Saint-Charles, Marseille",Good ,"7,915 reviews",Price 327 zł,0.7 km from center,Small Single Room,3,,
4,Maisons du Monde Hôtel & Suites - Marseille Vieux Port,8.4,"Vieux Port - La Canebière, Marseille",Very Good ,"1,620 reviews",Price 673 zł,0.5 km from center,Cozy Double Room,4,,Location 9.5
5,The People - Marseille,8.4,"Vieux Port - La Canebière, Marseille",Very Good ,"3,962 reviews",Price 144 zł,0.6 km from center,Bed in 8-Bed Mixed Dormitory Room,0,,
6,Hôtel Life Marseille VP - Vieux Port,8.3,"Vieux Port - La Canebière, Marseille",Very Good ,"1,554 reviews",Price 402 zł,0.5 km from center,Cocoon Double Room,3,,Location 9.7
7,ibis Styles Marseille Vieux Port,7.5,"Vieux Port - La Canebière, Marseille",Good ,963 reviews,Price 407 zł,250 m from center,Standard Single Room,3,Breakfast included,
8,Hotel Monte-Cristo,6.7,"Vieux Port - La Canebière, Marseille",Review score ,993 reviews,Price 266 zł,400 m from center,Double Room,0,,
9,Hotel Terminus Saint-Charles,7.3,"Saint-Charles, Marseille",Good ,"1,315 reviews",Price 360 zł,400 m from center,Economy Double Room,3,,
10,Best Western Hotel Marseille Bourse Vieux Port by Happyculture,7.8,"Vieux Port - La Canebière, Marseille",Good ,"2,737 reviews",Price 378 zł,100 m from center,Standard Single Room,3,,
11,Residhome Marseille Saint-Charles,7.8,"Saint-Charles, Marseille",Good ,"2,727 reviews",Price 313 zł,450 m from center,Studio (2 Adults),3,,
12,Ibis Marseille Centre Prefecture,7.1,"Castellane et Préfecture, Marseille",Good ,"1,905 reviews",Price 385 zł,0.8 km from center,Standard Double Room,3,,
13,"Holiday Inn Express Marseille Saint Charles, an IHG Hotel",7.8,"Saint-Charles, Marseille",Good ,"5,230 reviews",Price 362 zł,0.5 km from center,Standard Queen Room,3,Breakfast included,
