,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Suite boutique Moscova,9.4,"Milan City Center, Milan",Wonderful ,68 reviews,"Original price 2,393 zł. Current price 1,077 zł.",1.4 km from center,Deluxe Quadruple Room,4,Breakfast included,Location 9.4
1,Household Settembrini,8.8,"Central Station, Milan",Excellent ,502 reviews,Price 499 zł,2.3 km from center,Family Quadruple Room,3,Breakfast included,
2,Hotel Cavour,8.2,"Milan City Center, Milan",Very Good ,"2,234 reviews",Original price 953 zł. Current price 892 zł.,1 km from center,Single Room,4,,
3,Hotel Tocq,8.6,"Garibaldi Station, Milan",Excellent ,"1,193 reviews",Original price 737 zł. Current price 691 zł.,2.1 km from center,Superior Double or Twin Room,4,,
4,Hotel Tiziano - Gruppo Mini Hotel,8.6,"Fiera Milano City, Milan",Excellent ,"1,711 reviews",Original price 568 zł. Current price 532 zł.,2.6 km from center,Single Room,4,Breakfast included,
5,Hotel Campion,8.3,"Fiera Milano City, Milan",Very Good ,911 reviews,Original price 577 zł. Current price 541 zł.,3.2 km from center,Single Room,3,Breakfast included,
6,Hotel Auriga,8.0,"Central Station, Milan",Very Good ,"1,767 reviews",Original price 521 zł. Current price 451 zł.,2.4 km from center,Single Room,4,,
7,iH Hotels Milano Watt 13,7.6,"Famagosta, Milan",Good ,817 reviews,Price 431 zł,3.6 km from center,Classic Twin Room,4,Breakfast included,
8,Hotel Eva,7.2,"Central Station, Milan",Good ,"1,248 reviews",Original price 242 zł. Current price 227 zł.,2 km from center,Single Room with Shared Bathroom,1,,
9,Acca Palace,8.4,"Niguarda - Parco Nord, Milan",Very Good ,"2,384 reviews",Original price 469 zł. Current price 440 zł.,5.3 km from center,Single Room,4,,
10,Andreola Central Hotel,8.4,"Central Station, Milan",Very Good ,"1,976 reviews",Original price 639 zł. Current price 599 zł.,2.6 km from center,Single Room,4,,
11,La Villa bed & breakfast,8.5,"Bicocca - Zara, Milan",Very Good ,572 reviews,Original price 460 zł. Current price 431 zł.,3.8 km from center,Single Room with Private Bathroom,3,Breakfast included,
12,Hotel VIU Milan,8.9,"Garibaldi Station, Milan",Excellent ,"2,052 reviews","Price 1,333 zł",2.3 km from center,Superior Double Room,5,,
13,Hotel Roxy,7.6,"Milan City Center, Milan",Good ,929 reviews,Price 633 zł,1.7 km from center,Single Room,3,,
14,Eurohotel,7.8,"Milan City Center, Milan",Good ,"2,402 reviews",Original price 624 zł. Current price 585 zł.,1.8 km from center,Classic Single Room,3,,
15,L'Ottava GuestHouse,8.2,"P. Vittoria, Milan",Very Good ,586 reviews,Price 408 zł,1.7 km from center,Single Room,3,Breakfast included,
16,Hotel Mythos,8.1,"Central Station, Milan",Very Good ,"5,157 reviews",Original price 530 zł. Current price 497 zł.,2.2 km from center,Single Room,3,,
17,Hotel Galles,8.4,"Central Station, Milan",Very Good ,"4,594 reviews",Original price 589 zł. Current price 552 zł.,2.5 km from center,Classic Single Room,4,,
18,Ostello Bello Grande,9.0,"Central Station, Milan",Wonderful ,"4,435 reviews",Price 206 zł,2.6 km from center,Bed in 6-Bed Mixed Dormitory Room,0,,Location 9.5
19,Combo Milano,8.9,"Navigli, Milan",Excellent ,"2,314 reviews",Original price 225 zł. Current price 211 zł.,2.4 km from center,Bed in 6-Bed Mixed Dormitory Room with Shared External Bathroom,0,Breakfast included,
20,House Beatrice Milano,8.0,"Central Station, Milan",Very Good ,"1,048 reviews",Price 389 zł,2.9 km from center,Single Room,0,,
21,Antica Locanda Leonardo,8.5,"Milan City Center, Milan",Very Good ,868 reviews,Original price 582 zł. Current price 545 zł.,1.5 km from center,Small Single Room,3,,
22,Sonder Missori,8.4,"Milan City Center, Milan",Very Good ,584 reviews,Original price 957 zł. Current price 897 zł.,0.6 km from center,Double Room,4,,Location 9.3
23,"Holiday Inn Milan Garibaldi Station, an IHG Hotel",7.8,"Garibaldi Station, Milan",Good ,"1,843 reviews",Price 568 zł,2.7 km from center,Standard Double or Twin Room,4,,
24,YellowSquare Milan,8.8,"Porta Romana, Milan",Excellent ,933 reviews,Price 190 zł,1.8 km from center,Bunk Bed in Female Dormitory Room  ,0,,
25,Hotel Siena,6.8,"Central Station, Milan",Review score ,"1,323 reviews",Price 235 zł,1.8 km from center,Single Room with Shared Toilet,2,,
26,Ostello Bello Grande,9.0,"Central Station, Milan",Wonderful ,"4,435 reviews",Price 206 zł,2.6 km from center,Bed in 6-Bed Mixed Dormitory Room,0,,Location 9.5
27,Hotel Mirage Sure Hotel Collection by Best Western,8.3,"Certosa, Milan",Very Good ,817 reviews,Original price 469 zł. Current price 440 zł.,5 km from center,Economy Single Room,4,,
28,Hotel Tocq,8.6,"Garibaldi Station, Milan",Excellent ,"1,193 reviews",Original price 737 zł. Current price 691 zł.,2.1 km from center,Superior Double or Twin Room,4,,
