,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Hotel Am Moosfeld,8.1,"Trudering - Riem, Munich",Very Good ,"3,020 reviews",Original price 423 zł. Current price 254 zł.,6.4 km from center,Economy Room in Guest house,4,Breakfast included,
1,Eden Hotel Wolff,8.2,"Maxvorstadt, Munich",Very Good ,"2,834 reviews",Price 544 zł,1.3 km from center,Standard Single Room,4,,
2,Arthotel Munich,8.1,"Ludwigsvorstadt, Munich",Very Good ,"11,320 reviews",Price 465 zł,1.5 km from center,Single Room,3,Breakfast included,
3,Boutique Hotel Germania,7.9,"Ludwigsvorstadt, Munich",Good ,"2,881 reviews",Original price 534 zł. Current price 428 zł.,1.1 km from center,Standard Single Room,4,,
4,Euro Youth Hotel Munich,8.5,"Ludwigsvorstadt, Munich",Very Good ,"3,696 reviews",Price 127 zł,1.2 km from center,Bed in 12-Bed Mixed Dormitory Room - 18 to 35 years old only,0,,Location 9.4
5,Hotel Europa,8.3,"Maxvorstadt, Munich",Very Good ,"3,269 reviews",Price 441 zł,2.2 km from center,Single Room,4,,
6,Motel One München - Deutsches Museum,8.3,"Au-Haidhausen, Munich",Very Good ,"4,011 reviews",Price 418 zł,1.5 km from center,Room with King Size bed,3,,
7,NH Collection München Bavaria,8.4,"Maxvorstadt, Munich",Very Good ,"4,652 reviews",Price 634 zł,1.2 km from center,Superior Double or Twin Room,4,,
8,Pension Locarno,7.1,"Maxvorstadt, Munich",Good ,"1,531 reviews",Price 253 zł,1.2 km from center,Single Room,0,,
9,Hotel Isartor,8.2,"Ludwigsvorstadt, Munich",Very Good ,"2,232 reviews",Price 504 zł,0.6 km from center,Single Room,3,Breakfast included,Location 9.5
10,Hotel Metropol by Maier Privathotels,8.9,"Ludwigsvorstadt, Munich",Excellent ,"3,044 reviews",Price 516 zł,1.4 km from center,Double Room with Balcony,3,,
11,Superior Hotel Präsident,7.8,"Ludwigsvorstadt, Munich",Good ,822 reviews,Price 418 zł,1 km from center,Single Room,3,,
12,Motel One München-Parkstadt Schwabing,8.5,"Schwabing-Freimann, Munich",Very Good ,"3,184 reviews",Price 418 zł,4.7 km from center,King Room,3,,
13,Wombat's City Hostel Munich Hauptbahnhof,8.1,"Ludwigsvorstadt, Munich",Very Good ,"3,629 reviews",Original price 141 zł. Current price 113 zł.,1.2 km from center,Bed in 8-Bed Mixed Dormitory Room,0,,Location 9.3
14,THE 4YOU Hostel & Hotel Munich,7.6,"Maxvorstadt, Munich",Good ,"3,737 reviews",Price 89 zł,1.4 km from center,Bed in 12-Bed Mixed Dormitory Room,2,,
15,Bento Inn Munich,7.8,"Trudering - Riem, Munich",Good ,"10,027 reviews",Price 277 zł,7 km from center,Quadruple Room,3,,
16,Hotel Italia,7.1,"Ludwigsvorstadt, Munich",Good ,"3,641 reviews",Price 418 zł,1.1 km from center,Single Room,3,Breakfast included,
17,B&B Hotel München-Hbf,7.6,"Ludwigsvorstadt, Munich",Good ,"1,311 reviews",Price 361 zł,1.6 km from center,Double Room,3,,
18,VI VADI HOTEL downtown munich,7.6,"Maxvorstadt, Munich",Good ,"2,014 reviews",Original price 450 zł. Current price 405 zł.,1.4 km from center,Single Room,3,,
19,Hotel Antares,8.0,"Maxvorstadt, Munich",Very Good ,"1,047 reviews",Price 399 zł,1.1 km from center,Single Room,3,Breakfast included,
20,Boutique Hotel Atrium München,8.1,"Ludwigsvorstadt, Munich",Very Good ,"4,143 reviews",Price 588 zł,1.4 km from center,Business Single Room,4,,
21,Hotel MIO by AMANO,8.5,"Altstadt - Lehel, Munich",Very Good ,"4,184 reviews",Price 560 zł,0.6 km from center,Double Room,3,,Location 9.7
22,Hotel Am Markt,8.2,"Altstadt - Lehel, Munich",Very Good ,"1,489 reviews",Original price 918 zł. Current price 735 zł.,250 m from center,Standard Twin Room,3,,Location 9.7
23,Hotel Stachus,7.6,"Ludwigsvorstadt, Munich",Good ,"3,812 reviews",Price 373 zł,0.9 km from center,Economy Single Room,3,,
