,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Residenza Napoletana,9.8,"Plebiscito, Naples",Exceptional ,5 reviews,Original price 593 zł. Current price 419 zł.,300 m from center,One-Bedroom Apartment,0,,Location 10
1,Bed & Boarding,7.0,"Capodichino, Naples",Good ,"2,906 reviews",Price 164 zł,4.6 km from center,Capsule Single Room with Shared Bathroom,0,,Location 9.3
2,NAP Hostel Spaccanapoli,9.1,"Spaccanapoli, Naples",Wonderful ,"1,021 reviews",Price 145 zł,450 m from center,Bed in 10-Bed Mixed Dormitory Room,0,Breakfast included,Location 9.3
3,Naples Experience Hostel,8.0,"Capodichino, Naples",Very Good ,"1,105 reviews",Price 52 zł,3.3 km from center,Single Bed in Mixed Dormitory Room,0,,
4,B&B Belvedere,8.4,"Naples Historic Center, Naples",Very Good ,692 reviews,Price 191 zł,1.6 km from center,Deluxe Double Room with Shower,0,,
5,O Sarracino B&B,9.2,"Central Station, Naples",Wonderful ,552 reviews,Price 152 zł,1.8 km from center,Single Room,0,Breakfast included,Location 9.6
6,Stella Diana,8.8,"Naples Historic Center, Naples",Excellent ,305 reviews,Price 270 zł,0.9 km from center,Single Room with Private Bathroom,3,Breakfast included,Location 9.7
7,Hotel Meublè Santa Chiara Suite,8.1,"Naples Historic Center, Naples",Very Good ,307 reviews,Price 237 zł,450 m from center,Superior Double Room,3,,Location 9.5
8,Hostel of the Sun,8.6,"Port of Naples, Naples",Excellent ,"1,635 reviews",Price 110 zł,450 m from center,Bed in 6-Bed Mixed Dormitory Room,0,Breakfast included,Location 9.3
9,Il Gioiellino Art,8.6,"Central Station, Naples",Excellent ,313 reviews,Price 211 zł,1.7 km from center,Superior Triple Room,3,Breakfast included,
10,Il Gioiellino Lifestyle,8.6,"Central Station, Naples",Excellent ,295 reviews,Price 211 zł,1.8 km from center,Double Room with Private Bathroom,3,Breakfast included,
11,Mercure Napoli Centro Angioino,7.6,"Port of Naples, Naples",Good ,577 reviews,Price 479 zł,350 m from center,Standard Room with 1 Single Bed,4,,
12,Naples Pizza Hostel,6.5,"Naples Historic Center, Naples",Review score ,352 reviews,Price 164 zł,1.1 km from center,Double Room with Private Bathroom,0,,
13,Los Mochileros hostel,7.9,"Capodichino, Naples",Good ,574 reviews,Price 52 zł,3.3 km from center,Single Bed in Female Dormitory Room,0,,
14,B&B Bellini,8.8,"Naples Historic Center, Naples",Excellent ,79 reviews,Price 317 zł,0.8 km from center,Double Room,3,,Location 9.5
15,Exe Majestic,7.9,"Chiaia, Naples",Good ,"2,176 reviews",Price 366 zł,1.4 km from center,Single Room,4,,
16,RESIDENZA ESPOSITO,8.3,Naples,Very Good ,14 reviews,Price 162 zł,1.2 km from center,Single Room,3,,
17,VICTORIA HOTEL B&B,8.5,"Central Station, Naples",Very Good ,473 reviews,Price 284 zł,1.9 km from center,Double or Twin Room,3,Breakfast included,
18,Hotel Eden,6.7,"Central Station, Naples",Review score ,"1,151 reviews",Price 249 zł,2.1 km from center,Double or Twin Room,3,,
19,relais metis,8.6,"Chiaia, Naples",Excellent ,112 reviews,Price 411 zł,1.2 km from center,Single Room,4,Breakfast included,Location 9.5
20,Ostello Bello Napoli,9.0,"Plebiscito, Naples",Wonderful ,947 reviews,Price 147 zł,50 m from center,Single Bed in Mixed Dormitory Room,0,,Location 9.6
21,Hotel Casanova,7.3,"Central Station, Naples",Good ,343 reviews,Price 160 zł,1.9 km from center,Single Room with Shared Bathroom,2,,
22,Viaggio a Napoli B&B,8.9,"Central Station, Naples",Excellent ,330 reviews,Original price 286 zł. Current price 259 zł.,1.3 km from center,Double or Twin Room,3,Breakfast included,Location 9.4
23,Pinto-Storey Hotel,8.7,"Chiaia, Naples",Excellent ,172 reviews,Price 305 zł,1.7 km from center,Single Room,3,,Location 9.4
24,Villa Albina,8.5,"Vomero, Naples",Very Good ,406 reviews,Price 364 zł,2.1 km from center,Single Room,1,Breakfast included,Location 9.4
25,Hotel Meublè Santa Chiara Suite,8.1,"Naples Historic Center, Naples",Very Good ,307 reviews,Price 237 zł,450 m from center,Superior Double Room,3,,Location 9.5
26,Hotel Eden,6.7,"Central Station, Naples",Review score ,"1,151 reviews",Price 249 zł,2.1 km from center,Double or Twin Room,3,,
27,Stella Diana,8.8,"Naples Historic Center, Naples",Excellent ,305 reviews,Price 270 zł,0.9 km from center,Single Room with Private Bathroom,3,Breakfast included,Location 9.7
28,Hotel Mergellina,8.2,"Chiaia, Naples",Very Good ,167 reviews,Price 460 zł,2.9 km from center,Double Room with Balcony,3,Breakfast included,
29,Bed & Breakfast Portanova,8.4,"Naples Historic Center, Naples",Very Good ,286 reviews,Price 270 zł,0.9 km from center,Single Room,3,,
30,Il Sanfilippo,8.8,"Chiaia, Naples",Excellent ,199 reviews,Original price 311 zł. Current price 266 zł.,2.6 km from center,Deluxe Double Room with Balcony,4,,
31,Renaissance Naples Hotel Mediterraneo,8.2,"Plebiscito, Naples",Very Good ,590 reviews,"Price 1,211 zł",250 m from center,Classic Single Room,4,,Location 9.3
32,Mercure Napoli Centro Angioino,7.6,"Port of Naples, Naples",Good ,577 reviews,Price 479 zł,350 m from center,Standard Room with 1 Single Bed,4,,
33,B&B alla Ferrovia,8.2,"Central Station, Naples",Very Good ,320 reviews,Price 229 zł,2 km from center,Comfort Triple Room,3,Breakfast included,
34,Neapolis Lifestyle,8.7,"Spaccanapoli, Naples",Excellent ,314 reviews,Original price 431 zł. Current price 368 zł.,400 m from center,Double Room with Balcony,3,,Location 9.7
35,B&B Napoli Binario 1,8.6,"Central Station, Naples",Excellent ,825 reviews,Price 192 zł,1.9 km from center,Single Room,3,,
36,Hotel Santa Brigida,7.3,"Plebiscito, Naples",Good ,379 reviews,Price 388 zł,450 m from center,Superior Single Room,4,,
37,Correra 241 Lifestyle Hotel,8.5,Naples,Very Good ,539 reviews,Price 343 zł,0.9 km from center,Standard Single Room,3,Breakfast included,
38,MareLuna Rooms,9.5,"Chiaia, Naples",Exceptional ,68 reviews,Original price 793 zł. Current price 637 zł.,1.4 km from center,Deluxe Double Room with Sea View,4,,
39,Barbarella Home,8.3,"Chiaia, Naples",Very Good ,312 reviews,Price 326 zł,2 km from center,Small Double Room,1,,
40,RESIDENZA ESPOSITO,8.3,Naples,Very Good ,14 reviews,Price 162 zł,1.2 km from center,Single Room,3,,
41,Pinto-Storey Hotel,8.7,"Chiaia, Naples",Excellent ,172 reviews,Price 305 zł,1.7 km from center,Single Room,3,,Location 9.4
42,Hotel Royal Continental,8.1,"Lungomare Caracciolo, Naples",Very Good ,"3,048 reviews",Price 652 zł,1.5 km from center,Classic Double or Twin Room,4,Breakfast included,Location 9.5
43,Hotel Europeo Napoli,7.3,"Naples Historic Center, Naples",Good ,"1,469 reviews",Price 265 zł,0.6 km from center,Single Room,1,,
44,Maison Arena Bovio,8.8,"Port of Naples, Naples",Excellent ,705 reviews,Price 307 zł,400 m from center,Luxury Quadruple Room,3,Breakfast included,Location 9.7
45,Dada Suite,8.5,"Chiaia, Naples",Very Good ,221 reviews,Price 317 zł,0.8 km from center,Junior Suite,3,,Location 9.5
46,Villa Albina,8.5,"Vomero, Naples",Very Good ,406 reviews,Price 364 zł,2.1 km from center,Single Room,1,Breakfast included,Location 9.4
47,Nova Relais,8.7,Naples,Excellent ,709 reviews,Price 560 zł,0.9 km from center,Single Room with Balcony and Private Bathroom,3,,Location 9.3
48,Viaggio a Napoli B&B,8.9,"Central Station, Naples",Excellent ,330 reviews,Original price 286 zł. Current price 259 zł.,1.3 km from center,Double or Twin Room,3,Breakfast included,Location 9.4
49,B&B Il Porto,8.5,"Port of Naples, Naples",Very Good ,377 reviews,Price 340 zł,450 m from center,Double Room,3,Breakfast included,
50,Tiffany's Luxury Resort,7.5,"Port of Naples, Naples",Good ,577 reviews,Price 340 zł,450 m from center,Studio,3,,
51,Napoli Museo bed and breakfast,9.5,Naples,Exceptional ,229 reviews,Original price 311 zł. Current price 291 zł.,1.2 km from center,Budget Double Room,3,Breakfast included,Location 9.4
52,"PC Boutique H Loggia, by ClaPa Group",8.2,"Port of Naples, Naples",Very Good ,787 reviews,Price 494 zł,250 m from center,Small Double Room,3,,
