,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,"Hôtel de France, un hôtel AMMI",9.0,"Nice City Centre, Nice",Wonderful ,"2,541 reviews",Original price 622 zł. Current price 437 zł.,1 km from center,Small Standard Double Room,3,,Location 9.6
1,ibis budget Nice Aeroport,7.3,"Arenas, Nice",Good ,"5,102 reviews",Price 275 zł,5.6 km from center,Triple Room,2,,
2,Hotel La Villa Nice Promenade,8.6,"Nice City Centre, Nice",Excellent ,"1,264 reviews",Price 409 zł,1.2 km from center,Standard Single Room,4,,Location 9.3
3,Hotel Aria,8.2,"Nice City Centre, Nice",Very Good ,668 reviews,Price 213 zł,0.7 km from center,Single Room,3,,
4,Hotel 64 Nice,8.6,"Nice City Centre, Nice",Excellent ,"1,957 reviews",Price 245 zł,0.9 km from center,Club Single Room,4,,
5,Villa Otero by Happyculture,8.0,"Nice City Centre, Nice",Very Good ,"1,646 reviews",Price 315 zł,1 km from center,Single Room,4,,
6,Palm Hôtel Nice,9.0,"Nice City Centre, Nice",Wonderful ,364 reviews,Price 373 zł,400 m from center,Single Room,3,,Location 9.7
7,Albert 1er,8.0,"Nice Old Town, Nice",Very Good ,"3,103 reviews",Original price 406 zł. Current price 326 zł.,250 m from center,Classic Double or Twin Room,3,,Location 9.5
8,Hotel So’Co by Happyculture,7.8,"Nice City Centre, Nice",Good ,"1,771 reviews",Price 289 zł,1 km from center,Single Room,3,,
9,Villa Berlioz,8.5,"Nice City Centre, Nice",Very Good ,315 reviews,Price 282 zł,1 km from center,Standard Single Room,0,,
10,The Deck Hotel by Happyculture,8.4,"Nice City Centre, Nice",Very Good ,"2,021 reviews",Price 456 zł,400 m from center,Cabin Double Room,4,,Location 9.6
11,Hôtel Le G (ex Le Genève),8.3,"Nice Old Town, Nice",Very Good ,415 reviews,Price 406 zł,0.9 km from center,Small Double Room,3,,Location 9.5
12,Hotel Florence Nice,8.4,"Nice City Centre, Nice",Very Good ,"3,141 reviews",Price 359 zł,400 m from center,Double Room,3,Breakfast included,Location 9.5
13,Ibis Styles Nice Centre Port,7.7,"Nice Port, Nice",Good ,"2,242 reviews",Price 392 zł,1.1 km from center,Standard Double Room,3,Breakfast included,
14,Hotel De La Mer,8.0,"Nice Old Town, Nice",Very Good ,844 reviews,Price 356 zł,200 m from center,Double Room,2,,Location 9.7
