,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Citybox Oslo,8.1,"Oslo City Centre, Oslo",Very Good ,"18,975 reviews",Price 413 zł,0.5 km from center,Small Single Room,3,,Location 9.5
1,Anker Hostel,7.3,"Grunerlokka, Oslo",Good ,"5,528 reviews",Price 168 zł,1.2 km from center,Single Bed in 8-Bed Dormitory Room,3,,
2,K7 Hotel Oslo,7.8,"Oslo City Centre, Oslo",Good ,"1,676 reviews",Original price 225 zł. Current price 180 zł.,400 m from center,Bed in 8-Bed Dormitory Room,3,,
3,Thon Hotel Munch,8.2,"St. Hanshaugen, Oslo",Very Good ,468 reviews,Price 438 zł,450 m from center,Economy Single Room,3,Breakfast included,
4,Thon Hotel Astoria,8.1,"Oslo City Centre, Oslo",Very Good ,"1,995 reviews",Price 511 zł,500 m from center,Standard Single Room,3,Breakfast included,Location 9.5
5,Anker Hotel,7.8,"Grunerlokka, Oslo",Good ,"9,478 reviews",Price 485 zł,1.1 km from center,Single Room,3,Breakfast included,
6,SheepRooms E18 Express,,Oslo,,,Original price 320 zł. Current price 224 zł.,4.2 km from center,One-Bedroom Apartment,0,,
7,Anker Apartment – Grünerløkka,7.4,"Grunerlokka, Oslo",Good ,"4,034 reviews",Price 320 zł,2.2 km from center,Single Room,3,,
8,The Verdandi Hotel,7.6,"Oslo City Centre, Oslo",Good ,"5,135 reviews",Original price 543 zł. Current price 461 zł.,200 m from center,Small Economy Double Room,3,Breakfast included,Location 9.3
9,Thon Hotel Terminus,8.2,"Oslo City Centre, Oslo",Very Good ,356 reviews,Price 521 zł,0.8 km from center,Small Single Room,4,Breakfast included,
10,Thon Hotel Europa,8.5,"Oslo City Centre, Oslo",Very Good ,365 reviews,Price 511 zł,0.6 km from center,Standard Double Room,4,Breakfast included,
11,P-Hotels Oslo,6.7,"Oslo City Centre, Oslo",Review score ,"3,895 reviews",Price 378 zł,200 m from center,Single Room,3,,
12,Thon Hotel Spectrum,8.3,"Oslo City Centre, Oslo",Very Good ,780 reviews,Price 521 zł,0.9 km from center,Standard Double Room,3,Breakfast included,
13,HI Oslo Haraldsheim,8.1,Oslo,Very Good ,"2,880 reviews",Price 315 zł,4.1 km from center,Twin Room,0,Breakfast included,
14,Smarthotel Oslo,7.7,"Oslo City Centre, Oslo",Good ,"7,626 reviews",Price 471 zł,0.5 km from center,Mini Single Room,3,,
15,Thon Hotel Ullevaal Stadion,8.0,Oslo,Very Good ,219 reviews,Price 511 zł,4.1 km from center,Double Room,4,,
16,Cochs Pensjonat,8.1,"Frogner, Oslo",Very Good ,"2,825 reviews",Price 334 zł,1 km from center,Budget Single Room,0,,
17,Thon Hotel Rosenkrantz Oslo,8.9,"Oslo City Centre, Oslo",Excellent ,"1,201 reviews",Price 698 zł,300 m from center,Standard Queen Room,4,Breakfast included,Location 9.5
18,Karl Johan Hotel,8.6,"Oslo City Centre, Oslo",Excellent ,"2,633 reviews","Price 1,018 zł",50 m from center,Standard Single Room,4,Breakfast included,Location 9.8
