,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Les Rebelles,8.8,"11th arr., Paris",Excellent ,231 reviews,"Original price 1,468 zł. Current price 1,308 zł.",2.5 km from center,Queen Room,3,,
1,UCPA SPORT STATION HOSTEL PARIS,8.0,"19th arr., Paris",Very Good ,"1,886 reviews",Price 202 zł,4.8 km from center,Single Bed in 6-Bed Dormitory Room,0,,
2,Hôtel Korner Etoile,8.3,"17th arr., Paris",Very Good ,566 reviews,Original price 882 zł. Current price 707 zł.,5.3 km from center,Single Room,3,,
3,Hôtel Rosalie,8.6,"13th arr., Paris",Excellent ,592 reviews,"Price 1,093 zł",2.7 km from center,Single Room,4,,
4,Le Coffice Auberge de Jeunesse,5.5,"13th arr., Paris",Review score ,"1,150 reviews",Price 116 zł,3.7 km from center,Bunk Bed in Mixed Dormitory Room with Shared Bathroom,0,,
5,Hotel De La Poste,6.0,"18th arr., Paris",Review score ,"1,900 reviews",Price 190 zł,3.8 km from center,Single Room with Shared Bathroom,0,,
6,Ibis Styles Paris Place d'Italie - Butte Aux Cailles,8.6,"13th arr., Paris",Excellent ,"3,018 reviews",Price 551 zł,3.2 km from center,Standard Twin Room,3,Breakfast included,
7,Enjoy Hostel,6.7,"14th arr., Paris",Review score ,"4,178 reviews",Price 155 zł,3.4 km from center,Bed in 8-Bed Mixed Dormitory Room,2,Breakfast included,
8,Hôtel du Mont Blanc,7.2,"5th arr., Paris",Good ,"1,854 reviews",Price 554 zł,0.6 km from center,Single Room,2,,Location 9.4
9,Hôtel Richard,6.1,"11th arr., Paris",Review score ,"3,471 reviews",Price 372 zł,2.2 km from center,Single Room with Private Bathroom,0,,
10,Central Hotel Paris,7.7,"14th arr., Paris",Good ,"1,013 reviews",Price 609 zł,2.7 km from center,Single Room,3,,Location 9.3
11,Hôtel Edgar Quinet,5.9,"14th arr., Paris",Review score ,"1,838 reviews",Price 404 zł,2.6 km from center,Single Room,2,,
12,ibis Paris Montmartre 18ème,7.3,"18th arr., Paris",Good ,"2,592 reviews",Price 649 zł,3.5 km from center,Standard Room with 2 Single Beds,3,,
13,Austin's Saint Lazare Hotel,8.1,"9th arr., Paris",Very Good ,"1,459 reviews","Original price 2,073 zł. Current price 1,371 zł.",2.9 km from center,Double Room,3,,
14,Hotel Liberty,4.8,"10th arr., Paris",Review score ,"1,732 reviews",Price 244 zł,1.8 km from center,Single Room with Shared Bathroom,0,,
15,Auberge de Jeunesse HI Paris Le d'Artagnan,6.2,"20th arr., Paris",Review score ,"2,161 reviews",Price 167 zł,4.1 km from center,Bed in a Shared Room 9 Beds Comfort Female,0,Breakfast included,
16,ibis Styles Paris Meteor Avenue d'Italie,8.5,"13th arr., Paris",Very Good ,"5,925 reviews",Price 506 zł,4.4 km from center,Standard Twin Room,3,Breakfast included,
17,Waldorf Montparnasse,8.0,"14th arr., Paris",Very Good ,"1,050 reviews",Price 806 zł,2.6 km from center,Club Double Room,3,,
18,Montparnasse Alésia,8.1,"14th arr., Paris",Very Good ,"2,023 reviews",Price 525 zł,3.7 km from center,Standard Single Room,3,,
19,City Inn Paris,6.8,"19th arr., Paris",Review score ,"1,269 reviews",Price 164 zł,4.2 km from center,Bed in 5-Bed Mixed Dormitory Room,0,Breakfast included,
20,Hotel Leonard De Vinci,6.6,"11th arr., Paris",Review score ,"1,010 reviews",Price 486 zł,2 km from center,Single Room,2,,
21,Peace & Love Hostel,6.1,"10th arr., Paris",Review score ,"1,361 reviews",Price 124 zł,3.2 km from center,Single Bed in Mixed Dormitory Room,0,,
22,Marmotel Etoile,7.5,"17th arr., Paris",Good ,853 reviews,Price 680 zł,5 km from center,Double Room,3,,Location 9.3
23,ibis Styles Paris Buttes Chaumont,7.8,"19th arr., Paris",Good ,938 reviews,Price 511 zł,3.7 km from center,Single Room,3,Breakfast included,
24,Hotel Eden,8.6,"15th arr., Paris",Excellent ,"1,083 reviews",Price 989 zł,4.2 km from center,Classic Double Room,4,,
