,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Oporto Street Fonte Taurina - Riverfront Suites - Adults Only,8.6,"União de Freguesias do Centro, Porto",Excellent ,501 reviews,Original price 615 zł. Current price 433 zł.,1 km from center,Superior Suite with Street View,4,,Location 9.6
1,Residencia LIS B&B,7.6,"União de Freguesias do Centro, Porto",Good ,485 reviews,Price 174 zł,1.6 km from center,Single Room,3,,
2,Rosalma Hostel,8.8,"União de Freguesias do Centro, Porto",Excellent ,"1,087 reviews",Price 84 zł,450 m from center,Single Bed in Mixed Dormitory Room,0,,Location 9.6
3,Ndussole Guest House,8.1,"Campanhã, Porto",Very Good ,120 reviews,Price 113 zł,1.9 km from center,Single Bed in 4-Bed Dormitory Room,0,,
4,Pao de Acucar Hotel,8.1,"União de Freguesias do Centro, Porto",Very Good ,"6,271 reviews",Price 267 zł,150 m from center,Single Room,3,,Location 9.4
5,Hotel ibis Porto Sao Joao,7.8,"Paranhos, Porto",Good ,"1,869 reviews",Price 221 zł,3.4 km from center,Standard Double Room - Non-Smoking,2,,
6,Urban Garden Porto Central Hostel,8.8,"Porto City Centre , Porto",Excellent ,990 reviews,Price 122 zł,0.5 km from center,Capsule in 12-Bed Mixed Dormitory Room with Private Bathroom,0,,
7,YOTEL Porto,8.6,"União de Freguesias do Centro, Porto",Excellent ,"2,819 reviews",Original price 544 zł. Current price 357 zł.,500 m from center,Premium Queen View,4,,
8,One Shot Aliados Goldsmith 12,8.7,"União de Freguesias do Centro, Porto",Excellent ,"1,054 reviews",Price 332 zł,400 m from center,Standard Single Room,4,,Location 9.3
9,Hotel Peninsular- Porto,7.3,"União de Freguesias do Centro, Porto",Good ,"2,174 reviews",Price 244 zł,350 m from center,Deluxe Double Room,2,Breakfast included,Location 9.5
10,TURIM Oporto Hotel,8.7,"União de Freguesias do Centro, Porto",Excellent ,18 reviews,Original price 723 zł. Current price 544 zł.,150 m from center,Standard Twin Room,4,,Location 9.7
11,Pur Oporto Boutique Hotel by actahotels,8.8,"União de Freguesias do Centro, Porto",Excellent ,"1,328 reviews",Original price 548 zł. Current price 359 zł.,0.7 km from center,Double Room Club,4,,
12,The Passenger Hostel,9.1,"União de Freguesias do Centro, Porto",Wonderful ,"2,176 reviews",Price 123 zł,450 m from center,Bed in 10-Bed Mixed Dormitory Room,0,Breakfast included,Location 9.8
