,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Apartamenty Pomarańczarnia,9.0,"Stare Miasto District, Poznań",Wonderful ,"2,688 reviews",Price 129 zł,0.7 km from center,Single Room with Private External Bathroom,3,,Location 9.7
1,B&B Hotel Poznań Old Town,9.0,"Stare Miasto District, Poznań",Wonderful ,"1,695 reviews",Price 275 zł,0.5 km from center,Double Room,3,,Location 9.7
2,Ibis Poznan Centrum,8.6,"Stare Miasto District, Poznań",Excellent ,"3,940 reviews",Price 203 zł,1 km from center,Standard Double Room with Sofa,3,,Location 9.4
3,Blooms Boutique Hostel,7.9,"Stare Miasto District, Poznań",Good ,"2,475 reviews",Original price 55 zł. Current price 54 zł.,0.7 km from center,Bed in 10-Bed Dormitory Room ,0,,Location 9.4
4,Moxy Poznań Airport,8.8,"Jeżyce, Poznań",Excellent ,"2,281 reviews",Price 260 zł,7.4 km from center,"Moxy Sleeper, Guest room, 2 Twin/Single Bed(s)",3,,
5,Hotel Włoski Italia Boutique Old Town Poznań,9.3,"Wilda, Poznań",Wonderful ,"1,964 reviews",Price 299 zł,1.3 km from center,Deluxe Double Room with King size bed,4,,Location 9.3
6,Campanile Poznan,8.0,"Jeżyce, Poznań",Very Good ,"2,402 reviews",Price 179 zł,4.1 km from center,Double Room,2,,
7,Hotel Stare Miasto Old Town,8.6,"Stare Miasto District, Poznań",Excellent ,"1,339 reviews",Price 239 zł,0.5 km from center,Economy Single Room,3,,Location 9.3
8,Hotel Moderno Poznań,8.7,"Grunwald, Poznań",Excellent ,"1,992 reviews",Price 271 zł,2.9 km from center,Classic Twin Room ,4,,
9,Hampton By Hilton Poznan Old Town,9.0,"Stare Miasto District, Poznań",Wonderful ,"3,842 reviews",Price 342 zł,400 m from center,Queen Room,3,Breakfast included,Location 9.6
10,La Guitarra Hostel Poznań,7.8,"Stare Miasto District, Poznań",Good ,"1,581 reviews",Price 80 zł,450 m from center,Bed in Dormitory Room for 8 People,0,,
11,Hotel Traffic Poznań Stare Miasto,8.5,"Stare Miasto District, Poznań",Very Good ,"5,310 reviews",Price 200 zł,1 km from center,Single Room,2,,Location 9.4
12,PURO Poznań Stare Miasto,9.0,"Stare Miasto District, Poznań",Wonderful ,"4,122 reviews",Price 395 zł,300 m from center,Classic Double Room,4,,Location 9.6
13,Botanik Hostel,8.8,"Jeżyce, Poznań",Excellent ,735 reviews,Price 125 zł,4.3 km from center,Twin Room with Shared Bathroom,0,,
14,Comm Hotel Poznań Airport,8.8,"Grunwald, Poznań",Excellent ,"2,945 reviews",Price 209 zł,7.2 km from center,Economy Single Room,3,,Location 9.5
15,Tanie Pokoje Blisko Lotniska,8.4,"Grunwald, Poznań",Very Good ,183 reviews,Price 80 zł,6.7 km from center,Triple Room,0,,
16,Willa Sarbinowska,8.9,"Nowe Miasto, Poznań",Excellent ,313 reviews,Price 165 zł,4.4 km from center,Double Room,3,,
17,Novotel Poznan Centrum,8.4,"Stare Miasto District, Poznań",Very Good ,"2,379 reviews",Price 308 zł,0.9 km from center,Standard Room with Queen Bed and Sofa,4,,Location 9.3
18,Hotel IOR,8.5,"Grunwald, Poznań",Very Good ,"1,905 reviews",Price 198 zł,5.4 km from center,Double Room,3,,
19,"Andersia Hotel & Spa Poznan, a member of Radisson Individuals",8.6,"Stare Miasto District, Poznań",Excellent ,"4,653 reviews",Price 409 zł,1 km from center,Superior Room,4,,Location 9.5
20,City Solei Boutique Hotel,9.1,"Stare Miasto District, Poznań",Wonderful ,"1,198 reviews",Price 272 zł,400 m from center,Comfort Single Room,4,,Location 9.6
21,Sheraton Poznan Hotel,8.5,"Jeżyce, Poznań",Very Good ,"1,655 reviews",Price 467 zł,1.6 km from center,"Classic, Guest room, 2 Twin/Single Bed(s)",5,,
22,Hotel NH Poznan,8.4,"Stare Miasto District, Poznań",Very Good ,"2,312 reviews",Price 288 zł,0.9 km from center,Standard Double or Twin Room,4,,Location 9.3
23,Apartamenty przy Starym Rynku,8.2,"Stare Miasto District, Poznań",Very Good ,155 reviews,Price 130 zł,300 m from center,Single Room with Shared Bathroom,3,,Location 9.3
24,Blooms Inn & Apartments,7.4,"Stare Miasto District, Poznań",Good ,"2,565 reviews",Price 170 zł,0.7 km from center,Single Room,3,,Location 9.3
25,Hotel Traffic Poznań Stare Miasto,8.5,"Stare Miasto District, Poznań",Very Good ,"5,310 reviews",Price 200 zł,1 km from center,Single Room,2,,Location 9.4
26,Hotel Lechicka,7.7,"Stare Miasto District, Poznań",Good ,"1,125 reviews",Price 249 zł,3.9 km from center,Single Room,3,,
27,Willa Sarbinowska,8.9,"Nowe Miasto, Poznań",Excellent ,313 reviews,Price 165 zł,4.4 km from center,Double Room,3,,
28,Hotel IOR,8.5,"Grunwald, Poznań",Very Good ,"1,905 reviews",Price 198 zł,5.4 km from center,Double Room,3,,
29,Meet Poznań Hotel,9.1,"Nowe Miasto, Poznań",Wonderful ,865 reviews,Price 168 zł,3.4 km from center,Standard Single Room,3,,
30,Hotel Kortowo,8.9,Poznań,Excellent ,651 reviews,Price 235 zł,7.8 km from center,Single Room,3,Breakfast included,
31,Port Sołacz,8.7,"Jeżyce, Poznań",Excellent ,3 reviews,Price 350 zł,2.7 km from center,Standard Double Room,3,,Location 10
32,Lilia House Poznan,8.2,"Stare Miasto District, Poznań",Very Good ,323 reviews,Price 167 zł,0.9 km from center,Budget Double Room,0,,Location 9.5
