,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Pawlansky Apartments,8.7,"Prague 1, Prague",Excellent ,178 reviews,Original price 955 zł. Current price 722 zł.,1.3 km from center,Standard Apartment,4,,Location 9.5
1,Giotto Apartments,8.4,"Vinohrady, Prague",Very Good ,914 reviews,Original price 101 zł. Current price 95 zł.,4.8 km from center,Single Room with Private Bathroom,4,,
2,a&o Prague Rhea,7.9,Prague,Good ,"8,504 reviews",Price 47 zł,5.7 km from center,Bed in 8-Bed Dormitory Room,3,,
3,Plus Prague,8.0,"Prague 7, Prague",Very Good ,"7,529 reviews",Price 40 zł,3.3 km from center,Bed in 8-Bed Dormitory Room,2,,
4,Prague Dream Hostel,8.5,"Prague 1, Prague",Very Good ,"2,796 reviews",Original price 323 zł. Current price 302 zł.,1 km from center,Economy Room with Shared Bathroom,4,,Location 9.4
5,Union Hotel Prague,7.4,"Prague 2, Prague",Good ,"1,033 reviews",Price 178 zł,2.5 km from center,Single Room ,4,,
6,Royal Court Hotel,8.5,"Prague 2, Prague",Very Good ,"1,003 reviews",Original price 216 zł. Current price 202 zł.,2 km from center,Double or Twin Room,3,,
7,Plaza Prague Hotel - Czech Leading Hotels,9.2,"Prague 7, Prague",Wonderful ,860 reviews,Original price 421 zł. Current price 253 zł.,3.1 km from center,Economy Room,4,,
8,Travel&Joy backpackers,7.7,"Prague 1, Prague",Good ,"1,279 reviews",Price 71 zł,0.9 km from center,Bunk Bed in Mixed Dormitory Room,0,,
9,Don Giovanni Hotel Prague - Great Hotels of The World,9.0,Prague,Wonderful ,"17,312 reviews",Original price 530 zł. Current price 297 zł.,4 km from center,Economy Room,4,,
10,Adeba Hotel,7.9,"Prague 8, Prague",Good ,"9,285 reviews",Original price 168 zł. Current price 158 zł.,2.1 km from center,Single Room,3,,
11,U Medvidku-Brewery Hotel,8.7,"Prague 1, Prague",Excellent ,"2,837 reviews",Original price 296 zł. Current price 277 zł.,0.5 km from center,Small Single Room,3,Breakfast included,Location 9.7
12,"Holiday Inn Prague Airport, an IHG Hotel",8.4,"Prague 6, Prague",Very Good ,"3,432 reviews",Price 434 zł,10.6 km from center,Double or Twin Room,4,,
13,Botel Vodnik,8.2,"Prague 5, Prague",Very Good ,"1,530 reviews",Original price 306 zł. Current price 287 zł.,2.8 km from center,Double Room,3,Breakfast included,
14,Exe City Park Hotel,8.7,"Prague 1, Prague",Excellent ,"1,693 reviews",Price 332 zł,0.9 km from center,Double or Twin Room,3,,Location 9.5
15,NH Prague City,8.4,"Prague 5, Prague",Very Good ,"1,887 reviews",Price 301 zł,2.5 km from center,Standard Double or Twin Room,4,,
16,Hotel Praga 1885,7.3,"Prague 5, Prague",Good ,"1,782 reviews",Original price 313 zł. Current price 237 zł.,2.4 km from center,Standard Double or Twin Room,4,,
17,Hotel Cerny Slon,8.7,"Prague 1, Prague",Excellent ,"1,575 reviews",Original price 346 zł. Current price 324 zł.,150 m from center,Single Room,4,,Location 9.8
18,Motel One Prague-Florentinum,8.8,"Prague 1, Prague",Excellent ,"1,350 reviews",Price 379 zł,1 km from center,Double Room,3,,Location 9.3
19,Hotel Brixen,7.8,"Prague 2, Prague",Good ,"1,479 reviews",Original price 267 zł. Current price 214 zł.,1.6 km from center,Economy Twin Room,3,,
20,"STAGES HOTEL Prague, a Tribute Portfolio Hotel",9.5,"Prague 9, Prague",Exceptional ,"2,415 reviews",Price 393 zł,5.6 km from center,Standard King Room,4,,
21,Vienna House by Wyndham Diplomat Prague,8.7,"Prague 6, Prague",Excellent ,"1,887 reviews",Price 402 zł,2.6 km from center,Single Superior,4,,
22,Wellness Hotel Step,8.7,"Prague 9, Prague",Excellent ,"3,345 reviews",Original price 636 zł. Current price 302 zł.,4.7 km from center,Standard Single Room,4,,
23,K+K Hotel Central,8.5,"Prague 1, Prague",Very Good ,"1,308 reviews",Original price 468 zł. Current price 438 zł.,0.7 km from center,Cozy Urban Room,4,,Location 9.6
24,Czech Inn,8.3,"Vinohrady, Prague",Very Good ,"2,042 reviews",Price 82 zł,2.5 km from center,Bunk Bed in 36-Bed Mixed Dormitory ,3,,
25,Prague Dream Hostel,8.5,"Prague 1, Prague",Very Good ,"2,796 reviews",Price 323 zł,1 km from center,Economy Room with Shared Bathroom,4,,Location 9.4
26,Botanique Hotel Prague,8.9,"Prague 8, Prague",Excellent ,"3,008 reviews",Price 381 zł,1.4 km from center,Classic King Room,4,,
27,Hostel Downtown,8.1,"Prague 1, Prague",Very Good ,880 reviews,Price 90 zł,0.6 km from center,Bunk Bed in Mixed Dormitory Room,3,,Location 9.5
28,Iris Hotel Eden - Czech Leading Hotels,9.0,Prague,Wonderful ,"2,327 reviews",Original price 390 zł. Current price 234 zł.,4.2 km from center,Standard Double or Twin Room,4,,
29,Exe City Park Hotel,8.7,"Prague 1, Prague",Excellent ,"1,693 reviews",Price 332 zł,0.9 km from center,Double or Twin Room,3,,Location 9.5
