,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Hotel Nartel,8.4,Prishtinë,Very Good ,67 reviews,Price 281 zł,2 km from center,Small Single Room,4,Breakfast included,
1,GOT Prishtina Hostel,9.3,Prishtinë,Wonderful ,202 reviews,Price 47 zł,0.6 km from center,6-Bed Mixed Dormitory Room,0,,
2,Prishtina Center Hostel,8.8,Prishtinë,Excellent ,595 reviews,Price 56 zł,100 m from center,Bed in 4-Bed Mixed Dormitory Room,0,,Location 9.7
3,Swiss Apartments Prishtina,8.4,Prishtinë,Very Good ,272 reviews,Price 281 zł,0.8 km from center,Apartment,3,,
4,City Inn,9.1,Prishtinë,Wonderful ,262 reviews,Price 398 zł,150 m from center,Standard Queen Room,0,Breakfast included,Location 9.5
5,New Prishtina Luxury Rooms,9.2,Prishtinë,Wonderful ,88 reviews,Price 133 zł,1.1 km from center,Double Room,0,,Location 9.5
6,Hotel Opera,9.2,Prishtinë,Wonderful ,335 reviews,Price 370 zł,150 m from center,Budget Double Room,4,Breakfast included,Location 9.8
7,Ideal Apartment n8,,Prishtinë,,,Price 206 zł,1.6 km from center,Two-Bedroom Apartment,0,,
8,ODA Hostel,9.2,Prishtinë,Wonderful ,188 reviews,Price 44 zł,150 m from center,Bed in 6-Bed Mixed Dormitory Room,0,,Location 9.7
9,Hostel Tuba,8.4,Prishtinë,Very Good ,233 reviews,Price 94 zł,1.1 km from center,Double Room with Shared Bathroom,5,,
10,Prishtina Backpackers,9.5,Prishtinë,Exceptional ,22 reviews,Price 42 zł,0.6 km from center,Single Bed in Female Dormitory Room,0,,Location 9.3
11,Hotel Heimli,7.5,Prishtinë,Good ,169 reviews,Price 70 zł,0.5 km from center,Twin Room with Shared Bathroom,0,,
12,Bus Station Hostel,9.0,Prishtinë,Wonderful ,392 reviews,Price 70 zł,2 km from center,Standard Twin Room with Shared Bathroom,0,,
13,Arbëria Hostel Prishtina,8.5,Prishtinë,Very Good ,140 reviews,Original price 47 zł. Current price 28 zł.,1 km from center,Bed in 6-Bed Mixed Dormitory Room,0,,
14,Hostel Dera,8.2,Prishtinë,Very Good ,10 reviews,Price 70 zł,400 m from center,Twin Room,0,,Location 10
15,Museum Hotel,8.4,Prishtinë,Very Good ,115 reviews,Price 187 zł,0.6 km from center,Double Room with Balcony,0,,
16,Center Hostel,10,Prishtinë,Exceptional ,1 review,Original price 47 zł. Current price 23 zł.,100 m from center,Bed in 4-Bed Mixed Dormitory Room,0,,Location 10
17,HOTEL CITY,8.3,Prishtinë,Very Good ,325 reviews,Price 234 zł,450 m from center,Single Room,0,Breakfast included,
18,Hotel Prishtina,9.1,Prishtinë,Wonderful ,302 reviews,Price 453 zł,1 km from center,Standard Double Room,5,Breakfast included,Location 9.4
19,Hotel Callisto,9.3,Prishtinë,Wonderful ,19 reviews,Original price 281 zł. Current price 211 zł.,1.1 km from center,Single Room,4,Breakfast included,
20,Guesthouse 12a,9.0,Prishtinë,Wonderful ,26 reviews,Price 117 zł,450 m from center,Twin Room,3,,Location 9.3
21,Hotel Prima,9.3,Prishtinë,Wonderful ,381 reviews,Price 209 zł,0.5 km from center,Double or Twin Room,3,Breakfast included,Location 9.3
22,Prishtina Newborn ABC room,9.0,Prishtinë,Wonderful ,164 reviews,Price 133 zł,0.6 km from center,One-Bedroom Apartment,3,,Location 9.8
23,Plaza Boutique Hotel,9.7,Prishtinë,Exceptional ,46 reviews,Price 328 zł,0.8 km from center,Double Room,0,,Location 9.6
24,Swiss Diamond Hotel Prishtina,9.1,Prishtinë,Wonderful ,"1,132 reviews",Price 632 zł,100 m from center,Business Double Room,5,Breakfast included,Location 9.7
25,Hotel International Prishtina & Spa,8.9,Prishtinë,Excellent ,187 reviews,Price 428 zł,3.2 km from center,Twin Room with Balcony and City View,5,Breakfast included,
26,Center Hostel,10,Prishtinë,Exceptional ,1 review,Original price 47 zł. Current price 23 zł.,100 m from center,Bed in 4-Bed Mixed Dormitory Room,0,,Location 10
27,Convini Bed & Bathroom Homestay,9.4,Prishtinë,Wonderful ,56 reviews,Original price 122 zł. Current price 103 zł.,0.7 km from center,Double Room with Shared Bathroom,0,,
28,Hotel Prishtina,9.1,Prishtinë,Wonderful ,302 reviews,Price 453 zł,1 km from center,Standard Double Room,5,Breakfast included,Location 9.4
29,Hotel Diamond Prishtina,9.3,Prishtinë,Wonderful ,609 reviews,Price 463 zł,7.6 km from center,Twin Room,5,Breakfast included,
30,Hotel Callisto,9.3,Prishtinë,Wonderful ,19 reviews,Original price 281 zł. Current price 211 zł.,1.1 km from center,Single Room,4,Breakfast included,
31,Guesthouse 12a,9.0,Prishtinë,Wonderful ,26 reviews,Price 117 zł,450 m from center,Twin Room,3,,Location 9.3
32,Hotel Rio,8.1,Prishtinë,Very Good ,64 reviews,Price 140 zł,2.4 km from center,Single Room,3,Breakfast included,
33,Prishtina Newborn ABC room,9.0,Prishtinë,Wonderful ,164 reviews,Price 133 zł,0.6 km from center,One-Bedroom Apartment,3,,Location 9.8
34,Hotel Begolli,9.1,Prishtinë,Wonderful ,137 reviews,Price 234 zł,0.7 km from center,Single Room,4,Breakfast included,
35,Boulevard Prishtina,8.6,Prishtinë,Excellent ,385 reviews,Price 203 zł,200 m from center,Apartment,4,,Location 9.7
36,Heart of Prishtina Apartments,9.3,Prishtinë,Wonderful ,67 reviews,Price 168 zł,1.3 km from center,Superior Apartment,3,,Location 9.7
