,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Bus Hostel,7.0,"Reykjavík 101, Reykjavík",Good ,"1,328 reviews",Price 214 zł,1.7 km from center,Bed in 20-Bed Dormitory room,3,,
1,Grandi by Center Hotels,8.5,"Vesturbær, Reykjavík",Very Good ,"2,031 reviews","Original price 1,361 zł. Current price 1,089 zł.",0.8 km from center,Superior Double or Twin Room,4,,
2,Reykjavik Downtown Hotel,6.9,"Reykjavík 101, Reykjavík",Review score ,"1,743 reviews",Original price 704 zł. Current price 658 zł.,0.7 km from center,Double Room,3,,Location 9.4
3,Center Hotels Plaza,8.2,"Reykjavík 101, Reykjavík",Very Good ,"3,546 reviews","Original price 1,070 zł. Current price 856 zł.",150 m from center,Standard Single Room,3,,Location 9.6
4,Kex Hostel,8.2,"Reykjavík 101, Reykjavík",Very Good ,"2,415 reviews",Original price 194 zł. Current price 183 zł.,1 km from center,Bed in 42-Bed Dormitory Room,0,,Location 9.3
5,Igdlo Guesthouse,8.0,"Reykjavík 101, Reykjavík",Very Good ,"1,579 reviews",Original price 411 zł. Current price 385 zł.,1.4 km from center,Single Room with Shared Bathroom,0,,
6,Reykjavik Downtown Guesthouse,8.0,"Reykjavík 101, Reykjavík",Very Good ,789 reviews,Original price 258 zł. Current price 232 zł.,1.1 km from center,Bunk Bed in Mixed Dormitory Room,0,Breakfast included,Location 9.4
7,Guesthouse Pavi,7.2,"Reykjavík 101, Reykjavík",Good ,"2,117 reviews",Original price 394 zł. Current price 369 zł.,1.5 km from center,Twin Room with Shared Bathroom,0,,
8,Guesthouse Sunna,8.6,"Reykjavík 101, Reykjavík",Excellent ,"1,281 reviews",Original price 399 zł. Current price 373 zł.,0.7 km from center,Basic Single Room with Shared Bathroom,0,,Location 9.7
9,100 Iceland Hotel,7.3,"Reykjavík 101, Reykjavík",Good ,"1,172 reviews",Original price 511 zł. Current price 477 zł.,1.2 km from center,Double Room with Private Bathroom,0,,
10,Snorri's Guesthouse,8.9,"Reykjavík 101, Reykjavík",Excellent ,209 reviews,Original price 446 zł. Current price 417 zł.,1.3 km from center,Single Room,0,Breakfast included,
11,Loft - HI Hostel,8.1,"Reykjavík 101, Reykjavík",Very Good ,992 reviews,Original price 231 zł. Current price 216 zł.,300 m from center,Bed in 8-Bed Mixed Dormitory Room,0,,Location 9.6
12,Reykjavik Natura - Berjaya Iceland Hotels,8.1,"Reykjavík 101, Reykjavík",Very Good ,"1,415 reviews",Original price 669 zł. Current price 625 zł.,1.9 km from center,Double Room,4,,
13,Hostel B47,8.3,"Reykjavík 101, Reykjavík",Very Good ,"1,473 reviews",Price 170 zł,1 km from center,Bed in 8-Bed Mixed Dormitory Room,0,,Location 9.4
14,101 Guesthouse,7.4,"Reykjavík 101, Reykjavík",Good ,691 reviews,Original price 380 zł. Current price 355 zł.,1.2 km from center,Single Room with Shared Bathroom,0,,
15,REK Inn,7.7,"Reykjavík 101, Reykjavík",Good ,588 reviews,Price 465 zł,1.8 km from center,Double Room with Private Bathroom,0,,
