,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Riga Islande Hotel with FREE Parking,8.9,"Kurzemes priekšpilsēta, Riga",Excellent ,"6,687 reviews",Price 216 zł,1.3 km from center,Standard Single Room,4,Breakfast included,
1,Hanza Hotel,8.2,"Latgales priekšpilsēta, Riga",Very Good ,"3,870 reviews",Price 251 zł,1.4 km from center,Standard Double or Twin Room,3,Breakfast included,
2,Anna's guesthouse,8.6,"Latgales priekšpilsēta, Riga",Excellent ,787 reviews,Price 117 zł,1.5 km from center,Twin Room with Shared Bathroom,0,,
3,Ibis Riga Centre,8.2,"City Center, Riga",Very Good ,"1,693 reviews",Price 237 zł,0.9 km from center,Standard Single Room,3,,
4,Liberty Airy,7.3,"City Center, Riga",Good ,813 reviews,Price 89 zł,350 m from center,Bed in 10-Bed Mixed Dormitory Room,0,,Location 9.5
5,Rixwell Old Riga Palace Hotel,7.7,"City Center, Riga",Good ,"6,000 reviews",Price 319 zł,0.5 km from center,Standard Single Room,4,Breakfast included,
6,Wellton Riga Hotel & SPA,8.4,"City Center, Riga",Very Good ,"8,438 reviews",Price 371 zł,0.6 km from center,Standard Single Room,4,Breakfast included,Location 9.4
7,Hampton by Hilton Riga Airport,9.2,Riga,Wonderful ,"2,377 reviews",Price 249 zł,7.2 km from center,King Room,3,Breakfast included,
8,Wellton Riverside SPA Hotel,8.7,"City Center, Riga",Excellent ,"12,122 reviews",Price 671 zł,0.5 km from center,Standard Single Room,4,Breakfast included,Location 9.4
9,Hotel Valdemars Riga managed by Accor,8.3,"City Center, Riga",Very Good ,"1,111 reviews",Price 282 zł,1 km from center,Classic Double Room,3,,Location 9.3
10,Liberty,7.1,"City Center, Riga",Good ,788 reviews,Price 155 zł,350 m from center,Small Twin Room with Bunk Bed,3,,Location 9.5
11,AC Hotel by Marriott Riga,8.7,"City Center, Riga",Excellent ,"1,170 reviews",Price 399 zł,1.1 km from center,"Comfort, Guest room, 1 King",4,,Location 9.3
12,Rixwell Elefant Hotel,8.7,"Zemgales priekšpilsēta, Riga",Excellent ,"7,650 reviews",Price 286 zł,3.8 km from center,Comfort Double or Twin Room,4,Breakfast included,
13,Rixwell Konventa Seta Design Hotel,8.4,"City Center, Riga",Very Good ,"4,391 reviews",Price 380 zł,300 m from center,Comfort Double or Twin Room,4,Breakfast included,Location 9.6
14,Wellton Centrum Hotel & SPA,8.4,"City Center, Riga",Very Good ,"5,838 reviews",Price 375 zł,500 m from center,Single Room,4,Breakfast included,Location 9.6
