,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Gemme Di Roma Accomodation,9.6,"Central Station, Rome",Exceptional ,618 reviews,"Original price 1,049 zł. Current price 636 zł.",1.8 km from center,Standard Double or Twin Room,4,Breakfast included,Location 9.6
1,Roma Scout Center,8.3,"Nomentano, Rome",Very Good ,"1,430 reviews",Price 173 zł,3.7 km from center,Bed in 4-Bed Mixed Dormitory Room,0,,
2,SUNSHINE HOSTEL,5.8,"Central Station, Rome",Review score ,838 reviews,Original price 96 zł. Current price 83 zł.,2.6 km from center,Bed in 8-Bed Mixed Dormitory Room,0,,
3,Hostel Mosaic,7.5,"Central Station, Rome",Good ,"1,702 reviews",Price 109 zł,1.9 km from center,Bed in 4-Bed Mixed Dormitory Room with Shared Bathroom,0,,
4,Rione Monti Suites,9.0,"Rione Monti, Rome",Wonderful ,546 reviews,Price 320 zł,0.9 km from center,Standard Single Room,3,,Location 9.6
5,Hotel Pacific,8.2,"Trionfale, Rome",Very Good ,"2,283 reviews",Original price 483 zł. Current price 297 zł.,3.4 km from center,Superior Single Room,3,Breakfast included,
6,Casa Piccole Ancelle di Cristo Re,8.1,"Aurelio, Rome",Very Good ,"1,299 reviews",Price 204 zł,3.9 km from center,Single Room,0,Breakfast included,
7,Hotel Degli Aranci,8.5,"Villa Borghese Parioli, Rome",Very Good ,"1,364 reviews",Price 365 zł,3.3 km from center,Single Standard,4,Breakfast included,
8,Evergreen,8.6,"Central Station, Rome",Excellent ,254 reviews,Price 321 zł,2 km from center,Single Room,3,,Location 9.4
9,Hotel Serena,7.7,"Central Station, Rome",Good ,"4,201 reviews",Price 441 zł,1.5 km from center,Double or Twin Room,3,Breakfast included,
10,Re di Luna B&B,8.9,"San Giovanni, Rome",Excellent ,416 reviews,Price 306 zł,3 km from center,Quadruple Room with Private Bathroom,3,,
11,Hotel Raffaello; Sure Hotel Collection by Best Western,8.6,"Rione Monti, Rome",Excellent ,759 reviews,Price 441 zł,1.1 km from center,Standard Single Room,3,,
12,Room Mate Filippo,9.4,"Via Veneto, Rome",Wonderful ,670 reviews,"Price 1,147 zł",1.1 km from center,Superior Double or Twin Room,4,Breakfast included,Location 9.6
13,Imperial Rhome Guest House,,"Rione Monti, Rome",,,"Price 1,072 zł",0.6 km from center,Deluxe Double Room with Balcony,0,,
14,Hotel Cristoforo Colombo,8.2,"Torrino, Rome",Very Good ,"5,456 reviews",Original price 408 zł. Current price 351 zł.,8.9 km from center,Single Room,4,Breakfast included,
15,Hotel Villafranca,7.9,"Central Station, Rome",Good ,650 reviews,Original price 568 zł. Current price 471 zł.,2.1 km from center,Standard Single Room,4,Breakfast included,
