,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Hotel Doña Blanca,8.1,"Old Town, Seville",Very Good ,"1,532 reviews",Price 221 zł,0.9 km from center,Single Room,2,,
1,Catalonia Giralda,8.6,"Old Town, Seville",Excellent ,"4,235 reviews",Price 375 zł,1 km from center,Double or Twin Room,4,,
2,Hostal Sierpes,7.7,"Old Town, Seville",Good ,"1,570 reviews",Price 235 zł,400 m from center,Single Room,1,,
3,Cool Sevilla Hotel,8.1,"Old Town, Seville",Very Good ,"2,009 reviews",Price 225 zł,0.7 km from center,Classic Single Room,2,,Location 9.3
4,Hotel Simon,8.2,"Old Town, Seville",Very Good ,"1,879 reviews",Price 294 zł,250 m from center,Double Room with Extra Bed,1,,Location 9.8
5,Exe Sevilla Macarena,7.5,"Macarena, Seville",Good ,"8,740 reviews",Price 267 zł,1.8 km from center,Single Room,4,,
6,Zenit Sevilla,8.9,"Triana, Seville",Excellent ,"4,312 reviews",Price 394 zł,1.1 km from center,Double or Twin Room,4,,Location 9.3
7,Monte Triana,9.0,"Triana, Seville",Wonderful ,"1,373 reviews",Price 446 zł,1.1 km from center,Double or Twin Room,4,,
8,Pensión Córdoba,9.2,"Old Town, Seville",Wonderful ,791 reviews,Price 164 zł,0.6 km from center,Single Room with Private Bathroom,3,,Location 9.8
9,Monte Carmelo,9.1,"Los Remedios, Seville",Wonderful ,881 reviews,Price 408 zł,1.3 km from center,Single Room,4,,
10,Eurostars Guadalquivir,9.1,"Los Remedios, Seville",Wonderful ,"3,584 reviews",Price 503 zł,1.3 km from center,Single Room,4,,
11,Eurostars Torre Sevilla,9.0,"Triana, Seville",Wonderful ,"6,429 reviews",Price 699 zł,1.3 km from center,Deluxe Room,5,,
12,Catalonia Santa Justa,8.7,"San Pablo - Santa Justa, Seville",Excellent ,"4,374 reviews",Price 253 zł,1.3 km from center,Single Room,4,,
13,Pension Doña Trinidad,8.4,"Old Town, Seville",Very Good ,"1,174 reviews",Price 164 zł,0.8 km from center,Single Room with Private External Bathroom,3,,Location 9.5
14,Eurostars Regina,8.4,"Old Town, Seville",Very Good ,"5,449 reviews",Price 380 zł,1.2 km from center,Single Room,3,,
15,Reyes Católicos,7.8,"Old Town, Seville",Good ,"1,103 reviews",Price 215 zł,400 m from center,Double Room (1 Adult),3,,Location 9.4
16,Hotel Casa 1800 Sevilla,9.0,"Old Town, Seville",Wonderful ,"1,237 reviews",Price 690 zł,0.5 km from center,Premium Room,4,,Location 9.7
17,room007 Salvador Hostel,8.7,"Old Town, Seville",Excellent ,"2,839 reviews",Original price 153 zł. Current price 89 zł.,400 m from center,Bed in 8-Bed Mixed Dormitory Room with Private Bathroom,0,,Location 9.5
18,Exe Sevilla Palmera,8.1,"Sur, Seville",Very Good ,"4,873 reviews",Price 300 zł,3 km from center, Double Room,4,,
19,Hotel Macià Sevilla Kubb,8.6,"Nervión, Seville",Excellent ,"2,878 reviews",Price 399 zł,1.1 km from center,Queen Room,4,,
20,Hotel Sevilla Center,8.7,"Nervión, Seville",Excellent ,"7,661 reviews",Price 373 zł,1.6 km from center,Double or Twin Room (1-2 Adults),4,,
21,El Viajero en Sevilla,8.8,"Old Town, Seville",Excellent ,"1,918 reviews",Price 253 zł,400 m from center,Standard Double Room with Shared Bathroom,0,,Location 9.6
22,One Shot Palacio Conde de Torrejón 09,8.6,"Old Town, Seville",Excellent ,"1,335 reviews",Price 384 zł,1 km from center,Economy Double Room,4,,
23,EME Catedral Hotel,8.2,"Old Town, Seville",Very Good ,753 reviews,"Price 1,032 zł",300 m from center,Superior Double or Twin Room,5,Breakfast included,Location 9.7
24,Hotel Giralda Center,9.2,"Nervión, Seville",Wonderful ,808 reviews,Price 439 zł,1.3 km from center,Double Room,4,,
25,Hotel Giralda Center,9.2,"Nervión, Seville",Wonderful ,808 reviews,Price 439 zł,1.3 km from center,Double Room,4,,
26,Las Casas de El Arenal,9.0,"Old Town, Seville",Wonderful ,"1,120 reviews",Original price 718 zł. Current price 671 zł.,200 m from center,Double or Twin Room,4,,Location 9.7
27,Petit Palace Vargas,9.0,"Old Town, Seville",Wonderful ,"2,076 reviews",Original price 502 zł. Current price 427 zł.,0.6 km from center,Standard Double or Twin Room,2,,
28,Hostal Trajano,7.6,"Old Town, Seville",Good ,695 reviews,Price 235 zł,0.6 km from center,Twin Room,1,,
29,Soho Boutique Catedral,9.1,"Old Town, Seville",Wonderful ,"2,093 reviews",Original price 652 zł. Current price 610 zł.,150 m from center,Double or Twin Room,4,,Location 9.9
30,Santiago 15 Casa Palacio,8.5,"Old Town, Seville",Very Good ,"2,677 reviews",Original price 352 zł. Current price 329 zł.,0.9 km from center,Standard Double Room,2,,
31,Boutique Puerta Real,8.8,"Old Town, Seville",Excellent ,"1,644 reviews",Price 604 zł,0.6 km from center,Deluxe Double Room,4,,
32,Casa Boutique La Pila del Pato,8.8,"Old Town, Seville",Excellent ,"1,158 reviews",Price 338 zł,0.7 km from center,Budget Double Room,1,,Location 9.4
33,Hotel Casa Del Poeta,9.5,"Old Town, Seville",Exceptional ,582 reviews,Original price 935 zł. Current price 874 zł.,0.6 km from center,Double Room - Ground Floor,4,,Location 9.8
34,Hotel Rey Alfonso X,9.0,"Old Town, Seville",Wonderful ,"4,031 reviews",Original price 568 zł. Current price 531 zł.,0.7 km from center,Double or Twin Room (1-2 Adults),4,,Location 9.7
35,Las Casas de los Mercaderes,8.6,"Old Town, Seville",Excellent ,"2,096 reviews",Price 376 zł,200 m from center,Double or Twin Room,3,,Location 9.8
36,Hotel Plaza Santa Lucía,8.1,"Old Town, Seville",Very Good ,"1,784 reviews",Original price 366 zł. Current price 342 zł.,1.4 km from center,Twin Room,3,,
37,Santacruz Hostal Plaza,8.1,"Old Town, Seville",Very Good ,326 reviews,Price 305 zł,0.7 km from center,Double or Twin Room,3,,Location 9.7
38,Vincci La Rabida,8.7,"Old Town, Seville",Excellent ,"5,074 reviews",Original price 826 zł. Current price 743 zł.,200 m from center,Double or Twin Room (1-2 Adults),4,,Location 9.6
39,NH Sevilla Plaza de Armas,8.5,"Old Town, Seville",Very Good ,"4,916 reviews",Price 432 zł,0.8 km from center,Standard Double or Twin Room,4,,
40,The Nomad Hostel&Pension,8.6,"Old Town, Seville",Excellent ,"1,545 reviews",Price 111 zł,300 m from center,Bed in 10-Bed Mixed Dormitory Room,0,,Location 9.5
41,Exe Isla Cartuja,8.3,"Macarena Norte, Seville",Very Good ,"3,647 reviews",Price 324 zł,3.3 km from center,Double or Twin Room,4,,
42,Adriano Boutique Sevilla,8.8,"Old Town, Seville",Excellent ,882 reviews,Price 338 zł,300 m from center,Twin Room,3,,Location 9.7
43,Hotel y Apartamentos Doña Lola,7.6,"Old Town, Seville",Good ,"1,173 reviews",Price 261 zł,0.7 km from center,Single Room,2,,
44,La Central Sevilla,8.3,"Old Town, Seville",Very Good ,433 reviews,Price 235 zł,0.8 km from center,Double Room,1,Breakfast included,
45,Hotel Posada del Lucero,9.2,"Old Town, Seville",Wonderful ,"2,810 reviews",Original price 619 zł. Current price 579 zł.,0.7 km from center,Double or Twin Room (1-2 Adults),4,,Location 9.5
46,Hotel Patio de las Cruces,7.9,"Old Town, Seville",Good ,"2,661 reviews",Price 216 zł,0.7 km from center,Single Room,1,,Location 9.5
47,H10 Corregidor Boutique Hotel,9.1,"Old Town, Seville",Wonderful ,"1,791 reviews",Price 400 zł,0.8 km from center,Single Room,3,,Location 9.4
48,Hotel Alcántara,8.5,"Old Town, Seville",Very Good ,"1,336 reviews",Price 277 zł,0.7 km from center,Single Room,2,,Location 9.7
49,room007 Select Tetuán,8.5,"Old Town, Seville",Very Good ,"2,196 reviews",Original price 617 zł. Current price 335 zł.,200 m from center,Deluxe Single Room,3,,Location 9.7
50,Hotel Posada del Lucero,9.2,"Old Town, Seville",Wonderful ,"2,810 reviews",Price 619 zł,0.7 km from center,Double or Twin Room (1-2 Adults),4,,Location 9.5
51,Hotel Patio de las Cruces,7.9,"Old Town, Seville",Good ,"2,661 reviews",Price 216 zł,0.7 km from center,Single Room,1,,Location 9.5
52,H10 Corregidor Boutique Hotel,9.1,"Old Town, Seville",Wonderful ,"1,791 reviews",Price 400 zł,0.8 km from center,Single Room,3,,Location 9.4
53,Hotel Alcántara,8.5,"Old Town, Seville",Very Good ,"1,336 reviews",Price 277 zł,0.7 km from center,Single Room,2,,Location 9.7
54,room007 Select Tetuán,8.5,"Old Town, Seville",Very Good ,"2,196 reviews",Original price 617 zł. Current price 358 zł.,200 m from center,Deluxe Single Room,3,,Location 9.7
55,Jardin de la Alameda Hostal Boutique,7.7,"Old Town, Seville",Good ,"2,357 reviews",Price 282 zł,1.4 km from center,Double or Twin Room,1,,
56,"Hotel Alfonso XIII, a Luxury Collection Hotel, Seville",9.0,"Old Town, Seville",Wonderful ,"1,276 reviews","Price 1,422 zł",0.8 km from center,Deluxe Single Room with Courtyard View,5,,Location 9.9
57,Petit Palace Puerta de Triana,8.7,"Old Town, Seville",Excellent ,"3,339 reviews",Original price 507 zł. Current price 431 zł.,350 m from center,Small Double Room,3,,Location 9.6
58,The Spot Central Hostel,8.2,"Old Town, Seville",Very Good ,"1,072 reviews",Price 188 zł,250 m from center,Bed in 3-beds shared dormitory,0,,Location 9.5
59,Hostal Sol 4,8.1,"Old Town, Seville",Very Good ,"1,115 reviews",Price 259 zł,0.9 km from center,Single Room,3,,
60,M.A. Hotel Sevilla Congresos,8.1,"Este, Seville",Very Good ,"2,738 reviews",Price 317 zł,6.1 km from center,Double or Twin Room (1 Adult),4,,
61,Petit Palace Marques Santa Ana,8.6,"Old Town, Seville",Excellent ,"2,401 reviews",Original price 601 zł. Current price 511 zł.,150 m from center,Single Room,4,,Location 9.7
62,Hotel Fernando III,8.9,"Old Town, Seville",Excellent ,"6,146 reviews",Original price 516 zł. Current price 490 zł.,0.7 km from center,Standard Double or Twin Room (1-2 Adults),4,,Location 9.7
63,Ibis Budget Sevilla Aeropuerto,7.5,"Macarena Norte, Seville",Good ,"4,874 reviews",Price 214 zł,4.6 km from center,Double Room with Bunk Bed,1,,
64,Ibis Sevilla,7.9,"Macarena Norte, Seville",Good ,"1,824 reviews",Price 287 zł,4.5 km from center,Double Room,1,,
65,Sercotel Sevilla Guadalquivir Suites,8.3,"Old Town, Seville",Very Good ,87 reviews,Original price 475 zł. Current price 380 zł.,1.5 km from center,Superior Studio,3,,
66,Hostal Callejon del Agua,8.4,"Old Town, Seville",Very Good ,"1,434 reviews",Price 305 zł,400 m from center,Economy Double or Twin Room,3,,Location 9.5
