,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Hotel Super 8,7.6,"Skopje City-Centre, Skopje",Good ,"2,626 reviews",Price 147 zł,0.9 km from center,Single Room,4,Breakfast included,
1,Hotel Kanet,8.0,Skopje,Very Good ,180 reviews,Original price 197 zł. Current price 159 zł.,0.8 km from center,Double or Twin Room,2,Breakfast included,
2,Victor apartment,,Skopje,,,Price 117 zł,1.8 km from center,One-Bedroom Apartment,0,,
3,Hotel Alexandar II,9.1,"Skopje City-Centre, Skopje",Wonderful ,"1,098 reviews",Original price 262 zł. Current price 249 zł.,200 m from center,Economy Double or Twin Room,4,Breakfast included,Location 9.5
4,Calla Bella Rooms & Snack Bar,8.1,"Skopje City-Centre, Skopje",Very Good ,854 reviews,Price 164 zł,250 m from center,Superior Room with Private Bathroom,3,Breakfast included,Location 9.6
5,Modern apartment near the center,,Skopje,,,Original price 211 zł. Current price 168 zł.,3.6 km from center,One-Bedroom Apartment,0,,
6,Urban Serviced Apartments,9.1,Skopje,Wonderful ,128 reviews,Original price 370 zł. Current price 176 zł.,1.5 km from center,"Superior Apartment, One-Bedroom, Balcony",3,,
7,Hotel De KOKA,8.1,"Skopje City-Centre, Skopje",Very Good ,"2,375 reviews",Price 236 zł,0.9 km from center,No Windows Economy Double Room,3,Breakfast included,
8,Hotel Panoramika Design & Spa,9.4,Skopje,Wonderful ,818 reviews,Original price 351 zł. Current price 333 zł.,1.6 km from center,Standard Room with Mountain View,4,Breakfast included,
9,Skopje Arch Residence,8.7,"Skopje City-Centre, Skopje",Excellent ,407 reviews,Price 164 zł,500 m from center,Triple Room with Private Bathroom,3,,Location 9.7
10,Moodeight Apartments,9.3,Skopje,Wonderful ,488 reviews,Price 211 zł,1.3 km from center,Studio Apartment with Balcony (2 Children + 1 Child),4,,
11,Hostel Log Inn,8.4,Skopje,Very Good ,312 reviews,Original price 61 zł. Current price 58 zł.,1.2 km from center,Bed in 6-Bed Mixed Dormitory Room,0,,
12,Lazarus Studio Apartment,9.5,"Skopje City-Centre, Skopje",Exceptional ,59 reviews,Price 117 zł,20 m from center,Apartment,3,,Location 9.8
13,Best Western Hotel Turist,8.2,"Skopje City-Centre, Skopje",Very Good ,817 reviews,Price 191 zł,450 m from center,Double Room,4,Breakfast included,Location 9.5
14,Hotel Centar,8.4,"Skopje City-Centre, Skopje",Very Good ,231 reviews,Original price 211 zł. Current price 200 zł.,1.1 km from center,Double Room,3,,
15,Hotel London B&B,8.6,"Skopje City-Centre, Skopje",Excellent ,404 reviews,Original price 323 zł. Current price 307 zł.,250 m from center, Budget Double Room ,3,Breakfast included,Location 9.8
16,Hotel Cara 28,7.9,"Skopje City-Centre, Skopje",Good ,352 reviews,Original price 244 zł. Current price 197 zł.,250 m from center,Deluxe Double Room (2 Adults + 1 Child),4,,Location 9.6
17,Hotel Premium,8.8,"Skopje City-Centre, Skopje",Excellent ,"1,648 reviews",Price 267 zł,1 km from center,Standard Double or Twin Room,4,Breakfast included,
18,Ibis Skopje City Center,8.3,"Skopje City-Centre, Skopje",Very Good ,"1,190 reviews",Price 243 zł,150 m from center,Double Room with One Double Bed,4,Breakfast included,Location 9.6
19,Mickitos Hostel & Apartments,8.4,"Skopje City-Centre, Skopje",Very Good ,841 reviews,Price 51 zł,0.9 km from center,Bed in 6-Bed Female Dormitory Room,0,,Location 9.6
20,Alexandar Square Boutique Hotel,8.9,"Skopje City-Centre, Skopje",Excellent ,709 reviews,Original price 299 zł. Current price 285 zł.,250 m from center,Standard Double or Twin Room,4,Breakfast included,Location 9.8
21,Solun's Riverside Rooms,8.3,"Skopje City-Centre, Skopje",Very Good ,239 reviews,Price 215 zł,0.5 km from center,Double or Twin Room with River View,3,Breakfast included,
22,Limak Skopje Luxury Hotel,9.2,Skopje,Wonderful ,"1,199 reviews",Price 463 zł,0.7 km from center,Deluxe Double Room,5,,
23,The Pioneers Home,8.4,Skopje,Very Good ,51 reviews,Price 30 zł,1.7 km from center,Standard Double Room,0,,
24,Hotel Kapistec Skopje,8.5,Skopje,Very Good ,367 reviews,Price 97 zł,1.8 km from center,Single Room,3,,
25,Hotel Centar,8.4,"Skopje City-Centre, Skopje",Very Good ,231 reviews,Price 211 zł,1.1 km from center,Double Room,3,,
26,New Cozy Apartment,9.0,Skopje,Wonderful ,43 reviews,Price 111 zł,1.9 km from center,One-Bedroom Apartment,3,,
27,Studio close to town centar,9.4,Skopje,Wonderful ,64 reviews,Price 131 zł,1.4 km from center,Studio with Mountain View,3,,Location 9.3
28,DoubleTree By Hilton Skopje,9.1,Skopje,Wonderful ,"1,612 reviews",Price 443 zł,3.8 km from center,King Room,5,,
29,Solun's Riverside Rooms,8.3,"Skopje City-Centre, Skopje",Very Good ,239 reviews,Price 215 zł,0.5 km from center,Double or Twin Room with River View,3,Breakfast included,
