,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Hotel Akord,7.9,Sofia,Good ,"1,242 reviews",Original price 216 zł. Current price 172 zł.,2.9 km from center,Single Room,3,,
1,Central Hotel Sofia,8.4,"Centrum, Sofia",Very Good ,"2,313 reviews",Original price 374 zł. Current price 350 zł.,500 m from center,Comfort Double Room,4,,
2,Hostel Mostel Sofia,8.1,"Centrum, Sofia",Very Good ,"2,591 reviews",Original price 67 zł. Current price 63 zł.,0.6 km from center,Bed in 8-Bed Mixed Dormitory Room,1,,
3,Best Western Premier Sofia Airport Hotel,8.9,"Airport District, Sofia",Excellent ,"4,498 reviews",Original price 340 zł. Current price 319 zł.,6.5 km from center,Premier King Room (Room Only) ,4,,
4,Hotel Latinka,8.3,Sofia,Very Good ,455 reviews,Original price 168 zł. Current price 157 zł.,3.7 km from center,Large Single Room,3,Breakfast included,
5,Hotel of Bulgarian Academy of Sciences,8.2,"Geo Milev, Sofia",Very Good ,708 reviews,Price 161 zł,4.3 km from center,Single Room with Free Parking,2,,
6,The Moon Boutique Hotel,8.0,"Centrum, Sofia",Very Good ,110 reviews,Original price 374 zł. Current price 337 zł.,1.1 km from center,Single Room,3,Breakfast included,Location 9.3
7,Hotel Montecito,8.3,Sofia,Very Good ,"1,282 reviews",Price 158 zł,10 km from center,Single Room,3,Breakfast included,
8,Rosslyn Thracia Hotel Sofia,8.7,"Centrum, Sofia",Excellent ,945 reviews,Original price 441 zł. Current price 413 zł.,0.5 km from center,Economy Single Room,4,,Location 9.6
9,Best Western Plus Expo Hotel,8.6,"Airport District, Sofia",Excellent ,"1,736 reviews",Original price 250 zł. Current price 234 zł.,8.4 km from center,Superior Twin Room (Room Only),4,,
10,Hotel Niky,8.8,"Centrum, Sofia",Excellent ,"1,816 reviews",Original price 341 zł. Current price 271 zł.,0.8 km from center,Standard Double Room,3,Breakfast included,Location 9.6
11,Like Home Guest Rooms,8.2,"Centrum, Sofia",Very Good ,429 reviews,Price 84 zł,1.6 km from center,Single Room with Shared Bathroom,0,,
12,Light Hotel,8.6,"Centrum, Sofia",Excellent ,"2,034 reviews",Original price 425 zł. Current price 250 zł.,0.7 km from center,Economy Double Room - Free Spa,3,,
13,Sense Hotel Sofia,8.7,"Centrum, Sofia",Excellent ,786 reviews,Price 622 zł,0.9 km from center,Superior Accessible Room,5,,Location 9.5
14,Kniaz Boris Hotel,6.3,"Centrum, Sofia",Review score ,"1,149 reviews",Price 108 zł,0.8 km from center,Economy Double Room,2,,
15,Hotel Villa Boyana - Free Parking,8.9,"Vitosha District, Sofia",Excellent ,351 reviews,Original price 216 zł. Current price 202 zł.,7.2 km from center,Single Room with Balcony,4,,Location 9.3
16,Park Hostel Sofia,7.3,Sofia,Good ,334 reviews,Original price 43 zł. Current price 40 zł.,2.4 km from center,Dormitory Room with Shared Bathroom,1,,
17,Ivory Tower Hostel,8.2,"Centrum, Sofia",Very Good ,818 reviews,Price 107 zł,300 m from center,Economy Triple Room with Shared Bathroom,1,,Location 9.4
18,5 Vintage Guest House,9.3,"Centrum, Sofia",Wonderful ,736 reviews,Original price 240 zł. Current price 224 zł.,0.6 km from center,Deluxe Single Room,3,,Location 9.9
