,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Castle House Inn,8.2,"Gamla Stan, Stockholm",Very Good ,"3,417 reviews",Price 199 zł,1 km from center,Bed in 12-Bed Mixed Dormitory Room (Max 40 years),3,,Location 9.6
1,Generator Stockholm,8.0,"Norrmalm, Stockholm",Very Good ,"8,101 reviews",Price 106 zł,0.9 km from center,Bed in 6-Bed Mixed Dormitory Room,3,,
2,City Hostel,7.9,"Kungsholmen, Stockholm",Good ,"1,433 reviews",Price 103 zł,1.2 km from center,Bed in 10-Bed Mixed Dormitory Room,2,,
3,Rex Hotel,8.1,"Vasastan, Stockholm",Very Good ,"2,267 reviews",Price 384 zł,1 km from center,Small Single Room,3,Breakfast included,
4,Hotel Hellsten,7.9,"Vasastan, Stockholm",Good ,"2,740 reviews",Price 367 zł,1 km from center,Small Single Room,4,Breakfast included,
5,Hotel Birger Jarl,8.2,"Vasastan, Stockholm",Very Good ,"4,966 reviews",Original price 317 zł. Current price 269 zł.,1.1 km from center,Cabin Room,4,,
6,Mornington Hotel Stockholm,8.0,"Östermalm, Stockholm",Very Good ,"3,187 reviews",Price 456 zł,1 km from center,Single Irregular,4,Breakfast included,Location 9.3
7,Best Western and hotel,7.9,"Norrmalm, Stockholm",Good ,"4,087 reviews",Price 339 zł,450 m from center,Small & Smart Single - No Window,3,Breakfast included,
8,Comfort Hotel Xpress Stockholm Central,7.3,"Norrmalm, Stockholm",Good ,"4,989 reviews",Original price 362 zł. Current price 337 zł.,0.6 km from center,Economy Double Room without Window,3,,Location 9.3
9,Elite Hotel Adlon,8.1,"Norrmalm, Stockholm",Very Good ,"2,188 reviews",Price 403 zł,450 m from center,Standard Single Room,4,Breakfast included,Location 9.5
10,Hellstens Glashus,8.2,"Södermalm, Stockholm",Very Good ,"1,732 reviews",Price 470 zł,1.8 km from center,Standard Single Room,3,Breakfast included,Location 9.4
11,Best Western Hotel Bentleys,7.9,"Norrmalm, Stockholm",Good ,"4,768 reviews",Price 289 zł,0.7 km from center,Small Single Room,4,Breakfast included,Location 9.3
12,Connect Hotel City,7.9,"Kungsholmen, Stockholm",Good ,"6,566 reviews",Price 295 zł,2.1 km from center,Single Room Economy without Window,3,Breakfast included,
13,Clarion Hotel Stockholm,7.9,"Södermalm, Stockholm",Good ,"8,590 reviews",Original price 399 zł. Current price 371 zł.,2.8 km from center,Small Double Room (55 in bed),4,Breakfast included,
14,Crystal Plaza Hotel,7.4,"Norrmalm, Stockholm",Good ,"3,066 reviews",Price 341 zł,0.7 km from center,Economy Single Room,3,Breakfast included,
15,Elite Hotel Stockholm Plaza,8.0,"Norrmalm, Stockholm",Very Good ,980 reviews,Price 481 zł,0.6 km from center,Standard Single Room,4,Breakfast included,Location 9.3
16,Mornington Hotel Bromma,7.8,"Bromma, Stockholm",Good ,543 reviews,Price 323 zł,5.9 km from center,Single Room without Window,4,Breakfast included,
