,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,EXCLUSIVE New Town Apartments,8.9,"Srodmiescie, Szczecin",Excellent ,153 reviews,Original price 700 zł. Current price 420 zł.,1.6 km from center,Apartment with Terrace,3,,
1,Hotel Panorama,7.0,"Prawobrzeze, Szczecin",Good ,"1,658 reviews",Price 160 zł,8.3 km from center,Single Room,3,,
2,Studencki Dom Marynarza Korab,8.7,"Srodmiescie, Szczecin",Excellent ,517 reviews,Price 85 zł,0.8 km from center,Single Room with Shared Bathroom,0,,Location 9.3
3,ibis Styles Szczecin Stare Miasto,9.0,"Srodmiescie, Szczecin",Wonderful ,291 reviews,Price 273 zł,0.6 km from center,Standard Single Room,3,Breakfast included,Location 9.6
4,Radisson Blu Szczecin,8.2,"Srodmiescie, Szczecin",Very Good ,"5,840 reviews",Price 360 zł,450 m from center,Standard Double or Twin Room,4,Breakfast included,
5,Moxy Szczecin City,9.1,"Srodmiescie, Szczecin",Wonderful ,"2,047 reviews",Price 272 zł,500 m from center,Queen Room with Courtyard View,3,,Location 9.6
6,Hotel Willa Flora,8.7,"Srodmiescie, Szczecin",Excellent ,871 reviews,Price 319 zł,1 km from center,Standard Single Room,3,Breakfast included,
7,Focus Hotel Szczecin,8.1,"Srodmiescie, Szczecin",Very Good ,"3,564 reviews",Price 230 zł,0.7 km from center,Single Room,3,,Location 9.3
8,Hotelik Elka-Sen,8.6,"Srodmiescie, Szczecin",Excellent ,830 reviews,Price 160 zł,0.6 km from center,Single Room,0,,Location 9.5
9,Campanile Hotel Szczecin,6.9,"Srodmiescie, Szczecin",Review score ,"3,002 reviews",Original price 197 zł. Current price 184 zł.,0.5 km from center,Double Room,2,,
10,Silver Hotel & Gokart Center,8.4,Szczecin,Very Good ,822 reviews,Price 360 zł,5.6 km from center,Single Room,3,Breakfast included,
11,Apartamenty Profesorskie,9.6,"Srodmiescie, Szczecin",Exceptional ,320 reviews,Price 247 zł,350 m from center,Deluxe Apartment,4,,Location 9.8
12,Park Hotel,8.7,"Srodmiescie, Szczecin",Excellent ,"1,312 reviews",Price 390 zł,0.6 km from center,Single Room,4,Breakfast included,Location 9.6
13,Hotel Victoria,7.8,"Srodmiescie, Szczecin",Good ,"1,910 reviews",Price 250 zł,0.8 km from center,Twin Room,3,Breakfast included,
