,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Citybox Tallinn City Center,8.9,"Tallinn City Center, Tallinn",Excellent ,"9,445 reviews",Price 258 zł,300 m from center,Single Room Atrium,3,,Location 9.5
1,Old Town Alur Hostel & Bar,7.9,"Tallinn City Center, Tallinn",Good ,"1,383 reviews",Price 53 zł,0.6 km from center,Bed in 10-Bed Mixed Dormitory Room,0,,Location 9.5
2,16eur - Fat Margaret's,8.2,"Kalamaja, Tallinn",Very Good ,"3,526 reviews",Price 70 zł,0.7 km from center,Bed in 6-Bed Female Dormitory Room,1,,Location 9.4
3,Rixwell Viru Square Hotel,7.8,"Tallinn City Center, Tallinn",Good ,"2,101 reviews",Price 272 zł,400 m from center,Standard Double or Twin Room,3,,Location 9.5
4,ibis Tallinn Center,9.0,"Tallinn City Center, Tallinn",Wonderful ,"4,998 reviews",Price 219 zł,1.3 km from center,Standard Double Room,3,,
5,The Knight House,7.3,"Tallinn City Center, Tallinn",Good ,"1,027 reviews",Price 92 zł,0.9 km from center,Bed in 6-Bed Mixed Dormitory Room,0,,Location 9.4
6,Original Sokos Hotel Viru,8.3,"Tallinn City Center, Tallinn",Very Good ,"2,914 reviews",Price 465 zł,200 m from center,Standard Queen Room,4,,Location 9.6
7,Imaginary Hostel,7.7,"Tallinn City Center, Tallinn",Good ,"1,026 reviews",Price 61 zł,450 m from center,Single Bed in Dormitory Room,0,,Location 9.4
8,Villa Kadriorg Hostel,7.5,"Tallinn City Center, Tallinn",Good ,"1,329 reviews",Price 136 zł,1.1 km from center,Single Room with Shared Shower and Toilet,0,,
9,Hotel Rocca al Mare,7.6,"Haabersti, Tallinn",Good ,"2,977 reviews",Price 192 zł,6 km from center,Single Capsule Bed - No Window,4,Breakfast included,
10,16eur - Old Town Munkenhof,7.8,"Tallinn City Center, Tallinn",Good ,"1,993 reviews",Price 68 zł,400 m from center,Single Bed in 6-Bed Dormitory Room,0,,Location 9.6
11,Viru Backpackers Hostel,7.8,"Tallinn City Center, Tallinn",Good ,890 reviews,Price 166 zł,450 m from center,Double Room with Shared Bathroom,0,,Location 9.5
12,Hotel St. Barbara,8.5,"Tallinn City Center, Tallinn",Very Good ,"3,139 reviews",Price 328 zł,1 km from center,Single Standard,3,Breakfast included,Location 9.5
13,Three Crowns Residents,7.5,"Tallinn City Center, Tallinn",Good ,"1,319 reviews",Price 217 zł,500 m from center,Budget Double or Twin Room without Window,3,,Location 9.5
14,Center Hotel,7.1,"Tallinn City Center, Tallinn",Good ,"3,673 reviews",Price 150 zł,0.7 km from center,Single Room with Shared Bathroom,2,,
15,Hostel31,6.8,"Tallinn City Center, Tallinn",Review score ,"1,089 reviews",Price 117 zł,0.8 km from center,Single Room with Shared Toilet and Bathroom,0,,
16,Rija Old Town Hotel,7.9,"Tallinn City Center, Tallinn",Good ,"2,507 reviews",Price 328 zł,0.6 km from center,Small Double or Twin Room,3,,Location 9.3
17,Draper Startup House for Entrepreneurs,8.3,"Tallinn City Center, Tallinn",Very Good ,"1,067 reviews",Price 76 zł,400 m from center,Bed in 8-Bed Mixed Dormitory Room,0,,Location 9.6
18,Rocca Apartments,7.5,"Haabersti, Tallinn",Good ,836 reviews,Price 198 zł,7.3 km from center,Studio Apartment,3,,
19,Hestia Hotel Seaport Tallinn,8.0,"Tallinn City Center, Tallinn",Very Good ,"5,235 reviews",Price 347 zł,0.8 km from center,Standard Twin Room,3,Breakfast included,
20,Economy Hotel,7.9,"Põhja-Tallinn, Tallinn",Good ,823 reviews,Price 212 zł,1 km from center,Single Room,3,,Location 9.3
21,St.Olav Hotel,7.5,"Tallinn City Center, Tallinn",Good ,"4,537 reviews",Price 267 zł,0.7 km from center,Economy Double Room Without Window,4,Breakfast included,Location 9.4
22,Dorell,8.0,"Tallinn City Center, Tallinn",Very Good ,"1,273 reviews",Price 244 zł,0.7 km from center,Single Room with Shared Bathroom,0,,
23,Centennial Hotel Tallinn,8.9,"Tallinn City Center, Tallinn",Excellent ,"2,718 reviews",Price 371 zł,1.5 km from center,Double or Twin Room,4,,
