,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,B&B Artistic Tirana,8.7,Tirana,Excellent ,661 reviews,Price 103 zł,1.2 km from center,Double Room with Private Bathroom,3,Breakfast included,
1,Hotel Theatro- City Center,8.7,Tirana,Excellent ,950 reviews,Price 240 zł,0.7 km from center,Double Room,4,Breakfast included,Location 9.5
2,Black Diamond Hotel,8.8,Tirana,Excellent ,985 reviews,Price 354 zł,0.7 km from center,Deluxe Single Room,4,Breakfast included,
3,"CASA DORIAN, RedDoor Studio in the heart of BLLOKU",,Tirana,,,Original price 168 zł. Current price 135 zł.,0.8 km from center,One-Bedroom Apartment,0,,
4,ART Hotel Tirana,9.0,Tirana,Wonderful ,465 reviews,Price 211 zł,0.8 km from center,Standard Single Room,4,,Location 9.4
5,Artistic Tirana Blloku,8.3,Tirana,Very Good ,522 reviews,Price 164 zł,0.8 km from center,Budget Double Room,3,,Location 9.6
6,Hotel Opera,8.7,Tirana,Excellent ,756 reviews,Price 237 zł,350 m from center,Superior Single Room,4,Breakfast included,Location 9.6
7,Mosaic Home,8.5,Tirana,Very Good ,"1,034 reviews",Price 54 zł,1.2 km from center,Bed in 10-Bed Mixed Dormitory Room,0,Breakfast included,
8,Tirana Backpacker Hostel,8.3,Tirana,Very Good ,323 reviews,Price 52 zł,0.8 km from center,Bed in 6-Bed Mixed Dormitory Room,5,Breakfast included,Location 9.3
9,Rogner Hotel Tirana,8.8,Tirana,Excellent ,"1,011 reviews",Price 467 zł,0.8 km from center,Double Room with City View,5,Breakfast included,Location 9.6
10,Hotel Boutique Restaurant Gloria,9.4,Tirana,Wonderful ,617 reviews,Price 187 zł,0.5 km from center,Comfort Single Room,4,Breakfast included,Location 9.7
11,Agsel Hotel & SPA,8.6,Tirana,Excellent ,222 reviews,Price 234 zł,4.1 km from center,Economy Double or Twin Room,4,,
12,Lot Boutique Hotel by Hotels and Preference,9.1,Tirana,Wonderful ,"1,625 reviews",Price 323 zł,350 m from center,Standard Double Room,5,Breakfast included,Location 9.5
13,Senator Hotel,8.6,Tirana,Excellent ,841 reviews,Price 328 zł,0.6 km from center,Superior Double or Twin Room with Balcony,4,Breakfast included,
14,Apartment in Tirana,,Tirana,,,Original price 135 zł. Current price 108 zł.,2.1 km from center,Two-Bedroom Apartment,0,,
15,Hotel Oresti Center,9.2,Tirana,Wonderful ,662 reviews,Price 201 zł,350 m from center,Single Room,3,Breakfast included,Location 9.8
16,Hotel Livia,7.8,Tirana,Good ,"1,004 reviews",Price 145 zł,500 m from center,Single Room,3,Breakfast included,
17,Maritim Hotel Plaza Tirana,8.9,Tirana,Excellent ,"1,424 reviews",Price 648 zł,200 m from center,Double or Twin Room,5,,Location 9.7
18,comfy room 10 min from center (private bathrom),8.6,Tirana,Excellent ,130 reviews,Price 65 zł,1 km from center,Budget Double Room,3,,Location 9.3
19,Blue Door Hostel,9.0,Tirana,Wonderful ,245 reviews,Original price 57 zł. Current price 49 zł.,1.1 km from center,Bunk Bed in Mixed Dormitory Room,0,,
20,Hotel Stela Center,8.5,Tirana,Very Good ,726 reviews,Original price 361 zł. Current price 307 zł.,0.5 km from center,Standard Double or Twin Room with Garden View,4,Breakfast included,
21,Joni's Apartment,,Tirana,,,Original price 225 zł. Current price 180 zł.,1.3 km from center,Two-Bedroom Apartment,0,,
22,Jolly City Center Hotel,8.0,Tirana,Very Good ,412 reviews,Price 153 zł,0.6 km from center,Single Room,3,Breakfast included,Location 9.4
23,Lovely Apartment,8.8,Tirana,Excellent ,19 reviews,Price 179 zł,1.9 km from center,Apartment with Balcony,0,,
24,Theranda Boutique Hotel,8.5,Tirana,Very Good ,145 reviews,Price 182 zł,0.9 km from center,Deluxe Twin Room,3,Breakfast included,Location 9.3
25,Algo Hotel,6.9,Tirana,Review score ,36 reviews,Price 136 zł,2.4 km from center,Single Room,3,,
26,Mulaj Hotel,9.0,Tirana,Wonderful ,844 reviews,Price 316 zł,0.6 km from center,Standard Double Room,4,Breakfast included,Location 9.5
27,Hotel Europa,9.0,Tirana,Wonderful ,985 reviews,Original price 189 zł. Current price 171 zł.,350 m from center,Standard Double Room,3,Breakfast included,Location 9.3
28,"Golden City Hotel & Spa, Tirana",7.8,Tirana,Good ,309 reviews,Price 187 zł,0.7 km from center,Budget Single Room,4,,
29,Center Elite Tirana,8.1,Tirana,Very Good ,347 reviews,Price 108 zł,400 m from center,Standard Double Room,2,,Location 9.5
30,BELUX HOTEL,8.2,Tirana,Very Good ,464 reviews,Price 168 zł,0.6 km from center,Single Room with Balcony,3,Breakfast included,
31,Boutique Hotel Kotoni,9.3,Tirana,Wonderful ,143 reviews,Price 430 zł,0.6 km from center,Double Room,4,Breakfast included,Location 9.9
32,Theranda Boutique Hotel,8.5,Tirana,Very Good ,145 reviews,Price 182 zł,0.9 km from center,Deluxe Twin Room,3,Breakfast included,Location 9.3
33,Vanilla Sky Boutique Hostel,9.2,Tirana,Wonderful ,529 reviews,Price 61 zł,0.9 km from center,Bed in 4-Bed Female Dormitory Room,0,,Location 9.6
