,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Hotel Empire,8.2,"Gare, Luxembourg",Very Good ,"2,979 reviews",Price 539 zł,1.4 km from center,Small Single Room,3,,
1,Hotel Olivier,8.0,Luxembourg,Very Good ,88 reviews,Price 561 zł,4.1 km from center,Standard Double Room,4,,
2,Ibis Luxembourg Airport,7.8,Luxembourg,Good ,"3,274 reviews",Price 416 zł,6.2 km from center,Standard Double Room,3,,
3,Le Royal Hotels & Resorts Luxembourg,8.6,"Ville Haute, Luxembourg",Excellent ,"1,126 reviews","Price 1,263 zł",350 m from center,Traditional Double Room or Twin Room,5,,Location 9.4
4,Hotel Perrin - former Carlton,8.7,"Gare, Luxembourg",Excellent ,"2,952 reviews",Price 491 zł,1.2 km from center,Single Room,3,,
5,BIVIUS eat&sleep,7.7,Luxembourg,Good ,314 reviews,Price 430 zł,3.4 km from center,Single Room,3,,
6,Mandarina Hotel Luxembourg Airport,7.3,Luxembourg,Good ,"4,578 reviews",Price 416 zł,7.1 km from center,Double Room,3,,
7,ibis Budget Luxembourg Aeroport,7.7,Luxembourg,Good ,"5,592 reviews",Price 342 zł,6.2 km from center,Standard Twin Room,1,,
8,Parc Hotel Alvisse,7.8,Luxembourg,Good ,"5,097 reviews",Original price 580 zł. Current price 534 zł.,3.6 km from center,Comfort Double or Twin Room,4,,
9,NH Luxembourg,8.2,Luxembourg,Very Good ,"1,505 reviews",Price 678 zł,7 km from center,Standard Double or Twin Room,4,,
10,Hotel Grey,7.5,"Gare, Luxembourg",Good ,"1,881 reviews",Original price 579 zł. Current price 533 zł.,1.3 km from center,Business Single Room,4,,
11,Hotel Parc Plaza,8.0,Luxembourg,Very Good ,"2,769 reviews",Original price 627 zł. Current price 577 zł.,0.7 km from center,Comfort Double Room,3,,
12,DoubleTree by Hilton Luxembourg,7.0,Luxembourg,Good ,"5,680 reviews",Price 505 zł,3.4 km from center,Standard Queen Room,4,,
13,LÉGÈRE HOTEL Luxembourg,8.6,Luxembourg,Excellent ,"2,599 reviews",Price 487 zł,10.7 km from center,Standard Double Room,4,,
14,City Hotel,8.5,"Gare, Luxembourg",Very Good ,"1,579 reviews",Price 744 zł,1.2 km from center,Standard Double Room,3,,
15,Hotel Vauban,7.9,"Ville Haute, Luxembourg",Good ,"1,478 reviews",Original price 702 zł. Current price 646 zł.,100 m from center,Single Room,3,Breakfast included,Location 9.5
16,d'Coque Hotel,7.9,"Kirchberg, Luxembourg",Good ,"1,941 reviews",Price 463 zł,2.1 km from center,Double Room,3,Breakfast included,
17,Hotel Pax,8.3,"Bonnevoie, Luxembourg",Very Good ,"1,517 reviews",Price 515 zł,2.5 km from center,Single Room,3,Breakfast included,
18,Park Inn by Radisson Luxembourg City,8.5,"Gare, Luxembourg",Very Good ,"1,385 reviews",Price 754 zł,1.1 km from center,Standard Double Room,3,,
19,Hotel Simoncini,8.4,"Ville Haute, Luxembourg",Very Good ,"1,494 reviews",Price 795 zł,200 m from center,Standard Double Room,4,Breakfast included,Location 9.6
20,Hotel Zurich,5.8,"Gare, Luxembourg",Review score ,528 reviews,Price 398 zł,1.2 km from center,Single Room,2,,
21,Hotel Parc Belle-Vue,7.6,Luxembourg,Good ,"2,418 reviews",Original price 627 zł. Current price 577 zł.,0.7 km from center,Standard Double Room,3,,
22,Melia Luxembourg,8.4,Luxembourg,Very Good ,"3,121 reviews",Original price 866 zł. Current price 677 zł.,1 km from center,Standard Double Room,4,,
23,Il Piccolo Mondo,7.9,Luxembourg,Good ,969 reviews,Original price 304 zł. Current price 280 zł.,2.7 km from center,Standard Single Room,0,Breakfast included,
24,Le Chatelet,7.9,"Gare, Luxembourg",Good ,"1,197 reviews",Price 609 zł,1.1 km from center,Superior Double or Twin Room,3,,
