,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Gotyk,8.7,"Stare Miasto, Toruń",Excellent ,"3,542 reviews",Price 200 zł,150 m from center,Single Room,3,,Location 9.8
1,Hotel Retman,8.7,"Stare Miasto, Toruń",Excellent ,"1,387 reviews",Price 160 zł,200 m from center,Single Room,3,,Location 9.8
2,B&B Hotel Toruń,8.0,"Stare Miasto, Toruń",Very Good ,"3,059 reviews",Price 202 zł,0.5 km from center,Twin Room,2,,Location 9.5
3,Hotel Gromada Toruń,8.1,"Stare Miasto, Toruń",Very Good ,"2,112 reviews",Price 191 zł,250 m from center,Standard Single Room,2,,Location 9.7
4,Hotel Czarna Róża,8.7,"Stare Miasto, Toruń",Excellent ,"1,355 reviews",Price 163 zł,200 m from center,Double Room,2,,Location 9.8
5,Hotel Filmar,8.8,Toruń,Excellent ,"4,359 reviews",Price 239 zł,1 km from center,Single Room,4,,
6,Hostel Freedom,9.0,"Stare Miasto, Toruń",Wonderful ,857 reviews,Price 70 zł,50 m from center,Bunk Bed in Mixed Dormitory Room,0,,Location 9.9
7,Copernicus Toruń Hotel,8.8,Toruń,Excellent ,"1,503 reviews",Price 540 zł,0.5 km from center,Deluxe Double or Twin Room,4,,Location 9.6
8,Hotel Legenda,7.5,"Stare Miasto, Toruń",Good ,"1,717 reviews",Price 252 zł,0.5 km from center,Single Room,2,Breakfast included,Location 9.6
9,Motel Tower,7.5,Toruń,Good ,817 reviews,Price 132 zł,1.2 km from center,Single Room,0,Breakfast included,
10,ibis budget Torun,8.0,Toruń,Very Good ,"2,345 reviews",Price 169 zł,0.6 km from center,Standard Twin Room,1,,Location 9.3
11,Hotel 1231,8.9,"Stare Miasto, Toruń",Excellent ,"1,175 reviews",Price 335 zł,450 m from center,Single Room,4,,Location 9.8
12,Hotel Przystanek Torun,8.5,Toruń,Very Good ,"1,231 reviews",Price 200 zł,1.1 km from center,Single Room,3,Breakfast included,
13,Dom Pielgrzyma,8.6,Toruń,Excellent ,"1,231 reviews",Price 140 zł,2 km from center,Single Room with Private Bathroom,0,Breakfast included,
14,Pensjonat Winnica,9.0,Toruń,Wonderful ,424 reviews,Price 182 zł,1.9 km from center,Single Room with River View,3,Breakfast included,Location 9.4
15,Hostel Orange,7.3,"Stare Miasto, Toruń",Good ,664 reviews,Price 45 zł,400 m from center,Bed in 12-Bed Dormitory Room,0,,Location 9.5
16,Hostel Imbir,8.3,"Stare Miasto, Toruń",Very Good ,595 reviews,Price 118 zł,450 m from center,Single Room,0,,Location 9.7
17,Hotel Spichrz,9.4,"Stare Miasto, Toruń",Wonderful ,"2,099 reviews",Price 260 zł,350 m from center,Single Room - without Air Conditioning,3,Breakfast included,Location 9.9
18,Hotel Bulwar,8.3,"Stare Miasto, Toruń",Very Good ,821 reviews,Price 382 zł,300 m from center,Comfort Single Room,4,Breakfast included,Location 9.7
19,Hostel Orange Plus,6.9,"Stare Miasto, Toruń",Review score ,487 reviews,Price 45 zł,0.6 km from center,Bed in 10-Bed Dormitory Room ,0,,
20,Hotel Nicolaus,8.4,"Stare Miasto, Toruń",Very Good ,831 reviews,Price 379 zł,100 m from center,Standard Single Room with Shower,4,,Location 9.7
