,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Tomato Backpackers,8.9,"San Salvario Valentino, Turin",Excellent ,736 reviews,Price 136 zł,1.4 km from center,Single Bed in 4-Bed Mixed Dormitory Room,2,,Location 9.3
1,Hotel Roma e Rocca Cavour,8.4,"Turin Historic Centre, Turin",Very Good ,"5,075 reviews",Price 330 zł,0.9 km from center,Classic Single Room,3,,Location 9.6
2,B&B IL SOGNO,9.0,"Aurora Vanchiglia, Turin",Wonderful ,908 reviews,Price 198 zł,1.5 km from center,Double or Twin Room with Shared Bathroom,0,Breakfast included,
3,Hotel Italia,7.3,"Crocetta, Turin",Good ,"3,068 reviews",Original price 243 zł. Current price 228 zł.,1.3 km from center,Standard Single Room,3,Breakfast included,
4,Hotel Torino Porta Susa,8.7,"Turin Historic Centre, Turin",Excellent ,"2,620 reviews",Original price 288 zł. Current price 270 zł.,1.4 km from center,Single Room,1,,
5,Open011,7.0,Turin,Good ,"1,514 reviews",Original price 197 zł. Current price 184 zł.,2.5 km from center,Double Room with TV,0,,
6,Best Western Crystal Palace Hotel,8.2,"San Salvario Valentino, Turin",Very Good ,986 reviews,Original price 458 zł. Current price 430 zł.,1.2 km from center,Standard Single Room,4,,
7,Torino 1854 Affittacamere,9.2,"Turin Historic Centre, Turin",Wonderful ,500 reviews,Price 269 zł,0.9 km from center,Large Single Room,3,,Location 9.6
8,Turin City Centre,7.7,"Crocetta, Turin",Good ,"1,097 reviews",Price 414 zł,1.2 km from center,Single Room,4,,Location 9.3
9,Hotel Serenella,7.9,"Aurora Vanchiglia, Turin",Good ,400 reviews,Original price 222 zł. Current price 208 zł.,0.7 km from center,Double or Twin Room with External Bathroom,2,,Location 9.3
10,Ostello Torino,7.8,"Lingotto, Turin",Good ,399 reviews,Original price 131 zł. Current price 123 zł.,4.9 km from center,Bed in 6-Bed Male Dormitory Room,0,,
11,Hotel Cascina Fossata & Residence,8.6,Turin,Excellent ,"4,025 reviews",Original price 356 zł. Current price 285 zł.,3.5 km from center,Double or Twin Room,3,,
12,Best Western Hotel Genio,8.2,"San Salvario Valentino, Turin",Very Good ,"1,290 reviews",Price 330 zł,1 km from center,Single Room,3,,Location 9.4
