,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Palazzo Ignazio,8.6,Valletta,Excellent ,184 reviews,Original price 854 zł. Current price 799 zł.,250 m from center,Double or Twin Room - Disability Access,4,Breakfast included,Location 9.6
1,The Embassy Valletta Hotel,8.9,Valletta,Excellent ,"1,473 reviews",Original price 681 zł. Current price 637 zł.,100 m from center,Deluxe Double or Twin Room,4,Breakfast included,Location 9.7
2,Casa Asti,8.8,Valletta,Excellent ,704 reviews,Original price 377 zł. Current price 352 zł.,300 m from center,Double Room,0,,Location 9.7
3,Grand Harbour Hotel,8.5,Valletta,Very Good ,"1,851 reviews",Original price 447 zł. Current price 418 zł.,250 m from center,Double or Twin Room,2,,Location 9.7
4,Hotel Castille,8.0,Valletta,Very Good ,"1,346 reviews",Price 327 zł,350 m from center,Room standard,3,Breakfast included,Location 9.8
5,Grand Hotel Excelsior,8.3,Valletta,Very Good ,"2,426 reviews",Price 641 zł,0.7 km from center,Deluxe Double or Twin Room,5,,
6,The Manoel Boutique Hotel,7.7,Valletta,Good ,212 reviews,Price 480 zł,100 m from center,Standard Double Room,0,Breakfast included,Location 9.4
7,Casa Lapira,9.0,Valletta,Wonderful ,432 reviews,Original price 479 zł. Current price 448 zł.,250 m from center,Double or Twin Room with City View,3,,Location 9.7
8,Unique 1 bedroom in hearth of old city Valetta,8.3,Valletta,Very Good ,3 reviews,Original price 268 zł. Current price 250 zł.,300 m from center,One-Bedroom Apartment,0,,Location 10
9,The Phoenicia Malta,9.1,Valletta,Wonderful ,898 reviews,Price 994 zł,0.6 km from center,Superior Double Room,5,,Location 9.8
10,Ursulino Valletta,9.5,Valletta,Exceptional ,746 reviews,Original price 751 zł. Current price 702 zł.,250 m from center,Superior Double Room,4,Breakfast included,Location 9.8
11,19 ROOMS,9.0,Valletta,Wonderful ,408 reviews,Price 564 zł,300 m from center,Deluxe Double Room,0,Breakfast included,Location 9.5
12,The Cumberland Hotel by NEU Collective,8.7,Valletta,Excellent ,661 reviews,Price 611 zł,100 m from center,Deluxe Suite,0,Breakfast included,Location 9.8
13,Luciano Valletta Boutique,7.5,Valletta,Good ,995 reviews,Price 400 zł,150 m from center,Economy Double or Twin Room with Internal View,3,,Location 9.6
14,Guest House Capital Inn,6.9,Valletta,Review score ,162 reviews,Original price 255 zł. Current price 239 zł.,300 m from center,Single Room with Private Bathroom,3,,
15,Palazzo Jean Parisot Boutique Suites,9.3,Valletta,Wonderful ,428 reviews,Price 751 zł,300 m from center,Deluxe Suite,4,Breakfast included,Location 9.7
16,Vallettastay Old Lodge Apartment 7,,Valletta,,,Price 340 zł,400 m from center,One-Bedroom Apartment,0,,
17,Valletta Kampnar City Living,6.6,Valletta,Review score ,726 reviews,Original price 367 zł. Current price 217 zł.,300 m from center,Suite - Ground Floor,3,,
18,Palazzo Rosaria Boutique Hotel,9.0,Valletta,Wonderful ,829 reviews,Original price 704 zł. Current price 659 zł.,250 m from center,Double Room,0,Breakfast included,Location 9.8
19,Sally Port Suites,9.2,Valletta,Wonderful ,214 reviews,Original price 540 zł. Current price 505 zł.,300 m from center,Studio Apartment,3,,Location 9.8
20,Paulos Valletta,8.9,Valletta,Excellent ,710 reviews,Original price 497 zł. Current price 465 zł.,150 m from center,Deluxe Double Room,3,Breakfast included,Location 9.8
21,One One Two,7.8,Valletta,Good ,19 reviews,Price 517 zł,200 m from center,Standard Double or Twin Room,0,Breakfast included,Location 9.7
22,AX The Saint John,8.9,Valletta,Excellent ,507 reviews,Price 611 zł,200 m from center,Double or Twin Room,4,,Location 9.7
23,La Falconeria Hotel,9.1,Valletta,Wonderful ,945 reviews,Original price 672 zł. Current price 629 zł.,300 m from center,Double or Twin Room,4,Breakfast included,Location 9.7
24,Hotel Pjazza Merkanti - Boutique Living,8.9,Valletta,Excellent ,"1,192 reviews",Original price 877 zł. Current price 571 zł.,150 m from center,Romantic Superior Double Room,0,Breakfast included,Location 9.8
