,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Domus Ciliota,7.9,"San Marco, Venice",Good ,"3,019 reviews",Price 286 zł,0.7 km from center,Single Room,0,Breakfast included,Location 9.3
1,Generator Venice,7.9,"Giudecca, Venice",Good ,"3,475 reviews",Price 194 zł,0.9 km from center,Single Bed in Mixed Dormitory Room,0,,
2,Isola di San Servolo - Centro Soggiorno,8.0,Venice,Very Good ,"1,119 reviews",Price 366 zł,2.3 km from center,Economy Single Room,3,,
3,Carnival Palace - Venice Collection,9.1,"Cannaregio, Venice",Wonderful ,"3,280 reviews",Price 838 zł,2 km from center,Economy Double Room,4,,
4,Antico Panada,7.2,"San Marco, Venice",Good ,"5,314 reviews",Price 351 zł,200 m from center,Classic Single Room,3,Breakfast included,Location 9.5
5,Hotel Agli Artisti,7.4,"Cannaregio, Venice",Good ,"3,333 reviews",Price 270 zł,1.6 km from center,Double or Twin Room ,3,Breakfast included,
6,Hotel Al Malcanton,8.6,"Dorsoduro, Venice",Excellent ,941 reviews,Price 360 zł,1.3 km from center,Standard Single Room - Annex,2,,Location 9.3
7,Al CINEMA ITALIA,8.0,"Cannaregio, Venice",Very Good ,324 reviews,Price 378 zł,1.3 km from center,Standard Double Room with Shared Bathroom,0,,
8,B&B HORTUS,9.8,"Dorsoduro, Venice",Exceptional ,45 reviews,Price 540 zł,1.3 km from center,Double or Twin Room with Garden View,4,Breakfast included,Location 9.9
9,Palazzo Paruta,8.6,"San Marco, Venice",Excellent ,703 reviews,Price 660 zł,0.6 km from center,Studio Apartment - Separate Building,4,,Location 9.4
10,Palazzo Veneziano - Venice Collection,9.3,"Dorsoduro, Venice",Wonderful ,"3,853 reviews",Price 950 zł,1.3 km from center,Economy Double Room,4,,Location 9.3
11,Hotel Rialto,8.4,"San Marco, Venice",Very Good ,"2,115 reviews",Price 988 zł,450 m from center,Junior Suite  - no smoking,4,Breakfast included,Location 9.8
12,Hotel Mercurio,8.5,"San Marco, Venice",Very Good ,"2,146 reviews",Price 368 zł,300 m from center,Standard Single Room,3,,Location 9.6
13,Casa Caburlotto,8.3,"Santa Croce, Venice",Very Good ,"1,277 reviews",Price 465 zł,1.6 km from center,Standard Twin Room with Canal View,3,Breakfast included,
14,Hotel San Zulian,7.2,"San Marco, Venice",Good ,"1,536 reviews",Price 351 zł,250 m from center,Single Room,3,Breakfast included,Location 9.3
15,Charming Palace Santa Fosca,8.3,"Cannaregio, Venice",Very Good ,156 reviews,Original price 768 zł. Current price 446 zł.,1.1 km from center,Double Room,0,,
16,Hotel Campiello,8.3,"Castello, Venice",Very Good ,"1,580 reviews",Price 537 zł,300 m from center,Classic Single Room,3,,Location 9.7
17,Hotel Diana,6.9,"San Marco, Venice",Review score ,"1,520 reviews",Price 351 zł,200 m from center,Single Room,3,Breakfast included,Location 9.3
18,A Tribute To Music Residenza,8.5,"Castello, Venice",Very Good ,"1,129 reviews",Price 591 zł,0.7 km from center,Classic Double Room,4,,Location 9.7
19,Hotel Giorgione,8.3,"Cannaregio, Venice",Very Good ,"1,560 reviews",Price 486 zł,0.8 km from center,Classic Single Room,4,,Location 9.3
20,Eurostars Residenza Cannaregio,8.3,"Cannaregio, Venice",Very Good ,"1,638 reviews",Price 603 zł,1.8 km from center,Single Room,4,,
21,Hotel Alcyone,7.0,"San Marco, Venice",Good ,"1,696 reviews",Price 392 zł,300 m from center,Single Room,3,Breakfast included,
22,Hotel Belle Arti,7.8,"Dorsoduro, Venice",Good ,"2,854 reviews",Price 392 zł,0.9 km from center,Single Room,3,Breakfast included,
23,Venice Times Hotel,9.1,"Cannaregio, Venice",Wonderful ,"1,118 reviews",Price 765 zł,1.6 km from center,Classic Double Room,4,Breakfast included,Location 9.5
24,All’Angelo Art Hotel,8.4,"San Marco, Venice",Very Good ,"1,187 reviews",Price 893 zł,250 m from center,Classic Double or Twin,4,Breakfast included,Location 9.7
25,Domus Cavanis,7.2,"Dorsoduro, Venice",Good ,"2,074 reviews",Price 345 zł,0.9 km from center,Single Room,3,Breakfast included,
26,Ca' Del Campo,8.5,"San Marco, Venice",Very Good ,"1,865 reviews",Price 971 zł,250 m from center,Triple Room,0,Breakfast included,Location 9.6
27,Hotel Alcyone,7.0,"San Marco, Venice",Good ,"1,696 reviews",Price 392 zł,300 m from center,Single Room,3,Breakfast included,
28,Ca' Dei Leoni,8.1,"Cannaregio, Venice",Very Good ,854 reviews,Price 375 zł,1.8 km from center,Double Room,3,Breakfast included,
29,Antica Locanda Sturion Residenza d'Epoca,8.6,"San Polo, Venice",Excellent ,686 reviews,Price 509 zł,0.5 km from center,Double Room,3,,Location 9.7
30,Il Pozzo Magico,8.5,"Santa Croce, Venice",Very Good ,243 reviews,Price 683 zł,1 km from center,Double or Twin Room,3,,Location 9.3
31,Venice Times Hotel,9.1,"Cannaregio, Venice",Wonderful ,"1,118 reviews",Price 723 zł,1.6 km from center,Double Single Use Classic,4,Breakfast included,Location 9.5
32,Hotel Locanda Canal,7.7,"Castello, Venice",Good ,642 reviews,Price 707 zł,300 m from center,Double Room,3,Breakfast included,Location 9.3
33,Hotel San Zulian,7.2,"San Marco, Venice",Good ,"1,536 reviews",Price 351 zł,250 m from center,Single Room,3,Breakfast included,Location 9.3
34,Hotel Canal & Walter,6.4,"Santa Croce, Venice",Review score ,"1,963 reviews",Price 438 zł,1.5 km from center,Single Room,3,Breakfast included,
35,Hotel Al Ponte Dei Sospiri,8.5,"San Marco, Venice",Very Good ,813 reviews,Price 785 zł,200 m from center,Deluxe Double Room,4,Breakfast included,Location 9.6
36,Hotel Ca' Dogaressa,8.8,"Cannaregio, Venice",Excellent ,397 reviews,Price 450 zł,1.8 km from center,Double Room,3,,Location 9.4
37,Hotel Il Moro di Venezia,7.8,"Cannaregio, Venice",Good ,"2,446 reviews",Price 353 zł,1.5 km from center,Double Room with Private External Bathroom,2,Breakfast included,Location 9.4
38,Hotel Diana,6.9,"San Marco, Venice",Review score ,"1,520 reviews",Price 351 zł,200 m from center,Single Room,3,Breakfast included,Location 9.3
39,Ca' San Polo,8.3,"San Polo, Venice",Very Good ,"1,050 reviews",Price 636 zł,0.9 km from center,Superior Double Room,4,,
40,Hilton Molino Stucky Venice,7.7,"Giudecca, Venice",Good ,"2,774 reviews",Price 910 zł,1.6 km from center,Deluxe Queen Room,5,,
41,Hotel Al Duca Di Venezia,8.6,"Santa Croce, Venice",Excellent ,"1,150 reviews",Price 815 zł,1.1 km from center,Superior Family Room,3,Breakfast included,
42,Hotel Malibran,7.7,"Cannaregio, Venice",Good ,"1,070 reviews",Price 312 zł,0.6 km from center,Single Room,3,Breakfast included,Location 9.4
43,Locanda Fiorita,8.8,"San Marco, Venice",Excellent ,563 reviews,Price 723 zł,0.6 km from center,Comfort Double or Twin Room,0,Breakfast included,Location 9.7
44,Albergo Cavalletto & Doge Orseolo,7.9,"San Marco, Venice",Good ,"1,146 reviews",Price 611 zł,100 m from center,Classic Single Room,4,Breakfast included,Location 9.7
45,Ca' Riza,9.2,"Santa Croce, Venice",Wonderful ,824 reviews,Price 549 zł,1.2 km from center,Standard Double Room,0,Breakfast included,Location 9.5
46,Hotel Orion,8.6,"San Marco, Venice",Excellent ,"1,053 reviews",Price 406 zł,200 m from center,Single Room,2,,Location 9.8
47,Riva del Vin BOUTIQUE HOTEL,8.7,"San Polo, Venice",Excellent ,900 reviews,Price 791 zł,0.5 km from center,Small Double Room,3,Breakfast included,Location 9.8
48,Farini Suites wi-fi,,"Cannaregio, Venice",,,Price 627 zł,0.7 km from center,Double Room with Private Bathroom,0,,
49,Hotel Torino,8.0,"San Marco, Venice",Very Good ,"1,729 reviews",Price 674 zł,400 m from center,Small Double Room,3,,Location 9.5
50,Hotel Marconi,7.8,"San Polo, Venice",Good ,"1,981 reviews",Price 660 zł,0.5 km from center,Single Room,3,Breakfast included,Location 9.7
51,Hotel Ai Due Principi,7.8,"Castello, Venice",Good ,"1,095 reviews","Original price 1,696 zł. Current price 859 zł.",450 m from center,Classic Double Room,4,,Location 9.3
52,BW Premier Collection CHC Continental,8.1,"Cannaregio, Venice",Very Good ,"4,115 reviews",Price 697 zł,1.4 km from center,Superior Room,4,,
53,San Lio Tourist House,8.6,"Castello, Venice",Excellent ,"1,440 reviews",Original price 642 zł. Current price 579 zł.,400 m from center,Economy Double Room,3,,Location 9.7
54,Pesaro Palace,8.2,"Cannaregio, Venice",Very Good ,"1,790 reviews",Price 584 zł,0.8 km from center,Double or Twin Room,4,Breakfast included,Location 9.5
55,Hotel Belle Epoque,7.9,"Cannaregio, Venice",Good ,"2,074 reviews",Price 336 zł,1.5 km from center,Partner offer option,3,Breakfast included,Location 9.4
56,Hotel Santa Marina,8.0,"Castello, Venice",Very Good ,838 reviews,Original price 496 zł. Current price 472 zł.,0.5 km from center,Small Double Room,4,,
57,Ca' Dei Polo,7.8,"Santa Croce, Venice",Good ,"1,110 reviews",Price 208 zł,1.4 km from center,Single Room,0,,
