,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Stylish City Apartments Vienna,9.2,"15. Rudolfsheim-Fünfhaus, Vienna",Wonderful ,16 reviews,Original price 973 zł. Current price 708 zł.,3.8 km from center,One-Bedroom Apartment,3,,
1,Lenas Donau Hotel,7.8,"22. Donaustadt, Vienna",Good ,"6,358 reviews",Original price 276 zł. Current price 258 zł.,5.4 km from center,Single Room,3,,
2,Motel One Wien-Hauptbahnhof,8.6,"10. Favoriten, Vienna",Excellent ,"8,087 reviews",Price 427 zł,2.8 km from center,Standard Double Room,3,,Location 9.3
3,Motel One Wien Westbahnhof,8.7,"15. Rudolfsheim-Fünfhaus, Vienna",Excellent ,"7,044 reviews",Price 427 zł,2.9 km from center,Standard Double Room,3,,Location 9.5
4,a&o Wien Hauptbahnhof,7.1,"10. Favoriten, Vienna",Good ,"6,543 reviews",Original price 108 zł. Current price 101 zł.,2.9 km from center,Single Bed in 6-Bed Dormitory Room,2,,
5,Wombat's City Hostel Vienna Naschmarkt,8.6,"04. Wieden, Vienna",Excellent ,"4,911 reviews",Original price 133 zł. Current price 100 zł.,1.6 km from center,Single Bed in 8-Bed Mixed Dormitory Room,0,,
6,Hotel Caroline,8.7,"10. Favoriten, Vienna",Excellent ,"3,301 reviews",Original price 258 zł. Current price 241 zł.,3.3 km from center,Single Room,3,,
7,Motel One Wien-Prater,8.6,"02. Leopoldstadt, Vienna",Excellent ,"4,677 reviews",Price 427 zł,2.3 km from center,Queen Room,3,,Location 9.3
8,Hotel Stefanie,9.0,"02. Leopoldstadt, Vienna",Wonderful ,"2,179 reviews",Original price 505 zł. Current price 472 zł.,0.8 km from center,Single Room,4,Breakfast included,Location 9.4
9,Jugendherberge Wien - Myrthengasse,8.0,"07. Neubau, Vienna",Very Good ,"1,862 reviews",Price 126 zł,2 km from center,Bunk Bed in 4-6 Bed Male Dormitory Room with Shared Bathroom,0,Breakfast included,
10,Hotel Kunsthof,7.9,"02. Leopoldstadt, Vienna",Good ,"1,261 reviews",Original price 344 zł. Current price 322 zł.,1.8 km from center,Queen Room,3,,
11,Hotel Urania,7.8,"03. Landstraße, Vienna",Good ,"1,545 reviews",Original price 478 zł. Current price 325 zł.,1.2 km from center,Single Room,3,,
12,Hotel Wandl,8.5,"01. Innere Stadt, Vienna",Very Good ,"1,262 reviews",Original price 708 zł. Current price 662 zł.,250 m from center,Standard Single Room,4,Breakfast included,Location 9.8
13,Space Home Hostel - City Hall,8.6,"09. Alsergrund, Vienna",Excellent ,702 reviews,Original price 201 zł. Current price 188 zł.,1.1 km from center,Single Room,0,,Location 9.4
14,Hotel Mercure Wien Westbahnhof,7.6,"15. Rudolfsheim-Fünfhaus, Vienna",Good ,"1,311 reviews",Price 346 zł,2.9 km from center,Standard Single Room,4,,
15,Andaz Vienna Am Belvedere - a concept by Hyatt,9.1,Vienna,Wonderful ,"1,474 reviews",Price 795 zł,2.7 km from center,King Room,5,,
16,Room 4 Art Apartments Nr.3 in Vienna Center,,"02. Leopoldstadt, Vienna",,,Original price 505 zł. Current price 472 zł.,2.2 km from center,One-Bedroom Apartment,0,,
17,Do Step Inn Central - Self-Service-Hostel,7.8,"04. Wieden, Vienna",Good ,"2,820 reviews",Price 117 zł,2.4 km from center,Bed in 6-Bed Mixed Dormitory Room,0,,
18,Hotel Donaustadt Kagran,7.9,"22. Donaustadt, Vienna",Good ,"2,880 reviews",Original price 323 zł. Current price 302 zł.,6.7 km from center,Standard Double Room,3,Breakfast included,
19,a&o Wien Stadthalle,6.9,"16. Ottakring, Vienna",Review score ,"2,943 reviews",Price 97 zł,2.8 km from center,Single Bed in 6-Bed Dormitory Room,2,,
20,Motel One Wien-Staatsoper,8.7,"01. Innere Stadt, Vienna",Excellent ,"5,780 reviews",Price 475 zł,0.9 km from center,Small Single Room,3,,Location 9.8
21,prizeotel Vienna-City,8.5,"10. Favoriten, Vienna",Very Good ,"5,026 reviews",Price 316 zł,2.5 km from center,Deluxe Double Room,0,,
22,Hotel & Palais Strudlhof,8.0,"09. Alsergrund, Vienna",Very Good ,"1,757 reviews",Original price 391 zł. Current price 256 zł.,1.9 km from center,Single Room,4,,
23,Jaz in the City Vienna,9.1,"06. Mariahilf, Vienna",Wonderful ,"1,980 reviews",Price 712 zł,1.8 km from center,Superior Double Room,4,,Location 9.3
24,Riess City Hotel,8.7,"09. Alsergrund, Vienna",Excellent ,"2,032 reviews",Price 416 zł,1.2 km from center,Single Room,3,,
25,Exe Vienna,7.9,"17. Hernals, Vienna",Good ,"2,770 reviews",Price 361 zł,2.8 km from center,Double Room,4,,
26,Hotel Bajazzo,8.0,"01. Innere Stadt, Vienna",Very Good ,869 reviews,Price 384 zł,0.8 km from center,Classic Single Room,3,,
27,Drei Kronen Hotel Wien City,8.3,"04. Wieden, Vienna",Very Good ,"2,254 reviews",Original price 575 zł. Current price 489 zł.,1.3 km from center,Standard Single Room,3,Breakfast included,Location 9.4
28,Hotel Donaustadt Kagran,7.9,"22. Donaustadt, Vienna",Good ,"2,880 reviews",Price 323 zł,6.7 km from center,Standard Double Room,3,Breakfast included,
29,Leonardo Hotel Vienna Otto-Wagner,8.3,"15. Rudolfsheim-Fünfhaus, Vienna",Very Good ,134 reviews,Price 291 zł,3.5 km from center,Comfort Double Room,3,,
30,Hotel Erzherzog Rainer,9.0,"04. Wieden, Vienna",Wonderful ,"1,364 reviews",Price 438 zł,1.6 km from center,Single Room,4,Breakfast included,Location 9.3
31,Hotel Regina,8.3,"09. Alsergrund, Vienna",Very Good ,"2,210 reviews",Price 413 zł,1.3 km from center,Single Room,4,,Location 9.4
32,Hotel & Palais Strudlhof,8.0,"09. Alsergrund, Vienna",Very Good ,"1,757 reviews",Original price 391 zł. Current price 274 zł.,1.9 km from center,Single Room,4,,
33,B&B Hotel Wien-Stadthalle,8.6,"15. Rudolfsheim-Fünfhaus, Vienna",Excellent ,"2,187 reviews",Price 309 zł,3 km from center,Double Room,0,,
34,Hotel Royal,8.5,"01. Innere Stadt, Vienna",Very Good ,"2,270 reviews",Price 568 zł,100 m from center,Single Room,4,,Location 9.8
35,Motel One Wien-Staatsoper,8.7,"01. Innere Stadt, Vienna",Excellent ,"5,780 reviews",Price 475 zł,0.9 km from center,Small Single Room,3,,Location 9.8
36,Hotel City Central,8.7,"02. Leopoldstadt, Vienna",Excellent ,725 reviews,Price 445 zł,0.7 km from center,Standard Single Room,4,Breakfast included,Location 9.4
37,Riess City Hotel,8.7,"09. Alsergrund, Vienna",Excellent ,"2,032 reviews",Price 416 zł,1.2 km from center,Single Room,3,,
38,Mint 13 @ Mariahilf,,"06. Mariahilf, Vienna",,,Price 570 zł,2.9 km from center,One-Bedroom Apartment,0,,
39,Hotel Pension Residenz - Self Check-In,7.9,"01. Innere Stadt, Vienna",Good ,"1,015 reviews",Price 323 zł,1.2 km from center,Single Room,3,,Location 9.4
40,BeFree Hostel - Self-Service,7.6,"15. Rudolfsheim-Fünfhaus, Vienna",Good ,"1,319 reviews",Price 101 zł,3.2 km from center,Bed in 4-Bed Mixed Dormitory Room with Shared Bathroom,0,,
41,Hotel Tabor Rooms,6.6,"02. Leopoldstadt, Vienna",Review score ,677 reviews,Price 226 zł,1.1 km from center,Standard Single Room,1,,
42,25hours Hotel beim MuseumsQuartier,8.6,"07. Neubau, Vienna",Excellent ,"2,245 reviews",Price 593 zł,1.4 km from center,Medium Room,4,,Location 9.4
43,Steigenberger Hotel Herrenhof,8.8,"01. Innere Stadt, Vienna",Excellent ,"2,908 reviews","Price 1,213 zł",0.6 km from center,Deluxe Double or Twin Room,5,,Location 9.8
44,MAXX by Steigenberger Vienna,8.4,"05. Margareten, Vienna",Very Good ,"3,128 reviews",Price 434 zł,3.3 km from center,Superior Double Room ,4,,
45,Roomino Apartment,5.7,"21. Floridsdorf, Vienna",Review score ,3 reviews,Price 164 zł,5.7 km from center,Single Room,0,,
46,Hotel Capricorno,9.0,"01. Innere Stadt, Vienna",Wonderful ,767 reviews,Price 814 zł,500 m from center,Double Room,4,Breakfast included,Location 9.6
47,Hotel Kaffeemühle,7.6,"07. Neubau, Vienna",Good ,"3,732 reviews",Price 339 zł,2.6 km from center,Economy Single Room,3,,
48,ibis Styles Wien Messe Prater,8.4,"02. Leopoldstadt, Vienna",Very Good ,"3,740 reviews",Price 604 zł,1.5 km from center,Standard Double Room,3,,
49,Jaz in the City Vienna,9.1,"06. Mariahilf, Vienna",Wonderful ,"1,980 reviews",Price 712 zł,1.8 km from center,Superior Double Room,4,,Location 9.3
