,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Ivolita Vilnius,8.3,"Vilnius Old Town, Vilnius",Very Good ,"2,935 reviews",Price 258 zł,1.4 km from center,Single Room,3,Breakfast included,
1,City Gate,8.8,"Vilnius Old Town, Vilnius",Excellent ,"3,160 reviews",Price 216 zł,1.5 km from center,Standard Single Room,3,Breakfast included,Location 9.6
2,Artis Centrum Hotels,8.6,"Vilnius Old Town, Vilnius",Excellent ,"5,053 reviews",Price 310 zł,400 m from center,Single Room,4,Breakfast included,Location 9.6
3,Old Town Trio,8.6,"Vilnius Old Town, Vilnius",Excellent ,"2,028 reviews",Price 310 zł,1.4 km from center,Standard Double or Twin Room,3,,
4,Neringa Hotel,9.4,"Naujamiestis, Vilnius",Wonderful ,"2,378 reviews",Price 375 zł,400 m from center,Standard Double Room,4,,Location 9.8
5,Best Western Vilnius,7.8,"Snipiskes, Vilnius",Good ,"2,755 reviews",Price 244 zł,0.9 km from center,Standard Single Room,4,Breakfast included,
6,Art City Inn,8.5,"Naujamiestis, Vilnius",Very Good ,"3,993 reviews",Price 267 zł,1.3 km from center,Standard Double or Twin Room,3,Breakfast included,
7,Hotel Vilnia,9.3,"Vilnius Old Town, Vilnius",Wonderful ,"4,053 reviews",Price 347 zł,0.7 km from center,Classic Single Room,4,,Location 9.8
8,Downtown Forest Hostel & Camping,8.6,"Vilnius Old Town, Vilnius",Excellent ,"2,132 reviews",Price 61 zł,1.6 km from center,Bed in 8-Bed Dormitory Room,0,,
9,Valentina's Rooms,8.3,"Naujamiestis, Vilnius",Very Good ,537 reviews,Price 169 zł,450 m from center,Standard Double Room,0,,Location 9.4
10,Mikalo House,8.9,"Vilnius Old Town, Vilnius",Excellent ,686 reviews,Price 70 zł,0.9 km from center,Bed in 6-Bed Dormitory Room,0,,Location 9.7
11,Novotel Vilnius Centre,9.0,"Vilnius Old Town, Vilnius",Wonderful ,"2,331 reviews",Price 276 zł,150 m from center,Standard Twin Room,4,,Location 9.8
12,Hotel Congress,8.8,"Vilnius Old Town, Vilnius",Excellent ,"2,122 reviews",Original price 357 zł. Current price 286 zł.,400 m from center,Single Room,4,,Location 9.4
13,City Hotels Algirdas,8.4,"Naujamiestis, Vilnius",Very Good ,478 reviews,Price 197 zł,1.4 km from center,Superior Single Room,4,,
14,Convenient location,8.7,"Naujamiestis, Vilnius",Excellent ,120 reviews,Price 103 zł,2.2 km from center,Double Room,0,Breakfast included,
15,Comfort Hotel LT - Rock 'n' Roll Vilnius,9.1,"Vilnius Old Town, Vilnius",Wonderful ,"4,159 reviews",Price 291 zł,1.7 km from center,Standard Double Room,3,Breakfast included,
16,Grotthuss Boutique Hotel Vilnius,8.7,"Vilnius Old Town, Vilnius",Excellent ,960 reviews,Price 413 zł,1.2 km from center,Standard Double Room,4,,Location 9.5
17,Radisson Blu Hotel Lietuva,9.2,"Snipiskes, Vilnius",Wonderful ,"5,536 reviews",Price 343 zł,1 km from center,Standard Room,4,,Location 9.3
18,Courtyard by Marriott Vilnius City Center,9.1,"Snipiskes, Vilnius",Wonderful ,"2,117 reviews",Price 321 zł,0.7 km from center,Queen Guest Room,4,,Location 9.3
